´úÂë,¼ò³Æ,ÈÕÆÚ,¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),
301207.SZ,»ªÀ¼ÒßÃç,2022-02-18,75,79.78,70.01,70.3,22923024,
301207.SZ,»ªÀ¼ÒßÃç,2022-02-21,67,69.94,64.29,66.78,14736994,
301207.SZ,»ªÀ¼ÒßÃç,2022-02-22,66,71.6,64.66,68.81,15644703,
301207.SZ,»ªÀ¼ÒßÃç,2022-02-23,66.43,68.29,65.71,65.75,10380113,
301207.SZ,»ªÀ¼ÒßÃç,2022-02-24,66.1,67.69,61.7,62.69,11217698,
301207.SZ,»ªÀ¼ÒßÃç,2022-02-25,62,64.63,62,63,7499693,
301207.SZ,»ªÀ¼ÒßÃç,2022-02-28,62.33,62.99,59.3,60.8,6879976,
301207.SZ,»ªÀ¼ÒßÃç,2022-03-01,60.8,64.44,60.5,63.76,8889533,
301207.SZ,»ªÀ¼ÒßÃç,2022-03-02,63.14,63.55,61.71,62.36,5685739,
301207.SZ,»ªÀ¼ÒßÃç,2022-03-03,62.5,65.67,62.31,63.82,8936747,
301207.SZ,»ªÀ¼ÒßÃç,2022-03-04,63,68,62.8,64.9,9494034,
301207.SZ,»ªÀ¼ÒßÃç,2022-03-07,66,68.88,64.51,66.42,8054846,
301207.SZ,»ªÀ¼ÒßÃç,2022-03-08,65,65.2,59.8,60,7854569,
301207.SZ,»ªÀ¼ÒßÃç,2022-03-09,60.85,61.62,56.56,59.38,6229940,
301207.SZ,»ªÀ¼ÒßÃç,2022-03-10,60.46,62.11,58.8,61.45,5823344,
301207.SZ,»ªÀ¼ÒßÃç,2022-03-11,61.3,62.42,60,61.59,5756826,
301207.SZ,»ªÀ¼ÒßÃç,2022-03-14,60.7,62.48,58.18,58.2,5472880,
301207.SZ,»ªÀ¼ÒßÃç,2022-03-15,57.2,58.14,54.46,54.53,5503523,
301207.SZ,»ªÀ¼ÒßÃç,2022-03-16,55.41,55.7,50.55,53.71,5776687,
301207.SZ,»ªÀ¼ÒßÃç,2022-03-17,55,57.26,54.45,55.25,6065399,
301207.SZ,»ªÀ¼ÒßÃç,2022-03-18,56.45,57.89,55.5,56.65,5275742,
301207.SZ,»ªÀ¼ÒßÃç,2022-03-21,56,61.5,55.69,60.5,6811453,
