ด๚ย๋,ผ๒ณฦ,ศีฦฺ,ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),
300746.SZ,บบผฮสýึว,2018-05-25,6.74,8.09,6.74,8.09,26114,
300746.SZ,บบผฮสýึว,2018-05-28,8.9,8.9,8.9,8.9,9563,
300746.SZ,บบผฮสýึว,2018-05-29,9.79,9.79,9.79,9.79,13190,
300746.SZ,บบผฮสýึว,2018-05-30,10.77,10.77,10.77,10.77,24422,
300746.SZ,บบผฮสýึว,2018-05-31,11.85,11.85,11.85,11.85,18990,
300746.SZ,บบผฮสýึว,2018-06-01,13.04,13.04,13.04,13.04,26281,
300746.SZ,บบผฮสýึว,2018-06-04,14.34,14.34,14.34,14.34,87758,
300746.SZ,บบผฮสýึว,2018-06-05,15.77,15.77,15.77,15.77,97058,
300746.SZ,บบผฮสýึว,2018-06-06,17.35,17.35,17.35,17.35,68698,
300746.SZ,บบผฮสýึว,2018-06-07,19.09,19.09,19.09,19.09,78884,
300746.SZ,บบผฮสýึว,2018-06-08,21,21,21,21,634996,
300746.SZ,บบผฮสýึว,2018-06-11,23.1,23.1,23.1,23.1,327461,
300746.SZ,บบผฮสýึว,2018-06-12,25.41,25.41,25.41,25.41,168987,
300746.SZ,บบผฮสýึว,2018-06-13,27.95,27.95,27.95,27.95,269350,
300746.SZ,บบผฮสýึว,2018-06-14,30.75,30.75,30.75,30.75,563675,
300746.SZ,บบผฮสýึว,2018-06-15,33.83,33.83,32.85,33.83,31555502,
300746.SZ,บบผฮสýึว,2018-06-19,34.3,37.21,33.45,36.2,41486969,
300746.SZ,บบผฮสýึว,2018-06-20,32.58,38,32.58,35.48,35241076,
300746.SZ,บบผฮสýึว,2018-06-21,35.56,38.38,32.5,32.9,35994702,
300746.SZ,บบผฮสýึว,2018-06-22,29.61,31.15,29.61,29.61,23568769,
300746.SZ,บบผฮสýึว,2018-06-25,28.71,30.69,28.65,30.36,24582252,
300746.SZ,บบผฮสýึว,2018-06-26,29.28,33.4,29,32.44,32871020,
300746.SZ,บบผฮสýึว,2018-06-27,32.35,35.68,31.26,35.68,27643641,
300746.SZ,บบผฮสýึว,2018-06-28,36,37.59,32.52,32.52,34841037,
300746.SZ,บบผฮสýึว,2018-06-29,31.35,35.6,31.3,34.25,28111234,
300746.SZ,บบผฮสýึว,2018-07-02,35.5,37.68,34.68,37.68,19229862,
300746.SZ,บบผฮสýึว,2018-07-03,40,41.45,35.59,36,39233521,
300746.SZ,บบผฮสýึว,2018-07-04,34.11,35.6,32.4,32.4,24005282,
300746.SZ,บบผฮสýึว,2018-07-05,30.69,35.64,30.69,34.46,26208635,
300746.SZ,บบผฮสýึว,2018-07-06,35.03,37.31,34.18,34.5,28106242,
300746.SZ,บบผฮสýึว,2018-07-09,34.45,37.5,34.45,37.24,25313491,
300746.SZ,บบผฮสýึว,2018-07-10,36.65,38.96,35.6,37.84,25245745,
300746.SZ,บบผฮสýึว,2018-07-11,35.8,41.4,35.08,38.94,27726711,
300746.SZ,บบผฮสýึว,2018-07-12,39.02,40.89,37.6,40.06,25242321,
300746.SZ,บบผฮสýึว,2018-07-13,39.8,43.45,36.83,37.21,31061403,
300746.SZ,บบผฮสýึว,2018-07-16,35.77,36.56,34,34.87,19326775,
300746.SZ,บบผฮสýึว,2018-07-17,34.6,36.27,34.26,36.27,16712648,
300746.SZ,บบผฮสýึว,2018-07-18,35.92,36.2,33.01,33.07,16940581,
300746.SZ,บบผฮสýึว,2018-07-19,33.62,34.08,31.82,33.48,12592831,
300746.SZ,บบผฮสýึว,2018-07-20,33.1,33.88,32.56,33.23,10065096,
300746.SZ,บบผฮสýึว,2018-07-23,33,33.73,32.3,32.59,9094360,
300746.SZ,บบผฮสýึว,2018-07-24,32.61,35.85,32.61,35.85,10924767,
300746.SZ,บบผฮสýึว,2018-07-25,39.44,39.44,37,39.44,19676888,
300746.SZ,บบผฮสýึว,2018-07-26,38.75,39.4,35.5,35.5,24936178,
300746.SZ,บบผฮสýึว,2018-07-27,33.73,34.36,32.33,32.6,19560308,
300746.SZ,บบผฮสýึว,2018-07-30,32.3,33.66,30.91,31.37,15722703,
300746.SZ,บบผฮสýึว,2018-07-31,31,31.53,30.21,30.83,11686861,
300746.SZ,บบผฮสýึว,2018-08-01,31.13,33.27,31,31.58,16014247,
300746.SZ,บบผฮสýึว,2018-08-02,30,30.48,28.42,29,15468069,
300746.SZ,บบผฮสýึว,2018-08-03,28.74,29.35,26.15,26.31,12100798,
300746.SZ,บบผฮสýึว,2018-08-06,25.88,27.27,25.3,26.47,10400596,
300746.SZ,บบผฮสýึว,2018-08-07,27.22,27.93,26.53,27.48,10964881,
300746.SZ,บบผฮสýึว,2018-08-08,27.49,27.49,24.85,24.97,11829321,
300746.SZ,บบผฮสýึว,2018-08-09,25.06,26.16,24.88,25.57,9167329,
300746.SZ,บบผฮสýึว,2018-08-10,25.37,26.15,25.25,25.64,7814920,
300746.SZ,บบผฮสýึว,2018-08-13,24.92,26.67,24.38,26.66,11413282,
300746.SZ,บบผฮสýึว,2018-08-14,26.66,27.44,26.61,26.99,11397215,
300746.SZ,บบผฮสýึว,2018-08-15,26.7,28.66,26.7,27.05,13855568,
300746.SZ,บบผฮสýึว,2018-08-16,25.64,26.5,25.03,25.84,9370450,
300746.SZ,บบผฮสýึว,2018-08-17,26.32,26.5,24.8,25.02,8479699,
300746.SZ,บบผฮสýึว,2018-08-20,24.75,25.43,23.05,24.48,7995392,
300746.SZ,บบผฮสýึว,2018-08-21,24.3,24.8,23.8,24.51,6865621,
300746.SZ,บบผฮสýึว,2018-08-22,24.38,24.79,23.1,23.11,7047825,
300746.SZ,บบผฮสýึว,2018-08-23,23.14,24.15,23.14,23.6,6746840,
300746.SZ,บบผฮสýึว,2018-08-24,23.82,23.95,23.07,23.5,6166610,
300746.SZ,บบผฮสýึว,2018-08-27,23.68,24.17,23.32,24.12,7392842,
300746.SZ,บบผฮสýึว,2018-08-28,24.21,24.21,23.65,23.98,6047756,
300746.SZ,บบผฮสýึว,2018-08-29,24.05,24.1,22.81,23.11,7113094,
300746.SZ,บบผฮสýึว,2018-08-30,23.17,25.02,23.14,23.64,10710096,
300746.SZ,บบผฮสýึว,2018-08-31,23.65,23.65,22.61,22.68,6388452,
300746.SZ,บบผฮสýึว,2018-09-03,22,22.26,20.95,21.6,6956102,
300746.SZ,บบผฮสýึว,2018-09-04,21.4,22.6,21.4,21.85,5588927,
300746.SZ,บบผฮสýึว,2018-09-05,21.92,22.32,21.2,21.31,6798274,
300746.SZ,บบผฮสýึว,2018-09-06,21.25,23.44,21.25,23.44,5945445,
300746.SZ,บบผฮสýึว,2018-09-07,24.41,24.8,22.86,23.79,17159470,
300746.SZ,บบผฮสýึว,2018-09-10,23.36,23.44,22.3,22.4,9418874,
300746.SZ,บบผฮสýึว,2018-09-11,22.76,23.2,22.36,22.75,6868202,
300746.SZ,บบผฮสýึว,2018-09-12,22.4,23,22.15,22.85,5609538,
300746.SZ,บบผฮสýึว,2018-09-13,23.5,24.18,22.6,23,6541244,
300746.SZ,บบผฮสýึว,2018-09-14,22.99,23,21.05,21.28,7590156,
300746.SZ,บบผฮสýึว,2018-09-17,20.97,20.97,20,20.26,5005796,
300746.SZ,บบผฮสýึว,2018-09-18,20.09,21.5,20.01,21.29,7093982,
300746.SZ,บบผฮสýึว,2018-09-19,21.28,21.97,20.98,21.28,6747700,
300746.SZ,บบผฮสýึว,2018-09-20,21.54,21.54,20.71,20.76,4876814,
300746.SZ,บบผฮสýึว,2018-09-21,20.8,21.1,20.56,20.93,4043400,
