代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
920896.BJ,旺成科技,2023-04-19,5.89,5.98,5.52,5.53,7331324,
920896.BJ,旺成科技,2023-04-20,5.48,5.53,5,5.02,3588912,
920896.BJ,旺成科技,2023-04-21,5.02,5.03,4.85,4.87,1373883,
920896.BJ,旺成科技,2023-04-24,4.85,5.16,4.81,4.99,829466,
920896.BJ,旺成科技,2023-04-25,4.95,5.13,4.78,4.89,855586,
920896.BJ,旺成科技,2023-04-26,4.71,4.85,4.71,4.83,476226,
920896.BJ,旺成科技,2023-04-27,4.95,4.95,4.75,4.85,354793,
920896.BJ,旺成科技,2023-04-28,4.85,4.88,4.78,4.86,359880,
920896.BJ,旺成科技,2023-05-04,4.93,4.98,4.84,4.97,385287,
920896.BJ,旺成科技,2023-05-05,4.91,5.16,4.9,5.09,945140,
920896.BJ,旺成科技,2023-05-08,5.19,5.25,5.12,5.24,1009129,
920896.BJ,旺成科技,2023-05-09,5.24,5.26,5.07,5.09,637732,
920896.BJ,旺成科技,2023-05-10,5.04,5.15,5.04,5.11,265649,
920896.BJ,旺成科技,2023-05-11,5.14,5.15,5.05,5.07,143143,
920896.BJ,旺成科技,2023-05-12,5.14,5.15,5.06,5.09,183732,
920896.BJ,旺成科技,2023-05-15,5.05,5.05,4.94,4.98,389316,
920896.BJ,旺成科技,2023-05-16,4.98,5.05,4.91,4.95,312279,
920896.BJ,旺成科技,2023-05-17,4.99,4.99,4.92,4.95,152948,
920896.BJ,旺成科技,2023-05-18,4.97,5,4.93,4.98,103711,
920896.BJ,旺成科技,2023-05-19,4.97,5,4.96,4.97,120558,
920896.BJ,旺成科技,2023-05-22,4.94,4.97,4.93,4.96,177938,
920896.BJ,旺成科技,2023-05-23,4.97,5.08,4.97,5.02,339616,
920896.BJ,旺成科技,2023-05-24,5.04,5.04,4.99,5,220813,
920896.BJ,旺成科技,2023-05-25,5.03,5.06,4.93,4.96,300308,
920896.BJ,旺成科技,2023-05-26,4.96,4.96,4.85,4.92,179536,
920896.BJ,旺成科技,2023-05-29,4.9,4.98,4.9,4.95,80262,
920896.BJ,旺成科技,2023-05-30,4.97,4.97,4.92,4.93,117182,
920896.BJ,旺成科技,2023-05-31,4.93,4.93,4.9,4.91,127845,
920896.BJ,旺成科技,2023-06-01,4.9,4.92,4.89,4.9,127131,
920896.BJ,旺成科技,2023-06-02,4.89,4.91,4.87,4.9,200922,
920896.BJ,旺成科技,2023-06-05,4.9,4.94,4.89,4.91,69620,
920896.BJ,旺成科技,2023-06-06,4.97,4.97,4.86,4.89,84250,
920896.BJ,旺成科技,2023-06-07,4.89,4.91,4.88,4.89,88823,
920896.BJ,旺成科技,2023-06-08,4.86,4.88,4.85,4.88,106577,
920896.BJ,旺成科技,2023-06-09,4.85,4.9,4.85,4.88,78128,
920896.BJ,旺成科技,2023-06-12,4.88,4.94,4.83,4.93,130496,
920896.BJ,旺成科技,2023-06-13,4.92,4.98,4.9,4.98,217096,
920896.BJ,旺成科技,2023-06-14,5.0008,5.0113,4.9175,4.9383,146163,
920896.BJ,旺成科技,2023-06-15,4.9904,5.0008,4.9175,4.9383,79825,
920896.BJ,旺成科技,2023-06-16,4.9175,4.98,4.9071,4.9071,156373,
920896.BJ,旺成科技,2023-06-19,4.9071,4.9487,4.8133,4.8446,345238,
920896.BJ,旺成科技,2023-06-20,4.8341,4.8446,4.7925,4.8237,105120,
920896.BJ,旺成科技,2023-06-21,4.8029,4.8758,4.7925,4.855,155551,
920896.BJ,旺成科技,2023-06-26,4.8029,4.8237,4.8029,4.8133,97707,
920896.BJ,旺成科技,2023-06-27,4.8029,4.855,4.8029,4.8237,77710,
920896.BJ,旺成科技,2023-06-28,4.8237,4.8446,4.7508,4.8341,95960,
920896.BJ,旺成科技,2023-06-29,4.8341,5.4072,4.8237,5.3134,2719623,
920896.BJ,旺成科技,2023-06-30,5.5218,6.126,5.2926,5.3759,3778877,
920896.BJ,旺成科技,2023-07-03,5.3759,5.4176,5.1571,5.2821,1827496,
920896.BJ,旺成科技,2023-07-04,5.2926,6.199,5.2092,5.8135,5305033,
920896.BJ,旺成科技,2023-07-05,5.7301,6.126,5.5218,5.5947,4359589,
920896.BJ,旺成科技,2023-07-06,5.6051,5.8343,5.23,5.5738,2885721,
920896.BJ,旺成科技,2023-07-07,5.4697,5.7405,5.4072,5.4905,1998136,
920896.BJ,旺成科技,2023-07-10,5.3342,5.5426,5.2196,5.3238,2027847,
920896.BJ,旺成科技,2023-07-11,5.3238,5.3967,5.1571,5.1884,1379157,
920896.BJ,旺成科技,2023-07-12,5.303,5.303,5.105,5.1363,920075,
920896.BJ,旺成科技,2023-07-13,5.1259,5.1988,5.0425,5.1571,698702,
920896.BJ,旺成科技,2023-07-14,5.1259,5.1884,5.0529,5.1363,827767,
920896.BJ,旺成科技,2023-07-17,5.1363,5.1571,5.0633,5.1363,428365,
920896.BJ,旺成科技,2023-07-18,5.1363,5.1363,5.0738,5.0946,326070,
920896.BJ,旺成科技,2023-07-19,5.1363,5.1363,4.98,5.0113,690246,
920896.BJ,旺成科技,2023-07-20,5.105,5.105,4.9904,5.0425,480658,
920896.BJ,旺成科技,2023-07-21,5.0738,5.0738,5.0008,5.0008,316449,
920896.BJ,旺成科技,2023-07-24,4.98,5.0529,4.98,4.9904,273616,
920896.BJ,旺成科技,2023-07-25,5.0008,5.0946,5.0008,5.0946,470019,
920896.BJ,旺成科技,2023-07-26,5.0529,5.1467,5.0529,5.1154,363366,
920896.BJ,旺成科技,2023-07-27,5.1154,5.1779,5.0633,5.1571,491048,
920896.BJ,旺成科技,2023-07-28,5.1571,5.1675,5.105,5.1259,219270,
920896.BJ,旺成科技,2023-07-31,5.1779,5.1779,5.1259,5.1259,161102,
