測鎢,潠備,�梪�,羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),
688381.SH,著兜峚,2022-12-20,41.01,41.59,40.62,40.67,1362626,
688381.SH,著兜峚,2022-12-21,40.61,40.8,39.6,40.12,1073932,
688381.SH,著兜峚,2022-12-22,40.5,40.6,38.59,38.83,1139781,
688381.SH,著兜峚,2022-12-23,38.75,39.29,37.6,37.82,1363312,
688381.SH,著兜峚,2022-12-26,37.82,40.98,37.82,40.48,1646665,
688381.SH,著兜峚,2022-12-27,40.39,41.94,39.82,41.52,1544604,
688381.SH,著兜峚,2022-12-28,41.52,42.5,41.2,41.58,815066,
688381.SH,著兜峚,2022-12-29,41.58,41.74,40.38,40.9,1450462,
688381.SH,著兜峚,2022-12-30,40.73,41.2,39.41,39.72,1364440,
688381.SH,著兜峚,2023-01-03,39.72,43,39.41,42.9,2806414,
688381.SH,著兜峚,2023-01-04,43.01,44.57,42.42,43.3,2039267,
688381.SH,著兜峚,2023-01-05,43.8,44.78,42.73,43.88,2277158,
688381.SH,著兜峚,2023-01-06,44.49,44.49,43.1,43.12,1384583,
688381.SH,著兜峚,2023-01-09,43.1,44,42.48,43.17,1958426,
688381.SH,著兜峚,2023-01-10,42.88,45.27,42.7,44.7,2794382,
688381.SH,著兜峚,2023-01-11,44.5,45.37,42.49,42.49,3071016,
688381.SH,著兜峚,2023-01-12,42.8,43.18,42,42.46,862892,
688381.SH,著兜峚,2023-01-13,42.79,43.2,41.81,42.98,1323063,
688381.SH,著兜峚,2023-01-16,42.7,45.25,42.66,44.28,2133697,
688381.SH,著兜峚,2023-01-17,45.15,49.18,44.5,47.39,5242807,
688381.SH,著兜峚,2023-01-18,47.61,47.99,46.78,47.49,1813476,
688381.SH,著兜峚,2023-01-19,47.69,50.17,47.29,49.17,2795801,
688381.SH,著兜峚,2023-01-20,49.21,49.87,48.56,49.3,1713634,
688381.SH,著兜峚,2023-01-30,49.68,50.43,48.31,48.56,1805267,
688381.SH,著兜峚,2023-01-31,48.5,48.85,46.78,47.3,2236607,
688381.SH,著兜峚,2023-02-01,47.82,48.9,46.8,47.94,2135212,
688381.SH,著兜峚,2023-02-02,48.1,49.57,47.67,47.92,2557446,
