ด๚ย๋,ผ๒ณฦ,ศีฦฺ,ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),
301079.SZ,ษÛั๔าบัน,2021-10-19,30,36.36,29.67,32.19,12370046,
301079.SZ,ษÛั๔าบัน,2021-10-20,29.97,30.44,29.05,29.48,9839489,
301079.SZ,ษÛั๔าบัน,2021-10-21,29.38,30.16,28.42,29.85,7717007,
301079.SZ,ษÛั๔าบัน,2021-10-22,29.6,31.77,29.3,31.31,10227420,
301079.SZ,ษÛั๔าบัน,2021-10-25,31.26,31.26,28.82,29.91,7999431,
301079.SZ,ษÛั๔าบัน,2021-10-26,29.25,35.89,28.86,33.25,12185069,
301079.SZ,ษÛั๔าบัน,2021-10-27,32,36.47,30.92,34.09,11309420,
301079.SZ,ษÛั๔าบัน,2021-10-28,33,33,30.23,30.9,7186264,
301079.SZ,ษÛั๔าบัน,2021-10-29,30.88,31.88,29.34,29.6,5928939,
301079.SZ,ษÛั๔าบัน,2021-11-01,29.09,30.7,28.52,30.49,4304531,
301079.SZ,ษÛั๔าบัน,2021-11-02,30,31.74,29.95,30.78,5306101,
301079.SZ,ษÛั๔าบัน,2021-11-03,30.58,30.58,29.04,29.95,3872295,
301079.SZ,ษÛั๔าบัน,2021-11-04,30.18,30.59,29.83,29.96,3842530,
301079.SZ,ษÛั๔าบัน,2021-11-05,29.41,30.56,29.37,29.89,3796990,
301079.SZ,ษÛั๔าบัน,2021-11-08,30,31.92,29.61,31.62,6018933,
301079.SZ,ษÛั๔าบัน,2021-11-09,31.3,32.48,30.88,31.83,5675819,
301079.SZ,ษÛั๔าบัน,2021-11-10,31.6,32.4,31.1,32.21,4942667,
301079.SZ,ษÛั๔าบัน,2021-11-11,32.36,33.46,31.33,31.45,6863448,
301079.SZ,ษÛั๔าบัน,2021-11-12,31.52,35,31.52,34.05,8657781,
301079.SZ,ษÛั๔าบัน,2021-11-15,33.31,36.69,33.31,35.3,9017458,
301079.SZ,ษÛั๔าบัน,2021-11-16,34.11,34.5,31.8,32.2,6599160,
301079.SZ,ษÛั๔าบัน,2021-11-17,31.99,33.14,31.8,32.99,4622181,
301079.SZ,ษÛั๔าบัน,2021-11-18,33.97,35.5,33,33.63,5945296,
301079.SZ,ษÛั๔าบัน,2021-11-19,32.81,40.36,32.63,40.36,7970054,
301079.SZ,ษÛั๔าบัน,2021-11-22,40.02,42.92,38.5,39,10989479,
301079.SZ,ษÛั๔าบัน,2021-11-23,38.48,39.95,37.8,39.2,6653703,
301079.SZ,ษÛั๔าบัน,2021-11-24,38.52,42.38,38.21,40.23,7863653,
301079.SZ,ษÛั๔าบัน,2021-11-25,39.03,45,37.01,42.42,7802804,
301079.SZ,ษÛั๔าบัน,2021-11-26,41,41.76,39.05,40.11,5464096,
301079.SZ,ษÛั๔าบัน,2021-11-29,39,41.45,38.48,39.98,3689266,
301079.SZ,ษÛั๔าบัน,2021-11-30,39.8,41.88,39.5,40.69,4358903,
301079.SZ,ษÛั๔าบัน,2021-12-01,40,40.2,38.21,38.68,4028149,
301079.SZ,ษÛั๔าบัน,2021-12-02,38,38.96,36.58,36.92,3875798,
301079.SZ,ษÛั๔าบัน,2021-12-03,37.2,37.83,36.42,36.5,2543409,
301079.SZ,ษÛั๔าบัน,2021-12-06,36,36.29,34.7,35.05,2607425,
301079.SZ,ษÛั๔าบัน,2021-12-07,35.04,35.82,34.03,35.41,2526793,
301079.SZ,ษÛั๔าบัน,2021-12-08,35.27,35.86,34.85,35.22,2272146,
301079.SZ,ษÛั๔าบัน,2021-12-09,35,35.36,34.05,34.15,2440727,
301079.SZ,ษÛั๔าบัน,2021-12-10,35,35.5,34.33,34.37,2369966,
301079.SZ,ษÛั๔าบัน,2021-12-13,34.3,34.86,33.83,34.54,2175660,
301079.SZ,ษÛั๔าบัน,2021-12-14,34.26,35.4,33.86,35.31,2826048,
301079.SZ,ษÛั๔าบัน,2021-12-15,35.25,36.36,34.79,36.05,3481739,
301079.SZ,ษÛั๔าบัน,2021-12-16,36.04,36.8,35.23,36.4,3204317,
301079.SZ,ษÛั๔าบัน,2021-12-17,36.1,36.15,33.98,34.01,3319200,
301079.SZ,ษÛั๔าบัน,2021-12-20,33.51,33.51,31.94,32.18,2545528,
301079.SZ,ษÛั๔าบัน,2021-12-21,32,32.66,31.95,32.58,1405110,
301079.SZ,ษÛั๔าบัน,2021-12-22,32.4,32.87,32.4,32.7,1238488,
301079.SZ,ษÛั๔าบัน,2021-12-23,32.4,32.76,31.96,32.05,1552132,
301079.SZ,ษÛั๔าบัน,2021-12-24,32.11,32.27,30.58,30.66,1876023,
301079.SZ,ษÛั๔าบัน,2021-12-27,30.82,31.49,30.66,31.3,1163845,
301079.SZ,ษÛั๔าบัน,2021-12-28,31.9,32.34,31,31.65,1481505,
301079.SZ,ษÛั๔าบัน,2021-12-29,31.55,32.53,31.55,31.98,1567740,
301079.SZ,ษÛั๔าบัน,2021-12-30,32.22,32.75,31.78,32.13,1518616,
301079.SZ,ษÛั๔าบัน,2021-12-31,32.36,32.44,31.74,31.75,1139888,
301079.SZ,ษÛั๔าบัน,2022-01-04,31.72,32.04,31.49,31.76,1022693,
301079.SZ,ษÛั๔าบัน,2022-01-05,31.74,31.8,30.46,30.91,1323231,
301079.SZ,ษÛั๔าบัน,2022-01-06,30.77,31.91,30.77,31.72,1270999,
301079.SZ,ษÛั๔าบัน,2022-01-07,31.6,32.38,31.37,32.03,1724720,
301079.SZ,ษÛั๔าบัน,2022-01-10,32.09,33.28,32.09,32.5,1881043,
301079.SZ,ษÛั๔าบัน,2022-01-11,32.47,32.97,31.73,31.98,1417179,
301079.SZ,ษÛั๔าบัน,2022-01-12,32.18,32.77,32.18,32.54,1196524,
301079.SZ,ษÛั๔าบัน,2022-01-13,32.52,33.12,31.96,32.78,1634976,
301079.SZ,ษÛั๔าบัน,2022-01-14,32.58,32.9,31.71,31.82,1280012,
301079.SZ,ษÛั๔าบัน,2022-01-17,31.42,32.19,31.39,32,856568,
301079.SZ,ษÛั๔าบัน,2022-01-18,31.99,32.15,31,31.32,995956,
301079.SZ,ษÛั๔าบัน,2022-01-19,31,31.94,30.92,31.57,928632,
301079.SZ,ษÛั๔าบัน,2022-01-20,31.42,31.73,29.88,29.98,1268368,
301079.SZ,ษÛั๔าบัน,2022-01-21,29.88,30.2,29.2,29.4,854318,
301079.SZ,ษÛั๔าบัน,2022-01-24,29.4,29.88,29.36,29.5,586800,
301079.SZ,ษÛั๔าบัน,2022-01-25,29.51,31.83,29.51,29.99,2421200,
301079.SZ,ษÛั๔าบัน,2022-01-26,29.51,31.06,29.51,30.57,2041502,
301079.SZ,ษÛั๔าบัน,2022-01-27,30.4,30.4,27.86,27.87,2197200,
301079.SZ,ษÛั๔าบัน,2022-01-28,28.46,29.11,27.6,28.9,1514718,
301079.SZ,ษÛั๔าบัน,2022-02-07,29.3,31.48,29.01,31.2,2496413,
301079.SZ,ษÛั๔าบัน,2022-02-08,30.87,31.25,30.43,31.04,1624612,
301079.SZ,ษÛั๔าบัน,2022-02-09,30.71,32.03,30.32,31.91,2521059,
301079.SZ,ษÛั๔าบัน,2022-02-10,31.84,32.08,31.2,31.56,1491200,
301079.SZ,ษÛั๔าบัน,2022-02-11,31.5,31.51,30.08,30.33,1509000,
301079.SZ,ษÛั๔าบัน,2022-02-14,30.27,30.86,30.18,30.69,1027100,
301079.SZ,ษÛั๔าบัน,2022-02-15,30.5,31.48,29.61,30.89,1506300,
301079.SZ,ษÛั๔าบัน,2022-02-16,30.85,31.8,30.6,31.79,1727948,
301079.SZ,ษÛั๔าบัน,2022-02-17,31.82,32.9,31.2,31.88,2182000,
301079.SZ,ษÛั๔าบัน,2022-02-18,31.4,32.07,30.75,32.07,1854245,
301079.SZ,ษÛั๔าบัน,2022-02-21,32.15,32.18,31.66,31.93,1349423,
301079.SZ,ษÛั๔าบัน,2022-02-22,31.99,32.88,31.43,32.8,2941192,
301079.SZ,ษÛั๔าบัน,2022-02-23,32.38,32.75,32.23,32.59,2044964,
301079.SZ,ษÛั๔าบัน,2022-02-24,32.48,32.57,31.01,31.41,2339744,
301079.SZ,ษÛั๔าบัน,2022-02-25,31.86,32,30.85,30.95,1517795,
301079.SZ,ษÛั๔าบัน,2022-02-28,31.06,31.74,30.01,31.46,1532107,
301079.SZ,ษÛั๔าบัน,2022-03-01,31.69,32.95,31.2,32.49,2235396,
301079.SZ,ษÛั๔าบัน,2022-03-02,32.28,32.34,31.74,32.13,1333968,
301079.SZ,ษÛั๔าบัน,2022-03-03,32.15,32.3,31.37,31.47,1155237,
301079.SZ,ษÛั๔าบัน,2022-03-04,31.31,31.69,30.3,30.48,1298986,
301079.SZ,ษÛั๔าบัน,2022-03-07,30.59,31.08,30.07,30.16,1090555,
301079.SZ,ษÛั๔าบัน,2022-03-08,29.86,30.27,28.87,28.89,1126725,
301079.SZ,ษÛั๔าบัน,2022-03-09,28.97,29.27,27.3,28.69,1176868,
301079.SZ,ษÛั๔าบัน,2022-03-10,29.22,29.65,28.7,28.81,945200,
301079.SZ,ษÛั๔าบัน,2022-03-11,28.81,28.88,27.74,28.6,1082540,
301079.SZ,ษÛั๔าบัน,2022-03-14,28.46,28.79,27.87,27.87,748868,
301079.SZ,ษÛั๔าบัน,2022-03-15,27.69,28.22,26.66,26.77,1038174,
301079.SZ,ษÛั๔าบัน,2022-03-16,27.1,27.6,26.62,27.5,1019724,
301079.SZ,ษÛั๔าบัน,2022-03-17,27.83,28.22,27.51,27.65,1290100,
301079.SZ,ษÛั๔าบัน,2022-03-18,27.5,28.37,27.3,28.16,1259197,
301079.SZ,ษÛั๔าบัน,2022-03-21,28.08,29.15,28.08,28.98,1514810,
301079.SZ,ษÛั๔าบัน,2022-03-22,29,29.43,28.76,29.05,1084246,
301079.SZ,ษÛั๔าบัน,2022-03-23,29.06,29.78,29.06,29.49,1303076,
301079.SZ,ษÛั๔าบัน,2022-03-24,29.19,29.38,28.5,28.68,902700,
301079.SZ,ษÛั๔าบัน,2022-03-25,28.51,28.98,28.51,28.56,715900,
301079.SZ,ษÛั๔าบัน,2022-03-28,28.4,28.5,27.8,27.99,617584,
301079.SZ,ษÛั๔าบัน,2022-03-29,27.98,28.3,27.36,27.42,684477,
301079.SZ,ษÛั๔าบัน,2022-03-30,27.6,27.85,27.38,27.85,690900,
301079.SZ,ษÛั๔าบัน,2022-03-31,27.86,29.14,27.67,28.81,1507596,
301079.SZ,ษÛั๔าบัน,2022-04-01,28.61,28.61,28.16,28.28,849421,
301079.SZ,ษÛั๔าบัน,2022-04-06,28.2,29.08,28.15,28.85,924253,
301079.SZ,ษÛั๔าบัน,2022-04-07,28.37,30.37,28.37,29.24,2185038,
301079.SZ,ษÛั๔าบัน,2022-04-08,28.96,31.78,28.69,30.8,3903395,
301079.SZ,ษÛั๔าบัน,2022-04-11,29,29.2,25.52,26.8,2684673,
301079.SZ,ษÛั๔าบัน,2022-04-12,26.2,27.31,26.13,27.01,1349233,
301079.SZ,ษÛั๔าบัน,2022-04-13,26.58,26.88,25,25.33,1668963,
301079.SZ,ษÛั๔าบัน,2022-04-14,25.33,25.68,25.03,25.05,937456,
301079.SZ,ษÛั๔าบัน,2022-04-15,24.95,24.95,23.93,24.3,1136277,
301079.SZ,ษÛั๔าบัน,2022-04-18,24.05,25.05,23.04,24.73,883524,
301079.SZ,ษÛั๔าบัน,2022-04-19,24.56,25.06,24.43,24.91,709176,
301079.SZ,ษÛั๔าบัน,2022-04-20,25.38,25.38,24.46,24.83,675268,
301079.SZ,ษÛั๔าบัน,2022-04-21,24.82,24.89,23.8,23.96,638900,
301079.SZ,ษÛั๔าบัน,2022-04-22,23.73,24.53,23.49,24.39,717024,
