ด๚ย๋,ผ๒ณฦ,ศีฦฺ,ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),
688622.SH,บฬะลาวฦ๗,2021-09-13,92.11,98.04,88.8,93,11825840,
688622.SH,บฬะลาวฦ๗,2021-09-14,92.8,94.6,83.88,89.66,5408959,
688622.SH,บฬะลาวฦ๗,2021-09-15,88.5,96.44,88,93.99,3937316,
688622.SH,บฬะลาวฦ๗,2021-09-16,90.1,91.5,84.77,85.23,3022577,
688622.SH,บฬะลาวฦ๗,2021-09-17,85,87,77.03,84.03,2530320,
688622.SH,บฬะลาวฦ๗,2021-09-22,83,84.07,77.52,77.83,2137753,
688622.SH,บฬะลาวฦ๗,2021-09-23,77.83,80.52,75.03,78.46,1229385,
688622.SH,บฬะลาวฦ๗,2021-09-24,77.65,79.8,76.15,76.88,1049220,
688622.SH,บฬะลาวฦ๗,2021-09-27,76.88,76.88,67.12,68.5,1821404,
688622.SH,บฬะลาวฦ๗,2021-09-28,68.2,69.66,65.12,68.69,1566711,
688622.SH,บฬะลาวฦ๗,2021-09-29,67,69.98,66.4,67.95,1039282,
688622.SH,บฬะลาวฦ๗,2021-09-30,67.9,71.84,66.21,69.07,884056,
688622.SH,บฬะลาวฦ๗,2021-10-08,69.3,72.03,68.01,70.54,660993,
688622.SH,บฬะลาวฦ๗,2021-10-11,70.48,70.48,66.02,66.38,409600,
688622.SH,บฬะลาวฦ๗,2021-10-12,66.08,66.08,60.2,62.38,1397390,
688622.SH,บฬะลาวฦ๗,2021-10-13,61.61,65.28,61.09,64.29,412890,
688622.SH,บฬะลาวฦ๗,2021-10-14,66.22,66.22,62.58,63.8,260118,
688622.SH,บฬะลาวฦ๗,2021-10-15,64.2,64.2,60.5,62.99,601016,
688622.SH,บฬะลาวฦ๗,2021-10-18,62,64.58,61.81,62.41,217505,
688622.SH,บฬะลาวฦ๗,2021-10-19,61.22,62.65,61,61.62,572414,
688622.SH,บฬะลาวฦ๗,2021-10-20,62,64.66,61,64,445488,
688622.SH,บฬะลาวฦ๗,2021-10-21,64.96,68.88,64,66.54,1026515,
688622.SH,บฬะลาวฦ๗,2021-10-22,65.39,66.99,63,64.25,463462,
688622.SH,บฬะลาวฦ๗,2021-10-25,63.49,65.87,61.51,64.32,339568,
688622.SH,บฬะลาวฦ๗,2021-10-26,64.32,64.32,58.14,60.66,873186,
688622.SH,บฬะลาวฦ๗,2021-10-27,60.33,61.75,54.88,55.59,763471,
688622.SH,บฬะลาวฦ๗,2021-10-28,55,57.66,55,56.14,491468,
688622.SH,บฬะลาวฦ๗,2021-10-29,57.38,58.99,56.14,56.5,455619,
688622.SH,บฬะลาวฦ๗,2021-11-01,56.88,58.55,55,58.05,402290,
688622.SH,บฬะลาวฦ๗,2021-11-02,58.05,62.78,56.62,62,655128,
688622.SH,บฬะลาวฦ๗,2021-11-03,61,64.66,60.73,63.93,410683,
688622.SH,บฬะลาวฦ๗,2021-11-04,64.98,65.96,63.24,65.79,876416,
688622.SH,บฬะลาวฦ๗,2021-11-05,64.99,66.97,64.2,66.72,553490,
688622.SH,บฬะลาวฦ๗,2021-11-08,66.9,68,65.02,67.95,573738,
688622.SH,บฬะลาวฦ๗,2021-11-09,68.2,69.18,66.15,68.95,640898,
688622.SH,บฬะลาวฦ๗,2021-11-10,68.25,72.69,68.25,71.32,485214,
688622.SH,บฬะลาวฦ๗,2021-11-11,71.19,72.69,69.24,70.39,572673,
688622.SH,บฬะลาวฦ๗,2021-11-12,69.23,73,68.8,71,668841,
688622.SH,บฬะลาวฦ๗,2021-11-15,71.01,73.47,67.5,71.8,634166,
688622.SH,บฬะลาวฦ๗,2021-11-16,71.76,72.88,69,69.39,242178,
688622.SH,บฬะลาวฦ๗,2021-11-17,69.49,72.79,69.1,69.67,238056,
688622.SH,บฬะลาวฦ๗,2021-11-18,69.42,69.42,66.24,66.53,260304,
688622.SH,บฬะลาวฦ๗,2021-11-19,67.23,70.83,66.65,68.8,274511,
688622.SH,บฬะลาวฦ๗,2021-11-22,69.98,71.79,68.01,70.36,267860,
688622.SH,บฬะลาวฦ๗,2021-11-23,70.38,72.89,69.22,71.61,303577,
