代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
300881.SZ,盛德鑫泰,2020-09-01,56.1,94.96,56.03,78,18345956,
300881.SZ,盛德鑫泰,2020-09-02,67,72.5,52.6,53.25,13309641,
300881.SZ,盛德鑫泰,2020-09-03,48.18,56.5,43.33,48.1,10694369,
300881.SZ,盛德鑫泰,2020-09-04,44.6,46.8,42.94,43.12,9741188,
300881.SZ,盛德鑫泰,2020-09-07,43.68,50.33,41.71,43.62,11549833,
300881.SZ,盛德鑫泰,2020-09-08,41.28,41.5,38.44,38.45,8578749,
300881.SZ,盛德鑫泰,2020-09-09,37.38,37.68,34.25,34.25,6902682,
300881.SZ,盛德鑫泰,2020-09-10,35.2,35.96,31.28,31.7,6035619,
300881.SZ,盛德鑫泰,2020-09-11,30.99,34.4,30.3,33,6607704,
300881.SZ,盛德鑫泰,2020-09-14,32.58,34.85,32.2,34.8,6852799,
300881.SZ,盛德鑫泰,2020-09-15,34.4,38.1,33.6,36.01,8459408,
300881.SZ,盛德鑫泰,2020-09-16,36.07,43.21,34.5,43.21,10294931,
300881.SZ,盛德鑫泰,2020-09-17,47.07,51.85,44,51.85,17397470,
300881.SZ,盛德鑫泰,2020-09-18,51,54.22,45.7,46.08,14167583,
300881.SZ,盛德鑫泰,2020-09-21,43.39,48.26,42.51,47.2,11506570,
300881.SZ,盛德鑫泰,2020-09-22,44,45.5,41.01,41.9,7980515,
300881.SZ,盛德鑫泰,2020-09-23,41.89,44.18,41.89,42.99,6279023,
300881.SZ,盛德鑫泰,2020-09-24,42.01,46.99,41.34,43.73,8795937,
300881.SZ,盛德鑫泰,2020-09-25,43.08,46.43,38.21,39.72,7540109,
300881.SZ,盛德鑫泰,2020-09-28,38.52,39.69,36.05,36.2,5907961,
300881.SZ,盛德鑫泰,2020-09-29,36.96,37.2,35.92,36.2,3699760,
300881.SZ,盛德鑫泰,2020-09-30,36.51,37.8,35.81,36.21,3884206,
300881.SZ,盛德鑫泰,2020-10-09,37.07,39.48,36.61,39.1,5268186,
300881.SZ,盛德鑫泰,2020-10-12,39.23,44.5,39.23,43.15,6947804,
300881.SZ,盛德鑫泰,2020-10-13,42.78,42.85,41.01,42.03,6183826,
300881.SZ,盛德鑫泰,2020-10-14,41.81,46,41.75,44.44,8492335,
300881.SZ,盛德鑫泰,2020-10-15,43.6,44.45,41.08,42.8,6308054,
300881.SZ,盛德鑫泰,2020-10-16,42.51,43.43,40.92,41.95,4590664,
300881.SZ,盛德鑫泰,2020-10-19,41.9,42.57,40.08,40.6,3513387,
300881.SZ,盛德鑫泰,2020-10-20,40.06,45.29,40.01,43.88,7216559,
300881.SZ,盛德鑫泰,2020-10-21,44.99,51.5,43.7,49.99,12271657,
300881.SZ,盛德鑫泰,2020-10-22,47,51.6,46.78,47.87,10953720,
300881.SZ,盛德鑫泰,2020-10-23,48.41,50.5,46.1,49,8891691,
300881.SZ,盛德鑫泰,2020-10-26,48.2,54.09,48.2,54.03,10772787,
300881.SZ,盛德鑫泰,2020-10-27,52.7,53.68,49.1,50.15,7633831,
300881.SZ,盛德鑫泰,2020-10-28,49.69,51.13,47.51,51.09,6438408,
300881.SZ,盛德鑫泰,2020-10-29,49.3,50,46.18,46.31,5545993,
300881.SZ,盛德鑫泰,2020-10-30,45.88,47.68,44.13,44.44,4964851,
300881.SZ,盛德鑫泰,2020-11-02,44.24,46.8,44.24,46.5,4072727,
300881.SZ,盛德鑫泰,2020-11-03,46.51,47.3,45.7,46.18,3532447,
300881.SZ,盛德鑫泰,2020-11-04,46.72,48,45.15,46.04,3400937,
300881.SZ,盛德鑫泰,2020-11-05,46.6,49.94,46.6,49.6,7617109,
300881.SZ,盛德鑫泰,2020-11-06,49,49.84,46.35,47.21,4786612,
300881.SZ,盛德鑫泰,2020-11-09,47.61,49.15,45.08,47.23,4446617,
300881.SZ,盛德鑫泰,2020-11-10,47.56,47.6,43.74,44.03,4976718,
300881.SZ,盛德鑫泰,2020-11-11,43.54,45.8,43.04,44.18,3885276,
300881.SZ,盛德鑫泰,2020-11-12,43.5,43.93,40.18,40.36,4255601,
300881.SZ,盛德鑫泰,2020-11-13,40.02,41.49,39.5,40.4,2245960,
300881.SZ,盛德鑫泰,2020-11-16,40.71,44.2,40.18,43.95,4664880,
300881.SZ,盛德鑫泰,2020-11-17,43.67,44.5,41.84,42.73,3919355,
300881.SZ,盛德鑫泰,2020-11-18,42.7,43.8,42.1,42.86,2749155,
300881.SZ,盛德鑫泰,2020-11-19,42.36,42.4,41.12,41.41,2540550,
300881.SZ,盛德鑫泰,2020-11-20,41.41,42.31,40.62,41.32,2160106,
300881.SZ,盛德鑫泰,2020-11-23,41.91,44.09,41.79,42.78,3785022,
300881.SZ,盛德鑫泰,2020-11-24,41.9,43.38,40.91,41.4,3480907,
300881.SZ,盛德鑫泰,2020-11-25,41.07,41.5,38.86,38.87,3722530,
300881.SZ,盛德鑫泰,2020-11-26,38.87,39.37,38.5,39.22,1869675,
300881.SZ,盛德鑫泰,2020-11-27,38.91,42.27,38.9,40.4,4866720,
300881.SZ,盛德鑫泰,2020-11-30,40.02,40.58,39.1,39.16,2657389,
300881.SZ,盛德鑫泰,2020-12-01,39.1,39.94,38.66,39.75,1906730,
300881.SZ,盛德鑫泰,2020-12-02,39.83,40.79,39.8,40.11,2203400,
300881.SZ,盛德鑫泰,2020-12-03,39.34,40.45,39.34,39.66,1927600,
300881.SZ,盛德鑫泰,2020-12-04,40.18,40.44,38.86,38.95,1518375,
300881.SZ,盛德鑫泰,2020-12-07,38.95,39.91,38.8,38.89,1096200,
300881.SZ,盛德鑫泰,2020-12-08,38.85,39.65,37.77,39.59,2006717,
300881.SZ,盛德鑫泰,2020-12-09,39.21,39.95,38.64,38.88,1741312,
300881.SZ,盛德鑫泰,2020-12-10,38.88,46.66,38.7,46.46,12695356,
300881.SZ,盛德鑫泰,2020-12-11,44.19,45.49,42.38,43.32,8995830,
300881.SZ,盛德鑫泰,2020-12-14,43,43.19,40.72,41.8,6226296,
300881.SZ,盛德鑫泰,2020-12-15,41.28,41.79,40.25,41.7,4740067,
300881.SZ,盛德鑫泰,2020-12-16,41.31,41.47,38.36,38.5,5299932,
300881.SZ,盛德鑫泰,2020-12-17,37.45,39.35,36,38.84,5119407,
300881.SZ,盛德鑫泰,2020-12-18,38.25,40.01,37.6,37.6,3709098,
300881.SZ,盛德鑫泰,2020-12-21,37.61,38.5,37.36,37.66,3329637,
300881.SZ,盛德鑫泰,2020-12-22,36.99,37.36,34.95,34.95,4250441,
300881.SZ,盛德鑫泰,2020-12-23,34.61,35.46,33.97,34.32,2623134,
300881.SZ,盛德鑫泰,2020-12-24,34.01,35.5,33.84,34.11,2594598,
300881.SZ,盛德鑫泰,2020-12-25,33.86,35.98,33.31,34.77,3238030,
300881.SZ,盛德鑫泰,2020-12-28,34.5,34.97,33.42,34.21,2660032,
300881.SZ,盛德鑫泰,2020-12-29,33.71,34.65,33.6,33.99,2008332,
300881.SZ,盛德鑫泰,2020-12-30,33.6,35.15,33.51,33.98,2073692,
300881.SZ,盛德鑫泰,2020-12-31,33.75,34.68,33.53,34.61,2111137,
300881.SZ,盛德鑫泰,2021-01-04,34.6,36.03,34.52,35.6,2610272,
300881.SZ,盛德鑫泰,2021-01-05,35.45,36.43,35.01,35.1,2565058,
300881.SZ,盛德鑫泰,2021-01-06,34.96,35.1,32.89,33.01,3166368,
300881.SZ,盛德鑫泰,2021-01-07,32.9,35.5,31.76,33.57,4533268,
300881.SZ,盛德鑫泰,2021-01-08,32.34,33.19,30,30.9,3647899,
300881.SZ,盛德鑫泰,2021-01-11,30.88,31.34,28.16,28.53,3529375,
300881.SZ,盛德鑫泰,2021-01-12,28.31,29.88,28.29,28.72,2435853,
300881.SZ,盛德鑫泰,2021-01-13,28.76,29.19,27.02,27.12,2727882,
300881.SZ,盛德鑫泰,2021-01-14,26.78,28.6,26.6,28.16,3075361,
300881.SZ,盛德鑫泰,2021-01-15,28.18,32.15,28.15,30.99,4475141,
