代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
300706.SZ,阿石创,2017-09-26,11.96,14.36,11.96,14.36,5700,
300706.SZ,阿石创,2017-09-27,15.8,15.8,15.8,15.8,2000,
300706.SZ,阿石创,2017-09-28,17.38,17.38,17.38,17.38,2000,
300706.SZ,阿石创,2017-09-29,19.12,19.12,19.12,19.12,4500,
300706.SZ,阿石创,2017-10-09,21.03,21.03,21.03,21.03,5200,
300706.SZ,阿石创,2017-10-10,23.13,23.13,23.13,23.13,6600,
300706.SZ,阿石创,2017-10-11,25.44,25.44,25.44,25.44,10700,
300706.SZ,阿石创,2017-10-12,27.98,27.98,27.98,27.98,12300,
300706.SZ,阿石创,2017-10-13,30.78,30.78,30.78,30.78,38833,
300706.SZ,阿石创,2017-10-16,33.86,33.86,33.86,33.86,46465,
300706.SZ,阿石创,2017-10-17,37.25,37.25,37.25,37.25,75600,
300706.SZ,阿石创,2017-10-18,40.98,40.98,40.98,40.98,65042,
300706.SZ,阿石创,2017-10-19,45.08,45.08,45.08,45.08,72700,
300706.SZ,阿石创,2017-10-20,49.59,49.59,49.59,49.59,326499,
300706.SZ,阿石创,2017-10-23,54.55,54.55,54.55,54.55,337369,
300706.SZ,阿石创,2017-10-24,60.01,60.01,60.01,60.01,313069,
300706.SZ,阿石创,2017-10-25,66.01,66.01,66.01,66.01,191224,
300706.SZ,阿石创,2017-10-26,72.61,72.61,72.61,72.61,218300,
300706.SZ,阿石创,2017-10-27,79.87,79.87,79.87,79.87,877427,
300706.SZ,阿石创,2017-10-30,78.97,80.1,72.88,74.5,13593885,
300706.SZ,阿石创,2017-10-31,77,80,74,78.8,10659215,
300706.SZ,阿石创,2017-11-01,77.2,86.6,77.2,82.3,10007083,
300706.SZ,阿石创,2017-11-02,80,85.85,78.88,78.88,8759138,
300706.SZ,阿石创,2017-11-03,78.5,86.77,78.5,86.77,9019834,
300706.SZ,阿石创,2017-11-06,91.28,95.45,91.11,95.45,4103762,
300706.SZ,阿石创,2017-11-07,100.3,105,98.7,105,9995416,
300706.SZ,阿石创,2017-11-08,108.99,115.5,108.15,113.04,9469803,
300706.SZ,阿石创,2017-11-09,113.33,116.93,110.12,116.7,8507751,
300706.SZ,阿石创,2017-11-10,115,119.18,110.8,113.5,7390606,
300706.SZ,阿石创,2017-11-13,115.28,123.55,110,119.87,8035854,
300706.SZ,阿石创,2017-11-14,116,119.77,108.2,109.88,8390887,
300706.SZ,阿石创,2017-11-15,107.5,112.4,105,111,6880775,
300706.SZ,阿石创,2017-11-16,105,107.16,99.9,99.9,6414140,
300706.SZ,阿石创,2017-11-17,100.86,104.29,95.18,96.85,5988140,
300706.SZ,阿石创,2017-11-20,97.66,102.49,97.55,102,5816137,
300706.SZ,阿石创,2017-11-21,99.93,99.94,91.8,95.91,7702021,
300706.SZ,阿石创,2017-11-22,94,105.5,92.55,103.38,9270038,
300706.SZ,阿石创,2017-11-23,99.95,101,95,96.2,6119527,
