¥˙¬Î,ºÚ≥∆,»’∆⁄,ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),
920062.BJ,ø∆»Û÷«øÿ,2022-07-13,4.11,4.29,4.11,4.25,9374910,
920062.BJ,ø∆»Û÷«øÿ,2022-07-14,4.24,4.24,4.15,4.19,3021765,
920062.BJ,ø∆»Û÷«øÿ,2022-07-15,4.19,4.19,4.15,4.16,1142942,
920062.BJ,ø∆»Û÷«øÿ,2022-07-18,4.2,4.2,4.11,4.14,2072250,
920062.BJ,ø∆»Û÷«øÿ,2022-07-19,4.24,4.34,4.22,4.31,4172173,
920062.BJ,ø∆»Û÷«øÿ,2022-07-20,4.31,4.34,4.26,4.3,3064051,
920062.BJ,ø∆»Û÷«øÿ,2022-07-21,4.31,4.31,4.28,4.29,1469824,
920062.BJ,ø∆»Û÷«øÿ,2022-07-22,4.29,4.32,4.27,4.29,1407991,
920062.BJ,ø∆»Û÷«øÿ,2022-07-25,4.31,4.31,4.24,4.28,1144350,
920062.BJ,ø∆»Û÷«øÿ,2022-07-26,4.26,4.55,4.24,4.49,5397613,
920062.BJ,ø∆»Û÷«øÿ,2022-07-27,4.5,5.5,4.46,5.15,10283729,
920062.BJ,ø∆»Û÷«øÿ,2022-07-28,5.19,5.54,4.89,5.4,8676338,
920062.BJ,ø∆»Û÷«øÿ,2022-07-29,5.31,5.47,5.21,5.23,5131341,
920062.BJ,ø∆»Û÷«øÿ,2022-08-01,5.1,5.22,4.91,5.03,3570121,
920062.BJ,ø∆»Û÷«øÿ,2022-08-02,4.98,5.49,4.81,5.26,5752939,
920062.BJ,ø∆»Û÷«øÿ,2022-08-03,5.21,5.38,5.12,5.25,3221139,
920062.BJ,ø∆»Û÷«øÿ,2022-08-04,5.25,5.64,5.17,5.37,4127089,
920062.BJ,ø∆»Û÷«øÿ,2022-08-05,5.37,5.68,5.31,5.49,3470572,
920062.BJ,ø∆»Û÷«øÿ,2022-08-08,5.51,5.61,5.38,5.5,2708951,
920062.BJ,ø∆»Û÷«øÿ,2022-08-09,5.45,5.5,5.39,5.46,2181760,
920062.BJ,ø∆»Û÷«øÿ,2022-08-10,5.53,6.37,5.4,6.26,6988657,
920062.BJ,ø∆»Û÷«øÿ,2022-08-11,6.05,6.72,6.05,6.39,4891723,
920062.BJ,ø∆»Û÷«øÿ,2022-08-12,6.49,6.51,6.21,6.24,2762396,
920062.BJ,ø∆»Û÷«øÿ,2022-08-15,6.4,6.4,6.16,6.31,1788419,
920062.BJ,ø∆»Û÷«øÿ,2022-08-16,6.28,6.49,6.22,6.4,2875948,
920062.BJ,ø∆»Û÷«øÿ,2022-08-17,6.46,6.68,6.36,6.62,2396727,
920062.BJ,ø∆»Û÷«øÿ,2022-08-18,6.52,7.68,6.52,7.38,5196386,
920062.BJ,ø∆»Û÷«øÿ,2022-08-19,7.47,7.47,7,7.05,3672776,
920062.BJ,ø∆»Û÷«øÿ,2022-08-22,7.02,7.23,6.76,6.86,2766364,
920062.BJ,ø∆»Û÷«øÿ,2022-08-23,6.87,7.18,6.84,7.05,2024785,
920062.BJ,ø∆»Û÷«øÿ,2022-08-24,6.99,7.13,6.8,6.97,1714957,
920062.BJ,ø∆»Û÷«øÿ,2022-08-25,7.02,7.02,6.17,6.21,4221764,
920062.BJ,ø∆»Û÷«øÿ,2022-08-26,6.4,6.69,5.93,5.99,3048618,
920062.BJ,ø∆»Û÷«øÿ,2022-08-29,5.83,6.13,5.58,6.08,2203933,
920062.BJ,ø∆»Û÷«øÿ,2022-08-30,6.06,6.1,5.8,5.82,1454038,
920062.BJ,ø∆»Û÷«øÿ,2022-08-31,5.82,6.08,5.82,5.87,1573037,
920062.BJ,ø∆»Û÷«øÿ,2022-09-01,5.88,5.95,5.7,5.8,769507,
920062.BJ,ø∆»Û÷«øÿ,2022-09-02,5.78,5.99,5.78,5.82,647948,
920062.BJ,ø∆»Û÷«øÿ,2022-09-05,5.97,6.13,5.86,6.06,1362942,
920062.BJ,ø∆»Û÷«øÿ,2022-09-06,6.08,6.23,6.08,6.2,902052,
920062.BJ,ø∆»Û÷«øÿ,2022-09-07,6.18,6.32,6.09,6.22,967721,
920062.BJ,ø∆»Û÷«øÿ,2022-09-08,6.27,6.27,5.96,5.99,930216,
920062.BJ,ø∆»Û÷«øÿ,2022-09-09,6,6,5.82,5.83,1088975,
920062.BJ,ø∆»Û÷«øÿ,2022-09-13,5.83,5.97,5.61,5.69,1051103,
920062.BJ,ø∆»Û÷«øÿ,2022-09-14,5.58,5.75,5.53,5.59,890459,
920062.BJ,ø∆»Û÷«øÿ,2022-09-15,5.7,5.7,5.18,5.26,2122341,
920062.BJ,ø∆»Û÷«øÿ,2022-09-16,5.26,6.08,5.23,5.75,3607881,
920062.BJ,ø∆»Û÷«øÿ,2022-09-19,5.68,6.08,5.67,6.08,3579472,
920062.BJ,ø∆»Û÷«øÿ,2022-09-20,6.15,7.03,6.01,6.76,5564212,
920062.BJ,ø∆»Û÷«øÿ,2022-09-21,6.41,7.58,6.41,7.15,8948245,
920062.BJ,ø∆»Û÷«øÿ,2022-09-22,7.15,7.2514,6.6226,6.6226,4772481,
920062.BJ,ø∆»Û÷«øÿ,2022-09-23,6.5415,6.5415,5.9127,5.9127,4912838,
920062.BJ,ø∆»Û÷«øÿ,2022-09-26,5.8011,6.3488,5.6896,6.2575,3970395,
920062.BJ,ø∆»Û÷«øÿ,2022-09-27,6.146,6.5212,6.0141,6.2169,2913525,
920062.BJ,ø∆»Û÷«øÿ,2022-09-28,6.2981,6.5415,5.9127,5.9533,1956540,
920062.BJ,ø∆»Û÷«øÿ,2022-09-29,6.0445,6.146,5.6389,5.6693,2399110,
920062.BJ,ø∆»Û÷«øÿ,2022-09-30,5.8113,5.8113,5.5172,5.6084,1364522,
920062.BJ,ø∆»Û÷«øÿ,2022-10-10,5.6084,5.6794,5.436,5.4969,927764,
920062.BJ,ø∆»Û÷«øÿ,2022-10-11,5.4969,5.8011,5.4766,5.7099,1616832,
920062.BJ,ø∆»Û÷«øÿ,2022-10-12,5.8823,5.9026,5.6186,5.7707,1664111,
920062.BJ,ø∆»Û÷«øÿ,2022-10-13,5.6997,5.8518,5.6693,5.7403,1457866,
920062.BJ,ø∆»Û÷«øÿ,2022-10-14,5.7808,5.933,5.7606,5.8721,1699798,
920062.BJ,ø∆»Û÷«øÿ,2022-10-17,5.8316,5.933,5.8316,5.8823,1119510,
920062.BJ,ø∆»Û÷«øÿ,2022-10-18,5.933,6.2677,5.8113,6.1764,2757473,
920062.BJ,ø∆»Û÷«øÿ,2022-10-19,6.2677,6.4604,6.0851,6.1054,2132693,
920062.BJ,ø∆»Û÷«øÿ,2022-10-20,6.1054,6.3589,5.9938,6.0851,1650882,
920062.BJ,ø∆»Û÷«øÿ,2022-10-21,6.0344,6.2372,6.0344,6.146,1037870,
920062.BJ,ø∆»Û÷«øÿ,2022-10-24,6.2372,6.2372,5.9837,5.9837,973655,
920062.BJ,ø∆»Û÷«øÿ,2022-10-25,5.8823,6.0547,5.8823,5.9634,642644,
920062.BJ,ø∆»Û÷«øÿ,2022-10-26,6.0243,6.1358,5.9533,6.0344,1066491,
920062.BJ,ø∆»Û÷«øÿ,2022-10-27,6.075,6.075,5.9634,5.9938,655991,
920062.BJ,ø∆»Û÷«øÿ,2022-10-28,6.0547,6.0547,5.7808,5.7808,820741,
920062.BJ,ø∆»Û÷«øÿ,2022-10-31,5.8721,5.9228,5.7099,5.791,679190,
