╢ЗбК,╪РЁф,хуфз,©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),
601872.SH,упилбж╢╛,2015-01-05,7.3028,7.6505,7.2564,7.639,114626115,
601872.SH,упилбж╢╛,2015-01-06,7.9983,8.404,7.9288,8.404,100461909,
601872.SH,упилбж╢╛,2015-01-07,8.6822,8.8097,7.9751,8.091,193381115,
601872.SH,упилбж╢╛,2015-01-08,8.0331,8.2765,7.6274,7.6853,153967091,
601872.SH,упилбж╢╛,2015-01-09,7.5114,7.7896,7.2796,7.4999,132621232,
601872.SH,упилбж╢╛,2015-01-12,7.3492,7.4419,7.1289,7.326,77119630,
601872.SH,упилбж╢╛,2015-01-13,7.5578,7.6853,7.3028,7.3376,82847726,
601872.SH,упилбж╢╛,2015-01-14,7.2101,7.326,6.955,7.0941,84043725,
601872.SH,упилбж╢╛,2015-01-15,6.9898,7.3028,6.955,7.3028,68111282,
601872.SH,упилбж╢╛,2015-01-16,7.3839,7.4303,7.1173,7.2332,62763020,
601872.SH,упилбж╢╛,2015-01-19,6.7812,6.8971,6.5146,6.5146,81311886,
601872.SH,упилбж╢╛,2015-01-20,6.445,6.7348,6.4334,6.5841,88638233,
601872.SH,упилбж╢╛,2015-01-21,6.7,7.0594,6.6073,6.8971,107497934,
601872.SH,упилбж╢╛,2015-01-22,6.8275,6.8971,6.7232,6.8971,67938194,
601872.SH,упилбж╢╛,2015-01-23,6.9203,7.0941,6.7348,6.8623,75879769,
601872.SH,упилбж╢╛,2015-01-26,6.8391,7.0014,6.6768,6.9666,61857374,
601872.SH,упилбж╢╛,2015-01-27,6.9435,6.9666,6.758,6.8855,50286367,
601872.SH,упилбж╢╛,2015-01-28,6.8275,6.8391,6.7,6.7232,47084825,
601872.SH,упилбж╢╛,2015-01-29,6.6189,6.8623,6.5841,6.8044,46694404,
601872.SH,упилбж╢╛,2015-01-30,6.8275,6.8623,6.6305,6.6653,32502191,
601872.SH,упилбж╢╛,2015-02-02,6.5261,6.9087,6.2943,6.7348,77118192,
601872.SH,упилбж╢╛,2015-02-03,6.6305,6.7812,6.6073,6.758,33880235,
601872.SH,упилбж╢╛,2015-02-04,6.8159,6.955,6.5725,6.6421,59153581,
601872.SH,упилбж╢╛,2015-02-05,6.7232,6.9319,6.5493,6.7928,104311164,
601872.SH,упилбж╢╛,2015-02-06,6.6653,6.7116,6.2595,6.3523,68069923,
601872.SH,упилбж╢╛,2015-02-09,6.2711,6.2943,5.9234,6.0161,56168503,
601872.SH,упилбж╢╛,2015-02-10,5.9813,6.2016,5.9813,6.132,32897330,
601872.SH,упилбж╢╛,2015-02-11,6.2595,6.3639,6.1204,6.1784,28061323,
601872.SH,упилбж╢╛,2015-02-12,6.1436,6.19,6.0045,6.1436,34931792,
601872.SH,упилбж╢╛,2015-02-13,6.1436,6.3639,6.1088,6.2364,44491204,
601872.SH,упилбж╢╛,2015-02-16,6.2016,6.3291,6.1436,6.2595,29193199,
601872.SH,упилбж╢╛,2015-02-17,6.2943,6.6073,6.2595,6.5261,69152334,
601872.SH,упилбж╢╛,2015-02-25,6.5261,6.5261,6.387,6.4218,30990285,
601872.SH,упилбж╢╛,2015-02-26,6.4218,6.7812,6.3523,6.7696,72015469,
601872.SH,упилбж╢╛,2015-02-27,6.7812,6.8044,6.6653,6.7,40158212,
601872.SH,упилбж╢╛,2015-03-02,6.7232,6.758,6.5841,6.7232,41168611,
601872.SH,упилбж╢╛,2015-03-03,6.7116,6.8739,6.5261,6.7,77670523,
601872.SH,упилбж╢╛,2015-03-04,6.6073,6.7348,6.5493,6.6653,41228460,
601872.SH,упилбж╢╛,2015-03-05,6.6189,6.6421,6.387,6.4682,46437007,
601872.SH,упилбж╢╛,2015-03-06,6.4566,6.8159,6.3755,6.6189,56999634,
601872.SH,упилбж╢╛,2015-03-09,6.6189,6.758,6.4102,6.7348,64347651,
601872.SH,упилбж╢╛,2015-03-10,6.6884,6.8507,6.6653,6.7464,58943032,
601872.SH,упилбж╢╛,2015-03-11,6.7696,7.0478,6.7232,6.9666,104257917,
601872.SH,упилбж╢╛,2015-03-12,6.9319,6.9435,6.7464,6.8623,64131302,
601872.SH,упилбж╢╛,2015-03-13,6.8623,7.268,6.8623,7.1057,95717780,
601872.SH,упилбж╢╛,2015-03-16,7.3144,7.4187,7.1521,7.2448,90194201,
601872.SH,упилбж╢╛,2015-03-17,7.2796,7.9751,7.1869,7.9751,114700295,
601872.SH,упилбж╢╛,2015-03-18,8.4504,8.7286,8.2301,8.2997,322448448,
601872.SH,упилбж╢╛,2015-03-19,8.1142,8.1838,7.8824,8.0331,170569903,
601872.SH,упилбж╢╛,2015-03-20,8.0331,8.2185,7.8592,8.0215,134008500,
601872.SH,упилбж╢╛,2015-03-23,7.9867,8.2185,7.9056,8.091,127459832,
601872.SH,упилбж╢╛,2015-03-24,8.091,8.1722,7.6505,8.0679,147040239,
601872.SH,упилбж╢╛,2015-03-25,8.0563,8.0563,7.8012,7.9519,91858691,
601872.SH,упилбж╢╛,2015-03-26,7.8708,8.1026,7.7085,7.9288,92341483,
601872.SH,упилбж╢╛,2015-03-27,7.8824,7.9867,7.8128,7.8824,56100356,
601872.SH,упилбж╢╛,2015-03-30,8.0099,8.2301,7.9519,8.1258,131201601,
601872.SH,упилбж╢╛,2015-03-31,8.149,8.2765,7.7665,7.8592,104000431,
601872.SH,упилбж╢╛,2015-04-01,7.836,8.0215,7.8244,7.9403,69845986,
601872.SH,упилбж╢╛,2015-04-02,7.8824,8.0331,7.8824,7.9635,68733649,
601872.SH,упилбж╢╛,2015-04-03,8.1374,8.3345,7.9751,8.207,144770336,
601872.SH,упилбж╢╛,2015-04-07,8.2301,8.8097,8.1026,8.6706,214193627,
601872.SH,упилбж╢╛,2015-04-08,8.6011,8.7518,8.3692,8.6011,164689125,
601872.SH,упилбж╢╛,2015-04-09,8.6011,9.2502,8.3808,9.1575,237738023,
601872.SH,упилбж╢╛,2015-04-10,8.972,10.0037,8.8445,9.4357,224869804,
601872.SH,упилбж╢╛,2015-04-13,9.4589,9.54,9.2386,9.4705,132134474,
601872.SH,упилбж╢╛,2015-04-14,9.4589,9.7255,9.1691,9.3082,138310381,
601872.SH,упилбж╢╛,2015-04-15,9.2734,9.7255,8.9372,9.2502,164507566,
601872.SH,упилбж╢╛,2015-04-16,9.0068,9.5864,8.8793,9.2734,115433875,
601872.SH,упилбж╢╛,2015-04-17,9.5052,10.2007,9.482,10.2007,300276620,
601872.SH,упилбж╢╛,2015-04-20,10.2007,11.1744,9.9805,10.7108,411613875,
601872.SH,упилбж╢╛,2015-04-21,10.7224,11.4526,10.0848,10.4442,245603378,
601872.SH,упилбж╢╛,2015-04-22,10.2587,11.0006,10.0848,10.5369,231035357,
601872.SH,упилбж╢╛,2015-04-23,10.6412,10.7108,10.2471,10.3398,138994247,
601872.SH,упилбж╢╛,2015-04-24,10.2007,10.9542,10.0964,10.6064,221303343,
601872.SH,упилбж╢╛,2015-04-27,10.7919,11.6729,10.6644,11.6729,350238210,
601872.SH,упилбж╢╛,2015-04-28,11.6729,12.8436,11.3599,12.8436,397200794,
601872.SH,упилбж╢╛,2015-04-29,12.9364,13.2725,11.557,12.0554,321227127,
601872.SH,упилбж╢╛,2015-04-30,11.8584,12.4611,11.5338,11.9047,213694139,
601872.SH,упилбж╢╛,2015-05-04,11.6033,12.0902,11.3599,11.6149,161583737,
601872.SH,упилбж╢╛,2015-05-05,11.6149,11.9279,10.9078,11.0237,163633149,
601872.SH,упилбж╢╛,2015-05-06,11.0122,11.186,9.9805,10.4094,169313730,
601872.SH,упилбж╢╛,2015-05-07,10.2355,10.2471,9.6211,9.7255,126258420,
601872.SH,упилбж╢╛,2015-05-08,9.8066,9.9805,9.6327,9.9457,111437937,
601872.SH,упилбж╢╛,2015-05-11,10.1312,10.2819,9.7487,10.2355,131150006,
601872.SH,упилбж╢╛,2015-05-12,10.2239,11.0122,10.0732,10.9426,174345845,
601872.SH,упилбж╢╛,2015-05-13,10.8846,10.8962,10.3282,10.5369,131868638,
601872.SH,упилбж╢╛,2015-05-14,10.5369,10.6412,10.2355,10.3514,93108543,
601872.SH,упилбж╢╛,2015-05-15,10.3282,10.3282,9.853,9.9921,86953155,
601872.SH,упилбж╢╛,2015-05-18,9.8762,10.421,9.7718,10.0848,88284578,
601872.SH,упилбж╢╛,2015-05-19,10.0153,10.421,9.9457,10.3978,91435205,
601872.SH,упилбж╢╛,2015-05-20,10.7224,11.244,10.4557,10.8499,181246460,
601872.SH,упилбж╢╛,2015-05-21,11.2208,11.9395,11.0122,11.9395,168814256,
601872.SH,упилбж╢╛,2015-05-22,12.7509,12.8089,11.5917,11.6729,315215685,
601872.SH,упилбж╢╛,2015-05-25,11.5106,11.9395,11.1744,11.8468,193501180,
601872.SH,упилбж╢╛,2015-05-26,11.8584,11.9627,11.4526,11.812,176554341,
601872.SH,упилбж╢╛,2015-05-27,11.8236,11.8815,11.4295,11.499,160835030,
601872.SH,упилбж╢╛,2015-05-28,11.499,11.7772,10.9194,10.9774,193812515,
601872.SH,упилбж╢╛,2015-05-29,10.8962,11.1281,10.0037,10.4905,142166226,
601872.SH,упилбж╢╛,2015-06-01,10.4905,11.0585,10.4673,11.0469,105002918,
601872.SH,упилбж╢╛,2015-06-02,11.0701,11.2788,10.7571,11.1744,115195791,
601872.SH,упилбж╢╛,2015-06-03,11.3251,11.3367,10.8151,11.0701,109004311,
601872.SH,упилбж╢╛,2015-06-04,11.0122,11.0122,10.108,10.9542,104198523,
601872.SH,упилбж╢╛,2015-06-05,11.0354,11.4648,10.9774,11.4184,149511847,
601872.SH,упилбж╢╛,2015-06-08,11.4648,12.3931,11.4184,11.9753,255011683,
601872.SH,упилбж╢╛,2015-06-09,11.7665,11.8593,11.3951,11.546,145945017,
601872.SH,упилбж╢╛,2015-06-10,11.4532,11.6272,11.1283,11.4996,105944856,
601872.SH,упилбж╢╛,2015-06-11,11.4996,11.8941,11.3835,11.7085,120587683,
601872.SH,упилбж╢╛,2015-06-12,11.8129,12.1842,11.546,12.0566,236980746,
601872.SH,упилбж╢╛,2015-06-15,12.1726,12.9849,12.0102,12.3583,277261630,
601872.SH,упилбж╢╛,2015-06-16,12.0102,12.1262,11.3835,11.4764,149791594,
601872.SH,упилбж╢╛,2015-06-17,11.3951,11.9057,10.7801,11.8245,120286055,
601872.SH,упилбж╢╛,2015-06-18,11.8709,12.4047,11.5808,11.6736,169188134,
601872.SH,упилбж╢╛,2015-06-19,11.1167,11.43,10.5016,10.5016,108748104,
601872.SH,упилбж╢╛,2015-06-23,10.5016,11.0818,9.5153,10.989,104079890,
601872.SH,упилбж╢╛,2015-06-24,11.0586,11.7201,11.0006,11.6969,149963968,
601872.SH,упилбж╢╛,2015-06-25,11.9289,12.8689,11.7201,12.6136,425473323,
601872.SH,упилбж╢╛,2015-06-26,11.8361,12.8805,11.3487,11.8013,409207339,
601872.SH,упилбж╢╛,2015-06-29,12.0798,12.9849,11.8129,12.9849,527578978,
601872.SH,упилбж╢╛,2015-06-30,13.2866,14.2845,11.6852,13.9248,603978798,
601872.SH,упилбж╢╛,2015-07-01,13.0545,14.8415,12.9965,13.4259,467396940,
601872.SH,упилбж╢╛,2015-07-02,13.4723,13.6695,12.0798,12.0798,280745779,
601872.SH,упилбж╢╛,2015-07-03,10.873,11.546,10.873,10.873,143150647,
601872.SH,упилбж╢╛,2015-07-06,11.8245,11.8245,9.7822,9.7822,211159096,
601872.SH,упилбж╢╛,2015-07-07,8.8075,8.8075,8.8075,8.8075,23351800,
601872.SH,упилбж╢╛,2015-07-08,7.9255,7.9255,7.9255,7.9255,5271800,
601872.SH,упилбж╢╛,2015-07-09,7.1365,8.7146,7.1365,8.7146,380597818,
