´תֲכ,¼ע³ֶ,ָױֶÚ,¿×ֵּ¼Û(װ×),׳מ¸ß¼Û(װ×),׳מµֽ¼Û(װ×),Êױֵּ¼Û(װ×),³ֹ½»ֱ¿(¹ֹ),
301487.SZ,ֳֻ¹ְּû,2023-08-09,22.51,202.15,20.4,98.02,45700655,
301487.SZ,ֳֻ¹ְּû,2023-08-10,45.1,71.2,45.1,49.6,44834470,
301487.SZ,ֳֻ¹ְּû,2023-08-11,46.99,56.29,46.02,51.97,33200578,
301487.SZ,ֳֻ¹ְּû,2023-08-14,49.74,54,47.48,49.44,25467576,
301487.SZ,ֳֻ¹ְּû,2023-08-15,47.88,48.72,42.18,42.42,26440325,
301487.SZ,ֳֻ¹ְּû,2023-08-16,42.42,50.9,42.42,50.9,30230812,
301487.SZ,ֳֻ¹ְּû,2023-08-17,53,61.08,50.05,61.08,37443248,
301487.SZ,ֳֻ¹ְּû,2023-08-18,68,73.3,65.2,73.3,22949383,
301487.SZ,ֳֻ¹ְּû,2023-08-21,75,86.77,69.69,79.62,38420660,
301487.SZ,ֳֻ¹ְּû,2023-08-22,77.56,80.3,73.33,75.8,30628037,
301487.SZ,ֳֻ¹ְּû,2023-08-23,74,78.88,72.51,75.42,26760446,
301487.SZ,ֳֻ¹ְּû,2023-08-24,70,76.86,65.52,70.5,24042729,
301487.SZ,ֳֻ¹ְּû,2023-08-25,68.02,74.18,66.17,66.17,20208669,
301487.SZ,ֳֻ¹ְּû,2023-08-28,72,74.5,64.69,66.67,20701992,
301487.SZ,ֳֻ¹ְּû,2023-08-29,63.09,80,63.09,78.01,34616468,
301487.SZ,ֳֻ¹ְּû,2023-08-30,74.11,77.88,68.62,70.36,29854318,
301487.SZ,ֳֻ¹ְּû,2023-08-31,69.02,71.85,66.84,67.33,18417629,
301487.SZ,ֳֻ¹ְּû,2023-09-01,67.77,68.68,65.66,65.83,14180812,
301487.SZ,ֳֻ¹ְּû,2023-09-04,65.85,67.8,63.86,67.28,13048537,
301487.SZ,ֳֻ¹ְּû,2023-09-05,66.99,67.5,60.88,61.06,19000471,
301487.SZ,ֳֻ¹ְּû,2023-09-06,60.71,61,56.48,59.11,15040898,
301487.SZ,ֳֻ¹ְּû,2023-09-07,58.11,59.57,56.26,56.56,11245479,
301487.SZ,ֳֻ¹ְּû,2023-09-08,57.2,63.02,56.89,59.81,19103880,
301487.SZ,ֳֻ¹ְּû,2023-09-11,58.2,58.55,55.2,55.95,14611475,
301487.SZ,ֳֻ¹ְּû,2023-09-12,55.99,61,55,56.87,15231485,
301487.SZ,ֳֻ¹ְּû,2023-09-13,56,60.5,56,58.88,16348621,
301487.SZ,ֳֻ¹ְּû,2023-09-14,57.5,57.87,54.57,54.62,13546048,
301487.SZ,ֳֻ¹ְּû,2023-09-15,54.63,55.23,51.17,51.84,11150395,
301487.SZ,ֳֻ¹ְּû,2023-09-18,51.93,59.46,51.93,55.94,20883565,
301487.SZ,ֳֻ¹ְּû,2023-09-19,55,57.61,54.04,56.45,15548153,
301487.SZ,ֳֻ¹ְּû,2023-09-20,55.32,57.22,55,55.1,9641211,
301487.SZ,ֳֻ¹ְּû,2023-09-21,54.1,55.65,53,53.62,8866884,
301487.SZ,ֳֻ¹ְּû,2023-09-22,53.75,54.66,52.2,53.9,8028614,
301487.SZ,ֳֻ¹ְּû,2023-09-25,54.23,54.99,52.1,52.8,8643812,
301487.SZ,ֳֻ¹ְּû,2023-09-26,52.75,53,51.09,51.18,8179211,
301487.SZ,ֳֻ¹ְּû,2023-09-27,51.65,52.54,50.19,50.43,8130596,
301487.SZ,ֳֻ¹ְּû,2023-09-28,50.43,51.39,49.62,50.46,7291072,
301487.SZ,ֳֻ¹ְּû,2023-10-09,50.6,50.76,48.88,49.3,6225516,
301487.SZ,ֳֻ¹ְּû,2023-10-10,49.77,52.01,49.19,49.81,8906306,
301487.SZ,ֳֻ¹ְּû,2023-10-11,49.19,50.49,48.56,49.87,7253679,
301487.SZ,ֳֻ¹ְּû,2023-10-12,49.7,52.98,49.7,51.73,14214413,
301487.SZ,ֳֻ¹ְּû,2023-10-13,50.33,51.15,47.8,47.86,12912018,
301487.SZ,ֳֻ¹ְּû,2023-10-16,47.8,47.94,45.72,46.3,8456684,
301487.SZ,ֳֻ¹ְּû,2023-10-17,46.07,47.38,45.27,45.7,6428020,
301487.SZ,ֳֻ¹ְּû,2023-10-18,45.01,45.28,43.89,43.97,7156227,
301487.SZ,ֳֻ¹ְּû,2023-10-19,43.83,46.58,43.52,45.36,10111789,
301487.SZ,ֳֻ¹ְּû,2023-10-20,45.5,51.96,45.08,48.58,19067421,
301487.SZ,ֳֻ¹ְּû,2023-10-23,45.56,46.29,42.47,44.49,14267917,
301487.SZ,ֳֻ¹ְּû,2023-10-24,44,45,43.65,44.49,8897591,
301487.SZ,ֳֻ¹ְּû,2023-10-25,44.14,46.6,43.7,44.99,10479142,
301487.SZ,ֳֻ¹ְּû,2023-10-26,44.01,44.45,42.59,44.4,9260410,
301487.SZ,ֳֻ¹ְּû,2023-10-27,43.85,53.28,43.81,49.35,25629078,
301487.SZ,ֳֻ¹ְּû,2023-10-30,46.02,49.97,45.7,48.77,17435046,
301487.SZ,ֳֻ¹ְּû,2023-10-31,47.6,49.49,47.12,47.89,10513449,
