代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
001314.SZ,亿道信息,2023-02-14,42,50.4,42,50.4,1515438,
001314.SZ,亿道信息,2023-02-15,55.44,55.44,55.44,55.44,262098,
001314.SZ,亿道信息,2023-02-16,60,60.98,58,60.98,21740856,
001314.SZ,亿道信息,2023-02-17,56,58.88,54.88,54.9,17587728,
001314.SZ,亿道信息,2023-02-20,52.05,53.49,50.48,52.4,13990175,
001314.SZ,亿道信息,2023-02-21,51.55,52.27,49.8,50.12,11320751,
001314.SZ,亿道信息,2023-02-22,49.1,49.82,48.86,49.21,6860882,
001314.SZ,亿道信息,2023-02-23,49.81,50.64,49.25,49.57,7244183,
001314.SZ,亿道信息,2023-02-24,49.02,50.76,48.01,50.02,7049514,
001314.SZ,亿道信息,2023-02-27,49.82,49.82,46.73,46.9,8342698,
001314.SZ,亿道信息,2023-02-28,46.94,47.36,46.41,47.19,4718390,
001314.SZ,亿道信息,2023-03-01,47,47.6,46.81,47.19,4443241,
001314.SZ,亿道信息,2023-03-02,47.28,47.44,46.35,46.35,4815966,
001314.SZ,亿道信息,2023-03-03,46.35,46.58,45.27,45.57,5428046,
001314.SZ,亿道信息,2023-03-06,46,46.97,45.74,46.49,5327308,
001314.SZ,亿道信息,2023-03-07,47,48.57,46.8,47.55,7921322,
001314.SZ,亿道信息,2023-03-08,46.98,47.16,45.8,46.75,4535289,
001314.SZ,亿道信息,2023-03-09,46.33,46.7,45.64,45.81,3629501,
001314.SZ,亿道信息,2023-03-10,45.2,45.2,43.88,43.91,4982334,
001314.SZ,亿道信息,2023-03-13,43.61,45.94,43.13,45.47,5154184,
001314.SZ,亿道信息,2023-03-14,45.01,45.05,43.78,43.78,3549445,
001314.SZ,亿道信息,2023-03-15,43.78,44.59,43.74,43.78,2281516,
001314.SZ,亿道信息,2023-03-16,43.5,44.6,43.3,43.71,2435891,
001314.SZ,亿道信息,2023-03-17,44.1,44.53,43.81,43.99,2511855,
001314.SZ,亿道信息,2023-03-20,44.01,45.89,43.4,45.56,5381470,
001314.SZ,亿道信息,2023-03-21,45,45.78,44.75,45.53,3388044,
001314.SZ,亿道信息,2023-03-22,46.36,47.45,46.06,46.16,7134614,
001314.SZ,亿道信息,2023-03-23,45.6,47,45.3,46.75,4561257,
001314.SZ,亿道信息,2023-03-24,46.54,48.66,46.22,47.9,6542414,
001314.SZ,亿道信息,2023-03-27,47.9,47.91,45.88,46.16,5355585,
001314.SZ,亿道信息,2023-03-28,46.2,46.57,45.6,45.6,3169880,
001314.SZ,亿道信息,2023-03-29,45.78,45.9,44.63,44.67,3106827,
001314.SZ,亿道信息,2023-03-30,44.7,45.89,44.66,44.98,2594626,
001314.SZ,亿道信息,2023-03-31,44.99,45.16,44.08,44.28,2794498,
001314.SZ,亿道信息,2023-04-03,44.15,44.78,44.13,44.71,2293087,
001314.SZ,亿道信息,2023-04-04,44.7,47.36,44.63,46.85,6781161,
001314.SZ,亿道信息,2023-04-06,46.41,47.5,46.35,46.85,4957923,
001314.SZ,亿道信息,2023-04-07,46.4,46.76,45.81,46.41,3536886,
001314.SZ,亿道信息,2023-04-10,46.3,47.09,45,45.05,3351253,
001314.SZ,亿道信息,2023-04-11,45.05,45.42,44.54,45.12,1947636,
001314.SZ,亿道信息,2023-04-12,45.99,47.86,45.95,47.64,7675965,
001314.SZ,亿道信息,2023-04-13,47.27,48.3,46.21,46.64,4782372,
001314.SZ,亿道信息,2023-04-14,46.64,46.96,45.75,46,3204033,
001314.SZ,亿道信息,2023-04-17,46.23,46.94,45.81,46.53,3085543,
001314.SZ,亿道信息,2023-04-18,46.7,46.7,44.47,44.55,3842480,
001314.SZ,亿道信息,2023-04-19,44.62,45.05,44.5,44.55,1745953,
001314.SZ,亿道信息,2023-04-20,44.58,44.8,42.63,42.73,3431574,
001314.SZ,亿道信息,2023-04-21,42.95,43.04,39.93,40.09,3734572,
001314.SZ,亿道信息,2023-04-24,40.09,40.1,39.2,39.63,1530570,
001314.SZ,亿道信息,2023-04-25,39.56,39.79,37.01,37.44,2490348,
001314.SZ,亿道信息,2023-04-26,37.43,38.16,37.18,37.61,1534072,
001314.SZ,亿道信息,2023-04-27,37.38,37.46,36.38,36.39,2144130,
001314.SZ,亿道信息,2023-04-28,36.56,37.76,36.36,37.49,2021875,
001314.SZ,亿道信息,2023-05-04,37.11,37.49,36.78,37.28,1361542,
001314.SZ,亿道信息,2023-05-05,37.43,39.14,36.69,38.48,3257803,
001314.SZ,亿道信息,2023-05-08,38.03,38.77,38.02,38.41,1542881,
001314.SZ,亿道信息,2023-05-09,38.41,39.81,38.23,38.8,2895206,
001314.SZ,亿道信息,2023-05-10,38.66,39.6,38.12,38.35,1710251,
001314.SZ,亿道信息,2023-05-11,38.25,39.26,37.78,38.66,1657029,
001314.SZ,亿道信息,2023-05-12,38.31,38.68,37.6,37.6,1109224,
001314.SZ,亿道信息,2023-05-15,37.5,37.99,37.22,37.96,990407,
001314.SZ,亿道信息,2023-05-16,37.97,39.14,37.57,38.62,1691688,
001314.SZ,亿道信息,2023-05-17,38.4,39.3,38.3,38.78,1432314,
001314.SZ,亿道信息,2023-05-18,38.71,41.17,38.51,40.51,3372112,
001314.SZ,亿道信息,2023-05-19,40.52,42.41,40.45,41.9,5156918,
001314.SZ,亿道信息,2023-05-22,42.1,42.2,40.57,41.65,2932974,
001314.SZ,亿道信息,2023-05-23,41.7006,41.7006,40.5063,40.5063,2257346,
001314.SZ,亿道信息,2023-05-24,40.2229,41.8929,40.2128,41.2047,2753293,
001314.SZ,亿道信息,2023-05-25,41.0731,43.5225,41.0022,41.7006,2771188,
001314.SZ,亿道信息,2023-05-26,41.2047,42.8646,40.8099,42.6014,2900945,
001314.SZ,亿道信息,2023-05-29,42.4901,46.0023,42.1966,44.3727,6144398,
001314.SZ,亿道信息,2023-05-30,44.7674,47.065,43.5731,46.0832,10248421,
001314.SZ,亿道信息,2023-05-31,44.9699,47.5407,44.7573,45.7087,9110036,
001314.SZ,亿道信息,2023-06-01,46.1541,47.146,45.6581,46.6905,8146001,
001314.SZ,亿道信息,2023-06-02,47.7027,48.4314,44.9496,45.2128,8225542,
001314.SZ,亿道信息,2023-06-05,44.7472,46.4577,44.7472,46.2654,5621299,
001314.SZ,亿道信息,2023-06-06,50.891,50.891,50.891,50.891,4486252,
001314.SZ,亿道信息,2023-06-07,54.8889,55.9821,53.1379,55.9821,7457934,
001314.SZ,亿道信息,2023-06-08,61.5793,61.5793,52.4902,52.976,22846591,
001314.SZ,亿道信息,2023-06-09,52.976,55.4659,48.563,49.646,18189060,
001314.SZ,亿道信息,2023-06-12,47.9456,50.3545,47.9355,48.5428,11995838,
001314.SZ,亿道信息,2023-06-13,47.7938,49.393,47.227,48.148,9088785,
001314.SZ,亿道信息,2023-06-14,48.1784,48.7756,46.8019,47.5205,6911693,
001314.SZ,亿道信息,2023-06-15,47.5104,48.1784,46.7411,46.7614,6514564,
001314.SZ,亿道信息,2023-06-16,46.5691,47.0347,45.8606,46.5994,4769016,
001314.SZ,亿道信息,2023-06-19,46.65,47.1055,46.2755,46.5589,5214167,
001314.SZ,亿道信息,2023-06-20,46.2351,46.65,45.3747,45.81,5034729,
001314.SZ,亿道信息,2023-06-21,45.8808,45.8808,43.7047,43.7047,5544017,
001314.SZ,亿道信息,2023-06-26,43.0468,43.7452,41.235,41.4071,3978748,
001314.SZ,亿道信息,2023-06-27,41.8322,42.6925,41.8322,42.3383,2516518,
001314.SZ,亿道信息,2023-06-28,42.3383,42.4699,40.4253,41.6196,3152909,
001314.SZ,亿道信息,2023-06-29,41.5083,42.814,41.4982,42.3788,2703385,
001314.SZ,亿道信息,2023-06-30,42.5508,43.3605,42.2472,42.7937,2916754,
001314.SZ,亿道信息,2023-07-03,42.5103,43.3099,42.3484,42.3585,2825024,
001314.SZ,亿道信息,2023-07-04,42.3079,42.9253,42.1055,42.7128,2171760,
001314.SZ,亿道信息,2023-07-05,42.6014,42.8342,42.0346,42.0852,2398447,
001314.SZ,亿道信息,2023-07-06,41.9739,42.5103,41.6095,42.2269,1373477,
001314.SZ,亿道信息,2023-07-07,42.0954,42.1865,41.2755,41.4172,1942071,
001314.SZ,亿道信息,2023-07-10,41.6095,41.6905,41.0427,41.2047,1113512,
001314.SZ,亿道信息,2023-07-11,41.2452,41.8018,41.1541,41.7512,958601,
001314.SZ,亿道信息,2023-07-12,41.6196,41.9537,40.152,40.2836,2211320,
001314.SZ,亿道信息,2023-07-13,40.3443,41.3565,40.2836,41.2249,2043936,
001314.SZ,亿道信息,2023-07-14,41.1945,42.0549,41.1945,41.2856,2675394,
001314.SZ,亿道信息,2023-07-17,41.0933,41.235,40.6277,40.7694,1504190,
001314.SZ,亿道信息,2023-07-18,40.9719,41.5994,40.4962,40.5164,1830428,
001314.SZ,亿道信息,2023-07-19,40.7492,41.984,40.5974,41.0832,3725002,
001314.SZ,亿道信息,2023-07-20,41.0832,41.1338,39.8079,39.8787,3015691,
001314.SZ,亿道信息,2023-07-21,39.8787,40.2735,39.1804,39.3524,1656008,
001314.SZ,亿道信息,2023-07-24,39.2715,40.1622,38.8666,39.7877,1449119,
001314.SZ,亿道信息,2023-07-25,40.1723,40.9415,39.899,40.6277,1667617,
001314.SZ,亿道信息,2023-07-26,40.7087,40.7087,39.6358,39.7472,1186900,
001314.SZ,亿道信息,2023-07-27,39.98,40.0609,38.9172,39.069,1387121,
001314.SZ,亿道信息,2023-07-28,38.9374,39.4536,38.4719,39.1399,1296813,
001314.SZ,亿道信息,2023-07-31,39.1601,39.3828,38.8666,39.2209,1018436,
001314.SZ,亿道信息,2023-08-01,39.3423,39.3727,38.816,38.9678,900616,
