旗鷹,酒各,晩豚,蝕徒勺(圷),恷互勺(圷),恷詰勺(圷),辺徒勺(圷),撹住楚(紘),
301498.SZ,行右活麗,2023-08-16,60,78.24,57.78,58.45,28297896,
301498.SZ,行右活麗,2023-08-17,53.2,57.8,50.5,54.27,19900784,
301498.SZ,行右活麗,2023-08-18,52.7,58.76,52.3,54.9,17702943,
301498.SZ,行右活麗,2023-08-21,54,54.66,51.32,51.95,11598774,
301498.SZ,行右活麗,2023-08-22,51.29,52.59,46.72,48.33,12035920,
301498.SZ,行右活麗,2023-08-23,47.38,48.25,44.34,44.35,9527135,
301498.SZ,行右活麗,2023-08-24,44.54,47.4,43.3,45.61,8746313,
301498.SZ,行右活麗,2023-08-25,44.88,44.9,42.08,42.36,7207159,
301498.SZ,行右活麗,2023-08-28,45.85,46.89,43.33,43.77,9403847,
301498.SZ,行右活麗,2023-08-29,43.05,46.86,43,46.79,7100755,
301498.SZ,行右活麗,2023-08-30,46.11,47.5,45.57,45.81,5619621,
301498.SZ,行右活麗,2023-08-31,45.84,46.25,44.91,45.24,3721107,
301498.SZ,行右活麗,2023-09-01,45.38,46.11,44.84,44.96,3754427,
301498.SZ,行右活麗,2023-09-04,44.92,45.78,43.91,45.08,3318900,
301498.SZ,行右活麗,2023-09-05,44.92,44.96,43.86,44.01,3101154,
301498.SZ,行右活麗,2023-09-06,44.01,44.86,43.4,44.6,3031645,
301498.SZ,行右活麗,2023-09-07,44.5,44.56,42.69,42.8,3321917,
301498.SZ,行右活麗,2023-09-08,43.01,44,42.8,42.95,2035688,
301498.SZ,行右活麗,2023-09-11,43.06,43.67,42.22,43.4,2274005,
301498.SZ,行右活麗,2023-09-12,43.5,44.24,42.89,44.16,2580937,
301498.SZ,行右活麗,2023-09-13,43.64,43.95,42.43,42.83,3099156,
301498.SZ,行右活麗,2023-09-14,42.6,43.37,41.14,41.74,3269089,
301498.SZ,行右活麗,2023-09-15,41.84,42.07,41.3,41.64,1712763,
301498.SZ,行右活麗,2023-09-18,41.81,43.85,41.42,43.64,3149943,
301498.SZ,行右活麗,2023-09-19,43.63,44.31,43.05,43.66,2440806,
301498.SZ,行右活麗,2023-09-20,43.22,44,43.22,43.3,1357685,
301498.SZ,行右活麗,2023-09-21,43.49,45.38,43.29,44.31,4079401,
301498.SZ,行右活麗,2023-09-22,44,45.77,43.87,45.49,3558914,
301498.SZ,行右活麗,2023-09-25,45.11,45.58,43.6,43.71,2864458,
301498.SZ,行右活麗,2023-09-26,43.75,44.5,42.88,44.26,2227707,
301498.SZ,行右活麗,2023-09-27,44.05,44.86,43.6,44.35,1966965,
301498.SZ,行右活麗,2023-09-28,44.35,44.79,43.24,43.25,2074584,
301498.SZ,行右活麗,2023-10-09,43.56,43.58,42.5,42.66,1192139,
