´úÂë,¼ò³Æ,ÈÕÆÚ,¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),
301371.SZ,·ó¶û¼Ñ,2023-08-01,80,80.04,69,70.7,27819082,
301371.SZ,·ó¶û¼Ñ,2023-08-02,65,66.48,60.01,60.04,18419208,
301371.SZ,·ó¶û¼Ñ,2023-08-03,58.6,62.2,57.55,59.61,11821443,
301371.SZ,·ó¶û¼Ñ,2023-08-04,59.22,61.18,57.85,57.98,10748362,
301371.SZ,·ó¶û¼Ñ,2023-08-07,57.03,57.28,54.87,54.89,9594208,
301371.SZ,·ó¶û¼Ñ,2023-08-08,54.14,56.19,54.12,55.66,7689787,
301371.SZ,·ó¶û¼Ñ,2023-08-09,55.05,60.89,55.05,59,13257700,
301371.SZ,·ó¶û¼Ñ,2023-08-10,57.85,58.84,56.36,56.94,9582665,
301371.SZ,·ó¶û¼Ñ,2023-08-11,56.7,59.87,55.52,57.32,9951895,
301371.SZ,·ó¶û¼Ñ,2023-08-14,56.18,60.5,56.06,58.99,9604991,
301371.SZ,·ó¶û¼Ñ,2023-08-15,58.3,60.99,56.9,60.7,10742269,
301371.SZ,·ó¶û¼Ñ,2023-08-16,60,61.86,58.4,58.75,8068105,
301371.SZ,·ó¶û¼Ñ,2023-08-17,58.08,58.55,55.82,57.41,6833820,
301371.SZ,·ó¶û¼Ñ,2023-08-18,57.08,60,57,58.22,7377128,
301371.SZ,·ó¶û¼Ñ,2023-08-21,58.17,58.17,56,56,4994416,
301371.SZ,·ó¶û¼Ñ,2023-08-22,56.27,56.35,51.6,52.9,7446787,
301371.SZ,·ó¶û¼Ñ,2023-08-23,52.31,52.8,50.21,50.25,4779516,
301371.SZ,·ó¶û¼Ñ,2023-08-24,50.24,51.83,48.68,50.79,4451713,
301371.SZ,·ó¶û¼Ñ,2023-08-25,51.8,53.33,50.56,50.56,5215304,
301371.SZ,·ó¶û¼Ñ,2023-08-28,54,54.3,49.61,50.16,5620090,
301371.SZ,·ó¶û¼Ñ,2023-08-29,49.08,52.95,49.05,52.93,6039288,
301371.SZ,·ó¶û¼Ñ,2023-08-30,52.53,53.61,52.02,52.45,4156044,
301371.SZ,·ó¶û¼Ñ,2023-08-31,52.5,53.47,52,53.36,4019466,
301371.SZ,·ó¶û¼Ñ,2023-09-01,53.74,54.71,52.67,52.96,4986868,
301371.SZ,·ó¶û¼Ñ,2023-09-04,52.7,53.38,52.01,52.88,3475101,
301371.SZ,·ó¶û¼Ñ,2023-09-05,52.42,52.95,51.45,52.15,3262238,
301371.SZ,·ó¶û¼Ñ,2023-09-06,51.82,52.58,51.08,52.26,2572726,
301371.SZ,·ó¶û¼Ñ,2023-09-07,52.32,52.51,51.3,51.85,2683759,
301371.SZ,·ó¶û¼Ñ,2023-09-08,51.49,52.15,51.13,51.18,2339551,
301371.SZ,·ó¶û¼Ñ,2023-09-11,51.61,51.78,50.72,51.45,2027815,
301371.SZ,·ó¶û¼Ñ,2023-09-12,51.54,52.42,51.19,52.09,2705825,
301371.SZ,·ó¶û¼Ñ,2023-09-13,51.73,51.76,50.32,50.72,2847391,
301371.SZ,·ó¶û¼Ñ,2023-09-14,50.7,50.72,48.8,49.14,2729527,
301371.SZ,·ó¶û¼Ñ,2023-09-15,49.05,49.57,48.29,48.57,1969609,
301371.SZ,·ó¶û¼Ñ,2023-09-18,48.33,50.88,48.21,50.49,2927478,
301371.SZ,·ó¶û¼Ñ,2023-09-19,50.01,50.6,49.39,49.57,1726651,
301371.SZ,·ó¶û¼Ñ,2023-09-20,49.72,49.93,48.58,48.86,1518665,
301371.SZ,·ó¶û¼Ñ,2023-09-21,48.56,49.01,48.35,48.39,1257027,
301371.SZ,·ó¶û¼Ñ,2023-09-22,48.44,48.75,46.91,48.69,1925595,
301371.SZ,·ó¶û¼Ñ,2023-09-25,48.29,49.36,47.9,48.6,1669956,
301371.SZ,·ó¶û¼Ñ,2023-09-26,48.3,49.12,48.1,48.53,1313898,
301371.SZ,·ó¶û¼Ñ,2023-09-27,48.25,49.59,48.25,49.03,1664283,
301371.SZ,·ó¶û¼Ñ,2023-09-28,49.3,49.58,48.04,48.08,2211689,
301371.SZ,·ó¶û¼Ñ,2023-10-09,47.51,47.66,46.27,46.62,2390736,
301371.SZ,·ó¶û¼Ñ,2023-10-10,46.76,46.81,45.75,45.91,1515744,
301371.SZ,·ó¶û¼Ñ,2023-10-11,46.08,46.73,45.83,46,1216772,
301371.SZ,·ó¶û¼Ñ,2023-10-12,46.05,46.4,45.35,46.18,1454211,
301371.SZ,·ó¶û¼Ñ,2023-10-13,46,46,44.4,44.7,2064525,
301371.SZ,·ó¶û¼Ñ,2023-10-16,44.76,45.09,43,43.39,2245281,
301371.SZ,·ó¶û¼Ñ,2023-10-17,43.9,43.91,42,43.21,1480549,
301371.SZ,·ó¶û¼Ñ,2023-10-18,43.19,43.19,41.67,41.72,1592393,
301371.SZ,·ó¶û¼Ñ,2023-10-19,41.8,42.56,41.43,41.56,1402073,
301371.SZ,·ó¶û¼Ñ,2023-10-20,41.5,42.79,41.3,41.75,1561450,
301371.SZ,·ó¶û¼Ñ,2023-10-23,40.52,41.19,39.8,40.1,2001556,
301371.SZ,·ó¶û¼Ñ,2023-10-24,40.05,41.48,39.99,41.33,1659389,
301371.SZ,·ó¶û¼Ñ,2023-10-25,41.7,41.7,40.07,40.61,1921800,
301371.SZ,·ó¶û¼Ñ,2023-10-26,40.1,40.9,39.9,40.78,1314120,
301371.SZ,·ó¶û¼Ñ,2023-10-27,40.5,42.16,40.3,41.68,2065818,
301371.SZ,·ó¶û¼Ñ,2023-10-30,41.7,42.26,41.59,42.15,1680800,
301371.SZ,·ó¶û¼Ñ,2023-10-31,42.15,43.8,41.5,43.65,3915182,
301371.SZ,·ó¶û¼Ñ,2023-11-01,45,50.1,45,47.07,10316114,
301371.SZ,·ó¶û¼Ñ,2023-11-02,46.12,46.48,44.01,44.04,6584894,
301371.SZ,·ó¶û¼Ñ,2023-11-03,43.99,44.77,43.3,44.52,4613956,
301371.SZ,·ó¶û¼Ñ,2023-11-06,44.53,44.9,44.16,44.7,3636330,
301371.SZ,·ó¶û¼Ñ,2023-11-07,44.6,44.6,43.66,44.23,3441141,
301371.SZ,·ó¶û¼Ñ,2023-11-08,44.05,45.22,44.02,44.47,3256365,
301371.SZ,·ó¶û¼Ñ,2023-11-09,44.3,45,43.61,43.61,2899500,
301371.SZ,·ó¶û¼Ñ,2023-11-10,43.5,43.64,42.83,43.47,1833677,
301371.SZ,·ó¶û¼Ñ,2023-11-13,43.68,43.68,42.47,43.06,2239307,
301371.SZ,·ó¶û¼Ñ,2023-11-14,43.29,43.78,42.98,43.65,1986973,
301371.SZ,·ó¶û¼Ñ,2023-11-15,43.85,44.15,43.6,43.76,1859034,
301371.SZ,·ó¶û¼Ñ,2023-11-16,43.55,43.79,42.9,43.03,1595442,
301371.SZ,·ó¶û¼Ñ,2023-11-17,43.18,43.54,42.75,43.49,1288363,
301371.SZ,·ó¶û¼Ñ,2023-11-20,43.7,44.55,43.3,44.37,2403001,
301371.SZ,·ó¶û¼Ñ,2023-11-21,44.55,44.55,43.13,43.26,2397222,
301371.SZ,·ó¶û¼Ñ,2023-11-22,43.02,43.3,42.34,42.35,2190839,
301371.SZ,·ó¶û¼Ñ,2023-11-23,42.2,43.84,42.18,43.29,1944891,
301371.SZ,·ó¶û¼Ñ,2023-11-24,43.3,43.39,42.13,42.5,1529963,
301371.SZ,·ó¶û¼Ñ,2023-11-27,42.3,42.5,41.5,42.1,1204586,
301371.SZ,·ó¶û¼Ñ,2023-11-28,42.01,42.68,41.71,42.34,1058220,
301371.SZ,·ó¶û¼Ñ,2023-11-29,42.5,42.57,41.42,41.54,1122779,
301371.SZ,·ó¶û¼Ñ,2023-11-30,41.45,41.75,40.72,41.16,1008557,
301371.SZ,·ó¶û¼Ñ,2023-12-01,41.16,41.55,40.82,41.39,984319,
301371.SZ,·ó¶û¼Ñ,2023-12-04,41.39,41.4,40.58,40.68,1026196,
301371.SZ,·ó¶û¼Ñ,2023-12-05,40.58,40.86,39.63,39.63,1334073,
301371.SZ,·ó¶û¼Ñ,2023-12-06,39.51,40.08,39.41,39.51,1202564,
301371.SZ,·ó¶û¼Ñ,2023-12-07,39.48,39.67,38.85,39.05,1104000,
301371.SZ,·ó¶û¼Ñ,2023-12-08,39.06,39.24,38.78,38.8,901761,
301371.SZ,·ó¶û¼Ñ,2023-12-11,38.71,39.6,38.38,39.46,1503061,
301371.SZ,·ó¶û¼Ñ,2023-12-12,39.3,39.85,39.3,39.54,1002555,
301371.SZ,·ó¶û¼Ñ,2023-12-13,39.3,39.54,38.87,38.89,846005,
301371.SZ,·ó¶û¼Ñ,2023-12-14,39.01,39.45,38.61,38.61,904231,
301371.SZ,·ó¶û¼Ñ,2023-12-15,38.6,39.18,38.4,38.87,1014500,
301371.SZ,·ó¶û¼Ñ,2023-12-18,38.73,38.88,37.76,37.79,1045300,
