´úÂë,¼ò³Æ,ÈÕÆÚ,¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),
920720.BJ,¼ª¸Ô¾«ÃÜ,2021-11-24,40.88,43.5,31.16,31.16,13876958,
920720.BJ,¼ª¸Ô¾«ÃÜ,2021-11-25,31.6,31.68,28.78,29,5991263,
920720.BJ,¼ª¸Ô¾«ÃÜ,2021-11-26,28.51,29,27.77,27.88,3018794,
920720.BJ,¼ª¸Ô¾«ÃÜ,2021-11-29,27.33,29.4,27.32,27.5,2465089,
920720.BJ,¼ª¸Ô¾«ÃÜ,2021-11-30,27.87,28.59,27.45,28.05,1767759,
920720.BJ,¼ª¸Ô¾«ÃÜ,2021-12-01,28,28.03,26.5,26.59,2123145,
920720.BJ,¼ª¸Ô¾«ÃÜ,2021-12-02,26.67,27.38,26,26.55,1065628,
920720.BJ,¼ª¸Ô¾«ÃÜ,2021-12-03,26.55,27.02,25.4,25.56,1761177,
920720.BJ,¼ª¸Ô¾«ÃÜ,2021-12-06,25.39,25.68,24.01,24.32,1539216,
920720.BJ,¼ª¸Ô¾«ÃÜ,2021-12-07,24.41,25.25,24.24,24.6,815192,
920720.BJ,¼ª¸Ô¾«ÃÜ,2021-12-08,24.6,24.9,24.35,24.63,559325,
920720.BJ,¼ª¸Ô¾«ÃÜ,2021-12-09,25.11,25.11,24.07,24.29,828255,
920720.BJ,¼ª¸Ô¾«ÃÜ,2021-12-10,24.32,24.5,23.66,24.25,905286,
920720.BJ,¼ª¸Ô¾«ÃÜ,2021-12-13,24.35,24.9,23.95,24.71,915360,
920720.BJ,¼ª¸Ô¾«ÃÜ,2021-12-14,24.6,25.97,24.55,25.31,1213849,
920720.BJ,¼ª¸Ô¾«ÃÜ,2021-12-15,25.35,25.4,24.45,24.53,690255,
920720.BJ,¼ª¸Ô¾«ÃÜ,2021-12-16,24.68,24.69,23.97,24.21,702837,
920720.BJ,¼ª¸Ô¾«ÃÜ,2021-12-17,24.08,24.41,23.9,24.1,516067,
920720.BJ,¼ª¸Ô¾«ÃÜ,2021-12-20,23.96,24.02,23.12,23.2,594749,
