代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
600113.SH,浙江东日,2015-01-05,52.3342,53.7298,51.8006,52.5395,30552926,
600113.SH,浙江东日,2015-01-06,50.9797,53.1552,50.2819,53.032,25718133,
600113.SH,浙江东日,2015-01-07,52.2111,53.032,50.8976,51.1849,18785451,
600113.SH,浙江东日,2015-01-08,51.1439,51.9648,49.8714,50.1588,17055397,
600113.SH,浙江东日,2015-01-09,50.1177,51.0618,49.6662,49.8304,13660673,
600113.SH,浙江东日,2015-01-12,49.2968,50.7745,48.64,50.4461,15143579,
600113.SH,浙江东日,2015-01-13,50.1588,50.7334,48.8863,49.5841,11821348,
600113.SH,浙江东日,2015-01-14,49.6662,50.2819,48.0243,48.2296,10735776,
600113.SH,浙江东日,2015-01-15,48.2296,49.9946,47.8602,49.8714,12975806,
600113.SH,浙江东日,2015-01-16,49.7073,52.3753,49.0916,51.6775,28701187,
600113.SH,浙江东日,2015-01-19,49.2557,50.2409,46.5056,46.5056,20981307,
600113.SH,浙江东日,2015-01-20,46.4646,48.7632,46.1773,47.6139,14699048,
600113.SH,浙江东日,2015-01-21,47.4497,49.8304,47.2445,49.0095,17916691,
600113.SH,浙江东日,2015-01-22,48.7221,51.9238,48.4348,50.2819,26045899,
600113.SH,浙江东日,2015-01-23,49.461,50.7745,48.8453,49.0505,16085794,
600113.SH,浙江东日,2015-01-26,49.1326,50.5692,48.5169,50.2819,12156104,
600113.SH,浙江东日,2015-01-27,50.0767,50.7745,48.8863,49.5431,12031555,
600113.SH,浙江东日,2015-01-28,49.5431,49.5431,48.3527,48.4348,9329550,
600113.SH,浙江东日,2015-01-29,48.2296,52.3342,48.0243,51.1849,27580051,
600113.SH,浙江东日,2015-01-30,50.8155,51.9238,50.2409,51.0207,19060901,
600113.SH,浙江东日,2015-02-02,50.2819,50.3229,47.2445,48.1475,16886945,
600113.SH,浙江东日,2015-02-03,48.0243,48.7221,46.834,48.0654,10147924,
600113.SH,浙江东日,2015-02-04,48.1064,48.2296,47.1213,47.2855,8463841,
600113.SH,浙江东日,2015-02-05,47.8602,48.1885,45.2332,45.6847,10690723,
600113.SH,浙江东日,2015-02-06,45.5205,46.793,44.0839,44.6996,8755381,
600113.SH,浙江东日,2015-02-09,44.3712,45.5205,44.2481,44.7406,5879799,
600113.SH,浙江东日,2015-02-10,44.7406,45.4795,44.6585,45.2332,4805705,
600113.SH,浙江东日,2015-02-11,45.2742,46.9982,44.9048,45.931,8122661,
600113.SH,浙江东日,2015-02-12,45.7668,46.1773,45.2742,45.972,6529960,
600113.SH,浙江东日,2015-02-13,46.0952,47.5318,45.972,46.5467,10631284,
600113.SH,浙江东日,2015-02-16,46.793,47.4086,46.6288,46.6698,6622014,
600113.SH,浙江东日,2015-02-17,46.9571,47.9012,46.7109,47.8191,11232561,
600113.SH,浙江东日,2015-02-25,48.8453,49.2147,47.5318,47.6139,11957770,
600113.SH,浙江东日,2015-02-26,47.1624,48.1885,46.793,48.1064,7524574,
600113.SH,浙江东日,2015-02-27,48.2706,49.6662,47.9012,49.1326,12778041,
600113.SH,浙江东日,2015-03-02,49.6662,50.0356,48.6811,49.502,11634855,
600113.SH,浙江东日,2015-03-03,49.502,49.502,48.1064,48.3938,11030058,
600113.SH,浙江东日,2015-03-04,48.7632,53.2372,48.5169,53.2372,13995756,
600113.SH,浙江东日,2015-03-05,56.9314,58.5733,54.0992,54.9202,55058588,
600113.SH,浙江东日,2015-03-06,52.991,53.7298,51.7185,51.7596,28286729,
600113.SH,浙江东日,2015-03-09,51.9238,53.2372,50.1998,52.9499,18523637,
