旗鷹,酒各,晩豚,蝕徒勺(圷),恷互勺(圷),恷詰勺(圷),辺徒勺(圷),撹住楚(紘),
002913.SZ,安平慎,2017-12-01,36.46,43.75,36.46,43.75,19716,
002913.SZ,安平慎,2017-12-04,48.13,48.13,48.13,48.13,12558,
002913.SZ,安平慎,2017-12-05,52.94,52.94,52.94,52.94,71745,
002913.SZ,安平慎,2017-12-06,57,58.23,53.01,58.23,16758520,
002913.SZ,安平慎,2017-12-07,56.6,56.8,53.4,53.58,13355578,
002913.SZ,安平慎,2017-12-08,51.2,58.18,51.06,55.6,15261199,
002913.SZ,安平慎,2017-12-11,54.07,56.44,53,54.13,9645304,
002913.SZ,安平慎,2017-12-12,52.88,52.88,49,49,11121508,
002913.SZ,安平慎,2017-12-13,48,49.85,47.66,48.38,6309695,
002913.SZ,安平慎,2017-12-14,48.4,49.87,48.21,49.24,6394302,
002913.SZ,安平慎,2017-12-15,48.71,48.97,46.4,46.84,6889120,
002913.SZ,安平慎,2017-12-18,47.15,47.49,45.03,45.77,4485968,
002913.SZ,安平慎,2017-12-19,45.63,46.32,44.71,45.46,4825599,
002913.SZ,安平慎,2017-12-20,45.3,46.13,45.11,45.87,4426112,
002913.SZ,安平慎,2017-12-21,45.5,45.53,43.61,44.77,5557563,
002913.SZ,安平慎,2017-12-22,44.61,45.98,44.39,45.21,4635168,
002913.SZ,安平慎,2017-12-25,44.8,44.9,43,44.35,4939124,
002913.SZ,安平慎,2017-12-26,43.96,47.36,43.86,46.4,7296516,
002913.SZ,安平慎,2017-12-27,46.35,50.88,46.35,48.3,10656103,
002913.SZ,安平慎,2017-12-28,47.36,49.98,47,48.95,10282686,
002913.SZ,安平慎,2017-12-29,48.13,50.78,47.66,47.97,7695847,
002913.SZ,安平慎,2018-01-02,49.42,49.83,48.01,48.85,5745420,
002913.SZ,安平慎,2018-01-03,48.3,48.38,45.46,46.09,7845938,
002913.SZ,安平慎,2018-01-04,45.94,47.05,45.58,45.83,5263757,
002913.SZ,安平慎,2018-01-05,45.4,45.99,44.9,45.43,4245934,
002913.SZ,安平慎,2018-01-08,45.75,48.69,45.66,47.6,7318746,
002913.SZ,安平慎,2018-01-09,47.06,47.54,46.57,47.38,5400375,
002913.SZ,安平慎,2018-01-10,47.45,47.97,45.81,46.25,4380846,
002913.SZ,安平慎,2018-01-11,45.35,47.71,45.35,46.86,5039953,
002913.SZ,安平慎,2018-01-12,46.58,47.46,45.58,45.69,3764903,
002913.SZ,安平慎,2018-01-15,45.68,45.8,43.5,43.81,4120050,
002913.SZ,安平慎,2018-01-16,43.83,45.1,43.8,44.42,3221994,
002913.SZ,安平慎,2018-01-17,44.36,45.8,43.61,45.42,4303677,
002913.SZ,安平慎,2018-01-18,45.17,45.65,44.63,44.84,2766355,
002913.SZ,安平慎,2018-01-19,44.88,46.45,44.88,45.42,3892028,
002913.SZ,安平慎,2018-01-22,45.12,45.12,43.52,44.32,2469286,
002913.SZ,安平慎,2018-01-23,44.04,44.86,43.77,44.53,2562366,
002913.SZ,安平慎,2018-01-24,44.35,45.35,44.16,44.89,2681211,
002913.SZ,安平慎,2018-01-25,44.7,45.34,44.15,44.17,2750800,
002913.SZ,安平慎,2018-01-26,44,44.45,43.11,43.22,3002950,
002913.SZ,安平慎,2018-01-29,43.25,44,43.01,43.41,1715472,
002913.SZ,安平慎,2018-01-30,43.21,43.62,43.05,43.32,1456959,
002913.SZ,安平慎,2018-01-31,43.14,43.18,40.61,40.86,2872531,
002913.SZ,安平慎,2018-02-01,40.86,41.24,37.02,37.78,3225583,
002913.SZ,安平慎,2018-02-02,38,38.42,36.9,37.72,1964454,
002913.SZ,安平慎,2018-02-05,36.99,37.98,36.8,37.22,1675645,
002913.SZ,安平慎,2018-02-06,36.5,37,33.5,33.5,2727305,
002913.SZ,安平慎,2018-02-07,34.6,34.9,32.11,34.19,2566250,
