旗鷹,酒各,晩豚,蝕徒勺(圷),恷互勺(圷),恷詰勺(圷),辺徒勺(圷),撹住楚(紘),
300533.SZ,甥寒利大,2016-08-18,48.86,53.31,48.86,53.31,5800,
300533.SZ,甥寒利大,2016-08-19,58.64,58.64,58.64,58.64,3000,
300533.SZ,甥寒利大,2016-08-22,64.5,64.5,64.5,64.5,2900,
300533.SZ,甥寒利大,2016-08-23,70.95,70.95,70.95,70.95,1812,
300533.SZ,甥寒利大,2016-08-24,78.05,78.05,78.05,78.05,1800,
300533.SZ,甥寒利大,2016-08-25,85.86,85.86,85.86,85.86,9511,
300533.SZ,甥寒利大,2016-08-26,94.45,94.45,94.45,94.45,4800,
300533.SZ,甥寒利大,2016-08-29,103.9,103.9,103.9,103.9,12543,
300533.SZ,甥寒利大,2016-08-30,114.29,114.29,114.29,114.29,22825,
300533.SZ,甥寒利大,2016-08-31,125.72,125.72,125.72,125.72,29039,
300533.SZ,甥寒利大,2016-09-01,138.29,138.29,138.29,138.29,34800,
300533.SZ,甥寒利大,2016-09-02,152.12,152.12,152.12,152.12,66408,
300533.SZ,甥寒利大,2016-09-05,167.33,167.33,167.33,167.33,63694,
300533.SZ,甥寒利大,2016-09-06,184.06,184.06,177.1,182.44,14174310,
300533.SZ,甥寒利大,2016-09-07,179.01,181.99,176.66,177.27,7850293,
300533.SZ,甥寒利大,2016-09-08,174.88,189.26,173.78,178.9,8453151,
300533.SZ,甥寒利大,2016-09-09,176,176.93,167,167,6832179,
300533.SZ,甥寒利大,2016-09-12,159.5,168.98,158.01,166.68,3935336,
300533.SZ,甥寒利大,2016-09-13,168.35,168.65,159.2,161.8,4358949,
300533.SZ,甥寒利大,2016-09-14,160,166.62,159.3,160.4,3299215,
300533.SZ,甥寒利大,2016-09-19,161,161.44,156.18,158.31,2780250,
300533.SZ,甥寒利大,2016-09-20,158.88,162.87,157.5,158.72,2576215,
300533.SZ,甥寒利大,2016-09-21,157.59,159.5,155.9,157.5,2090832,
300533.SZ,甥寒利大,2016-09-22,158.58,159.31,155.99,155.99,2257951,
300533.SZ,甥寒利大,2016-09-23,155.18,157.41,153,153.03,2148016,
300533.SZ,甥寒利大,2016-09-26,151.55,152.8,145.08,145.52,3398122,
300533.SZ,甥寒利大,2016-09-27,145,148.79,145,148.64,2140783,
300533.SZ,甥寒利大,2016-09-28,148.78,148.8,144.99,144.99,1734227,
300533.SZ,甥寒利大,2016-09-29,145.12,148.88,143.51,146.99,2261650,
300533.SZ,甥寒利大,2016-09-30,146,147.5,144.59,146.11,1566498,
300533.SZ,甥寒利大,2016-10-10,147.85,160.72,147.85,160.72,3902381,
300533.SZ,甥寒利大,2016-10-11,162.8,162.99,158.52,161.5,3940802,
300533.SZ,甥寒利大,2016-10-12,159.51,161.88,157.01,161.8,3409046,
300533.SZ,甥寒利大,2016-10-13,161.47,162.5,158.31,158.77,2205001,
300533.SZ,甥寒利大,2016-10-14,157.51,161.58,157.2,160,2398959,
300533.SZ,甥寒利大,2016-10-17,158.1,159.6,150.68,152.3,3143534,
300533.SZ,甥寒利大,2016-10-18,152,155.47,150.11,154.87,2015508,
300533.SZ,甥寒利大,2016-10-19,153.9,155.88,151.61,152.46,2259547,
300533.SZ,甥寒利大,2016-10-20,152,152.84,148.85,149.81,1676503,
300533.SZ,甥寒利大,2016-10-21,149.83,151.95,148.8,150.74,1545543,
300533.SZ,甥寒利大,2016-10-24,150.17,151.98,148.05,151.19,1530124,
300533.SZ,甥寒利大,2016-10-25,150.71,156.69,150.71,153.42,2397939,
300533.SZ,甥寒利大,2016-10-26,153,153.88,150.52,151.79,1427116,
300533.SZ,甥寒利大,2016-10-27,151.15,153.25,150.11,152.89,1462776,
300533.SZ,甥寒利大,2016-10-28,152.8,152.8,148.62,148.78,1689867,
300533.SZ,甥寒利大,2016-10-31,148.1,149.68,145.58,148.98,1493151,
300533.SZ,甥寒利大,2016-11-01,149.18,154.67,149.13,153.88,2239861,
300533.SZ,甥寒利大,2016-11-02,153.87,155.3,152,152.47,1923464,
300533.SZ,甥寒利大,2016-11-03,151,155.55,150.61,152.1,2238631,
300533.SZ,甥寒利大,2016-11-04,153.25,163.85,152.3,158.56,3890808,
300533.SZ,甥寒利大,2016-11-07,157.6,158.88,155.58,156.7,1870161,
300533.SZ,甥寒利大,2016-11-08,158.79,162.55,157.18,158.5,2137601,
300533.SZ,甥寒利大,2016-11-09,157.15,160.35,154.01,158.74,2903903,
300533.SZ,甥寒利大,2016-11-10,160.5,165.37,159.21,163.25,3809637,
300533.SZ,甥寒利大,2016-11-11,162.5,163.8,159.8,161.2,2399491,
300533.SZ,甥寒利大,2016-11-14,161.98,163.99,161,162.97,2042204,
300533.SZ,甥寒利大,2016-11-15,162.11,162.88,155.31,158.3,2701792,
300533.SZ,甥寒利大,2016-11-16,158.69,159.66,155.28,155.38,1651889,
300533.SZ,甥寒利大,2016-11-17,155.01,156.6,154.48,154.5,1273630,
300533.SZ,甥寒利大,2016-11-18,156.1,161.49,156.1,159.87,2639793,
300533.SZ,甥寒利大,2016-11-21,159.79,163.24,158.71,162.98,2877736,
