ДњТы,МђГЦ,ШеЦк,ПЊХЬМл(дЊ),зюИпМл(дЊ),зюЕЭМл(дЊ),ЪеХЬМл(дЊ),ГЩНЛСП(ЙЩ),
002287.SZ,Цце§ВивЉ,2015-01-05,24.284,24.7385,23.981,24.6086,1104399,
002287.SZ,Цце§ВивЉ,2015-01-06,24.5545,25.5285,24.3489,25.3228,1727540,
002287.SZ,Цце§ВивЉ,2015-01-07,25.3337,25.5176,24.9116,25.1497,1102432,
002287.SZ,Цце§ВивЉ,2015-01-08,25.2146,25.5934,25.1389,25.2146,1006346,
002287.SZ,Цце§ВивЉ,2015-01-09,25.0523,25.3553,24.4571,24.6411,1073961,
002287.SZ,Цце§ВивЉ,2015-01-12,24.4788,24.6952,24.0351,24.3814,771634,
002287.SZ,Цце§ВивЉ,2015-01-13,24.0351,24.7493,24.0351,24.7385,807951,
002287.SZ,Цце§ВивЉ,2015-01-14,24.7601,25.1605,24.403,24.4138,616220,
002287.SZ,Цце§ВивЉ,2015-01-15,24.5437,24.89,24.1866,24.7818,564366,
002287.SZ,Цце§ВивЉ,2015-01-16,24.8792,24.9982,24.6844,24.8792,796782,
002287.SZ,Цце§ВивЉ,2015-01-19,24.6844,25.3661,24.1325,24.5653,1619968,
002287.SZ,Цце§ВивЉ,2015-01-20,24.6411,25.2904,24.4571,25.2796,1561210,
002287.SZ,Цце§ВивЉ,2015-01-21,25.3228,25.8423,25.3228,25.7341,1894933,
002287.SZ,Цце§ВивЉ,2015-01-22,25.6691,26.0263,25.5176,25.9289,1856381,
002287.SZ,Цце§ВивЉ,2015-01-23,25.8639,26.0912,25.3878,25.4527,1499586,
002287.SZ,Цце§ВивЉ,2015-01-26,25.4419,26.1886,25.3878,26.1886,1654988,
002287.SZ,Цце§ВивЉ,2015-01-27,26.2319,26.2968,25.5501,25.8639,1413211,
002287.SZ,Цце§ВивЉ,2015-01-28,25.7124,26.0154,25.0631,25.615,1125793,
