╢ЗбК,╪РЁф,хуфз,©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),
920522.BJ,ди©фе╣╤Ш,2023-11-16,21,22.5,17.48,17.6,22293156,
920522.BJ,ди©фе╣╤Ш,2023-11-17,17.65,19.1,17.6,18.33,10913338,
920522.BJ,ди©фе╣╤Ш,2023-11-20,18.25,19.08,18.03,18.7,8099321,
920522.BJ,ди©фе╣╤Ш,2023-11-21,18.66,21.1,18.66,19.13,11668792,
920522.BJ,ди©фе╣╤Ш,2023-11-22,18.71,19.88,18.38,19.88,10509861,
920522.BJ,ди©фе╣╤Ш,2023-11-23,19.5,20.48,18.71,18.76,8832147,
920522.BJ,ди©фе╣╤Ш,2023-11-24,18.52,19.97,18.51,19.69,10836063,
920522.BJ,ди©фе╣╤Ш,2023-11-27,20,22.73,20,21.85,14991066,
920522.BJ,ди©фе╣╤Ш,2023-11-28,20.8,25.49,20.5,22.97,13072782,
920522.BJ,ди©фе╣╤Ш,2023-11-29,23.68,23.88,20.3,20.5,9392635,
920522.BJ,ди©фе╣╤Ш,2023-11-30,20.25,21.06,19.5,19.57,5079054,
920522.BJ,ди©фе╣╤Ш,2023-12-01,19.77,20.11,18.7,18.75,3966183,
920522.BJ,ди©фе╣╤Ш,2023-12-04,18.48,19.14,18.4,18.79,2810954,
920522.BJ,ди©фе╣╤Ш,2023-12-05,18.58,20.3,18.56,19.96,5686864,
920522.BJ,ди©фе╣╤Ш,2023-12-06,19.73,21.68,19.51,20.43,6260052,
920522.BJ,ди©фе╣╤Ш,2023-12-07,20.77,21.17,20.32,20.52,4916754,
920522.BJ,ди©фе╣╤Ш,2023-12-08,20.41,20.72,20.02,20.16,4223063,
920522.BJ,ди©фе╣╤Ш,2023-12-11,20,20.68,19.53,19.66,3047803,
920522.BJ,ди©фе╣╤Ш,2023-12-12,19.73,20.28,19.58,20,2167282,
920522.BJ,ди©фе╣╤Ш,2023-12-13,19.9,20.58,19.4,20.33,3776839,
920522.BJ,ди©фе╣╤Ш,2023-12-14,20.44,21.28,20.23,20.62,5293796,
920522.BJ,ди©фе╣╤Ш,2023-12-15,20.69,21.15,20.24,20.96,4079768,
920522.BJ,ди©фе╣╤Ш,2023-12-18,20.76,21.78,20.71,21.59,4820622,
920522.BJ,ди©фе╣╤Ш,2023-12-19,21.76,21.93,20.01,20.85,3837127,
920522.BJ,ди©фе╣╤Ш,2023-12-20,20.86,21.63,20.75,21.47,4152886,
920522.BJ,ди©фе╣╤Ш,2023-12-21,21.67,22.28,19.5,19.8,5951996,
920522.BJ,ди©фе╣╤Ш,2023-12-22,19.75,20.45,19.29,20.3,3283723,
920522.BJ,ди©фе╣╤Ш,2023-12-25,20.88,21.44,20.6,21.24,4447310,
920522.BJ,ди©фе╣╤Ш,2023-12-26,21.29,21.45,20.37,21.08,4241219,
920522.BJ,ди©фе╣╤Ш,2023-12-27,20.96,20.98,20.48,20.74,3061398,
920522.BJ,ди©фе╣╤Ш,2023-12-28,20.66,23.46,20.66,22.18,7927910,
920522.BJ,ди©фе╣╤Ш,2023-12-29,21.8,23.28,21.7,22.76,5077581,
920522.BJ,ди©фе╣╤Ш,2024-01-02,22.8,24.2,22.68,23.36,4885531,
