����,���,����,���̼�(Ԫ),��߼�(Ԫ),��ͼ�(Ԫ),���̼�(Ԫ),�ɽ���(��),
300716.SZ,STȪΪ,2017-11-09,14.57,17.48,14.57,17.48,6211,
300716.SZ,STȪΪ,2017-11-10,19.23,19.23,19.23,19.23,1922,
300716.SZ,STȪΪ,2017-11-13,21.15,21.15,21.15,21.15,2611,
300716.SZ,STȪΪ,2017-11-14,23.27,23.27,23.27,23.27,2011,
300716.SZ,STȪΪ,2017-11-15,25.6,25.6,25.6,25.6,5811,
300716.SZ,STȪΪ,2017-11-16,28.16,28.16,28.16,28.16,10707,
300716.SZ,STȪΪ,2017-11-17,30.98,30.98,30.98,30.98,48892,
300716.SZ,STȪΪ,2017-11-20,34.08,34.08,34.08,34.08,127969,
300716.SZ,STȪΪ,2017-11-21,36,36.1,30.82,31.02,13383509,
300716.SZ,STȪΪ,2017-11-22,29.5,30.65,28.42,29.48,9498837,
300716.SZ,STȪΪ,2017-11-23,29.6,31.76,28.62,29.93,9406028,
300716.SZ,STȪΪ,2017-11-24,28,28.82,27,27,7177361,
300716.SZ,STȪΪ,2017-11-27,26.58,26.93,25.12,25.16,5263251,
300716.SZ,STȪΪ,2017-11-28,25.4,26.2,25.4,25.72,4099392,
300716.SZ,STȪΪ,2017-11-29,25.53,25.85,24.67,25.42,4548608,
300716.SZ,STȪΪ,2017-11-30,25.54,27.51,25.42,26.5,6658499,
300716.SZ,STȪΪ,2017-12-01,25.8,27.4,25.8,26.85,5483801,
300716.SZ,STȪΪ,2017-12-04,26.07,26.24,24.17,24.17,5235104,
300716.SZ,STȪΪ,2017-12-05,24.01,24.45,22.73,23.08,3810850,
300716.SZ,STȪΪ,2017-12-06,23.28,23.76,22.76,23.62,2958757,
300716.SZ,STȪΪ,2017-12-07,23.56,23.93,23.12,23.52,2789373,
300716.SZ,STȪΪ,2017-12-08,23.33,24.68,23.27,24.14,3830242,
300716.SZ,STȪΪ,2017-12-11,23.94,24.39,23.94,24.18,2466555,
300716.SZ,STȪΪ,2017-12-12,24.13,24.13,22.81,22.83,3477110,
300716.SZ,STȪΪ,2017-12-13,22.74,23.25,22.6,23.18,1865695,
300716.SZ,STȪΪ,2017-12-14,23.09,23.75,22.85,23.56,2553969,
300716.SZ,STȪΪ,2017-12-15,23.35,23.49,22.9,23.07,2182455,
300716.SZ,STȪΪ,2017-12-18,23.16,23.36,22.7,23.24,1853436,
300716.SZ,STȪΪ,2017-12-19,23.15,23.47,23.12,23.36,2015988,
300716.SZ,STȪΪ,2017-12-20,23.37,23.45,22.64,22.72,1616847,
300716.SZ,STȪΪ,2017-12-21,22.5,22.95,22.01,22.69,2321750,
300716.SZ,STȪΪ,2017-12-22,22.68,23.19,22.58,22.72,1862066,
300716.SZ,STȪΪ,2017-12-25,22.47,23.4,22.2,23.39,2743279,
300716.SZ,STȪΪ,2017-12-26,23.11,25.73,23.11,25.73,6306096,
300716.SZ,STȪΪ,2017-12-27,26.36,28,26.3,26.98,11060400,
300716.SZ,STȪΪ,2017-12-28,26.75,28.88,26.32,28.38,9976255,
300716.SZ,STȪΪ,2017-12-29,27.45,27.95,25.7,25.92,6625830,
300716.SZ,STȪΪ,2018-01-02,26.44,27.3,26.1,26.8,5067939,
300716.SZ,STȪΪ,2018-01-03,26.6,26.6,25.24,26.1,5405377,
300716.SZ,STȪΪ,2018-01-04,25.65,26.6,25.55,26.01,4864222,
300716.SZ,STȪΪ,2018-01-05,25.65,26.16,25.26,25.7,3331303,
300716.SZ,STȪΪ,2018-01-08,25.62,28.27,25.28,28.27,8196475,
300716.SZ,STȪΪ,2018-01-09,28.5,30.2,27.51,29.09,12250648,
300716.SZ,STȪΪ,2018-01-10,28.51,28.64,27.5,27.94,6708182,
300716.SZ,STȪΪ,2018-01-11,27.87,29,26.61,28.18,7182956,
300716.SZ,STȪΪ,2018-01-12,27.5,27.96,27.01,27.17,4578224,
300716.SZ,STȪΪ,2018-01-15,27.09,28.36,26.13,27.41,5580854,
300716.SZ,STȪΪ,2018-01-16,26.99,29.86,26.86,28.93,8892099,
300716.SZ,STȪΪ,2018-01-17,28.5,30.87,27.78,29.82,9913618,
300716.SZ,STȪΪ,2018-01-18,29.47,29.67,28.65,28.92,5308705,
300716.SZ,STȪΪ,2018-01-19,28.61,29.95,27.82,28.28,6419741,
300716.SZ,STȪΪ,2018-01-22,27.5,27.78,25.5,25.91,5545241,
300716.SZ,STȪΪ,2018-01-23,25.98,26.39,25.76,26.37,3143118,
300716.SZ,STȪΪ,2018-01-24,26.3,26.99,26.12,26.6,3282559,
300716.SZ,STȪΪ,2018-01-25,26.55,27.49,26.3,26.83,4100127,
300716.SZ,STȪΪ,2018-01-26,26.48,26.85,25.13,25.27,4466941,
300716.SZ,STȪΪ,2018-01-29,25.34,25.78,24.66,25.78,2991276,
300716.SZ,STȪΪ,2018-01-30,25.66,26.06,25.45,25.94,2323688,
