¥˙¬Î,ºÚ≥∆,»’∆⁄,ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),
920575.BJ,øµ¿÷Œ¿ ø,2023-03-15,35.94,38.94,34.7,35.52,6950237,
920575.BJ,øµ¿÷Œ¿ ø,2023-03-16,35.4,36.1,31.8,32,2845906,
920575.BJ,øµ¿÷Œ¿ ø,2023-03-17,31.7,33.93,30.6,33.08,2145308,
920575.BJ,øµ¿÷Œ¿ ø,2023-03-20,32.49,32.49,30.62,30.87,1846748,
920575.BJ,øµ¿÷Œ¿ ø,2023-03-21,30.63,32.2,30.6,31.55,720841,
920575.BJ,øµ¿÷Œ¿ ø,2023-03-22,31.1,31.68,30.84,31.18,466302,
920575.BJ,øµ¿÷Œ¿ ø,2023-03-23,31,31.24,30.8,31.08,633374,
920575.BJ,øµ¿÷Œ¿ ø,2023-03-24,31,33.11,31,32.76,1084529,
920575.BJ,øµ¿÷Œ¿ ø,2023-03-27,32.45,32.57,32.02,32.38,455997,
920575.BJ,øµ¿÷Œ¿ ø,2023-03-28,32.71,33.96,32.21,33.39,535824,
920575.BJ,øµ¿÷Œ¿ ø,2023-03-29,33.55,35.2,33.55,34.9,1110875,
920575.BJ,øµ¿÷Œ¿ ø,2023-03-30,35.21,35.57,33.84,34.35,501006,
920575.BJ,øµ¿÷Œ¿ ø,2023-03-31,34.04,34.75,34.04,34.51,252736,
920575.BJ,øµ¿÷Œ¿ ø,2023-04-03,34.02,34.49,33.58,33.82,367046,
920575.BJ,øµ¿÷Œ¿ ø,2023-04-04,33.16,33.75,33.16,33.57,152836,
920575.BJ,øµ¿÷Œ¿ ø,2023-04-06,33.55,33.97,32.98,33.19,335816,
920575.BJ,øµ¿÷Œ¿ ø,2023-04-07,33.01,33.93,33.01,33.75,178369,
920575.BJ,øµ¿÷Œ¿ ø,2023-04-10,33.76,34.36,33.75,34.23,246337,
920575.BJ,øµ¿÷Œ¿ ø,2023-04-11,34.36,34.5,34,34.19,196566,
920575.BJ,øµ¿÷Œ¿ ø,2023-04-12,34.03,34.41,33.97,34.2,172849,
920575.BJ,øµ¿÷Œ¿ ø,2023-04-13,34.1,34.38,34.07,34.2,254897,
920575.BJ,øµ¿÷Œ¿ ø,2023-04-14,34.2,34.24,33.35,33.64,355942,
920575.BJ,øµ¿÷Œ¿ ø,2023-04-17,33.88,34,31.4,32.17,1036285,
920575.BJ,øµ¿÷Œ¿ ø,2023-04-18,32.06,32.48,31.82,32,199518,
920575.BJ,øµ¿÷Œ¿ ø,2023-04-19,32,32.44,31.77,32.11,166276,
920575.BJ,øµ¿÷Œ¿ ø,2023-04-20,32.11,32.11,31.82,31.86,121882,
920575.BJ,øµ¿÷Œ¿ ø,2023-04-21,32.18,32.25,31.36,31.36,169288,
