╢ЗбК,╪РЁф,хуфз,©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),
002842.SZ,оХПьныр╣,2017-01-19,13.7,16.44,13.7,16.44,9502,
002842.SZ,оХПьныр╣,2017-01-20,18.08,18.08,18.08,18.08,6504,
002842.SZ,оХПьныр╣,2017-01-23,19.89,19.89,19.89,19.89,4404,
002842.SZ,оХПьныр╣,2017-01-24,21.88,21.88,21.88,21.88,5604,
002842.SZ,оХПьныр╣,2017-01-25,24.07,24.07,24.07,24.07,10711,
002842.SZ,оХПьныр╣,2017-01-26,26.48,26.48,26.48,26.48,21515,
002842.SZ,оХПьныр╣,2017-02-03,29.13,29.13,29.13,29.13,33978,
002842.SZ,оХПьныр╣,2017-02-06,32.04,32.04,32.04,32.04,181425,
002842.SZ,оХПьныр╣,2017-02-07,35.24,35.24,35.24,35.24,78038,
002842.SZ,оХПьныр╣,2017-02-08,38.76,38.76,38.76,38.76,55714,
002842.SZ,оХПьныр╣,2017-02-09,42.64,42.64,42.64,42.64,77996,
002842.SZ,оХПьныр╣,2017-02-10,46.9,46.9,46.9,46.9,183577,
002842.SZ,оХПьныр╣,2017-02-13,50,51.59,49.03,51.59,6890073,
002842.SZ,оХПьныр╣,2017-02-14,54,56.75,53.01,56.75,9503341,
002842.SZ,оХПьныр╣,2017-02-15,59.27,62.43,57.3,58.89,15786170,
002842.SZ,оХПьныр╣,2017-02-16,57,61.03,55.68,57.9,12156069,
002842.SZ,оХПьныр╣,2017-02-17,55.98,55.98,52.11,52.11,9525767,
002842.SZ,оХПьныр╣,2017-02-20,50.43,51.48,48.03,48.66,7524553,
002842.SZ,оХПьныр╣,2017-02-21,49,52.39,47.88,50.37,7664366,
002842.SZ,оХПьныр╣,2017-02-22,49.66,53.77,49.66,51.73,7507881,
002842.SZ,оХПьныр╣,2017-02-23,51,56.9,50.75,56.9,11885857,
002842.SZ,оХПьныр╣,2017-02-24,58,58.56,54.5,55.8,12558287,
002842.SZ,оХПьныр╣,2017-02-27,55.51,56.3,53.92,54.73,7756558,
002842.SZ,оХПьныр╣,2017-02-28,54.4,57.48,53.21,56.01,9423425,
002842.SZ,оХПьныр╣,2017-03-01,55.01,55.49,53.58,53.62,7111554,
002842.SZ,оХПьныр╣,2017-03-02,53,56.9,52.7,54.5,8410720,
002842.SZ,оХПьныр╣,2017-03-03,54.9,59.95,54.15,57.24,11221689,
002842.SZ,оХПьныр╣,2017-03-06,56.6,58.51,55.66,58.25,8408754,
002842.SZ,оХПьныр╣,2017-03-07,58.1,58.66,56.6,57.74,6635179,
002842.SZ,оХПьныр╣,2017-03-08,57.89,60.5,57.33,60.5,9692823,
002842.SZ,оХПьныр╣,2017-03-09,59.8,59.8,56.6,57,7696760,
002842.SZ,оХПьныр╣,2017-03-10,56.04,57.46,55.8,56,4275084,
002842.SZ,оХПьныр╣,2017-03-13,55.48,56.99,54,56.71,4354813,
002842.SZ,оХПьныр╣,2017-03-14,56.3,58.5,56.12,58.1,6174249,
002842.SZ,оХПьныр╣,2017-03-15,57.77,59.38,56.13,58.89,6648446,
002842.SZ,оХПьныр╣,2017-03-16,59.38,64.78,59.38,62.38,13263814,
002842.SZ,оХПьныр╣,2017-03-17,61.52,66.37,61.52,62.85,13336864,
002842.SZ,оХПьныр╣,2017-03-20,61.2,64.44,60.05,63.64,7798834,
002842.SZ,оХПьныр╣,2017-03-21,62.9,64.5,62.35,64.31,7085595,
002842.SZ,оХПьныр╣,2017-03-22,63.5,67,63.31,64.59,7764656,
002842.SZ,оХПьныр╣,2017-03-23,63.7,64.19,60.02,61.2,6935508,
002842.SZ,оХПьныр╣,2017-03-24,61.28,62.93,60.8,61.96,4575699,
002842.SZ,оХПьныр╣,2017-03-27,61.55,63.6,61.4,63.3,4468255,
002842.SZ,оХПьныр╣,2017-03-28,63.41,63.94,59.98,59.98,4872988,
002842.SZ,оХПьныр╣,2017-03-29,59.42,60.3,54.3,54.6,5570192,
002842.SZ,оХПьныр╣,2017-03-30,54.05,56.68,54.05,55.26,4327969,
002842.SZ,оХПьныр╣,2017-03-31,55.23,56.5,51,51.62,5040405,
002842.SZ,оХПьныр╣,2017-04-05,50.99,52.5,47.81,52.18,4415016,
002842.SZ,оХПьныр╣,2017-04-06,51.7,53.47,51.3,52.2,3408185,
002842.SZ,оХПьныр╣,2017-04-07,52,53.28,50.82,50.97,3004451,
002842.SZ,оХПьныр╣,2017-04-10,50,51.5,45.87,45.87,4245026,
002842.SZ,оХПьныр╣,2017-04-11,45.59,47.06,44.73,46.81,3535250,
002842.SZ,оХПьныр╣,2017-04-12,46.55,47.25,45.15,45.37,2534047,
002842.SZ,оХПьныр╣,2017-04-13,45.2,46.49,45,45.15,1875040,
002842.SZ,оХПьныр╣,2017-04-14,45.01,45.98,44.03,44.64,2159467,
002842.SZ,оХПьныр╣,2017-04-17,42.01,42.89,40.18,40.2,3251176,
002842.SZ,оХПьныр╣,2017-04-18,40.22,40.97,39.35,39.6,1823994,
002842.SZ,оХПьныр╣,2017-04-19,39.32,41.1,39.25,41,2686484,
002842.SZ,оХПьныр╣,2017-04-20,40.76,41.4,39.8,40.36,2027802,
002842.SZ,оХПьныр╣,2017-04-21,40.36,40.88,39.81,40,1250372,
002842.SZ,оХПьныр╣,2017-04-24,39.6,40.05,38.5,38.86,1484445,
002842.SZ,оХПьныр╣,2017-04-25,39,39.96,39,39.8,1457989,
002842.SZ,оХПьныр╣,2017-04-26,39.2,41.58,38.8,40.94,2595596,
002842.SZ,оХПьныр╣,2017-04-27,40.5,42.95,40.12,42.26,3337133,
002842.SZ,оХПьныр╣,2017-04-28,41.98,42.69,41.86,42.15,1895473,
002842.SZ,оХПьныр╣,2017-05-02,42.1,42.48,40.91,41.36,1755231,
002842.SZ,оХПьныр╣,2017-05-03,41.89,44.97,41.8,42.98,3730923,
002842.SZ,оХПьныр╣,2017-05-04,42,42.4,41.03,41.8,2284063,
002842.SZ,оХПьныр╣,2017-05-05,41.6,41.7,40,40.12,1843985,
002842.SZ,оХПьныр╣,2017-05-08,40.01,40.67,39.05,39.2,1343568,
002842.SZ,оХПьныр╣,2017-05-09,38.9,41.43,38.8,40.52,1622528,
002842.SZ,оХПьныр╣,2017-05-10,40.3,41.23,39.44,39.44,1576071,
002842.SZ,оХПьныр╣,2017-05-11,39,40.57,38.7,40.42,1749515,
002842.SZ,оХПьныр╣,2017-05-12,40.49,41.94,40.05,41.94,2623016,
002842.SZ,оХПьныр╣,2017-05-15,41.78,42.39,41.06,41.3,1619220,
002842.SZ,оХПьныр╣,2017-05-16,41.12,43.45,40.91,43.38,2950878,
002842.SZ,оХПьныр╣,2017-05-17,43.13,43.79,42.35,42.79,2450259,
002842.SZ,оХПьныр╣,2017-05-18,42.55,43.3,42.05,42.22,1504774,
002842.SZ,оХПьныр╣,2017-05-19,42.18,43.4,41.82,42.22,1758998,
002842.SZ,оХПьныр╣,2017-05-22,41.74,41.99,38.5,38.8,2563296,
002842.SZ,оХПьныр╣,2017-05-23,39.1,39.29,35.3,35.39,2308791,
002842.SZ,оХПьныр╣,2017-05-24,35.1,35.98,34.01,35.41,1544902,
002842.SZ,оХПьныр╣,2017-05-25,35.39,35.86,33.5,35.41,1616004,
002842.SZ,оХПьныр╣,2017-05-26,35.43,36.37,35.3,35.76,1277979,
002842.SZ,оХПьныр╣,2017-05-31,36.89,37.5,35.17,35.35,1699152,
002842.SZ,оХПьныр╣,2017-06-01,34.9,35.17,32.8,32.85,1380368,
002842.SZ,оХПьныр╣,2017-06-02,32.8,34.5,32.54,34,1249211,
002842.SZ,оХПьныр╣,2017-06-05,34.7,34.93,34.16,34.4,990011,
002842.SZ,оХПьныр╣,2017-06-06,34.02,34.74,34,34.64,597910,
002842.SZ,оХПьныр╣,2017-06-07,34.75,36.21,34.56,36.02,1517867,
002842.SZ,оХПьныр╣,2017-06-08,36.05,39.62,36.05,36.95,2697790,
002842.SZ,оХПьныр╣,2017-06-09,36.85,38.79,36.53,38.35,2920557,
002842.SZ,оХПьныр╣,2017-06-12,37.45,37.45,35.61,35.84,2314144,
002842.SZ,оХПьныр╣,2017-06-13,35.46,39.42,35.46,39.42,3749170,
002842.SZ,оХПьныр╣,2017-06-14,40,40.88,39,39.51,5146790,
002842.SZ,оХПьныр╣,2017-06-15,39.1,40.5,38.7,40.06,3461547,
002842.SZ,оХПьныр╣,2017-06-16,39.7,42.4,38.88,40.61,4545333,
002842.SZ,оХПьныр╣,2017-06-19,40.23,40.42,39.4,39.85,2163011,
002842.SZ,оХПьныр╣,2017-06-20,39.83,40.2,39.21,39.34,2170141,
002842.SZ,оХПьныр╣,2017-06-21,39.4,39.67,38.5,38.87,1417950,
002842.SZ,оХПьныр╣,2017-06-22,39.1006,39.7623,37.9677,38.0378,1625106,
002842.SZ,оХПьныр╣,2017-06-23,38.3486,40.053,37.9977,39.9929,2271670,
002842.SZ,оХПьныр╣,2017-06-26,40.1032,42.2888,39.8425,41.7173,4395147,
002842.SZ,оХПьныр╣,2017-06-27,41.3063,42.0782,40.7548,41.2361,3186537,
002842.SZ,оХПьныр╣,2017-06-28,40.9854,42.0682,40.2535,40.5543,2802556,
