代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
601117.SH,中国化学,2015-01-05,9.9097,10.3667,9.6812,10.1798,197137189,
601117.SH,中国化学,2015-01-06,10.0343,10.2213,9.7331,9.9616,147222702,
601117.SH,中国化学,2015-01-07,9.8889,10.2525,9.8266,10.1278,137869016,
601117.SH,中国化学,2015-01-08,10.0759,10.1174,9.4942,9.5357,152544991,
601117.SH,中国化学,2015-01-09,9.4838,9.8058,9.2761,9.2968,146427437,
601117.SH,中国化学,2015-01-12,9.1722,9.2033,8.6944,8.819,110019428,
601117.SH,中国化学,2015-01-13,8.819,8.9748,8.7567,8.8606,57381509,
601117.SH,中国化学,2015-01-14,8.8917,8.9644,8.7982,8.8709,54078388,
601117.SH,中国化学,2015-01-15,8.8813,9.1618,8.8294,9.1514,72977743,
601117.SH,中国化学,2015-01-16,9.193,9.2968,9.1202,9.1618,77785298,
601117.SH,中国化学,2015-01-19,8.5801,8.7878,8.2477,8.2477,116226901,
601117.SH,中国化学,2015-01-20,8.3204,8.5282,8.2165,8.4451,83969445,
601117.SH,中国化学,2015-01-21,8.4658,8.7982,8.3931,8.7671,95155319,
601117.SH,中国化学,2015-01-22,8.7359,8.9644,8.684,8.8709,90872370,
601117.SH,中国化学,2015-01-23,8.9021,8.9644,8.6528,8.7463,89443920,
601117.SH,中国化学,2015-01-26,8.7463,8.954,8.6736,8.9229,67554368,
601117.SH,中国化学,2015-01-27,8.9437,8.9748,8.7047,8.9229,101527688,
601117.SH,中国化学,2015-01-28,8.8294,8.8606,8.6736,8.7151,70485659,
601117.SH,中国化学,2015-01-29,8.5801,8.7359,8.5282,8.6009,45283686,
601117.SH,中国化学,2015-01-30,8.6736,8.7463,8.4347,8.4451,49181448,
601117.SH,中国化学,2015-02-02,8.31,8.3516,8.1023,8.123,58117570,
601117.SH,中国化学,2015-02-03,8.1854,8.3204,8.0607,8.2892,82399533,
601117.SH,中国化学,2015-02-04,8.2996,8.3931,8.2373,8.2581,62679093,
601117.SH,中国化学,2015-02-05,8.4035,8.4451,7.988,7.9984,63048450,
601117.SH,中国化学,2015-02-06,7.988,7.988,7.7387,7.7906,62329214,
601117.SH,中国化学,2015-02-09,7.7699,7.9568,7.7179,7.8634,40946487,
601117.SH,中国化学,2015-02-10,7.8634,8.1854,7.8322,8.1542,64263081,
601117.SH,中国化学,2015-02-11,8.2789,8.2789,8.1023,8.2165,46552363,
601117.SH,中国化学,2015-02-12,8.1958,8.2789,8.1646,8.2373,31963052,
601117.SH,中国化学,2015-02-13,8.2685,8.4451,8.2477,8.3204,49821501,
601117.SH,中国化学,2015-02-16,8.31,8.3827,8.2789,8.3204,44476328,
601117.SH,中国化学,2015-02-17,8.3204,8.5178,8.3204,8.4658,55151514,
601117.SH,中国化学,2015-02-25,8.497,8.5385,8.3516,8.3827,47779634,
601117.SH,中国化学,2015-02-26,8.3827,8.8813,8.2789,8.8502,150317029,
601117.SH,中国化学,2015-02-27,8.7878,8.8502,8.6944,8.7567,88824442,
601117.SH,中国化学,2015-03-02,8.8294,8.8813,8.7463,8.8606,82760528,
601117.SH,中国化学,2015-03-03,8.8294,8.8398,8.5801,8.6113,92040221,
