ДњТы,МђГЦ,ШеЦк,ПЊХЬМл(дЊ),зюИпМл(дЊ),зюЕЭМл(дЊ),ЪеХЬМл(дЊ),ГЩНЛСП(ЙЩ),
300201.SZ,КЃТзем,2015-01-05,30.0123,30.8103,29.835,30.633,5470009,
300201.SZ,КЃТзем,2015-01-06,30.1897,31.7413,30.0567,31.6083,8308156,
300201.SZ,КЃТзем,2015-01-07,31.9629,32.0073,31.0763,31.4309,4764397,
300201.SZ,КЃТзем,2015-01-08,31.3866,31.5196,30.899,30.9433,5053501,
300201.SZ,КЃТзем,2015-01-09,30.899,31.3423,30.5,30.5443,4382783,
300201.SZ,КЃТзем,2015-01-12,30.4557,30.5,29.6577,30.0123,4233075,
300201.SZ,КЃТзем,2015-01-13,30.0123,30.7216,29.968,30.5,2905487,
300201.SZ,КЃТзем,2015-01-14,30.9433,31.6526,30.633,30.9876,6056017,
300201.SZ,КЃТзем,2015-01-15,31.032,31.298,30.5,30.8546,3634652,
300201.SZ,КЃТзем,2015-01-16,30.9876,31.3423,30.8103,30.9876,4055314,
300201.SZ,КЃТзем,2015-01-19,30.7216,31.7856,30.1453,30.7216,7993204,
300201.SZ,КЃТзем,2015-01-20,31.3423,32.3176,31.032,32.1846,9916418,
300201.SZ,КЃТзем,2015-01-21,32.0516,32.6279,31.9186,32.4062,10071671,
300201.SZ,КЃТзем,2015-01-22,32.2732,32.5836,32.0516,32.4949,8111934,
300201.SZ,КЃТзем,2015-01-23,32.6722,33.6032,32.6722,32.9382,10963393,
300201.SZ,КЃТзем,2015-01-26,32.9382,33.6918,32.9382,33.4702,7379296,
300201.SZ,КЃТзем,2015-01-27,33.4702,33.5589,32.4949,33.0712,6742637,
300201.SZ,КЃТзем,2015-01-28,33.0712,33.4259,32.8052,32.9825,4420125,
300201.SZ,КЃТзем,2015-01-29,32.8939,33.1155,32.4949,32.5836,4324411,
300201.SZ,КЃТзем,2015-01-30,32.5836,33.1155,32.2732,32.4949,4054008,
300201.SZ,КЃТзем,2015-02-02,32.1403,33.0269,31.9186,32.6722,4189716,
300201.SZ,КЃТзем,2015-02-03,32.7609,33.2929,32.7166,33.1155,4602067,
300201.SZ,КЃТзем,2015-02-04,33.1155,33.8692,33.1155,33.3815,6803687,
300201.SZ,КЃТзем,2015-02-05,33.4702,34.0022,33.1155,33.5145,7658341,
300201.SZ,КЃТзем,2015-02-06,33.6032,34.5785,33.3815,33.3815,9794349,
300201.SZ,КЃТзем,2015-02-09,33.2485,33.2929,31.7413,31.9186,5289470,
300201.SZ,КЃТзем,2015-02-10,31.9186,32.4062,31.7413,32.3619,3517912,
300201.SZ,КЃТзем,2015-02-11,32.4062,32.8939,32.3619,32.5392,2809025,
300201.SZ,КЃТзем,2015-02-12,32.5836,33.4702,32.5836,33.4259,5020052,
300201.SZ,КЃТзем,2015-02-13,33.4259,36.2631,33.3372,35.1991,14363641,
300201.SZ,КЃТзем,2015-02-16,35.9084,37.2384,35.6868,37.061,12969868,
300201.SZ,КЃТзем,2015-02-17,37.2384,37.5487,35.9971,36.6177,8982883,
300201.SZ,КЃТзем,2015-02-25,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-02-26,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-02-27,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-02,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-03,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-04,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-05,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-06,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-09,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-10,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-11,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-12,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-13,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-16,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-17,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-18,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-19,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-20,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-23,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-24,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-25,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-26,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-27,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-30,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-03-31,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-04-01,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-04-02,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-04-03,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-04-07,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-04-08,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-04-09,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-04-10,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-04-13,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-04-14,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-04-15,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-04-16,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-04-17,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-04-20,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-04-21,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-04-22,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-04-23,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-04-24,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-04-27,36.6177,36.6177,36.6177,36.6177,0,
300201.SZ,КЃТзем,2015-04-28,40.2972,40.2972,40.2972,40.2972,117229,
300201.SZ,КЃТзем,2015-04-29,44.3314,44.3314,44.3314,44.3314,115640,
300201.SZ,КЃТзем,2015-04-30,48.7645,48.7645,48.7645,48.7645,86793,
300201.SZ,КЃТзем,2015-05-04,53.641,53.641,53.641,53.641,6238168,
300201.SZ,КЃТзем,2015-05-05,57.6308,59.0051,54.7049,59.0051,44708760,
300201.SZ,КЃТзем,2015-05-06,60.202,63.3939,56.4782,59.1824,58949044,
300201.SZ,КЃТзем,2015-05-07,55.4142,56.7442,53.2863,53.2863,27594364,
300201.SZ,КЃТзем,2015-05-08,53.0203,54.6163,52.0007,53.8183,30798627,
300201.SZ,КЃТзем,2015-05-11,54.0843,59.1824,53.4193,59.1824,23474467,
300201.SZ,КЃТзем,2015-05-12,61.8866,65.1228,60.5123,64.8568,44951641,
300201.SZ,КЃТзем,2015-05-13,61.6206,67.3837,58.3844,63.3939,34796394,
300201.SZ,КЃТзем,2015-05-14,63.3939,69.7333,62.5072,69.7333,36045302,
300201.SZ,КЃТзем,2015-05-15,72.2158,76.6933,69.6003,76.6933,42646149,
300201.SZ,КЃТзем,2015-05-18,80.5058,84.3626,79.7965,84.3626,18651358,
300201.SZ,КЃТзем,2015-05-19,92.7856,92.7856,85.5596,92.7856,42250434,
300201.SZ,КЃТзем,2015-05-20,98.859,102.0508,94.3815,102.0508,21959868,
300201.SZ,КЃТзем,2015-05-21,106.6613,112.2471,106.484,112.2471,12833972,
300201.SZ,КЃТзем,2015-05-22,123.4629,123.4629,104.6221,107.8582,67361436,
300201.SZ,КЃТзем,2015-05-25,100.6736,112.5593,97.0813,105.5521,40815834,
300201.SZ,КЃТзем,2015-05-26,103.9111,116.1073,103.5563,116.1073,32893859,
300201.SZ,КЃТзем,2015-05-27,122.8484,123.2919,111.761,115.3533,35706317,
300201.SZ,КЃТзем,2015-05-28,110.874,112.8698,103.8224,103.8224,36274072,
300201.SZ,КЃТзем,2015-05-29,98.944,106.4391,93.9325,99.3431,30884043,
300201.SZ,КЃТзем,2015-06-01,98.19,104.5764,96.7265,102.3589,28298868,
300201.SZ,КЃТзем,2015-06-02,99.831,104.2216,97.3474,104.0442,29137934,
300201.SZ,КЃТзем,2015-06-03,103.2015,113.535,102.2702,109.1444,33053969,
300201.SZ,КЃТзем,2015-06-04,103.7337,107.7252,98.2344,99.8753,26787740,
300201.SZ,КЃТзем,2015-06-05,100.8067,103.4233,93.4003,97.4804,25961425,
300201.SZ,КЃТзем,2015-06-08,97.5691,97.5691,88.6992,90.6063,21654528,
300201.SZ,КЃТзем,2015-06-09,89.808,97.5248,86.9252,94.9525,20288599,
300201.SZ,КЃТзем,2015-06-10,94.5534,100.0084,92.0254,97.7465,18554952,
300201.SZ,КЃТзем,2015-06-11,97.0369,98.8109,94.376,95.3073,13343846,
300201.SZ,КЃТзем,2015-06-12,96.0169,99.7866,93.9325,98.5005,18066766,
300201.SZ,КЃТзем,2015-06-15,97.3917,97.5691,92.2472,92.6463,14868822,
300201.SZ,КЃТзем,2015-06-16,90.0297,90.8724,84.2643,85.1513,15377952,
300201.SZ,КЃТзем,2015-06-17,84.3086,87.3687,80.0954,87.28,13431098,
300201.SZ,КЃТзем,2015-06-18,87.28,90.4732,84.353,85.1513,11695049,
300201.SZ,КЃТзем,2015-06-19,84.2643,84.2643,76.6361,76.6361,10057650,
300201.SZ,КЃТзем,2015-06-23,76.1039,81.4259,71.8464,81.0267,14513532,
300201.SZ,КЃТзем,2015-06-24,82.5346,85.5504,80.9824,83.8208,13380839,
300201.SZ,КЃТзем,2015-06-25,84.7078,85.7721,77.6118,79.3858,11795426,
300201.SZ,КЃТзем,2015-06-26,75.3943,77.6118,71.4472,71.4472,15774581,
300201.SZ,КЃТзем,2015-06-29,75.3943,75.3943,64.3069,64.7504,15041766,
300201.SZ,КЃТзем,2015-06-30,62.9764,70.9594,58.2754,70.5159,17330739,
300201.SZ,КЃТзем,2015-07-01,69.9837,73.4873,63.5086,65.5044,16429782,
300201.SZ,КЃТзем,2015-07-02,66.3027,66.9679,58.9406,58.9406,14671348,
300201.SZ,КЃТзем,2015-07-03,57.6545,61.8234,53.0421,53.1752,16920658,
300201.SZ,КЃТзем,2015-07-06,58.4971,58.4971,47.8532,48.1193,17144580,
300201.SZ,КЃТзем,2015-07-07,45.6357,46.301,43.3296,43.3296,6977455,
300201.SZ,КЃТзем,2015-07-08,43.3296,43.3296,43.3296,43.3296,0,
300201.SZ,КЃТзем,2015-07-09,43.3296,43.3296,43.3296,43.3296,0,
300201.SZ,КЃТзем,2015-07-10,43.3296,43.3296,43.3296,43.3296,0,
300201.SZ,КЃТзем,2015-07-13,43.3296,43.3296,43.3296,43.3296,0,
300201.SZ,КЃТзем,2015-07-14,43.3296,43.3296,43.3296,43.3296,0,
300201.SZ,КЃТзем,2015-07-15,47.6758,47.6758,47.6758,47.6758,1167749,
300201.SZ,КЃТзем,2015-07-16,47.6758,52.4656,42.9304,52.4656,37241976,
300201.SZ,КЃТзем,2015-07-17,52.1108,57.6988,52.1108,57.6988,29245289,
300201.SZ,КЃТзем,2015-07-20,57.6545,63.4199,57.1223,62.6216,30249939,
300201.SZ,КЃТзем,2015-07-21,62.0895,65.1939,59.5172,61.6903,31174180,
300201.SZ,КЃТзем,2015-07-22,60.3155,66.9679,59.3398,65.8592,26211933,
300201.SZ,КЃТзем,2015-07-23,64.7504,69.5402,63.2425,67.1453,21536496,
