´úÂë,¼ò³Æ,ÈÕÆÚ,¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),
300036.SZ,³¬Í¼Èí¼þ,2015-01-05,36.4853,36.8275,34.2202,36.469,1699206,
300036.SZ,³¬Í¼Èí¼þ,2015-01-06,36.2571,38.3592,35.8497,38.3592,3465992,
300036.SZ,³¬Í¼Èí¼þ,2015-01-07,38.2126,38.2126,36.8926,37.3163,1903390,
300036.SZ,³¬Í¼Èí¼þ,2015-01-08,37.0719,37.9681,36.5016,36.6645,2692951,
300036.SZ,³¬Í¼Èí¼þ,2015-01-09,36.5016,38.3755,36.1105,36.9252,2920406,
300036.SZ,³¬Í¼Èí¼þ,2015-01-12,36.6645,37.7889,36.0942,37.0556,2096232,
300036.SZ,³¬Í¼Èí¼þ,2015-01-13,36.746,40.0539,36.3386,40.0051,5455244,
300036.SZ,³¬Í¼Èí¼þ,2015-01-14,39.3044,39.8095,38.5874,38.7014,2719081,
300036.SZ,³¬Í¼Èí¼þ,2015-01-15,38.4081,39.2718,37.4793,37.6748,2990812,
300036.SZ,³¬Í¼Èí¼þ,2015-01-16,37.7237,40.6732,37.6911,40.5428,5149780,
300036.SZ,³¬Í¼Èí¼þ,2015-01-19,39.2392,42.6123,38.7829,41.0154,6203570,
300036.SZ,³¬Í¼Èí¼þ,2015-01-20,41.1457,44.307,41.1457,43.5249,4829056,
300036.SZ,³¬Í¼Èí¼þ,2015-01-21,43.9159,43.9159,42.3842,42.8567,4154477,
300036.SZ,³¬Í¼Èí¼þ,2015-01-22,42.9056,45.4314,42.4494,45.0892,4751166,
300036.SZ,³¬Í¼Èí¼þ,2015-01-23,44.9751,44.9751,43.3945,44.1604,3124049,
300036.SZ,³¬Í¼Èí¼þ,2015-01-26,44.2418,47.2891,44.2418,46.3765,4543915,
300036.SZ,³¬Í¼Èí¼þ,2015-01-27,47.7453,48.4623,46.1158,47.175,4837661,
300036.SZ,³¬Í¼Èí¼þ,2015-01-28,47.3868,50.32,46.4743,47.1587,6212977,
300036.SZ,³¬Í¼Èí¼þ,2015-01-29,47.1587,49.8637,45.301,46.6373,4378453,
300036.SZ,³¬Í¼Èí¼þ,2015-01-30,46.1158,46.5558,43.3945,43.3945,3987113,
300036.SZ,³¬Í¼Èí¼þ,2015-02-02,43.9974,45.9529,43.5086,45.301,4177003,
300036.SZ,³¬Í¼Èí¼þ,2015-02-03,45.5944,48.8697,45.3988,47.6802,5867052,
300036.SZ,³¬Í¼Èí¼þ,2015-02-04,47.6802,52.4547,47.4194,51.8518,7360235,
300036.SZ,³¬Í¼Èí¼þ,2015-02-05,51.2488,54.8827,50.0267,52.031,7415917,
300036.SZ,³¬Í¼Èí¼þ,2015-02-06,51.6236,53.3672,50.2874,51.4281,3053020,
300036.SZ,³¬Í¼Èí¼þ,2015-02-09,51.4118,52.6339,48.9349,49.326,2542886,
300036.SZ,³¬Í¼Èí¼þ,2015-02-10,49.049,50.8415,48.055,50.483,2765522,
300036.SZ,³¬Í¼Èí¼þ,2015-02-11,50.3526,55.3879,49.8149,54.9968,4264441,
300036.SZ,³¬Í¼Èí¼þ,2015-02-12,54.5568,55.6975,53.2858,53.5139,2998735,
300036.SZ,³¬Í¼Èí¼þ,2015-02-13,53.4487,54.5079,51.3303,53.5465,4463379,
300036.SZ,³¬Í¼Èí¼þ,2015-02-16,52.9599,55.4856,52.4384,54.4427,4155048,
300036.SZ,³¬Í¼Èí¼þ,2015-02-17,54.459,54.8338,51.9821,52.2266,4531579,
300036.SZ,³¬Í¼Èí¼þ,2015-02-25,52.1777,52.6828,49.8311,50.0593,2556022,
300036.SZ,³¬Í¼Èí¼þ,2015-02-26,50.5644,50.76,48.169,49.9126,4015687,
300036.SZ,³¬Í¼Èí¼þ,2015-02-27,49.9778,51.7377,49.4889,51.4444,3437269,
300036.SZ,³¬Í¼Èí¼þ,2015-03-02,51.477,56.5937,50.483,56.5937,7198279,
300036.SZ,³¬Í¼Èí¼þ,2015-03-03,61.1075,62.2482,58.3373,60.5535,16541218,
300036.SZ,³¬Í¼Èí¼þ,2015-03-04,59.6409,60.8957,58.6958,60.6187,6880594,
300036.SZ,³¬Í¼Èí¼þ,2015-03-05,59.918,63.0467,59.918,61.1564,5436185,
300036.SZ,³¬Í¼Èí¼þ,2015-03-06,61.1564,61.8897,55.6486,56.8707,5588133,
300036.SZ,³¬Í¼Èí¼þ,2015-03-09,56.4634,59.5758,55.4042,58.6958,4089021,
300036.SZ,³¬Í¼Èí¼þ,2015-03-10,58.7447,64.2525,57.8485,63.063,5915454,
300036.SZ,³¬Í¼Èí¼þ,2015-03-11,61.9712,64.611,61.0749,62.4437,3852760,
300036.SZ,³¬Í¼Èí¼þ,2015-03-12,61.7593,61.7593,58.8262,59.6246,3057467,
300036.SZ,³¬Í¼Èí¼þ,2015-03-13,60.1135,62.069,58.6632,60.9772,2740607,
300036.SZ,³¬Í¼Èí¼þ,2015-03-16,60.6187,64.3666,60.5372,63.5681,4057680,
300036.SZ,³¬Í¼Èí¼þ,2015-03-17,64.2036,67.642,64.2036,66.0124,5385178,
300036.SZ,³¬Í¼Èí¼þ,2015-03-18,66.0776,69.0922,62.9163,67.9679,5782392,
300036.SZ,³¬Í¼Èí¼þ,2015-03-19,66.762,74.763,65.9309,74.763,7671568,
300036.SZ,³¬Í¼Èí¼þ,2015-03-20,74.1438,82.2426,74.1438,82.2426,6782772,
300036.SZ,³¬Í¼Èí¼þ,2015-03-23,85.5505,90.4717,82.9433,90.4717,6980022,
300036.SZ,³¬Í¼Èí¼þ,2015-03-24,90.4717,90.4717,90.4717,90.4717,0,
300036.SZ,³¬Í¼Èí¼þ,2015-03-25,90.4717,90.4717,90.4717,90.4717,0,
300036.SZ,³¬Í¼Èí¼þ,2015-03-26,90.4717,90.4717,90.4717,90.4717,0,
300036.SZ,³¬Í¼Èí¼þ,2015-03-27,90.4717,90.4717,90.4717,90.4717,0,
300036.SZ,³¬Í¼Èí¼þ,2015-03-30,90.4717,90.4717,90.4717,90.4717,0,
300036.SZ,³¬Í¼Èí¼þ,2015-03-31,90.4717,90.4717,90.4717,90.4717,0,
300036.SZ,³¬Í¼Èí¼þ,2015-04-01,90.4717,90.4717,90.4717,90.4717,0,
300036.SZ,³¬Í¼Èí¼þ,2015-04-02,90.4717,90.4717,90.4717,90.4717,0,
300036.SZ,³¬Í¼Èí¼þ,2015-04-03,90.4717,90.4717,90.4717,90.4717,0,
300036.SZ,³¬Í¼Èí¼þ,2015-04-07,90.4717,90.4717,90.4717,90.4717,0,
300036.SZ,³¬Í¼Èí¼þ,2015-04-08,90.4717,90.4717,90.4717,90.4717,0,
300036.SZ,³¬Í¼Èí¼þ,2015-04-09,90.4717,90.4717,90.4717,90.4717,0,
300036.SZ,³¬Í¼Èí¼þ,2015-04-10,90.4717,90.4717,90.4717,90.4717,0,
300036.SZ,³¬Í¼Èí¼þ,2015-04-13,90.4717,90.4717,90.4717,90.4717,0,
300036.SZ,³¬Í¼Èí¼þ,2015-04-14,89.6244,91.2376,81.4278,81.4604,14779412,
300036.SZ,³¬Í¼Èí¼þ,2015-04-15,79.5864,80.613,73.3127,73.3127,7692031,
300036.SZ,³¬Í¼Èí¼þ,2015-04-16,70.8847,76.4088,69.8744,72.2535,7972961,
