╢ЗбК,╪РЁф,хуфз,©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),
603656.SH,л╘╨лжгдэ,2017-03-21,26.29,31.55,26.29,31.55,920,
603656.SH,л╘╨лжгдэ,2017-03-22,34.71,34.71,34.71,34.71,2600,
603656.SH,л╘╨лжгдэ,2017-03-23,38.18,38.18,38.18,38.18,2700,
603656.SH,л╘╨лжгдэ,2017-03-24,42,42,42,42,6700,
603656.SH,л╘╨лжгдэ,2017-03-27,46.2,46.2,46.2,46.2,2500,
603656.SH,л╘╨лжгдэ,2017-03-28,50.82,50.82,50.82,50.82,8700,
603656.SH,л╘╨лжгдэ,2017-03-29,55.9,55.9,55.9,55.9,9300,
603656.SH,л╘╨лжгдэ,2017-03-30,61.49,61.49,61.49,61.49,41605,
603656.SH,л╘╨лжгдэ,2017-03-31,67.64,67.64,67.64,67.64,62700,
603656.SH,л╘╨лжгдэ,2017-04-05,74.39,74.4,65.5,67.71,7953725,
603656.SH,л╘╨лжгдэ,2017-04-06,67.71,74.48,66.1,74.48,8361133,
603656.SH,л╘╨лжгдэ,2017-04-07,73.8,75.26,70.77,71.53,6206229,
603656.SH,л╘╨лжгдэ,2017-04-10,69,69.6,64.38,64.38,5312148,
603656.SH,л╘╨лжгдэ,2017-04-11,62.75,68.16,62.66,67.9,3893481,
603656.SH,л╘╨лжгдэ,2017-04-12,67.4,70.4,66.75,68.55,3617564,
603656.SH,л╘╨лжгдэ,2017-04-13,67.5,69.75,66.78,69.07,2150319,
603656.SH,л╘╨лжгдэ,2017-04-14,68.18,69.12,64.88,65.19,1827905,
603656.SH,л╘╨лжгдэ,2017-04-17,60.38,62.3,58.67,58.67,3347205,
603656.SH,л╘╨лжгдэ,2017-04-18,58.81,60.29,57,57.62,1655354,
603656.SH,л╘╨лжгдэ,2017-04-19,57.02,60.28,57,60.15,2094778,
603656.SH,л╘╨лжгдэ,2017-04-20,59.85,60.17,57.2,59.82,1813283,
603656.SH,л╘╨лжгдэ,2017-04-21,59.3,60.28,59.14,59.28,960300,
603656.SH,л╘╨лжгдэ,2017-04-24,58.61,60.19,56.57,59.32,1297163,
603656.SH,л╘╨лжгдэ,2017-04-25,59.98,61.19,58.82,59.32,1162040,
603656.SH,л╘╨лжгдэ,2017-04-26,59,60.48,58.61,59.46,993253,
603656.SH,л╘╨лжгдэ,2017-04-27,59.54,63,57.92,62.57,2235903,
603656.SH,л╘╨лжгдэ,2017-04-28,62,62.44,61.08,61.82,1372393,
603656.SH,л╘╨лжгдэ,2017-05-02,61.99,61.99,57.3,57.93,1871355,
603656.SH,л╘╨лжгдэ,2017-05-03,57.62,58.78,54.8,57.92,2097675,
603656.SH,л╘╨лжгдэ,2017-05-04,57.37,57.37,55.88,56.35,996700,
603656.SH,л╘╨лжгдэ,2017-05-05,55.57,57.75,55.57,55.7,847500,
603656.SH,л╘╨лжгдэ,2017-05-08,55.59,56.37,53.11,53.18,776803,
603656.SH,л╘╨лжгдэ,2017-05-09,53.2,54.6,53.03,54.2,1028800,
603656.SH,л╘╨лжгдэ,2017-05-10,54.3,54.57,52.56,52.94,1000500,
603656.SH,л╘╨лжгдэ,2017-05-11,52.49,53.88,51.89,53.68,997500,
603656.SH,л╘╨лжгдэ,2017-05-12,53.13,54.52,53.13,54.49,916700,
603656.SH,л╘╨лжгдэ,2017-05-15,54.7,54.78,53.55,53.69,620100,
603656.SH,л╘╨лжгдэ,2017-05-16,53.3,55.9,52.28,55.84,1199668,
603656.SH,л╘╨лжгдэ,2017-05-17,55.92,57.16,55.58,56.48,1295473,
603656.SH,л╘╨лжгдэ,2017-05-18,55.8,56.77,55.05,55.41,859073,
603656.SH,л╘╨лжгдэ,2017-05-19,55.02,55.54,53.52,53.68,706673,
603656.SH,л╘╨лжгдэ,2017-05-22,53.7,53.7,49.88,49.92,1538100,
603656.SH,л╘╨лжгдэ,2017-05-23,49.46,50.33,47.45,47.57,763215,
603656.SH,л╘╨лжгдэ,2017-05-24,47.22,48.79,47.02,48.44,536500,
603656.SH,л╘╨лжгдэ,2017-05-25,48.44,48.79,46.78,48.05,730787,
603656.SH,л╘╨лжгдэ,2017-05-26,48,49.07,47.6,48.57,445287,
603656.SH,л╘╨лжгдэ,2017-05-31,50.1,51.16,49.01,49.05,899500,
603656.SH,л╘╨лжгдэ,2017-06-01,48.79,48.79,47.1,47.15,677300,
603656.SH,л╘╨лжгдэ,2017-06-02,47.45,48.97,46.67,48.63,433169,
603656.SH,л╘╨лжгдэ,2017-06-05,49.81,50.09,48,48.64,691719,
603656.SH,л╘╨лжгдэ,2017-06-06,48.17,48.59,47.88,48.42,346800,
603656.SH,л╘╨лжгдэ,2017-06-07,48.31,50.25,48.31,49.92,943889,
603656.SH,л╘╨лжгдэ,2017-06-08,50.19,50.8,49.49,49.97,790469,
603656.SH,л╘╨лжгдэ,2017-06-09,49.9,50.77,49.7,50.74,636589,
603656.SH,л╘╨лжгдэ,2017-06-12,50.05,50.4,48.85,48.97,574900,
603656.SH,л╘╨лжгдэ,2017-06-13,49.02,50.49,49.02,50.3,658500,
603656.SH,л╘╨лжгдэ,2017-06-14,50.047,50.8762,49.3303,49.6957,681000,
603656.SH,л╘╨лжгдэ,2017-06-15,49.1476,51.1011,48.5573,50.553,1137123,
603656.SH,л╘╨лжгдэ,2017-06-16,50.5249,50.5249,49.1476,49.3022,1255840,
603656.SH,л╘╨лжгдэ,2017-06-19,48.9368,49.3162,48.6416,49.2178,606364,
603656.SH,л╘╨лжгдэ,2017-06-20,49.7097,49.7097,48.8384,48.9368,623384,
603656.SH,л╘╨лжгдэ,2017-06-21,48.9368,49.4568,48.0795,48.3605,1111760,
603656.SH,л╘╨лжгдэ,2017-06-22,48.3746,49.6816,47.6578,47.7562,882097,
603656.SH,л╘╨лжгдэ,2017-06-23,47.5032,47.7562,45.5216,47.4611,1534840,
603656.SH,л╘╨лжгдэ,2017-06-26,46.913,47.5876,46.407,47.3908,557177,
603656.SH,л╘╨лжгдэ,2017-06-27,47.6297,48.2059,46.9692,47.5313,662240,
603656.SH,л╘╨лжгдэ,2017-06-28,47.433,47.433,46.1962,46.3648,590620,
603656.SH,л╘╨лжгдэ,2017-06-29,46.5335,47.3065,46.2384,46.5897,533380,
603656.SH,л╘╨лжгдэ,2017-06-30,46.5757,47.2924,45.901,47.2503,681437,
603656.SH,л╘╨лжгдэ,2017-07-03,47.3065,48.0654,47.2221,47.8967,576063,
603656.SH,л╘╨лжгдэ,2017-07-04,47.8967,48.0935,47.5173,47.9108,451800,
603656.SH,л╘╨лжгдэ,2017-07-05,47.9249,48.7681,47.7843,48.6416,703040,
603656.SH,л╘╨лжгдэ,2017-07-06,48.5573,51.2979,48.5573,50.5811,1824516,
603656.SH,л╘╨лжгдэ,2017-07-07,49.6957,52.6471,49.6957,51.1152,1706936,
603656.SH,л╘╨лжгдэ,2017-07-10,50.1173,50.5811,48.7822,49.0632,1035224,
603656.SH,л╘╨лжгдэ,2017-07-11,48.9789,49.5833,48.2059,48.2762,543244,
603656.SH,л╘╨лжгдэ,2017-07-12,48.2762,48.3043,46.674,48.2903,729104,
603656.SH,л╘╨лжгдэ,2017-07-13,48.2762,48.3605,47.3627,47.8265,392360,
603656.SH,л╘╨лжгдэ,2017-07-14,47.3627,48.8103,47.3627,47.8124,379080,
603656.SH,л╘╨лжгдэ,2017-07-17,47.1659,47.18,44.074,44.2427,1159220,
603656.SH,л╘╨лжгдэ,2017-07-18,44.2708,44.7627,43.4416,44.6362,505420,
603656.SH,л╘╨лжгдэ,2017-07-19,44.6362,44.6362,43.7789,44.4675,376000,
