ДњТы,МђГЦ,ШеЦк,ПЊХЬМл(дЊ),зюИпМл(дЊ),зюЕЭМл(дЊ),ЪеХЬМл(дЊ),ГЩНЛСП(ЙЩ),
300027.SZ,ЛЊвъажЕм,2015-01-05,196.5051,203.8853,194.2687,200.2325,34848949,
300027.SZ,ЛЊвъажЕм,2015-01-06,199.8597,220.2855,199.0397,217.3782,96774459,
300027.SZ,ЛЊвъажЕм,2015-01-07,213.9491,216.1855,208.5071,209.1781,59042067,
300027.SZ,ЛЊвъажЕм,2015-01-08,207.9853,213.2781,207.3889,208.0599,42661847,
300027.SZ,ЛЊвъажЕм,2015-01-09,205.8235,212.1599,204.8544,204.8544,38812951,
300027.SZ,ЛЊвъажЕм,2015-01-12,204.8544,208.5817,202.3943,204.5562,24881404,
300027.SZ,ЛЊвъажЕм,2015-01-13,204.6307,208.5817,202.7671,206.2707,25879423,
300027.SZ,ЛЊвъажЕм,2015-01-14,205.7489,207.0162,198.2942,199.4124,28720839,
300027.SZ,ЛЊвъажЕм,2015-01-15,199.0397,201.7979,197.176,200.0088,18491802,
300027.SZ,ЛЊвъажЕм,2015-01-16,200.0834,210.0726,198.7415,205.898,36035604,
300027.SZ,ЛЊвъажЕм,2015-01-19,200.4561,212.6072,197.1015,201.127,48794423,
300027.SZ,ЛЊвъажЕм,2015-01-20,200.1579,208.7308,200.1579,206.1217,36522307,
300027.SZ,ЛЊвъажЕм,2015-01-21,207.6126,220.6583,207.6126,214.9927,83702784,
300027.SZ,ЛЊвъажЕм,2015-01-22,213.9491,217.0055,211.7872,214.62,47640159,
300027.SZ,ЛЊвъажЕм,2015-01-23,214.6945,216.9309,209.849,210.9672,37583968,
300027.SZ,ЛЊвъажЕм,2015-01-26,211.8617,216.1855,210.3708,213.7254,28752359,
300027.SZ,ЛЊвъажЕм,2015-01-27,217.3037,219.1673,212.8309,215.1418,41119895,
300027.SZ,ЛЊвъажЕм,2015-01-28,214.6945,223.6401,214.3218,217.08,58281122,
300027.SZ,ЛЊвъажЕм,2015-01-29,213.9491,215.8127,209.4763,210.8181,29787252,
300027.SZ,ЛЊвъажЕм,2015-01-30,210.8181,212.98,206.2707,206.4198,22075557,
300027.SZ,ЛЊвъажЕм,2015-02-02,205.0035,209.9235,202.618,205.8235,15864643,
300027.SZ,ЛЊвъажЕм,2015-02-03,207.9853,210.5199,206.6435,208.8799,22013704,
300027.SZ,ЛЊвъажЕм,2015-02-04,209.4763,210.5199,205.5253,205.898,20184638,
300027.SZ,ЛЊвъажЕм,2015-02-05,206.4198,214.6945,205.2271,211.4145,45513472,
300027.SZ,ЛЊвъажЕм,2015-02-06,211.1908,213.9491,203.1398,203.8853,26395420,
300027.SZ,ЛЊвъажЕм,2015-02-09,203.1398,203.3634,195.6106,195.8342,31850971,
300027.SZ,ЛЊвъажЕм,2015-02-10,194.9396,201.127,194.9396,200.9034,15934224,
300027.SZ,ЛЊвъажЕм,2015-02-11,201.8725,202.7671,199.7852,201.4252,16007387,
300027.SZ,ЛЊвъажЕм,2015-02-12,202.7671,210.0726,202.3943,207.2399,29223848,
300027.SZ,ЛЊвъажЕм,2015-02-13,210.2217,217.4528,207.9108,213.8,47942517,
300027.SZ,ЛЊвъажЕм,2015-02-16,223.6401,226.6965,217.9746,221.2546,74227597,
300027.SZ,ЛЊвъажЕм,2015-02-17,223.6401,225.5783,216.3346,217.4528,44541925,
300027.SZ,ЛЊвъажЕм,2015-02-25,218.4219,223.1928,213.2036,213.2781,37029295,
300027.SZ,ЛЊвъажЕм,2015-02-26,213.8,216.9309,210.2217,215.1418,28780787,
300027.SZ,ЛЊвъажЕм,2015-02-27,218.4964,236.3876,216.9309,228.0384,94430563,
300027.SZ,ЛЊвъажЕм,2015-03-02,225.8765,230.3493,224.3111,229.3057,57550590,
300027.SZ,ЛЊвъажЕм,2015-03-03,229.2311,233.853,219.9873,220.6583,57816031,
300027.SZ,ЛЊвъажЕм,2015-03-04,218.7946,233.033,218.72,228.7839,59434309,
300027.SZ,ЛЊвъажЕм,2015-03-05,228.8584,236.3131,223.491,225.6529,54768281,
300027.SZ,ЛЊвъажЕм,2015-03-06,224.6092,225.5783,216.3346,216.5582,35998877,
300027.SZ,ЛЊвъажЕм,2015-03-09,215.44,220.6583,213.5763,218.4219,26769862,
300027.SZ,ЛЊвъажЕм,2015-03-10,219.9128,226.0256,218.8691,221.5528,40906567,
300027.SZ,ЛЊвъажЕм,2015-03-11,221.4037,226.1002,216.7818,223.5656,39609804,
300027.SZ,ЛЊвъажЕм,2015-03-12,224.162,225.8765,216.1855,218.9437,32871878,
300027.SZ,ЛЊвъажЕм,2015-03-13,219.0182,225.7274,218.4219,225.7274,40363175,
300027.SZ,ЛЊвъажЕм,2015-03-16,228.3366,230.8712,223.6401,227.9638,59063913,
300027.SZ,ЛЊвъажЕм,2015-03-17,231.3184,239.444,228.0384,232.1385,77743373,
300027.SZ,ЛЊвъажЕм,2015-03-18,230.7221,236.6858,227.9638,235.4185,57659882,
300027.SZ,ЛЊвъажЕм,2015-03-19,235.4931,237.3567,230.2748,233.853,45710849,
300027.SZ,ЛЊвъажЕм,2015-03-20,233.853,240.115,233.1821,235.5676,57517677,
300027.SZ,ЛЊвъажЕм,2015-03-23,237.804,246.0041,235.6422,242.1277,60604453,
300027.SZ,ЛЊвъажЕм,2015-03-24,242.3514,244.8114,232.0639,238.1767,68707641,
300027.SZ,ЛЊвъажЕм,2015-03-25,237.7295,242.7986,233.3312,238.9222,53568153,
300027.SZ,ЛЊвъажЕм,2015-03-26,235.5676,236.984,229.8275,232.5857,45691913,
300027.SZ,ЛЊвъажЕм,2015-03-27,230.7966,234.4494,228.8584,230.7966,33805117,
300027.SZ,ЛЊвъажЕм,2015-03-30,230.3493,234.2258,227.3675,232.2875,44857498,
300027.SZ,ЛЊвъажЕм,2015-03-31,232.2875,238.1767,231.0948,233.1821,44287353,
300027.SZ,ЛЊвъажЕм,2015-04-01,233.7039,239.5931,232.213,237.2822,52968925,
300027.SZ,ЛЊвъажЕм,2015-04-02,240.0404,253.4588,235.5676,253.4588,86537472,
300027.SZ,ЛЊвъажЕм,2015-04-03,257.5589,274.3319,257.5589,263.2244,100761741,
300027.SZ,ЛЊвъажЕм,2015-04-07,263.2244,278.5065,257.9316,268.5172,67644907,
300027.SZ,ЛЊвъажЕм,2015-04-08,269.4864,272.0955,257.2607,260.0189,59606020,
300027.SZ,ЛЊвъажЕм,2015-04-09,259.7953,259.7953,243.4696,253.8315,56786549,
300027.SZ,ЛЊвъажЕм,2015-04-10,250.2533,259.348,249.0606,255.9934,44879742,
300027.SZ,ЛЊвъажЕм,2015-04-13,256.2916,260.4662,251.8188,257.0371,42674057,
300027.SZ,ЛЊвъажЕм,2015-04-14,256.9625,256.9625,246.3023,248.0915,48443440,
300027.SZ,ЛЊвъажЕм,2015-04-15,247.4205,250.1042,238.5495,238.5495,41090035,
300027.SZ,ЛЊвъажЕм,2015-04-16,238.4004,246.9733,237.8786,241.755,32973876,
300027.SZ,ЛЊвъажЕм,2015-04-17,244.9605,263.7463,242.3514,253.4588,58094031,
300027.SZ,ЛЊвъажЕм,2015-04-20,251.3715,253.2352,243.4696,246.0041,44935837,
300027.SZ,ЛЊвъажЕм,2015-04-21,246.0041,261.9571,246.0041,261.0626,59485715,
300027.SZ,ЛЊвъажЕм,2015-04-22,268.3682,270.53,261.1371,261.808,58919501,
300027.SZ,ЛЊвъажЕм,2015-04-23,262.7772,270.53,261.8826,265.6845,56660446,
300027.SZ,ЛЊвъажЕм,2015-04-24,260.988,263.5972,253.5334,258.1553,47094491,
300027.SZ,ЛЊвъажЕм,2015-04-27,260.6898,265.6099,254.9497,258.0062,42744363,
300027.SZ,ЛЊвъажЕм,2015-04-28,258.0062,259.0498,245.1096,247.6442,43819291,
300027.SZ,ЛЊвъажЕм,2015-04-29,248.8405,257.5888,248.3919,256.9159,36285093,
300027.SZ,ЛЊвъажЕм,2015-04-30,260.8788,267.0101,257.9627,261.6265,53109016,
300027.SZ,ЛЊвъажЕм,2015-05-04,264.7669,278.8988,259.4581,272.917,58150201,
300027.SZ,ЛЊвъажЕм,2015-05-05,268.2812,271.6459,256.8411,258.3365,42090639,
300027.SZ,ЛЊвъажЕм,2015-05-06,260.9535,275.534,258.4113,263.1219,56617277,
300027.SZ,ЛЊвъажЕм,2015-05-07,260.9535,267.5335,252.7287,257.5888,38531660,
300027.SZ,ЛЊвъажЕм,2015-05-08,259.9067,283.3851,257.514,283.3851,90619883,
300027.SZ,ЛЊвъажЕм,2015-05-11,289.3668,292.9559,277.3286,288.32,113100297,
300027.SZ,ЛЊвъажЕм,2015-05-12,287.8714,316.8081,285.4039,306.5643,107682128,
300027.SZ,ЛЊвъажЕм,2015-05-13,299.0872,331.8372,295.3486,314.0415,95805539,
300027.SZ,ЛЊвъажЕм,2015-05-14,311.7984,334.9776,308.957,317.7801,78551685,
300027.SZ,ЛЊвъажЕм,2015-05-15,312.6209,317.0324,299.5358,307.2373,56937624,
