ґъВл,јтіЖ,ИХЖЪ,їЄЕМјЫ(ФЄ),ЧоёЯјЫ(ФЄ),ЧоµНјЫ(ФЄ),КХЕМјЫ(ФЄ),іЙЅ»Бї(№Й),
002312.SZ,ґЁ·ўБътю,2015-01-05,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-01-06,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-01-07,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-01-08,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-01-09,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-01-12,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-01-13,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-01-14,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-01-15,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-01-16,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-01-19,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-01-20,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-01-21,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-01-22,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-01-23,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-01-26,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-01-27,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-01-28,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-01-29,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-01-30,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-02-02,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-02-03,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-02-04,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-02-05,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-02-06,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-02-09,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-02-10,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-02-11,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-02-12,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-02-13,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-02-16,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-02-17,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-02-25,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-02-26,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-02-27,165.1377,165.1377,165.1377,165.1377,0,
002312.SZ,ґЁ·ўБътю,2015-03-02,165.1377,165.1377,165.1377,165.1377,0,
