╢ЗбК,╪РЁф,хуфз,©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),
920871.BJ,еиль╤Ш,2022-07-22,5.8,5.99,5.67,5.71,9370722,
920871.BJ,еиль╤Ш,2022-07-25,5.62,5.7,5.5,5.52,3738971,
920871.BJ,еиль╤Ш,2022-07-26,5.5,7.17,5.45,7.17,9156760,
920871.BJ,еиль╤Ш,2022-07-27,6.82,8.38,6.61,7.7,9417179,
920871.BJ,еиль╤Ш,2022-07-28,7.53,7.7,6.88,7.14,4730657,
920871.BJ,еиль╤Ш,2022-07-29,7.14,7.27,6.5,6.51,3371323,
920871.BJ,еиль╤Ш,2022-08-01,6.51,6.63,6.24,6.34,1901861,
920871.BJ,еиль╤Ш,2022-08-02,6.25,6.25,5.66,5.8,2892228,
920871.BJ,еиль╤Ш,2022-08-03,5.87,6.58,5.8,6.18,3073235,
920871.BJ,еиль╤Ш,2022-08-04,6.14,6.68,6.1,6.3,2105780,
920871.BJ,еиль╤Ш,2022-08-05,6.38,6.39,6.05,6.11,1566790,
920871.BJ,еиль╤Ш,2022-08-08,6.12,6.19,5.9,6.06,1277624,
920871.BJ,еиль╤Ш,2022-08-09,6.07,6.09,5.94,6.06,883411,
920871.BJ,еиль╤Ш,2022-08-10,5.98,6.94,5.98,6.66,3934174,
920871.BJ,еиль╤Ш,2022-08-11,6.67,6.69,6.4,6.52,2318370,
920871.BJ,еиль╤Ш,2022-08-12,6.5,6.5,6.29,6.29,1223353,
920871.BJ,еиль╤Ш,2022-08-15,6.31,6.52,6.28,6.52,896031,
920871.BJ,еиль╤Ш,2022-08-16,6.52,6.52,6.38,6.42,951771,
920871.BJ,еиль╤Ш,2022-08-17,6.38,6.49,6.33,6.44,719260,
920871.BJ,еиль╤Ш,2022-08-18,6.38,6.4,6.34,6.36,546115,
920871.BJ,еиль╤Ш,2022-08-19,6.36,6.4,6.2,6.23,791389,
920871.BJ,еиль╤Ш,2022-08-22,6.31,6.31,6.11,6.15,538854,
920871.BJ,еиль╤Ш,2022-08-23,6.18,6.18,6,6.03,960643,
920871.BJ,еиль╤Ш,2022-08-24,6,6.03,5.83,5.93,532164,
920871.BJ,еиль╤Ш,2022-08-25,5.9,5.96,5.82,5.89,362628,
920871.BJ,еиль╤Ш,2022-08-26,5.96,5.96,5.85,5.91,279519,
920871.BJ,еиль╤Ш,2022-08-29,5.81,5.88,5.77,5.86,330937,
920871.BJ,еиль╤Ш,2022-08-30,5.81,5.88,5.78,5.78,452172,
920871.BJ,еиль╤Ш,2022-08-31,5.82,5.82,5.68,5.71,355721,
920871.BJ,еиль╤Ш,2022-09-01,5.7,5.74,5.6,5.63,518659,
920871.BJ,еиль╤Ш,2022-09-02,5.63,5.65,5.59,5.6,216546,
920871.BJ,еиль╤Ш,2022-09-05,5.66,5.66,5.59,5.63,377322,
920871.BJ,еиль╤Ш,2022-09-06,5.61,5.64,5.59,5.63,256072,
920871.BJ,еиль╤Ш,2022-09-07,5.59,5.75,5.59,5.67,394387,
920871.BJ,еиль╤Ш,2022-09-08,5.65,5.67,5.6,5.62,211057,
920871.BJ,еиль╤Ш,2022-09-09,5.6,5.65,5.58,5.61,215706,
920871.BJ,еиль╤Ш,2022-09-13,5.64,5.64,5.58,5.62,194322,
920871.BJ,еиль╤Ш,2022-09-14,5.57,5.6,5.53,5.59,252418,
920871.BJ,еиль╤Ш,2022-09-15,5.59,5.59,5.49,5.5,258974,
920871.BJ,еиль╤Ш,2022-09-16,5.56,6.88,5.53,6.86,5953673,
920871.BJ,еиль╤Ш,2022-09-19,6.4,6.7,6.01,6.46,3623285,
920871.BJ,еиль╤Ш,2022-09-20,6.25,7.5,6.16,7.16,5307329,
920871.BJ,еиль╤Ш,2022-09-21,7.01,9.2,6.83,7.9,8042599,
920871.BJ,еиль╤Ш,2022-09-22,7.69,8.3,7.43,7.69,4490726,
920871.BJ,еиль╤Ш,2022-09-23,7.85,7.85,6.6,7.06,3378991,
920871.BJ,еиль╤Ш,2022-09-26,6.6,7.18,6.6,6.98,2714350,
920871.BJ,еиль╤Ш,2022-09-27,6.96,6.96,6.4,6.46,2696342,
920871.BJ,еиль╤Ш,2022-09-28,6.39,6.7,6.32,6.37,1506395,
920871.BJ,еиль╤Ш,2022-09-29,6.38,6.48,5.85,5.87,2536643,
920871.BJ,еиль╤Ш,2022-09-30,5.96,6,5.7,5.82,1119308,
920871.BJ,еиль╤Ш,2022-10-10,5.97,5.97,5.59,5.61,964298,
920871.BJ,еиль╤Ш,2022-10-11,5.57,6.01,5.56,5.9,1974647,
920871.BJ,еиль╤Ш,2022-10-12,5.85,6.09,5.8,5.98,1086662,
920871.BJ,еиль╤Ш,2022-10-13,5.88,6.06,5.86,5.94,972557,
