ด๚ย๋,ผ๒ณฦ,ศีฦฺ,ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),
605259.SH,ยฬฬ๏ป๚ะต,2021-06-15,39.02,39.02,39.02,39.02,554940,
605259.SH,ยฬฬ๏ป๚ะต,2021-06-16,42.92,42.92,42.92,42.92,95177,
605259.SH,ยฬฬ๏ป๚ะต,2021-06-17,47.21,47.21,47.21,47.21,62296,
605259.SH,ยฬฬ๏ป๚ะต,2021-06-18,45.99,45.99,42.49,42.49,10572372,
605259.SH,ยฬฬ๏ป๚ะต,2021-06-21,39.88,46.5,39.5,44.67,9149022,
605259.SH,ยฬฬ๏ป๚ะต,2021-06-22,42.88,44.44,41.78,42.22,6129497,
605259.SH,ยฬฬ๏ป๚ะต,2021-06-23,41.44,41.5,39.86,40.45,5726163,
605259.SH,ยฬฬ๏ป๚ะต,2021-06-24,39.87,40.22,37.88,38.4,5650732,
605259.SH,ยฬฬ๏ป๚ะต,2021-06-25,38.01,38.8,37.51,38.33,3203072,
605259.SH,ยฬฬ๏ป๚ะต,2021-06-28,38.95,38.95,36.9,37.1,3539405,
605259.SH,ยฬฬ๏ป๚ะต,2021-06-29,36.9,36.9,35.83,36.1,3482482,
605259.SH,ยฬฬ๏ป๚ะต,2021-06-30,36.11,36.51,35.47,35.65,2517204,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-01,35.65,36.18,35.43,35.44,2367332,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-02,35.2,35.34,33.89,33.98,2983542,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-05,34.26,34.71,33.84,34.36,2250606,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-06,34.25,35.75,34.06,35.25,2819528,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-07,35.02,35.02,34.41,34.66,2026202,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-08,34.28,34.8,33.53,33.62,1954934,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-09,33.38,33.9,33.12,33.85,1356306,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-12,33.95,34.19,33.58,33.68,1395012,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-13,33.45,33.65,32.8,33.2,1938991,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-14,33,34.12,32.89,33.26,1981977,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-15,33.05,33.1,32.02,32.16,2063369,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-16,32.1,32.47,31.7,31.75,1515990,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-19,31.54,31.75,30.8,30.93,1469031,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-20,30.7,31.8,30.66,31.31,1410908,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-21,31.56,32.15,31.33,31.64,1566167,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-22,31.43,31.54,30.8,30.86,1447381,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-23,30.69,31.31,30.69,31.04,1145550,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-26,31.1,31.25,29.76,29.91,1482731,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-27,29.91,30.28,28.87,28.88,1263579,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-28,28.9,29.1,28,28.38,1168134,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-29,28.4,29.14,28.4,28.73,1092505,
605259.SH,ยฬฬ๏ป๚ะต,2021-07-30,28.76,29.45,28.48,29,953277,
605259.SH,ยฬฬ๏ป๚ะต,2021-08-02,28.8,29.52,28.58,29.33,974914,
605259.SH,ยฬฬ๏ป๚ะต,2021-08-03,29.27,29.55,29.05,29.23,847923,
605259.SH,ยฬฬ๏ป๚ะต,2021-08-04,29.21,29.37,28.82,28.98,924719,
605259.SH,ยฬฬ๏ป๚ะต,2021-08-05,28.85,29.88,28.85,29.51,1279175,
605259.SH,ยฬฬ๏ป๚ะต,2021-08-06,29.4,29.5,28.66,28.82,1147299,
605259.SH,ยฬฬ๏ป๚ะต,2021-08-09,28.75,29.5,28.41,29.3,991749,
605259.SH,ยฬฬ๏ป๚ะต,2021-08-10,29.2,29.87,29.2,29.52,972471,
