ด๚ย๋,ผ๒ณฦ,ศีฦฺ,ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),
600711.SH,สขออฟ๓าต,2015-01-05,63.855,68.8042,63.855,68.416,57493705,
600711.SH,สขออฟ๓าต,2015-01-06,68.5131,68.5131,66.5722,67.5426,38699792,
600711.SH,สขออฟ๓าต,2015-01-07,67.5426,71.3274,67.1545,69.3865,54482961,
600711.SH,สขออฟ๓าต,2015-01-08,68.6101,68.8042,66.4752,67.0574,33207951,
600711.SH,สขออฟ๓าต,2015-01-09,66.7663,66.7663,65.8929,65.9899,27954314,
600711.SH,สขออฟ๓าต,2015-01-12,65.7958,65.7958,64.3402,64.6313,19782279,
600711.SH,สขออฟ๓าต,2015-01-13,64.4372,65.5047,64.4372,65.0195,12362446,
600711.SH,สขออฟ๓าต,2015-01-14,65.2136,65.5047,64.1461,64.5343,14151592,
600711.SH,สขออฟ๓าต,2015-01-15,64.5343,65.6988,64.2431,64.9224,14458491,
600711.SH,สขออฟ๓าต,2015-01-16,65.6018,66.8633,65.3106,65.8929,22659549,
600711.SH,สขออฟ๓าต,2015-01-19,64.8254,65.0195,61.623,62.6904,31484459,
600711.SH,สขออฟ๓าต,2015-01-20,62.6904,64.1461,62.5934,63.952,18375107,
600711.SH,สขออฟ๓าต,2015-01-21,64.5343,65.8929,63.952,65.7958,28549635,
600711.SH,สขออฟ๓าต,2015-01-22,65.8929,72.3948,65.2136,72.3948,139952766,
600711.SH,สขออฟ๓าต,2015-01-23,72.783,79.6731,72.686,77.15,258365357,
600711.SH,สขออฟ๓าต,2015-01-26,76.6648,76.6648,74.2387,76.0825,120306187,
600711.SH,สขออฟ๓าต,2015-01-27,75.5002,78.0234,73.9475,76.5677,124160665,
600711.SH,สขออฟ๓าต,2015-01-28,76.5677,76.5677,72.9771,73.2682,78162810,
600711.SH,สขออฟ๓าต,2015-01-29,72.5889,74.4328,71.1333,73.5594,48883242,
600711.SH,สขออฟ๓าต,2015-01-30,73.3653,74.3357,71.2303,71.3274,36096594,
600711.SH,สขออฟ๓าต,2015-02-02,70.7451,70.8421,68.6101,68.9013,37381899,
600711.SH,สขออฟ๓าต,2015-02-03,69.4835,72.2008,68.7072,71.7155,39080393,
600711.SH,สขออฟ๓าต,2015-02-04,72.2008,72.2008,69.8717,70.1628,27893377,
600711.SH,สขออฟ๓าต,2015-02-05,71.1333,71.6185,69.2894,69.5806,26671353,
600711.SH,สขออฟ๓าต,2015-02-06,69.2894,69.2894,66.4752,67.0574,32490682,
600711.SH,สขออฟ๓าต,2015-02-09,65.6988,68.8042,64.9224,67.8338,21117420,
600711.SH,สขออฟ๓าต,2015-02-10,67.6397,73.5594,66.9604,72.8801,51533077,
600711.SH,สขออฟ๓าต,2015-02-11,73.3653,75.5973,72.1037,72.4919,53075018,
600711.SH,สขออฟ๓าต,2015-02-12,73.0741,74.4328,71.3274,72.2008,30217877,
600711.SH,สขออฟ๓าต,2015-02-13,72.3948,74.2387,72.3948,72.9771,39071461,
600711.SH,สขออฟ๓าต,2015-02-16,73.1712,73.9475,72.8801,73.6564,32655133,
600711.SH,สขออฟ๓าต,2015-02-17,74.5298,75.1121,72.8801,73.0741,35450352,
600711.SH,สขออฟ๓าต,2015-02-25,72.783,80.3524,72.686,80.3524,148799618,
600711.SH,สขออฟ๓าต,2015-02-26,81.1288,88.4071,80.5465,85.5928,229910825,
600711.SH,สขออฟ๓าต,2015-02-27,87.4367,94.1327,84.4283,94.1327,190765693,
600711.SH,สขออฟ๓าต,2015-03-02,98.9849,103.546,97.044,103.546,254071609,
600711.SH,สขออฟ๓าต,2015-03-03,102.3814,113.9297,101.2169,113.9297,204541057,
600711.SH,สขออฟ๓าต,2015-03-04,119.3641,123.0518,110.145,117.7144,249478022,
600711.SH,สขออฟ๓าต,2015-03-05,116.5499,129.4567,113.8326,129.4567,169444714,
600711.SH,สขออฟ๓าต,2015-03-06,135.8616,142.3636,129.5538,134.406,240814059,
600711.SH,สขออฟ๓าต,2015-03-09,131.6887,135.4735,124.9927,128.0011,162385143,
600711.SH,สขออฟ๓าต,2015-03-10,129.3597,139.9375,127.2247,137.3173,206224261,
600711.SH,สขออฟ๓าต,2015-03-11,132.271,133.8237,124.7016,129.3597,169563747,
600711.SH,สขออฟ๓าต,2015-03-12,128.0981,130.3301,118.6848,121.5962,147869712,
600711.SH,สขออฟ๓าต,2015-03-13,121.7902,126.7395,120.1405,124.6045,110835652,
600711.SH,สขออฟ๓าต,2015-03-16,124.4104,133.4355,123.2459,129.0685,160637617,
600711.SH,สขออฟ๓าต,2015-03-17,127.807,130.3301,124.2163,126.9336,145043239,
600711.SH,สขออฟ๓าต,2015-03-18,124.7016,132.5621,124.0223,130.039,171806135,
600711.SH,สขออฟ๓าต,2015-03-19,127.7099,142.4606,126.6424,135.0853,212427264,
600711.SH,สขออฟ๓าต,2015-03-20,134.8912,134.8912,127.2247,129.3597,145867397,
600711.SH,สขออฟ๓าต,2015-03-23,129.7479,132.9503,127.807,130.039,108416913,
600711.SH,สขออฟ๓าต,2015-03-24,130.6213,143.0429,128.0981,143.0429,223572660,
600711.SH,สขออฟ๓าต,2015-03-25,148.4774,157.3084,145.8572,157.3084,260752143,
600711.SH,สขออฟ๓าต,2015-03-26,156.8231,164.4896,141.6843,142.5577,239815702,
600711.SH,สขออฟ๓าต,2015-03-27,140.7138,148.4774,133.1444,144.8867,163855876,
600711.SH,สขออฟ๓าต,2015-03-30,140.6168,141.6843,137.3173,138.967,103836394,
600711.SH,สขออฟ๓าต,2015-03-31,139.0641,143.6251,135.8616,140.0345,101879698,
600711.SH,สขออฟ๓าต,2015-04-01,137.8025,141.2961,136.9291,139.9375,86128360,
600711.SH,สขออฟ๓าต,2015-04-02,139.7434,145.2749,139.2582,142.9458,118866235,
600711.SH,สขออฟ๓าต,2015-04-03,141.6843,142.9458,139.0641,140.7138,82395099,
600711.SH,สขออฟ๓าต,2015-04-07,141.8784,143.0429,139.3552,142.2665,93751274,
600711.SH,สขออฟ๓าต,2015-04-08,142.7518,142.7518,135.6675,137.6084,103774568,
600711.SH,สขออฟ๓าต,2015-04-09,137.7055,138.4818,123.8282,130.039,99133127,
600711.SH,สขออฟ๓าต,2015-04-10,128.1952,132.6592,126.6424,130.3301,58849599,
600711.SH,สขออฟ๓าต,2015-04-13,133.9207,138.1907,132.8533,135.8616,89009012,
600711.SH,สขออฟ๓าต,2015-04-14,135.8616,135.8616,130.5242,131.3006,80986376,
600711.SH,สขออฟ๓าต,2015-04-15,130.039,130.5242,124.2163,124.4104,68042996,
600711.SH,สขออฟ๓าต,2015-04-16,122.2755,128.5833,119.7523,126.1572,54616784,
600711.SH,สขออฟ๓าต,2015-04-17,128.0011,128.9715,126.0602,127.0306,53901107,
600711.SH,สขออฟ๓าต,2015-04-20,126.1572,129.2626,123.2459,123.537,76648317,
600711.SH,สขออฟ๓าต,2015-04-21,122.2755,128.9715,121.4991,128.8745,64371273,
600711.SH,สขออฟ๓าต,2015-04-22,128.8745,140.7138,128.3892,139.9375,167274358,
600711.SH,สขออฟ๓าต,2015-04-23,138.7729,141.4902,134.503,138.5789,146449932,
600711.SH,สขออฟ๓าต,2015-04-24,135.7646,147.1187,134.503,144.0133,168549612,
600711.SH,สขออฟ๓าต,2015-04-27,145.566,148.4774,139.3552,141.3931,127986120,
600711.SH,สขออฟ๓าต,2015-04-28,141.3931,141.3931,129.3597,130.6213,93936644,
600711.SH,สขออฟ๓าต,2015-04-29,130.039,138.4818,129.0685,134.3089,67879362,
600711.SH,สขออฟ๓าต,2015-04-30,134.3089,135.1823,129.5538,129.9419,61247904,
600711.SH,สขออฟ๓าต,2015-05-04,129.9419,131.4946,128.2922,130.8153,36826629,
600711.SH,สขออฟ๓าต,2015-05-05,131.0094,131.5917,124.3134,127.5158,47541771,
600711.SH,สขออฟ๓าต,2015-05-06,127.5158,130.9124,124.3134,125.8661,43395240,
600711.SH,สขออฟ๓าต,2015-05-07,126.0602,126.3513,115.4824,115.7735,43695111,
600711.SH,สขออฟ๓าต,2015-05-08,115.7735,122.0814,115.7735,120.4316,50751529,
600711.SH,สขออฟ๓าต,2015-05-11,121.8873,128.6804,121.7902,128.0011,56400527,
