╢ЗбК,╪РЁф,хуфз,©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),
603713.SH,цэ╤Ш©кню,2018-07-13,16.23,16.23,16.23,16.23,21457,
603713.SH,цэ╤Ш©кню,2018-07-16,17.85,17.85,17.85,17.85,9600,
603713.SH,цэ╤Ш©кню,2018-07-17,19.64,19.64,19.64,19.64,17046,
603713.SH,цэ╤Ш©кню,2018-07-18,21.6,21.6,21.6,21.6,37865,
603713.SH,цэ╤Ш©кню,2018-07-19,23.76,23.76,23.76,23.76,95755,
603713.SH,цэ╤Ш©кню,2018-07-20,26.14,26.14,26.14,26.14,121648,
603713.SH,цэ╤Ш©кню,2018-07-23,28.75,28.75,28.75,28.75,100093,
603713.SH,цэ╤Ш©кню,2018-07-24,31.63,31.63,31.63,31.63,106733,
603713.SH,цэ╤Ш©кню,2018-07-25,34.79,34.79,34.79,34.79,149331,
603713.SH,цэ╤Ш©кню,2018-07-26,38.27,38.27,38.27,38.27,191620,
603713.SH,цэ╤Ш©кню,2018-07-27,42.1,42.1,42.1,42.1,811806,
603713.SH,цэ╤Ш©кню,2018-07-30,46.31,46.31,46.31,46.31,1047224,
603713.SH,цэ╤Ш©кню,2018-07-31,50.94,50.94,48.01,50.29,30706727,
603713.SH,цэ╤Ш©кню,2018-08-01,51,52.6,48.8,49.89,27694481,
603713.SH,цэ╤Ш©кню,2018-08-02,49.5,52.55,47.69,51.69,25094081,
603713.SH,цэ╤Ш©кню,2018-08-03,48.8,50.88,46.52,49.98,20514738,
603713.SH,цэ╤Ш©кню,2018-08-06,48,54.98,47.51,50.02,21703252,
603713.SH,цэ╤Ш©кню,2018-08-07,50,53.66,48.55,52.57,22561338,
603713.SH,цэ╤Ш©кню,2018-08-08,50.82,51.25,47.31,47.31,15046304,
603713.SH,цэ╤Ш©кню,2018-08-09,43.02,45.32,42.58,44.36,17907715,
603713.SH,цэ╤Ш©кню,2018-08-10,44,46.12,43.8,44.86,12727775,
603713.SH,цэ╤Ш©кню,2018-08-13,43,47.31,42.62,46.81,14913924,
603713.SH,цэ╤Ш©кню,2018-08-14,46.18,51.48,45.03,48.43,20261123,
603713.SH,цэ╤Ш©кню,2018-08-15,47.99,51.69,47.5,47.68,17875148,
603713.SH,цэ╤Ш©кню,2018-08-16,46,52.45,45.71,49.88,27254824,
603713.SH,цэ╤Ш©кню,2018-08-17,50.99,51.49,44.89,44.89,22520765,
603713.SH,цэ╤Ш©кню,2018-08-20,43.01,43.34,40.7,42.68,14981517,
603713.SH,цэ╤Ш©кню,2018-08-21,42.58,43.58,41,43,13017662,
603713.SH,цэ╤Ш©кню,2018-08-22,42.85,43.48,38.7,39.09,16300024,
603713.SH,цэ╤Ш©кню,2018-08-23,39.28,43,39.28,43,11863991,
603713.SH,цэ╤Ш©кню,2018-08-24,45.11,46.5,40.88,41.5,20851473,
