´úÂë,¼ò³Æ,ÈÕÆÚ,¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),
920230.BJ,Å·¿µÒ½Ò©,2022-12-09,11.87,12.8,11.28,12.12,5176636,
920230.BJ,Å·¿µÒ½Ò©,2022-12-12,11.6,11.79,11.36,11.58,1306093,
920230.BJ,Å·¿µÒ½Ò©,2022-12-13,11.49,12.34,11.42,11.87,1117892,
920230.BJ,Å·¿µÒ½Ò©,2022-12-14,11.66,11.95,11.2,11.32,854652,
920230.BJ,Å·¿µÒ½Ò©,2022-12-15,11.24,11.38,11.22,11.23,290511,
920230.BJ,Å·¿µÒ½Ò©,2022-12-16,11.18,11.71,11.18,11.35,415148,
920230.BJ,Å·¿µÒ½Ò©,2022-12-19,11.34,11.34,10.69,10.79,413686,
920230.BJ,Å·¿µÒ½Ò©,2022-12-20,10.8,10.8,10.58,10.6,216513,
920230.BJ,Å·¿µÒ½Ò©,2022-12-21,10.58,10.8,10.51,10.58,91413,
920230.BJ,Å·¿µÒ½Ò©,2022-12-22,10.75,10.75,10.26,10.28,153047,
920230.BJ,Å·¿µÒ½Ò©,2022-12-23,10.2,10.39,10.2,10.29,79880,
920230.BJ,Å·¿µÒ½Ò©,2022-12-26,10.22,10.25,10.05,10.06,252912,
920230.BJ,Å·¿µÒ½Ò©,2022-12-27,10.1,10.23,10.08,10.14,68908,
920230.BJ,Å·¿µÒ½Ò©,2022-12-28,10.11,10.14,10.06,10.11,49290,
920230.BJ,Å·¿µÒ½Ò©,2022-12-29,10.25,10.25,10.02,10.08,106171,
920230.BJ,Å·¿µÒ½Ò©,2022-12-30,10.17,10.17,10.06,10.13,34669,
920230.BJ,Å·¿µÒ½Ò©,2023-01-03,10.05,10.33,10.05,10.3,102456,
920230.BJ,Å·¿µÒ½Ò©,2023-01-04,10.22,10.41,10.22,10.37,77287,
920230.BJ,Å·¿µÒ½Ò©,2023-01-05,10.23,10.41,10.23,10.33,89162,
920230.BJ,Å·¿µÒ½Ò©,2023-01-06,10.51,10.52,10.3,10.32,36896,
920230.BJ,Å·¿µÒ½Ò©,2023-01-09,10.28,10.43,10.28,10.3,56799,
920230.BJ,Å·¿µÒ½Ò©,2023-01-10,10.31,10.32,10.12,10.21,98298,
920230.BJ,Å·¿µÒ½Ò©,2023-01-11,10.17,10.23,10.09,10.12,89649,
920230.BJ,Å·¿µÒ½Ò©,2023-01-12,10.33,10.33,10.16,10.17,49941,
920230.BJ,Å·¿µÒ½Ò©,2023-01-13,10.12,10.28,10.11,10.14,60498,
920230.BJ,Å·¿µÒ½Ò©,2023-01-16,10.12,10.22,10.12,10.17,71541,
920230.BJ,Å·¿µÒ½Ò©,2023-01-17,10.29,10.29,10.13,10.14,56211,
920230.BJ,Å·¿µÒ½Ò©,2023-01-18,10.14,10.16,10.13,10.14,51000,
920230.BJ,Å·¿µÒ½Ò©,2023-01-19,10.13,10.21,10.13,10.2,118702,
920230.BJ,Å·¿µÒ½Ò©,2023-01-20,10.18,10.28,10.18,10.27,61696,
920230.BJ,Å·¿µÒ½Ò©,2023-01-30,10.37,10.37,10.25,10.28,107833,
920230.BJ,Å·¿µÒ½Ò©,2023-01-31,10.27,10.81,10.27,10.77,577768,
920230.BJ,Å·¿µÒ½Ò©,2023-02-01,10.83,10.83,10.69,10.8,240803,
920230.BJ,Å·¿µÒ½Ò©,2023-02-02,10.79,10.8,10.59,10.62,234483,
920230.BJ,Å·¿µÒ½Ò©,2023-02-03,10.61,10.61,10.48,10.61,112168,
920230.BJ,Å·¿µÒ½Ò©,2023-02-06,10.5,10.67,10.5,10.55,53662,
920230.BJ,Å·¿µÒ½Ò©,2023-02-07,10.55,10.6,10.54,10.57,46273,
920230.BJ,Å·¿µÒ½Ò©,2023-02-08,10.59,10.59,10.48,10.53,118722,
920230.BJ,Å·¿µÒ½Ò©,2023-02-09,10.5,10.55,10.46,10.51,69062,
920230.BJ,Å·¿µÒ½Ò©,2023-02-10,10.48,10.61,10.47,10.55,68862,
920230.BJ,Å·¿µÒ½Ò©,2023-02-13,10.55,10.59,10.53,10.56,59512,
920230.BJ,Å·¿µÒ½Ò©,2023-02-14,10.55,10.57,10.51,10.53,68582,
920230.BJ,Å·¿µÒ½Ò©,2023-02-15,10.51,10.59,10.49,10.51,99873,
920230.BJ,Å·¿µÒ½Ò©,2023-02-16,10.49,10.56,10.48,10.49,87693,
920230.BJ,Å·¿µÒ½Ò©,2023-02-17,10.49,10.5,10.45,10.47,55212,
920230.BJ,Å·¿µÒ½Ò©,2023-02-20,10.48,10.48,10.43,10.46,53787,
920230.BJ,Å·¿µÒ½Ò©,2023-02-21,10.42,10.46,10.41,10.43,36588,
920230.BJ,Å·¿µÒ½Ò©,2023-02-22,10.4,10.43,10.4,10.41,84235,
920230.BJ,Å·¿µÒ½Ò©,2023-02-23,10.4,10.4,10.34,10.34,98285,
920230.BJ,Å·¿µÒ½Ò©,2023-02-24,10.32,10.34,10.3,10.32,52700,
920230.BJ,Å·¿µÒ½Ò©,2023-02-27,10.3,10.42,10.3,10.32,45882,
920230.BJ,Å·¿µÒ½Ò©,2023-02-28,10.32,10.42,10.3,10.37,50933,
920230.BJ,Å·¿µÒ½Ò©,2023-03-01,10.38,10.46,10.38,10.39,81996,
920230.BJ,Å·¿µÒ½Ò©,2023-03-02,10.4,10.42,10.33,10.35,49235,
920230.BJ,Å·¿µÒ½Ò©,2023-03-03,10.31,10.37,10.31,10.33,38500,
920230.BJ,Å·¿µÒ½Ò©,2023-03-06,10.35,10.37,10.32,10.32,40100,
920230.BJ,Å·¿µÒ½Ò©,2023-03-07,10.33,10.39,10.3,10.3,22851,
920230.BJ,Å·¿µÒ½Ò©,2023-03-08,10.31,10.32,10.29,10.32,26504,
920230.BJ,Å·¿µÒ½Ò©,2023-03-09,10.35,10.35,10.31,10.33,25266,
920230.BJ,Å·¿µÒ½Ò©,2023-03-10,10.32,10.32,10.27,10.27,36333,
920230.BJ,Å·¿µÒ½Ò©,2023-03-13,10.25,10.27,10.23,10.25,37900,
920230.BJ,Å·¿µÒ½Ò©,2023-03-14,10.25,10.26,10.19,10.2,25583,
920230.BJ,Å·¿µÒ½Ò©,2023-03-15,10.2,10.35,10.2,10.22,29820,
920230.BJ,Å·¿µÒ½Ò©,2023-03-16,10.21,10.21,10.1,10.12,45007,
920230.BJ,Å·¿µÒ½Ò©,2023-03-17,10.13,10.17,10.1,10.11,40300,
920230.BJ,Å·¿µÒ½Ò©,2023-03-20,10.1,10.11,10.06,10.07,41094,
920230.BJ,Å·¿µÒ½Ò©,2023-03-21,10.04,10.13,10,10.13,77816,
920230.BJ,Å·¿µÒ½Ò©,2023-03-22,10.15,10.15,10.04,10.06,33080,
920230.BJ,Å·¿µÒ½Ò©,2023-03-23,10.06,10.08,10,10.03,55946,
920230.BJ,Å·¿µÒ½Ò©,2023-03-24,10.05,10.08,10.03,10.03,35600,
920230.BJ,Å·¿µÒ½Ò©,2023-03-27,10.02,10.07,10.01,10.02,30537,
920230.BJ,Å·¿µÒ½Ò©,2023-03-28,10.02,10.04,10.01,10.02,23103,
920230.BJ,Å·¿µÒ½Ò©,2023-03-29,10.02,10.05,10.01,10.01,38877,
920230.BJ,Å·¿µÒ½Ò©,2023-03-30,10.02,10.03,10,10,52047,
920230.BJ,Å·¿µÒ½Ò©,2023-03-31,10.1,10.1,9.99,10.02,47470,
920230.BJ,Å·¿µÒ½Ò©,2023-04-03,10,10.37,9.99,10.26,125170,
920230.BJ,Å·¿µÒ½Ò©,2023-04-04,10.26,10.27,10.09,10.11,41287,
920230.BJ,Å·¿µÒ½Ò©,2023-04-06,10.27,10.27,10.05,10.07,26408,
920230.BJ,Å·¿µÒ½Ò©,2023-04-07,10.03,10.12,10.02,10.04,23813,
920230.BJ,Å·¿µÒ½Ò©,2023-04-10,10.02,10.09,10,10.03,35729,
920230.BJ,Å·¿µÒ½Ò©,2023-04-11,10.01,10.07,9.99,10.06,89771,
920230.BJ,Å·¿µÒ½Ò©,2023-04-12,10.01,10.08,10,10.01,29400,
920230.BJ,Å·¿µÒ½Ò©,2023-04-13,10,10.02,9.99,10,42248,
920230.BJ,Å·¿µÒ½Ò©,2023-04-14,10.01,10.04,9.99,9.99,50289,
920230.BJ,Å·¿µÒ½Ò©,2023-04-17,9.97,10,9.97,9.98,22845,
920230.BJ,Å·¿µÒ½Ò©,2023-04-18,9.98,9.98,9.96,9.97,33968,
920230.BJ,Å·¿µÒ½Ò©,2023-04-19,9.96,10.11,9.96,10.05,37232,
920230.BJ,Å·¿µÒ½Ò©,2023-04-20,10.01,10.01,9.95,10,24049,
920230.BJ,Å·¿µÒ½Ò©,2023-04-21,9.96,9.98,9.9,9.92,42985,
920230.BJ,Å·¿µÒ½Ò©,2023-04-24,9.92,9.92,9.51,9.7,71045,
920230.BJ,Å·¿µÒ½Ò©,2023-04-25,9.7,9.7,9.53,9.55,100384,
920230.BJ,Å·¿µÒ½Ò©,2023-04-26,9.5,9.5,9.45,9.47,62156,
920230.BJ,Å·¿µÒ½Ò©,2023-04-27,9.31,9.48,9.31,9.38,22819,
920230.BJ,Å·¿µÒ½Ò©,2023-04-28,9.31,9.45,9.3,9.39,39389,
920230.BJ,Å·¿µÒ½Ò©,2023-05-04,9.39,9.48,9.31,9.35,25300,
920230.BJ,Å·¿µÒ½Ò©,2023-05-05,9.43,9.43,9.31,9.42,58111,
920230.BJ,Å·¿µÒ½Ò©,2023-05-08,9.42,9.78,9.29,9.71,71290,
920230.BJ,Å·¿µÒ½Ò©,2023-05-09,9.55,9.68,9.5,9.51,37307,
920230.BJ,Å·¿µÒ½Ò©,2023-05-10,9.76,9.76,9.42,9.43,14956,
920230.BJ,Å·¿µÒ½Ò©,2023-05-11,9.43,9.45,9.19,9.26,270234,
