代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
688459.SH,哈铁科技,2022-10-12,9.31,10.25,8.84,9.46,49718103,
688459.SH,哈铁科技,2022-10-13,9.3,9.39,9.01,9.04,31015298,
688459.SH,哈铁科技,2022-10-14,9.08,9.34,9.06,9.15,22196903,
688459.SH,哈铁科技,2022-10-17,9.14,9.53,9.11,9.36,20378790,
688459.SH,哈铁科技,2022-10-18,9.36,9.73,9.24,9.6,19997365,
688459.SH,哈铁科技,2022-10-19,9.48,9.57,9.15,9.15,17786021,
688459.SH,哈铁科技,2022-10-20,9.06,9.3,9.06,9.2,9269077,
688459.SH,哈铁科技,2022-10-21,9.21,9.53,9.18,9.33,12279632,
688459.SH,哈铁科技,2022-10-24,9.35,9.56,9.13,9.13,10841542,
688459.SH,哈铁科技,2022-10-25,9.16,9.53,8.98,9.41,13947060,
688459.SH,哈铁科技,2022-10-26,9.47,9.8,9.43,9.52,13590872,
688459.SH,哈铁科技,2022-10-27,9.47,10.12,9.45,9.57,15157460,
688459.SH,哈铁科技,2022-10-28,9.5,9.69,9.3,9.38,11018917,
688459.SH,哈铁科技,2022-10-31,9.32,9.58,9.24,9.42,7053248,
688459.SH,哈铁科技,2022-11-01,9.4,9.57,9.37,9.49,6452535,
688459.SH,哈铁科技,2022-11-02,9.42,9.7,9.4,9.58,8527024,
688459.SH,哈铁科技,2022-11-03,9.62,9.67,9.45,9.6,6394382,
688459.SH,哈铁科技,2022-11-04,9.6,9.82,9.57,9.66,8041853,
688459.SH,哈铁科技,2022-11-07,9.67,10.18,9.65,10.02,14492442,
688459.SH,哈铁科技,2022-11-08,10.08,10.86,9.99,10.45,14028456,
688459.SH,哈铁科技,2022-11-09,10.5,10.8,10.23,10.44,9932649,
688459.SH,哈铁科技,2022-11-10,10.35,10.56,10.1,10.1,7845377,
688459.SH,哈铁科技,2022-11-11,10.34,10.39,9.86,9.9,11196234,
688459.SH,哈铁科技,2022-11-14,9.97,9.98,9.72,9.77,4942699,
688459.SH,哈铁科技,2022-11-15,9.77,9.91,9.73,9.88,3987313,
688459.SH,哈铁科技,2022-11-16,9.9,9.92,9.7,9.73,5681174,
688459.SH,哈铁科技,2022-11-17,9.75,9.76,9.58,9.68,3857624,
688459.SH,哈铁科技,2022-11-18,9.67,9.75,9.51,9.52,5315098,
688459.SH,哈铁科技,2022-11-21,9.52,9.57,9.37,9.56,3657863,
688459.SH,哈铁科技,2022-11-22,9.53,9.8,9.44,9.53,4953093,
688459.SH,哈铁科技,2022-11-23,9.55,9.75,9.45,9.62,7227278,
688459.SH,哈铁科技,2022-11-24,9.57,9.6,9.47,9.53,4971189,
688459.SH,哈铁科技,2022-11-25,9.56,9.56,9.39,9.4,3750641,
688459.SH,哈铁科技,2022-11-28,9.36,9.41,9.26,9.29,3490315,
688459.SH,哈铁科技,2022-11-29,9.29,9.41,9.29,9.38,2798459,
688459.SH,哈铁科技,2022-11-30,9.4,9.41,9.33,9.33,2707757,
688459.SH,哈铁科技,2022-12-01,9.38,9.42,9.35,9.37,2893479,
688459.SH,哈铁科技,2022-12-02,9.38,9.42,9.36,9.37,2368912,
688459.SH,哈铁科技,2022-12-05,9.42,9.65,9.41,9.6,5882263,
688459.SH,哈铁科技,2022-12-06,9.55,9.59,9.44,9.49,4033105,
688459.SH,哈铁科技,2022-12-07,9.49,9.49,9.42,9.44,2462150,
688459.SH,哈铁科技,2022-12-08,9.44,9.46,9.34,9.35,2731445,
688459.SH,哈铁科技,2022-12-09,9.34,9.39,9.31,9.36,2280462,
688459.SH,哈铁科技,2022-12-12,9.36,9.36,9.23,9.23,2794652,
688459.SH,哈铁科技,2022-12-13,9.23,9.26,9.16,9.18,2131234,
688459.SH,哈铁科技,2022-12-14,9.21,9.21,9.14,9.15,1725479,
688459.SH,哈铁科技,2022-12-15,9.17,9.18,9.13,9.15,1337691,
688459.SH,哈铁科技,2022-12-16,9.14,9.25,9.06,9.18,3070843,
688459.SH,哈铁科技,2022-12-19,9.17,9.21,9.09,9.09,2155148,
688459.SH,哈铁科技,2022-12-20,9.1,9.14,9.09,9.1,1249646,
688459.SH,哈铁科技,2022-12-21,9.1,9.12,9.04,9.06,1458911,
688459.SH,哈铁科技,2022-12-22,9.06,9.08,8.93,9.02,1995863,
688459.SH,哈铁科技,2022-12-23,9.01,9.03,8.94,8.95,976683,
688459.SH,哈铁科技,2022-12-26,8.98,9,8.89,9,1069270,
688459.SH,哈铁科技,2022-12-27,9.03,9.15,9.01,9.05,1552394,
688459.SH,哈铁科技,2022-12-28,9.05,9.05,8.95,9.01,1375538,
688459.SH,哈铁科技,2022-12-29,8.95,9,8.93,8.94,729230,
688459.SH,哈铁科技,2022-12-30,9.02,9.26,8.94,9.06,2673035,
688459.SH,哈铁科技,2023-01-03,9.09,9.1,8.93,9.09,2242053,
688459.SH,哈铁科技,2023-01-04,9.1,9.1,9.03,9.05,1267226,
688459.SH,哈铁科技,2023-01-05,9.09,9.09,9.05,9.07,1001196,
688459.SH,哈铁科技,2023-01-06,9.08,9.1,9.05,9.06,954452,
688459.SH,哈铁科技,2023-01-09,9.06,9.1,9.05,9.08,879752,
688459.SH,哈铁科技,2023-01-10,9.08,9.08,9.05,9.06,633961,
688459.SH,哈铁科技,2023-01-11,9.08,9.08,8.99,9.01,1416477,
688459.SH,哈铁科技,2023-01-12,9.04,9.04,8.97,9,1079280,
688459.SH,哈铁科技,2023-01-13,9.03,9.03,8.95,8.98,1110204,
688459.SH,哈铁科技,2023-01-16,9,9.08,8.98,9.06,1497144,
688459.SH,哈铁科技,2023-01-17,9.05,9.06,9.01,9.03,860207,
688459.SH,哈铁科技,2023-01-18,9.05,9.12,9.03,9.1,2013521,
688459.SH,哈铁科技,2023-01-19,9.11,9.13,9.08,9.12,988260,
688459.SH,哈铁科技,2023-01-20,9.12,9.15,9.09,9.14,1379678,
688459.SH,哈铁科技,2023-01-30,9.18,9.19,9.14,9.17,2065727,
688459.SH,哈铁科技,2023-01-31,9.17,9.18,9.11,9.15,982199,
688459.SH,哈铁科技,2023-02-01,9.17,9.23,9.15,9.23,2140302,
688459.SH,哈铁科技,2023-02-02,9.23,9.24,9.2,9.21,1360603,
