測鎢,潠備,�梪�,羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),
301300.SZ,堈矧陔第,2022-08-19,55,68.5,52.72,57.7,10267894,
301300.SZ,堈矧陔第,2022-08-22,50.71,52.47,46.96,47,7518056,
301300.SZ,堈矧陔第,2022-08-23,45.59,48.8,45.23,45.93,5359657,
301300.SZ,堈矧陔第,2022-08-24,45.1,46.75,44.7,45.03,4411461,
301300.SZ,堈矧陔第,2022-08-25,44.8,44.8,40.9,41.31,4585679,
301300.SZ,堈矧陔第,2022-08-26,40.27,41.4,39.18,39.22,3716682,
301300.SZ,堈矧陔第,2022-08-29,38.01,39.57,38,39,2018288,
301300.SZ,堈矧陔第,2022-08-30,38.95,39.89,38.53,39.23,2272439,
301300.SZ,堈矧陔第,2022-08-31,38.5,38.95,36.89,37.12,2658687,
301300.SZ,堈矧陔第,2022-09-01,37.5,38.58,37.17,37.55,2326782,
301300.SZ,堈矧陔第,2022-09-02,37.5,38.77,37.21,38.27,2082437,
301300.SZ,堈矧陔第,2022-09-05,38.4,39.18,37.91,38.9,1951242,
301300.SZ,堈矧陔第,2022-09-06,38.71,42.27,38.68,42.26,4533031,
301300.SZ,堈矧陔第,2022-09-07,41,41.69,40.14,41.27,3368657,
301300.SZ,堈矧陔第,2022-09-08,40.45,40.58,38.68,38.76,2772000,
301300.SZ,堈矧陔第,2022-09-09,38.81,42.47,38.8,41.39,3985957,
301300.SZ,堈矧陔第,2022-09-13,41.3,41.3,39.78,40.52,2320893,
301300.SZ,堈矧陔第,2022-09-14,39.58,42.17,39.2,41.43,3105571,
301300.SZ,堈矧陔第,2022-09-15,41.08,41.8,39.35,40.28,2434127,
301300.SZ,堈矧陔第,2022-09-16,39.63,40.16,37.58,37.65,2346079,
301300.SZ,堈矧陔第,2022-09-19,37.51,39.19,37.07,37.86,1850462,
301300.SZ,堈矧陔第,2022-09-20,37.57,38.95,37.57,38.35,1399901,
301300.SZ,堈矧陔第,2022-09-21,38.38,39.58,38.04,38.86,1656453,
301300.SZ,堈矧陔第,2022-09-22,38.5,39.4,37.9,37.94,1556658,
301300.SZ,堈矧陔第,2022-09-23,38.1,38.66,36.5,36.5,1597258,
301300.SZ,堈矧陔第,2022-09-26,36.07,36.64,34.5,34.78,1502108,
301300.SZ,堈矧陔第,2022-09-27,35.4,36.6,35.26,35.81,1369904,
301300.SZ,堈矧陔第,2022-09-28,35.31,36.22,35.31,36.08,1250888,
301300.SZ,堈矧陔第,2022-09-29,36.01,36.37,35.6,36.16,1383225,
301300.SZ,堈矧陔第,2022-09-30,36.3,37.55,35.66,36.36,1991513,
301300.SZ,堈矧陔第,2022-10-10,36.35,36.7,34.35,35.2,1504856,
301300.SZ,堈矧陔第,2022-10-11,35.2,35.5,33.85,34.9,1208308,
301300.SZ,堈矧陔第,2022-10-12,35.02,35.8,34.21,35.65,1304592,
301300.SZ,堈矧陔第,2022-10-13,35.21,36.07,35.21,35.7,1291543,
301300.SZ,堈矧陔第,2022-10-14,36.15,36.66,35.83,36.16,1365792,
301300.SZ,堈矧陔第,2022-10-17,35.74,36.84,35.74,36.84,1318045,
301300.SZ,堈矧陔第,2022-10-18,36.84,36.95,36.15,36.18,1115441,
