����,���,����,���̼�(Ԫ),��߼�(Ԫ),��ͼ�(Ԫ),���̼�(Ԫ),�ɽ���(��),
688515.SH,ԣ̫΢-U,2023-02-10,260,268,229.27,232.48,11321118,
688515.SH,ԣ̫΢-U,2023-02-13,222,236.05,218.28,227.38,5821959,
688515.SH,ԣ̫΢-U,2023-02-14,229,239,225.67,237.6,3610123,
688515.SH,ԣ̫΢-U,2023-02-15,237,239.88,227.28,232.97,2428927,
688515.SH,ԣ̫΢-U,2023-02-16,225,243,224.88,230.1,2865450,
688515.SH,ԣ̫΢-U,2023-02-17,230,233.98,219.11,219.11,1765523,
688515.SH,ԣ̫΢-U,2023-02-20,215.33,225.44,215.33,224.6,1556323,
688515.SH,ԣ̫΢-U,2023-02-21,224.59,228,211.37,216.39,1653078,
688515.SH,ԣ̫΢-U,2023-02-22,214.93,222,214.59,218,838962,
688515.SH,ԣ̫΢-U,2023-02-23,217,219.96,213.8,215.5,664689,
688515.SH,ԣ̫΢-U,2023-02-24,216,222.68,214,221.8,1058790,
688515.SH,ԣ̫΢-U,2023-02-27,219.87,231.5,219.87,221.72,1507349,
688515.SH,ԣ̫΢-U,2023-02-28,221.35,228,216.13,219.1,1119591,
688515.SH,ԣ̫΢-U,2023-03-01,218.24,221,214.18,216.5,819133,
688515.SH,ԣ̫΢-U,2023-03-02,217.98,218,207.2,210.51,1278809,
688515.SH,ԣ̫΢-U,2023-03-03,210.5,216.5,208.4,212.51,864146,
688515.SH,ԣ̫΢-U,2023-03-06,214.19,226,213.5,221.9,2054640,
688515.SH,ԣ̫΢-U,2023-03-07,221,221.9,206.55,209.11,1456402,
688515.SH,ԣ̫΢-U,2023-03-08,206,209.72,203.61,205,1291902,
688515.SH,ԣ̫΢-U,2023-03-09,205.95,207.5,197.99,199.99,1504567,
688515.SH,ԣ̫΢-U,2023-03-10,197,204.49,194.56,200.7,1205274,
688515.SH,ԣ̫΢-U,2023-03-13,198.41,199.45,190,193.4,1516245,
688515.SH,ԣ̫΢-U,2023-03-14,191.88,207.6,191.88,203.86,1366176,
688515.SH,ԣ̫΢-U,2023-03-15,205.8,220.9,203.61,208,2069523,
688515.SH,ԣ̫΢-U,2023-03-16,207.76,217.36,202,203.86,1081077,
688515.SH,ԣ̫΢-U,2023-03-17,205.5,216.36,200,209.24,1240026,
688515.SH,ԣ̫΢-U,2023-03-20,205.66,208.85,196,201.2,1438678,
688515.SH,ԣ̫΢-U,2023-03-21,198.27,205,195.06,197,1047503,
688515.SH,ԣ̫΢-U,2023-03-22,196.22,201.31,193.46,195.25,1065708,
688515.SH,ԣ̫΢-U,2023-03-23,196.01,216,194.26,216,2587129,
688515.SH,ԣ̫΢-U,2023-03-24,213.24,217,210.2,215.03,1841862,
688515.SH,ԣ̫΢-U,2023-03-27,216.12,224.96,208,212.29,2266205,
688515.SH,ԣ̫΢-U,2023-03-28,218.5,228,212.22,214.99,2556786,
688515.SH,ԣ̫΢-U,2023-03-29,215,215,202.2,206.86,1852414,
688515.SH,ԣ̫΢-U,2023-03-30,206.88,224.96,206,223.3,3419283,
688515.SH,ԣ̫΢-U,2023-03-31,228.3,233,216.7,225.48,3056183,
688515.SH,ԣ̫΢-U,2023-04-03,229,232,220.12,228.72,3019139,
688515.SH,ԣ̫΢-U,2023-04-04,224.66,230,218.5,221.6,2392879,
688515.SH,ԣ̫΢-U,2023-04-06,220,240.5,219,230.99,3343184,
688515.SH,ԣ̫΢-U,2023-04-07,231,235.79,224.5,224.5,1765183,
688515.SH,ԣ̫΢-U,2023-04-10,224.3,224.3,204.2,204.2,2664598,
688515.SH,ԣ̫΢-U,2023-04-11,201.56,207.99,198.52,201.34,1240533,
688515.SH,ԣ̫΢-U,2023-04-12,203.5,215.25,197.45,214.71,1894592,
688515.SH,ԣ̫΢-U,2023-04-13,213.46,214.5,199.5,200.01,1430510,
688515.SH,ԣ̫΢-U,2023-04-14,200.16,208.5,195.01,206.6,1232228,
688515.SH,ԣ̫΢-U,2023-04-17,206.6,209.99,197.01,197.84,1396446,
688515.SH,ԣ̫΢-U,2023-04-18,197,197,180.87,186.1,1988737,
688515.SH,ԣ̫΢-U,2023-04-19,188.98,192.6,181.5,183.65,1503394,
688515.SH,ԣ̫΢-U,2023-04-20,183,191,178,188.14,1783196,
688515.SH,ԣ̫΢-U,2023-04-21,186,186.8,169.6,169.65,1792122,
688515.SH,ԣ̫΢-U,2023-04-24,169.99,172.11,159.85,163.8,1631870,
688515.SH,ԣ̫΢-U,2023-04-25,162.2,164,155.69,160.5,1135394,
688515.SH,ԣ̫΢-U,2023-04-26,148.45,161.96,148.45,158,1689905,
688515.SH,ԣ̫΢-U,2023-04-27,157.99,166.8,156.03,160.99,1246939,
688515.SH,ԣ̫΢-U,2023-04-28,161.08,165,159.88,160.4,850256,
688515.SH,ԣ̫΢-U,2023-05-04,159,162.9,156.5,158.8,815392,
688515.SH,ԣ̫΢-U,2023-05-05,156.98,160.5,152,152.9,735604,
688515.SH,ԣ̫΢-U,2023-05-08,152.9,162.8,151.14,159,896256,
