¥˙¬Î,ºÚ≥∆,»’∆⁄,ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),
300595.SZ,≈∑∆’øµ ”,2017-01-17,28.57,34.29,28.57,34.29,8000,
300595.SZ,≈∑∆’øµ ”,2017-01-18,37.72,37.72,37.72,37.72,2800,
300595.SZ,≈∑∆’øµ ”,2017-01-19,41.49,41.49,41.49,41.49,3200,
300595.SZ,≈∑∆’øµ ”,2017-01-20,45.64,45.64,45.64,45.64,4016,
300595.SZ,≈∑∆’øµ ”,2017-01-23,50.2,50.2,50.2,50.2,15500,
300595.SZ,≈∑∆’øµ ”,2017-01-24,55.22,55.22,55.22,55.22,15300,
300595.SZ,≈∑∆’øµ ”,2017-01-25,60.74,60.74,60.74,60.74,18300,
300595.SZ,≈∑∆’øµ ”,2017-01-26,66.81,66.81,66.81,66.81,56800,
300595.SZ,≈∑∆’øµ ”,2017-02-03,73.49,73.49,73.49,73.49,55780,
300595.SZ,≈∑∆’øµ ”,2017-02-06,80.84,80.84,80.84,80.84,88900,
300595.SZ,≈∑∆’øµ ”,2017-02-07,88.92,88.92,88.92,88.92,80100,
300595.SZ,≈∑∆’øµ ”,2017-02-08,97.81,97.81,92.29,97.81,9665191,
300595.SZ,≈∑∆’øµ ”,2017-02-09,104.99,107.59,103.8,107.59,3792308,
300595.SZ,≈∑∆’øµ ”,2017-02-10,111,111,101.28,105,7167652,
300595.SZ,≈∑∆’øµ ”,2017-02-13,107.15,115,106.28,108,4988049,
300595.SZ,≈∑∆’øµ ”,2017-02-14,105.8,109.85,105.11,107.01,3550667,
300595.SZ,≈∑∆’øµ ”,2017-02-15,106.1,111,103.6,104.76,4254159,
300595.SZ,≈∑∆’øµ ”,2017-02-16,103.49,104.2,98.71,100.1,3256261,
300595.SZ,≈∑∆’øµ ”,2017-02-17,99.08,101.3,95.99,97.65,2748104,
300595.SZ,≈∑∆’øµ ”,2017-02-20,97.24,97.99,90.8,95.1,2715385,
300595.SZ,≈∑∆’øµ ”,2017-02-21,94.25,104.33,94.21,101.2,2836191,
300595.SZ,≈∑∆’øµ ”,2017-02-22,101.2,109.77,99.51,107.2,3289541,
300595.SZ,≈∑∆’øµ ”,2017-02-23,107.01,109.45,105.14,107.43,2855323,
300595.SZ,≈∑∆’øµ ”,2017-02-24,107.5,109.75,106.32,106.32,2081614,
300595.SZ,≈∑∆’øµ ”,2017-02-27,105.19,108.33,103.66,106.22,2154053,
300595.SZ,≈∑∆’øµ ”,2017-02-28,106.8,113.81,105,112.09,3472241,
300595.SZ,≈∑∆’øµ ”,2017-03-01,111,114.34,109.78,110.45,3007414,
300595.SZ,≈∑∆’øµ ”,2017-03-02,110,120.99,109.35,115.68,3596395,
300595.SZ,≈∑∆’øµ ”,2017-03-03,115,121.4,113.33,121.2,2794764,
