ґъВл,јтіЖ,ИХЖЪ,їЄЕМјЫ(ФЄ),ЧоёЯјЫ(ФЄ),ЧоµНјЫ(ФЄ),КХЕМјЫ(ФЄ),іЙЅ»Бї(№Й),
002081.SZ,Ѕру«тл,2015-01-05,304.6311,331.1519,304.6311,331.1519,41106355,
002081.SZ,Ѕру«тл,2015-01-06,333.123,362.3318,332.9438,348.713,38303268,
002081.SZ,Ѕру«тл,2015-01-07,348.8922,349.9673,338.3197,343.1579,12570432,
002081.SZ,Ѕру«тл,2015-01-08,342.6203,344.9499,329.0015,340.47,18510374,
002081.SZ,Ѕру«тл,2015-01-09,335.4526,345.8458,331.5103,332.0479,14826949,
002081.SZ,Ѕру«тл,2015-01-12,332.227,340.2908,326.1344,335.0942,12159454,
002081.SZ,Ѕру«тл,2015-01-13,333.3022,368.6036,329.7183,368.6036,35628927,
002081.SZ,Ѕру«тл,2015-01-14,363.5861,379.8928,360.1814,360.5398,22476634,
002081.SZ,Ѕру«тл,2015-01-15,360.3606,379.5345,354.8056,374.1586,16900325,
002081.SZ,Ѕру«тл,2015-01-16,372.3667,411.6103,371.8291,404.2633,35815057,
002081.SZ,Ѕру«тл,2015-01-19,390.2861,435.4432,376.4881,415.5526,37245577,
002081.SZ,Ѕру«тл,2015-01-20,421.1076,437.5936,412.3271,423.4372,32992994,
002081.SZ,Ѕру«тл,2015-01-21,422.8996,433.6513,412.1479,420.2117,23041693,
002081.SZ,Ѕру«тл,2015-01-22,418.0613,429.1714,418.0613,422.8996,14017329,
002081.SZ,Ѕру«тл,2015-01-23,423.7956,435.4432,410.356,422.8996,15003116,
002081.SZ,Ѕру«тл,2015-01-26,422.8996,456.9466,412.1479,449.7788,21325540,
002081.SZ,Ѕру«тл,2015-01-27,449.4204,451.3916,433.1137,446.3741,13054571,
002081.SZ,Ѕру«тл,2015-01-28,439.9231,447.6285,427.917,435.6224,11231276,
002081.SZ,Ѕру«тл,2015-01-29,430.0674,439.0271,425.5875,431.5009,10032935,
002081.SZ,Ѕру«тл,2015-01-30,431.5009,435.264,403.3674,407.3096,20031116,
002081.SZ,Ѕру«тл,2015-02-02,398.1707,410.1768,397.4539,407.8472,13692940,
002081.SZ,Ѕру«тл,2015-02-03,409.8184,447.0909,409.2808,441.715,20249967,
002081.SZ,Ѕру«тл,2015-02-04,446.1949,454.6171,430.0674,446.3741,17159785,
002081.SZ,Ѕру«тл,2015-02-05,453.1835,454.4379,430.0674,430.4258,16254274,
002081.SZ,Ѕру«тл,2015-02-06,429.709,439.0271,410.356,419.3157,9513088,
