ДњТы,МђГЦ,ШеЦк,ПЊХЬМл(дЊ),зюИпМл(дЊ),зюЕЭМл(дЊ),ЪеХЬМл(дЊ),ГЩНЛСП(ЙЩ),
300999.SZ,Н№Сњгу,2020-10-15,48.96,62.65,39.51,56,254037494,
300999.SZ,Н№Сњгу,2020-10-16,49,55.87,48.01,49.01,182576747,
300999.SZ,Н№Сњгу,2020-10-19,47,47.5,44.89,45.2,114784503,
300999.SZ,Н№Сњгу,2020-10-20,45.4,49.2,45.4,47.9,108170712,
300999.SZ,Н№Сњгу,2020-10-21,47,50.14,45.9,47.5,115243544,
300999.SZ,Н№Сњгу,2020-10-22,46.81,49.87,46.52,48.65,86663090,
300999.SZ,Н№Сњгу,2020-10-23,49.23,49.48,47.35,47.9,74395457,
300999.SZ,Н№Сњгу,2020-10-26,47.35,47.48,45.85,46.39,51756998,
300999.SZ,Н№Сњгу,2020-10-27,46.05,46.3,43.72,44.53,72361323,
300999.SZ,Н№Сњгу,2020-10-28,44.3,45.5,43.85,45.3,52824162,
300999.SZ,Н№Сњгу,2020-10-29,44.31,45.17,44.06,44.47,41707292,
300999.SZ,Н№Сњгу,2020-10-30,44.63,47.88,44.63,45.99,76467265,
300999.SZ,Н№Сњгу,2020-11-02,48,52.37,47,51.65,119153657,
300999.SZ,Н№Сњгу,2020-11-03,51.28,54.41,50.45,51.16,106681430,
300999.SZ,Н№Сњгу,2020-11-04,51.8,54.28,51.05,53.74,92860870,
300999.SZ,Н№Сњгу,2020-11-05,53.4,56.66,52.25,53.9,97970002,
300999.SZ,Н№Сњгу,2020-11-06,53.9,61.5,53.48,60.9,109924453,
300999.SZ,Н№Сњгу,2020-11-09,61,64.64,58.58,61.66,110605581,
300999.SZ,Н№Сњгу,2020-11-10,61.66,65.89,60.23,63.69,93708096,
300999.SZ,Н№Сњгу,2020-11-11,62.66,66.55,59.13,60.18,108239803,
300999.SZ,Н№Сњгу,2020-11-12,60.3,66.66,58.9,65.69,103324622,
300999.SZ,Н№Сњгу,2020-11-13,64.58,66.99,63.4,64.51,81176223,
300999.SZ,Н№Сњгу,2020-11-16,66.48,72.9,64.66,72.16,93899977,
300999.SZ,Н№Сњгу,2020-11-17,71.42,75.96,70.57,74.07,91380240,
300999.SZ,Н№Сњгу,2020-11-18,73.85,75.28,72.31,73.72,54011667,
300999.SZ,Н№Сњгу,2020-11-19,74.2,74.58,67.53,68.01,93425084,
300999.SZ,Н№Сњгу,2020-11-20,68.02,73.29,68.02,72.39,77297860,
300999.SZ,Н№Сњгу,2020-11-23,72.2,73.36,70.11,72.66,58355231,
300999.SZ,Н№Сњгу,2020-11-24,71.77,72.49,67.99,69.62,65125435,
300999.SZ,Н№Сњгу,2020-11-25,69.99,70.44,66.66,67.68,51077040,
300999.SZ,Н№Сњгу,2020-11-26,67.53,70.29,67.5,68.87,43664027,
300999.SZ,Н№Сњгу,2020-11-27,68.17,68.99,65.95,66.74,45347117,
300999.SZ,Н№Сњгу,2020-11-30,67.33,70.23,66.3,69.77,59051033,
300999.SZ,Н№Сњгу,2020-12-01,69.3,70.14,68.4,69.71,37557627,
300999.SZ,Н№Сњгу,2020-12-02,70.2,72.8,70.1,70.6,55278508,
300999.SZ,Н№Сњгу,2020-12-03,70,70,68.01,68.92,36993856,
300999.SZ,Н№Сњгу,2020-12-04,68.46,72,68.11,70.97,46648858,
300999.SZ,Н№Сњгу,2020-12-07,70.68,73.5,70.35,71.67,41652108,
300999.SZ,Н№Сњгу,2020-12-08,71.59,72.75,70.8,71.83,31853264,
300999.SZ,Н№Сњгу,2020-12-09,71.61,72.2,67.95,69.05,47385684,
300999.SZ,Н№Сњгу,2020-12-10,68.51,69.69,67.6,68.34,29509540,
300999.SZ,Н№Сњгу,2020-12-11,68.42,69.66,66.66,69,40963642,
300999.SZ,Н№Сњгу,2020-12-14,69.39,75.78,68.62,75.51,68667047,
300999.SZ,Н№Сњгу,2020-12-15,75.38,76.88,74.79,75.89,46549678,
300999.SZ,Н№Сњгу,2020-12-16,75.52,82.85,75.52,81.02,65185515,
300999.SZ,Н№Сњгу,2020-12-17,81,84.6,79.61,81.68,59307108,
300999.SZ,Н№Сњгу,2020-12-18,80.99,84.19,79.39,83.29,49051768,
300999.SZ,Н№Сњгу,2020-12-21,82.8,91.19,82.18,90.25,53823337,
300999.SZ,Н№Сњгу,2020-12-22,89.5,96.3,87.54,90.2,67406862,
300999.SZ,Н№Сњгу,2020-12-23,90.7,95.57,89,92.9,56148485,
300999.SZ,Н№Сњгу,2020-12-24,91.81,94.2,88,88.7,54444306,
300999.SZ,Н№Сњгу,2020-12-25,88,90.36,85.33,88.8,43858313,
300999.SZ,Н№Сњгу,2020-12-28,88.9,99.27,88.9,99.02,55855165,
300999.SZ,Н№Сњгу,2020-12-29,98.78,101.1,95.06,97.98,54430148,
300999.SZ,Н№Сњгу,2020-12-30,98.1,107.77,97.07,104.98,53530627,
300999.SZ,Н№Сњгу,2020-12-31,107.01,109.6,104.55,108.32,40724952,
300999.SZ,Н№Сњгу,2021-01-04,108.33,125.66,106.55,124.14,53377911,
300999.SZ,Н№Сњгу,2021-01-05,124.75,139.9,116.8,122,94109899,
300999.SZ,Н№Сњгу,2021-01-06,120,127.8,118.95,127.8,59430397,
300999.SZ,Н№Сњгу,2021-01-07,127.31,139.78,125.66,139.13,64846465,
300999.SZ,Н№Сњгу,2021-01-08,138.99,145.4,135.2,145,58344926,
300999.SZ,Н№Сњгу,2021-01-11,143.2,145.62,124.6,128.61,85815611,
300999.SZ,Н№Сњгу,2021-01-12,126.6,135.02,120,129.8,67960899,
300999.SZ,Н№Сњгу,2021-01-13,128.11,130.39,119,119.9,72539321,
300999.SZ,Н№Сњгу,2021-01-14,116.5,120.8,111.48,117.29,54504889,
300999.SZ,Н№Сњгу,2021-01-15,116.4,120.51,114.1,119.02,43503936,
300999.SZ,Н№Сњгу,2021-01-18,117.06,121.25,116.5,118.01,31771471,
300999.SZ,Н№Сњгу,2021-01-19,117.25,129.48,117.22,125.48,58148886,
300999.SZ,Н№Сњгу,2021-01-20,124.5,138.07,124.01,136.85,59531873,
300999.SZ,Н№Сњгу,2021-01-21,137.55,142.5,133.5,137.31,53620840,
300999.SZ,Н№Сњгу,2021-01-22,137.74,139.24,129.8,131.99,47972792,
300999.SZ,Н№Сњгу,2021-01-25,132.11,142.77,128.34,141.25,62115448,
300999.SZ,Н№Сњгу,2021-01-26,141.08,142.67,130.86,130.86,50859536,
300999.SZ,Н№Сњгу,2021-01-27,129,134.88,128.05,130.83,35521123,
300999.SZ,Н№Сњгу,2021-01-28,127.7,128.7,119.38,119.4,49982158,
300999.SZ,Н№Сњгу,2021-01-29,122.22,124.78,117.7,121.92,35768197,
300999.SZ,Н№Сњгу,2021-02-01,121.51,123.98,119,121.4,23719205,
