測鎢,潠備,�梪�,羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),
000718.SZ,劼譴遠⑩,2015-01-05,33.0224,34.6784,33.0224,33.2659,48434081,
000718.SZ,劼譴遠⑩,2015-01-06,32.8763,33.0224,31.5125,31.9996,37180770,
000718.SZ,劼譴遠⑩,2015-01-07,31.9022,32.3405,31.269,31.8048,22072967,
000718.SZ,劼譴遠⑩,2015-01-08,31.7561,31.9022,30.2949,30.441,30638989,
000718.SZ,劼譴遠⑩,2015-01-09,30.5384,30.9768,29.7104,30.0514,27081767,
000718.SZ,劼譴遠⑩,2015-01-12,29.8565,29.8565,28.6876,28.9311,22516648,
000718.SZ,劼譴遠⑩,2015-01-13,28.7363,30.0514,28.6389,29.8078,21939973,
000718.SZ,劼譴遠⑩,2015-01-14,29.7104,30.0514,29.1747,29.7591,13398330,
000718.SZ,劼譴遠⑩,2015-01-15,29.7591,30.441,29.5156,30.2462,25164948,
000718.SZ,劼譴遠⑩,2015-01-16,30.7819,31.6586,30.6358,31.0742,31274403,
000718.SZ,劼譴遠⑩,2015-01-19,30.1975,30.6358,28.298,28.9311,31592423,
000718.SZ,劼譴遠⑩,2015-01-20,28.9311,29.9052,28.9311,29.7591,16423055,
000718.SZ,劼譴遠⑩,2015-01-21,29.7104,31.1716,29.6617,30.8794,25787161,
000718.SZ,劼譴遠⑩,2015-01-22,30.9768,31.7561,30.9768,31.1716,22837445,
000718.SZ,劼譴遠⑩,2015-01-23,31.1229,31.3664,30.5871,30.9281,18542021,
000718.SZ,劼譴遠⑩,2015-01-26,31.0255,31.9509,30.7819,31.6586,22006779,
000718.SZ,劼譴遠⑩,2015-01-27,31.6586,31.9022,30.5384,31.3177,17728515,
000718.SZ,劼譴遠⑩,2015-01-28,31.269,31.269,30.6845,31.0255,13920737,
000718.SZ,劼譴遠⑩,2015-01-29,30.6845,31.269,30.3436,30.8794,11845113,
000718.SZ,劼譴遠⑩,2015-01-30,30.8794,31.5125,30.6358,31.1716,15095570,
000718.SZ,劼譴遠⑩,2015-02-02,30.7332,31.4151,30.4897,30.7819,14609431,
000718.SZ,劼譴遠⑩,2015-02-03,30.8794,31.269,30.6845,31.269,13292744,
000718.SZ,劼譴遠⑩,2015-02-04,31.269,32.1457,31.1716,31.3664,20601413,
