´úÂë,¼ò³Æ,ÈÕÆÚ,¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),
688080.SH,Ó³º²Í¨,2020-02-12,141.52,148,121.11,133.5,9793973,
688080.SH,Ó³º²Í¨,2020-02-13,133,159.88,128.12,140.25,8501081,
688080.SH,Ó³º²Í¨,2020-02-14,133,138.79,125.11,133,5984455,
688080.SH,Ó³º²Í¨,2020-02-17,136,147.88,133.05,139.77,5165511,
688080.SH,Ó³º²Í¨,2020-02-18,138,142.77,130,134.85,4811797,
688080.SH,Ó³º²Í¨,2020-02-19,135,135.9,127,127.51,3306791,
688080.SH,Ó³º²Í¨,2020-02-20,126.25,128.47,116.9,118.55,3370744,
688080.SH,Ó³º²Í¨,2020-02-21,116.5,123,115,117.31,2458662,
688080.SH,Ó³º²Í¨,2020-02-24,123.56,123.62,117.31,120.99,2302878,
688080.SH,Ó³º²Í¨,2020-02-25,117,122,115.5,119.9,2134009,
688080.SH,Ó³º²Í¨,2020-02-26,117.03,119.87,106.2,106.52,2823037,
688080.SH,Ó³º²Í¨,2020-02-27,106.01,111.88,100.25,107.11,2278086,
688080.SH,Ó³º²Í¨,2020-02-28,101.01,111.98,100.26,106.53,2113026,
688080.SH,Ó³º²Í¨,2020-03-02,108.8,115.5,107.83,112.98,1999607,
688080.SH,Ó³º²Í¨,2020-03-03,113.48,118.2,111.12,112.16,2193423,
688080.SH,Ó³º²Í¨,2020-03-04,110.5,116.28,109.2,114.99,1861562,
688080.SH,Ó³º²Í¨,2020-03-05,118,121.68,114.49,115.11,2016136,
688080.SH,Ó³º²Í¨,2020-03-06,110.01,119.06,110,114.47,1577645,
688080.SH,Ó³º²Í¨,2020-03-09,111.69,113.77,102,103.21,1603338,
688080.SH,Ó³º²Í¨,2020-03-10,102.9,107.33,98.03,107.18,1260668,
688080.SH,Ó³º²Í¨,2020-03-11,106.03,108.45,102.44,102.45,1049407,
688080.SH,Ó³º²Í¨,2020-03-12,99,102.37,98.14,102.02,770925,
688080.SH,Ó³º²Í¨,2020-03-13,96.5,103.6,96,101.38,893206,
688080.SH,Ó³º²Í¨,2020-03-16,104.26,104.3,95.5,95.5,793723,
688080.SH,Ó³º²Í¨,2020-03-17,96.65,99,90.3,94,877238,
688080.SH,Ó³º²Í¨,2020-03-18,96.5,98.62,93.95,94.1,969658,
688080.SH,Ó³º²Í¨,2020-03-19,93.65,97.5,92.02,96.96,992940,
688080.SH,Ó³º²Í¨,2020-03-20,98,101.82,97.16,100.27,1038819,
688080.SH,Ó³º²Í¨,2020-03-23,97,99.5,90.51,91,876190,
688080.SH,Ó³º²Í¨,2020-03-24,93.26,93.98,89.11,92.9,818207,
688080.SH,Ó³º²Í¨,2020-03-25,96.94,96.96,93.57,94.56,692076,
688080.SH,Ó³º²Í¨,2020-03-26,92.95,93.7,91.22,92.19,461478,
688080.SH,Ó³º²Í¨,2020-03-27,93.5,93.87,88.63,88.96,638682,
688080.SH,Ó³º²Í¨,2020-03-30,85.5,85.5,80,82.21,807116,
688080.SH,Ó³º²Í¨,2020-03-31,83.98,83.98,78.33,78.68,700994,
688080.SH,Ó³º²Í¨,2020-04-01,77.66,79.89,76.6,76.95,562497,
688080.SH,Ó³º²Í¨,2020-04-02,75.71,80.08,75.71,80.08,719029,
688080.SH,Ó³º²Í¨,2020-04-03,79.66,80.58,76.8,77,621459,
688080.SH,Ó³º²Í¨,2020-04-07,78.91,79.37,78.16,79.08,628538,
688080.SH,Ó³º²Í¨,2020-04-08,78.57,81.39,78.09,80.25,613592,
688080.SH,Ó³º²Í¨,2020-04-09,80.28,81.48,79.4,80.2,457819,
688080.SH,Ó³º²Í¨,2020-04-10,79.77,80.24,77.03,77.87,527265,
688080.SH,Ó³º²Í¨,2020-04-13,77,77.96,72.98,75.32,472256,
688080.SH,Ó³º²Í¨,2020-04-14,75.33,77.09,75.32,76.83,339007,
688080.SH,Ó³º²Í¨,2020-04-15,77.3,82,77.3,78.9,793848,
688080.SH,Ó³º²Í¨,2020-04-16,78.76,78.76,76.6,77.79,383528,
688080.SH,Ó³º²Í¨,2020-04-17,79.26,79.95,77.11,77.75,421043,
688080.SH,Ó³º²Í¨,2020-04-20,77.7,78.88,77.01,77.81,280653,
688080.SH,Ó³º²Í¨,2020-04-21,77.9,79.49,77.2,78.71,415637,
688080.SH,Ó³º²Í¨,2020-04-22,77.1,79.3,77.1,78.95,403284,
688080.SH,Ó³º²Í¨,2020-04-23,78.55,82.1,78.55,81.4,640882,
688080.SH,Ó³º²Í¨,2020-04-24,81.52,83.2,81.01,81.7,692939,
688080.SH,Ó³º²Í¨,2020-04-27,82,84,81.11,82.9,562848,
688080.SH,Ó³º²Í¨,2020-04-28,80.5,80.5,67.02,71.5,1681807,
688080.SH,Ó³º²Í¨,2020-04-29,71.49,71.49,67.3,67.88,1081852,
688080.SH,Ó³º²Í¨,2020-04-30,68.45,72.13,68.43,70.9,897280,
688080.SH,Ó³º²Í¨,2020-05-06,69.95,81.6,69,79.51,1414931,
688080.SH,Ó³º²Í¨,2020-05-07,78.01,88.8,78,87.5,2062920,
688080.SH,Ó³º²Í¨,2020-05-08,89.6,90.38,85,87.53,1675354,
688080.SH,Ó³º²Í¨,2020-05-11,85.6,87.58,83.68,84.73,1080176,
688080.SH,Ó³º²Í¨,2020-05-12,84.8,85.5,80.54,82.83,821727,
688080.SH,Ó³º²Í¨,2020-05-13,82.04,84.29,81.51,83.95,617861,
688080.SH,Ó³º²Í¨,2020-05-14,83.93,83.93,81.55,82.5,530117,
688080.SH,Ó³º²Í¨,2020-05-15,83,84.18,81.69,83.59,558022,
688080.SH,Ó³º²Í¨,2020-05-18,83.9,84.85,80.03,80.1,697451,
688080.SH,Ó³º²Í¨,2020-05-19,80.35,82.28,80.35,81.87,441830,
688080.SH,Ó³º²Í¨,2020-05-20,82,85.85,81.14,83.2,815792,
688080.SH,Ó³º²Í¨,2020-05-21,83.2,84.78,78.81,79.1,712515,
688080.SH,Ó³º²Í¨,2020-05-22,78.8,79.68,75.52,75.81,605790,
688080.SH,Ó³º²Í¨,2020-05-25,75.81,76.88,72.45,72.75,451323,
688080.SH,Ó³º²Í¨,2020-05-26,73.94,78.5,73,76.79,482796,
688080.SH,Ó³º²Í¨,2020-05-27,77.45,77.59,74.6,74.95,397027,
688080.SH,Ó³º²Í¨,2020-05-28,74.94,85.66,74.5,84.84,1590801,
688080.SH,Ó³º²Í¨,2020-05-29,82.31,93.58,82.28,87.97,2252240,
688080.SH,Ó³º²Í¨,2020-06-01,87.49,91.89,86.08,89.45,1541766,
688080.SH,Ó³º²Í¨,2020-06-02,88,91.49,87.06,91.2,1206403,
688080.SH,Ó³º²Í¨,2020-06-03,90.59,91.19,88,88,953263,
688080.SH,Ó³º²Í¨,2020-06-04,88,90.43,87.08,89.41,928897,
688080.SH,Ó³º²Í¨,2020-06-05,88.6,94.99,88.1,92.85,1310068,
688080.SH,Ó³º²Í¨,2020-06-08,92.85,94.49,89.21,89.36,958733,
688080.SH,Ó³º²Í¨,2020-06-09,88.58,89.35,85.77,87.09,631229,
688080.SH,Ó³º²Í¨,2020-06-10,88.1,89,85.6,86.1,437433,
688080.SH,Ó³º²Í¨,2020-06-11,85.03,87.98,85.03,86.11,504184,
688080.SH,Ó³º²Í¨,2020-06-12,83.7,85.99,83.7,84.9,391980,
688080.SH,Ó³º²Í¨,2020-06-15,85,89.4,84.23,86,641761,
688080.SH,Ó³º²Í¨,2020-06-16,87.29,100,86.72,98.69,2505062,
688080.SH,Ó³º²Í¨,2020-06-17,96.99,96.99,92.91,93.71,1697794,
688080.SH,Ó³º²Í¨,2020-06-18,93.9405,94.9627,91.0944,91.7759,931121,
688080.SH,Ó³º²Í¨,2020-06-19,92.7379,98.1996,92.4974,93.0486,1390587,
688080.SH,Ó³º²Í¨,2020-06-22,92.6478,95.2032,89.952,94.2011,946510,
688080.SH,Ó³º²Í¨,2020-06-23,94.181,94.4817,91.375,92.297,602288,
688080.SH,Ó³º²Í¨,2020-06-24,92.8482,96.1552,92.1968,94.6721,1022824,
688080.SH,Ó³º²Í¨,2020-06-29,95.1932,96.2053,90.4932,91.2748,895338,
688080.SH,Ó³º²Í¨,2020-06-30,92.4974,92.9985,91.1946,91.9863,577367,
688080.SH,Ó³º²Í¨,2020-07-01,93.0787,97.8689,92.2168,94.4416,1086900,
688080.SH,Ó³º²Í¨,2020-07-02,93.9906,94.191,92.1066,93.7,721976,
688080.SH,Ó³º²Í¨,2020-07-03,93.5998,93.5998,90.5533,91.9663,850940,
688080.SH,Ó³º²Í¨,2020-07-06,93.3593,97.1874,92.8782,96.8267,1236711,
688080.SH,Ó³º²Í¨,2020-07-07,99.1115,102.0178,96.2053,97.9892,1445775,
688080.SH,Ó³º²Í¨,2020-07-08,96.5761,101.216,96.5761,99.3721,1104125,
688080.SH,Ó³º²Í¨,2020-07-09,100.244,110.0148,99.9934,107.0184,1864260,
688080.SH,Ó³º²Í¨,2020-07-10,107.1086,107.7199,101.7171,105.7557,1250129,
688080.SH,Ó³º²Í¨,2020-07-13,104.7335,110.2353,102.7192,109.7342,1196732,
688080.SH,Ó³º²Í¨,2020-07-14,108.6319,117.2102,104.2225,109.2332,1672758,
688080.SH,Ó³º²Í¨,2020-07-15,110.5159,112.911,96.2655,96.6162,1359653,
688080.SH,Ó³º²Í¨,2020-07-16,98.2096,98.2096,88.088,89.0401,1152221,
688080.SH,Ó³º²Í¨,2020-07-17,88.7093,91.0443,86.184,87.3965,669465,
688080.SH,Ó³º²Í¨,2020-07-20,87.4968,90.0121,84.1797,88.5189,600264,
688080.SH,Ó³º²Í¨,2020-07-21,89.1904,89.972,86.8454,88.2985,426426,
688080.SH,Ó³º²Í¨,2020-07-22,87.1861,88.7795,86.184,87.1761,428389,
688080.SH,Ó³º²Í¨,2020-07-23,87.1159,87.1159,80.8325,82.6865,750874,
688080.SH,Ó³º²Í¨,2020-07-24,83.1775,83.1775,76.1626,76.1626,719491,
688080.SH,Ó³º²Í¨,2020-07-27,77.1747,77.6056,73.3365,77.4653,418647,
688080.SH,Ó³º²Í¨,2020-07-28,77.6357,80.1511,77.6357,79.63,416736,
688080.SH,Ó³º²Í¨,2020-07-29,80.6622,82.3758,78.8784,82.3758,429833,
688080.SH,Ó³º²Í¨,2020-07-30,82.446,82.446,79.169,79.7302,449794,
688080.SH,Ó³º²Í¨,2020-07-31,79.169,81.1632,78.1769,80.5519,358125,
688080.SH,Ó³º²Í¨,2020-08-03,80.572,84.5404,80.572,83.859,533511,
688080.SH,Ó³º²Í¨,2020-08-04,84.1797,84.5805,81.9048,82.436,372327,
688080.SH,Ó³º²Í¨,2020-08-05,82.446,82.917,81.0029,81.7745,385102,
688080.SH,Ó³º²Í¨,2020-08-06,82.1754,82.6865,79.4796,80.6822,376528,
688080.SH,Ó³º²Í¨,2020-08-07,80.3315,81.1733,76.7037,78.237,369672,
688080.SH,Ó³º²Í¨,2020-08-10,77.6658,78.9485,76.7338,78.1268,195977,
688080.SH,Ó³º²Í¨,2020-08-11,77.7259,78.9485,76.3429,76.4832,305112,
688080.SH,Ó³º²Í¨,2020-08-12,76.4832,76.4832,72.4546,74.3186,530180,
688080.SH,Ó³º²Í¨,2020-08-13,74.3988,75.912,73.6171,74.8999,266455,
688080.SH,Ó³º²Í¨,2020-08-14,75.0402,77.4152,73.2664,77.0545,304623,
