����,���,����,���̼�(Ԫ),��߼�(Ԫ),��ͼ�(Ԫ),���̼�(Ԫ),�ɽ���(��),
300254.SZ,ǪԴҽҩ,2015-01-05,26.1679,26.3622,25.0733,25.5745,1860862,
300254.SZ,ǪԴҽҩ,2015-01-06,25.5745,27.8967,25.4518,27.4568,4512421,
300254.SZ,ǪԴҽҩ,2015-01-07,27.3034,27.6205,26.6077,27.1704,2611633,
300254.SZ,ǪԴҽҩ,2015-01-08,27.1601,28.9606,26.8021,27.9888,5580652,
300254.SZ,ǪԴҽҩ,2015-01-09,27.5898,29.1345,27.5898,27.8251,3776014,
300254.SZ,ǪԴҽҩ,2015-01-12,27.5693,27.5693,25.0426,26.4441,2672388,
300254.SZ,ǪԴҽҩ,2015-01-13,26.2702,29.0936,25.5745,29.0936,8438070,
300254.SZ,ǪԴҽҩ,2015-01-14,29.155,31.0679,28.7048,30.6178,10357403,
300254.SZ,ǪԴҽҩ,2015-01-15,30.1677,30.2802,29.114,29.6971,4735252,
300254.SZ,ǪԴҽҩ,2015-01-16,29.6971,30.5462,29.1959,29.8404,3015981,
300254.SZ,ǪԴҽҩ,2015-01-19,28.7355,31.651,28.1729,29.7176,4961157,
300254.SZ,ǪԴҽҩ,2015-01-20,29.6664,31.1498,29.114,30.6894,4878798,
300254.SZ,ǪԴҽҩ,2015-01-21,30.7917,31.2828,30.1268,30.3007,4089667,
300254.SZ,ǪԴҽҩ,2015-01-22,30.4848,33.3287,30.4848,33.3287,7274895,
300254.SZ,ǪԴҽҩ,2015-01-23,34.2699,35.5588,32.6945,33.1446,9409351,
300254.SZ,ǪԴҽҩ,2015-01-26,33.0423,33.7584,32.7252,33.3492,3462246,
300254.SZ,ǪԴҽҩ,2015-01-27,33.1446,33.6561,31.2009,32.5308,3301334,
300254.SZ,ǪԴҽҩ,2015-01-28,32.4285,33.5129,31.8965,32.3262,2616184,
300254.SZ,ǪԴҽҩ,2015-01-29,32.316,32.7047,31.917,32.0295,1970155,
300254.SZ,ǪԴҽҩ,2015-01-30,32.1523,32.5001,30.4848,30.4951,2307021,
300254.SZ,ǪԴҽҩ,2015-02-02,30.1779,30.1779,28.0501,28.398,5431264,
300254.SZ,ǪԴҽҩ,2015-02-03,28.398,28.9708,28.1627,28.6435,5039527,
300254.SZ,ǪԴҽҩ,2015-02-04,28.9504,28.9504,28.357,28.756,2691230,
300254.SZ,ǪԴҽҩ,2015-02-05,28.756,29.4414,27.6512,27.8046,4999666,
300254.SZ,ǪԴҽҩ,2015-02-06,27.8558,28.1013,26.485,26.5668,4927042,
300254.SZ,ǪԴҽҩ,2015-02-09,26.577,27.8865,26.5668,27.3136,3574820,
300254.SZ,ǪԴҽҩ,2015-02-10,27.4773,28.0399,27.1397,27.9478,2455930,
300254.SZ,ǪԴҽҩ,2015-02-11,27.9274,28.7867,27.6307,28.5003,2442209,
300254.SZ,ǪԴҽҩ,2015-02-12,28.4389,28.7458,28.1013,28.4184,2409890,
300254.SZ,ǪԴҽҩ,2015-02-13,28.4389,31.2623,28.4389,30.7917,7170240,
300254.SZ,ǪԴҽҩ,2015-02-16,30.6894,31.2009,29.9733,30.9963,5766400,
300254.SZ,ǪԴҽҩ,2015-02-17,31.0168,33.2673,31.0168,32.4183,6658036,
300254.SZ,ǪԴҽҩ,2015-02-25,32.2546,32.5308,31.3851,31.5999,3686228,
300254.SZ,ǪԴҽҩ,2015-02-26,31.2316,31.7124,29.6767,30.6281,4658713,
300254.SZ,ǪԴҽҩ,2015-02-27,30.6894,31.3032,30.5871,30.9349,3021654,
300254.SZ,ǪԴҽҩ,2015-03-02,30.6894,32.3773,30.4848,32.0705,5069973,
300254.SZ,ǪԴҽҩ,2015-03-03,32.0193,34.5972,31.6101,32.6945,8367883,
300254.SZ,ǪԴҽҩ,2015-03-04,32.5308,35.968,32.5308,35.968,6410816,
300254.SZ,ǪԴҽҩ,2015-03-05,38.638,38.638,35.9066,36.0601,15411086,
300254.SZ,ǪԴҽҩ,2015-03-06,35.2928,35.7941,33.5538,33.5538,7194206,
300254.SZ,ǪԴҽҩ,2015-03-09,33.5538,36.0805,33.3287,35.0882,6626481,
300254.SZ,ǪԴҽҩ,2015-03-10,35.1189,37.0319,34.3108,36.6227,7636535,
300254.SZ,ǪԴҽҩ,2015-03-11,36.2135,37.0319,35.2212,35.2519,4068525,
300254.SZ,ǪԴҽҩ,2015-03-12,35.2519,35.743,32.8377,35.1087,5099790,
300254.SZ,ǪԴҽҩ,2015-03-13,34.7404,36.2442,33.6765,35.8043,4626859,
300254.SZ,ǪԴҽҩ,2015-03-16,36.8273,38.5664,36.3261,37.5946,7517900,
300254.SZ,ǪԴҽҩ,2015-03-17,37.7889,38.5664,36.5409,37.1342,5881618,
300254.SZ,ǪԴҽҩ,2015-03-18,36.8273,39.2518,36.7046,38.0958,4408998,
300254.SZ,ǪԴҽҩ,2015-03-19,38.0958,38.3822,36.9501,37.7889,4015163,
300254.SZ,ǪԴҽҩ,2015-03-20,37.8503,39.2518,37.5536,38.6482,4125759,
300254.SZ,ǪԴҽҩ,2015-03-23,39.4871,39.7633,38.1572,39.4359,4379151,
300254.SZ,ǪԴҽҩ,2015-03-24,39.3848,39.4359,36.0089,37.4309,12634839,
300254.SZ,ǪԴҽҩ,2015-03-25,37.4206,37.4206,36.1112,36.5613,7905187,
300254.SZ,ǪԴҽҩ,2015-03-26,36.2647,37.1751,35.3542,35.8862,4707736,
300254.SZ,ǪԴҽҩ,2015-03-27,35.8453,36.6023,35.7123,36.2954,2662028,
300254.SZ,ǪԴҽҩ,2015-03-30,36.367,36.5102,34.4949,35.2928,6715143,
300254.SZ,ǪԴҽҩ,2015-03-31,35.2928,36.6227,34.8734,36.3465,5412758,
300254.SZ,ǪԴҽҩ,2015-04-01,36.2954,37.9117,35.9885,37.5434,7919138,
300254.SZ,ǪԴҽҩ,2015-04-02,37.7071,37.8298,36.6432,37.1854,5835935,
300254.SZ,ǪԴҽҩ,2015-04-03,36.9296,37.216,36.2135,37.0115,5305454,
300254.SZ,ǪԴҽҩ,2015-04-07,37.0319,38.771,36.9296,37.8401,8123146,
300254.SZ,ǪԴҽҩ,2015-04-08,37.9321,38.0447,34.7814,35.6509,6760480,
300254.SZ,ǪԴҽҩ,2015-04-09,35.5793,35.5793,33.0423,34.3722,6020671,
300254.SZ,ǪԴҽҩ,2015-04-10,34.2699,36.6432,33.7584,36.0294,5136648,
300254.SZ,ǪԴҽҩ,2015-04-13,35.8043,38.5664,35.61,37.6866,7727595,
300254.SZ,ǪԴҽҩ,2015-04-14,37.6457,41.1136,36.9194,39.4768,9126365,
300254.SZ,ǪԴҽҩ,2015-04-15,38.9347,39.3745,36.5409,36.5409,6265606,
300254.SZ,ǪԴҽҩ,2015-04-16,35.8043,38.5562,34.7916,36.4386,4025877,
300254.SZ,ǪԴҽҩ,2015-04-17,36.5,36.7455,35.2928,35.4974,4962881,
300254.SZ,ǪԴҽҩ,2015-04-20,35.2928,35.3747,34.1164,34.1573,3392196,
300254.SZ,ǪԴҽҩ,2015-04-21,34.2801,37.4411,34.2801,37.4104,6041155,
300254.SZ,ǪԴҽҩ,2015-04-22,37.4104,40.4077,37.39,39.5894,10081408,
300254.SZ,ǪԴҽҩ,2015-04-23,39.6917,42.7606,39.1597,40.9192,8950006,
300254.SZ,ǪԴҽҩ,2015-04-24,39.9986,41.6353,39.5996,41.0011,6988843,
300254.SZ,ǪԴҽҩ,2015-04-27,40.8681,43.3744,40.5305,41.1341,5231772,
