іъ¬л,Љт≥∆,»’∆Џ,њ™≈ћЉџ(‘™),„оЄяЉџ(‘™),„оµЌЉџ(‘™), ’≈ћЉџ(‘™),≥…љїЅњ(є…),
603116.SH,Їмтят—,2015-06-29,25.49,25.49,25.49,25.49,74100,
603116.SH,Їмтят—,2015-06-30,28.04,28.04,28.04,28.04,71100,
603116.SH,Їмтят—,2015-07-01,30.84,30.84,30.84,30.84,33800,
603116.SH,Їмтят—,2015-07-02,33.92,33.92,33.92,33.92,457950,
603116.SH,Їмтят—,2015-07-03,35,37.31,30.54,37.31,34488212,
603116.SH,Їмтят—,2015-07-06,41.04,41.04,33.58,33.95,28729996,
603116.SH,Їмтят—,2015-07-07,30.56,30.56,30.56,30.56,2543700,
603116.SH,Їмтят—,2015-07-08,30.56,30.56,30.56,30.56,0,
603116.SH,Їмтят—,2015-07-09,27.5,33.62,27.5,33.62,22147829,
603116.SH,Їмтят—,2015-07-10,35,36.98,34,36.98,15907353,
603116.SH,Їмтят—,2015-07-13,40,40.68,38.03,40.68,18159774,
603116.SH,Їмтят—,2015-07-14,42,44.75,40.01,44.75,29812228,
603116.SH,Їмтят—,2015-07-15,41.9,43.35,40.28,40.28,11714557,
603116.SH,Їмтят—,2015-07-16,36.25,40.38,36.25,36.25,18502075,
603116.SH,Їмтят—,2015-07-17,36.5,38.6,34.5,37.35,18563359,
603116.SH,Їмтят—,2015-07-20,36.3,37.95,34.1,35.21,14621372,
603116.SH,Їмтят—,2015-07-21,34.29,36.5,33.5,35.83,13180989,
603116.SH,Їмтят—,2015-07-22,35.69,35.82,33.5,34.52,11924661,
603116.SH,Їмтят—,2015-07-23,34.71,37.97,34.49,37.97,11847098,
603116.SH,Їмтят—,2015-07-24,39.73,41.6,37.02,38.06,23489715,
603116.SH,Їмтят—,2015-07-27,36.8,39.89,34.25,34.25,17556037,
603116.SH,Їмтят—,2015-07-28,31.46,36.35,30.88,34.4,14749034,
603116.SH,Їмтят—,2015-07-29,35.15,37.84,33.35,37.84,14839423,
603116.SH,Їмтят—,2015-07-30,38.94,41.58,37.96,39.41,24143059,
603116.SH,Їмтят—,2015-07-31,38,43.35,37.68,43.35,27721106,
603116.SH,Їмтят—,2015-08-03,43.12,47.69,42,47.69,28873080,
603116.SH,Їмтят—,2015-08-04,48.99,49.2,42.92,42.92,30997110,
603116.SH,Їмтят—,2015-08-05,40.77,46.66,40.03,44.56,22988425,
603116.SH,Їмтят—,2015-08-06,43.5,44.74,40.38,41.87,16049736,
603116.SH,Їмтят—,2015-08-07,41.2,43.58,40.7,42.53,14576771,
603116.SH,Їмтят—,2015-08-10,42.4,45.65,41.02,44.35,17215307,
603116.SH,Їмтят—,2015-08-11,43.8,46.38,43.5,44.54,15268112,
603116.SH,Їмтят—,2015-08-12,44.65,45.56,41.2,41.44,14074205,
603116.SH,Їмтят—,2015-08-13,40.34,42,39.96,41.88,10931931,
603116.SH,Їмтят—,2015-08-14,41.94,43.6,41,42.18,11293997,
603116.SH,Їмтят—,2015-08-17,41.53,42.05,40.01,40.82,8384768,
603116.SH,Їмтят—,2015-08-18,40.72,42.71,36.88,37.2,11531978,
603116.SH,Їмтят—,2015-08-19,35.89,38.5,34.35,38.24,11141160,
603116.SH,Їмтят—,2015-08-20,38,38,35.35,35.45,8085263,
603116.SH,Їмтят—,2015-08-21,34.89,35.98,32.78,33.29,8118451,
603116.SH,Їмтят—,2015-08-24,31.2,32.3,29.96,29.96,6625859,
603116.SH,Їмтят—,2015-08-25,27.06,32.5,27.06,28.43,14172598,
603116.SH,Їмтят—,2015-08-26,29.5,31.27,28.43,31.27,17746141,
603116.SH,Їмтят—,2015-08-27,31.55,32.86,29.07,32.28,16475920,
603116.SH,Їмтят—,2015-08-28,32.5,33.88,30.65,33.05,16473889,
603116.SH,Їмтят—,2015-08-31,32.02,32.48,29.75,29.75,9754287,
603116.SH,Їмтят—,2015-09-01,29,29,26.78,26.78,10752716,
603116.SH,Їмтят—,2015-09-02,25.3,28.49,25,26.52,9986664,
603116.SH,Їмтят—,2015-09-07,27.46,28.24,26.52,27.05,7626472,
603116.SH,Їмтят—,2015-09-08,26.73,29.74,26.73,29.68,11828404,
603116.SH,Їмтят—,2015-09-09,30,30.88,29.3,30.29,15116434,
603116.SH,Їмтят—,2015-09-10,29.5,29.58,28,28.12,10256088,
603116.SH,Їмтят—,2015-09-11,28.12,28.9,27.72,28.45,6162901,
603116.SH,Їмтят—,2015-09-14,28.43,28.63,25.61,25.61,8203760,
603116.SH,Їмтят—,2015-09-15,24.86,26.49,24.4,25.39,8369071,
603116.SH,Їмтят—,2015-09-16,25.82,27.93,25.6,27.93,10899298,
603116.SH,Їмтят—,2015-09-17,27.69,28.05,26,26.16,11433595,
603116.SH,Їмтят—,2015-09-18,26.49,26.79,25.6,26.22,6200911,
603116.SH,Їмтят—,2015-09-21,25.9,27.35,25.75,27.18,7419212,
603116.SH,Їмтят—,2015-09-22,27.33,27.54,26.5,26.99,7378334,
