����,���,����,���̼�(Ԫ),��߼�(Ԫ),��ͼ�(Ԫ),���̼�(Ԫ),�ɽ���(��),
688733.SH,Ҽʯͨ,2021-08-17,70,73.5,59.23,62.4,29106436,
688733.SH,Ҽʯͨ,2021-08-18,60,65.41,58.33,63.29,14522791,
688733.SH,Ҽʯͨ,2021-08-19,61.36,74.88,61.16,70.2,15030767,
688733.SH,Ҽʯͨ,2021-08-20,69.88,76,67,69.1,9051743,
688733.SH,Ҽʯͨ,2021-08-23,70.1,77.18,70.1,76,7994132,
688733.SH,Ҽʯͨ,2021-08-24,76.1,91.2,76.1,84.89,10465851,
688733.SH,Ҽʯͨ,2021-08-25,85,92.2,84.5,87.85,8830537,
688733.SH,Ҽʯͨ,2021-08-26,85.1,91.88,84.05,91.5,5535073,
688733.SH,Ҽʯͨ,2021-08-27,89.7,101,88.13,100.87,5731890,
688733.SH,Ҽʯͨ,2021-08-30,101.08,109.3,94.67,96.16,5596382,
688733.SH,Ҽʯͨ,2021-08-31,95,95.98,85,88.18,7600947,
688733.SH,Ҽʯͨ,2021-09-01,88.88,92.45,83,83.8,6091727,
688733.SH,Ҽʯͨ,2021-09-02,82,90.33,81.21,89.7,6035409,
688733.SH,Ҽʯͨ,2021-09-03,87.01,87.5,81,81.19,4541497,
688733.SH,Ҽʯͨ,2021-09-06,79.28,83.9,76.69,81.1,4505460,
688733.SH,Ҽʯͨ,2021-09-07,82.5,88.65,76.68,86.58,6868257,
688733.SH,Ҽʯͨ,2021-09-08,84.85,85.7,80,81.2,4658952,
688733.SH,Ҽʯͨ,2021-09-09,80,82.66,74.8,74.8,4009572,
688733.SH,Ҽʯͨ,2021-09-10,73.16,78.45,72.24,75.06,3751904,
688733.SH,Ҽʯͨ,2021-09-13,74.71,78.55,73.01,74.6,2738156,
688733.SH,Ҽʯͨ,2021-09-14,74.1,77.7,70,75.5,3323141,
688733.SH,Ҽʯͨ,2021-09-15,74,77.68,73.36,74.9,1899698,
688733.SH,Ҽʯͨ,2021-09-16,75.2,75.4,67.88,67.99,3087183,
688733.SH,Ҽʯͨ,2021-09-17,67.2,72.66,66.8,71,3237300,
688733.SH,Ҽʯͨ,2021-09-22,71,79.18,71,79.18,4131382,
688733.SH,Ҽʯͨ,2021-09-23,78.22,81.28,75.44,79.18,3118043,
688733.SH,Ҽʯͨ,2021-09-24,80.5,83.32,76.8,79.41,2453202,
688733.SH,Ҽʯͨ,2021-09-27,78,79.48,74.47,78.14,1983465,
688733.SH,Ҽʯͨ,2021-09-28,77.4,77.4,72.02,72.9,1679199,
688733.SH,Ҽʯͨ,2021-09-29,72.8,74.39,70.26,73,1520623,
688733.SH,Ҽʯͨ,2021-09-30,72.21,75.5,72.21,74.06,859129,
688733.SH,Ҽʯͨ,2021-10-08,74.89,76.98,68.31,69.6,1814608,
688733.SH,Ҽʯͨ,2021-10-11,69.57,70.53,65.85,67.2,1467226,
688733.SH,Ҽʯͨ,2021-10-12,67.5,67.5,62.69,65.53,2197585,
688733.SH,Ҽʯͨ,2021-10-13,64.8,66.58,63.91,64.58,1809157,
688733.SH,Ҽʯͨ,2021-10-14,64.8,68.88,64.46,66.68,1644631,
688733.SH,Ҽʯͨ,2021-10-15,66.8,71.67,65.82,69.82,1943330,
688733.SH,Ҽʯͨ,2021-10-18,68.82,69.19,63.02,64.99,4794682,
688733.SH,Ҽʯͨ,2021-10-19,64.99,68.5,64.43,67.05,3083944,
688733.SH,Ҽʯͨ,2021-10-20,66,73.85,65.39,73.28,3234415,
688733.SH,Ҽʯͨ,2021-10-21,72.19,73.38,69.67,69.69,2033393,
688733.SH,Ҽʯͨ,2021-10-22,69.69,70.71,67.04,68.48,1608945,
688733.SH,Ҽʯͨ,2021-10-25,68.73,75.39,68.51,74.15,2428825,
688733.SH,Ҽʯͨ,2021-10-26,76,78.5,72.72,72.82,2009006,
688733.SH,Ҽʯͨ,2021-10-27,72.35,76.8,69.01,72.44,2522067,
688733.SH,Ҽʯͨ,2021-10-28,72.4,75.2,69.91,70.13,2258993,
688733.SH,Ҽʯͨ,2021-10-29,70.54,71.01,66.14,68.59,2216550,
688733.SH,Ҽʯͨ,2021-11-01,69.5,73.98,68.5,72.75,2476866,
688733.SH,Ҽʯͨ,2021-11-02,73,76,68.2,69.4,3315460,
688733.SH,Ҽʯͨ,2021-11-03,69.42,72.5,67.76,72.3,2239759,
688733.SH,Ҽʯͨ,2021-11-04,72.8,76,71.02,74.78,2388116,
688733.SH,Ҽʯͨ,2021-11-05,73.5,75.32,72.68,73.28,1621427,
688733.SH,Ҽʯͨ,2021-11-08,73.01,77.77,73.01,76.18,2451262,
688733.SH,Ҽʯͨ,2021-11-09,76.25,79,75.7,77.02,1897900,
688733.SH,Ҽʯͨ,2021-11-10,77,77.1,73.3,75.01,1756424,
688733.SH,Ҽʯͨ,2021-11-11,75.28,80.4,75.28,79.18,2762098,
688733.SH,Ҽʯͨ,2021-11-12,79.47,82.98,78,80.08,2179886,
688733.SH,Ҽʯͨ,2021-11-15,78.17,81.66,77.82,81.2,2405590,
688733.SH,Ҽʯͨ,2021-11-16,81.12,81.12,70.66,72.14,5023427,
688733.SH,Ҽʯͨ,2021-11-17,72,75.18,70.44,72.57,3689508,
688733.SH,Ҽʯͨ,2021-11-18,72.15,72.99,70.44,71.09,2258195,
688733.SH,Ҽʯͨ,2021-11-19,71.33,74.97,71.33,72.45,2196165,
688733.SH,Ҽʯͨ,2021-11-22,72.53,76.3,72.46,75.75,2964230,
688733.SH,Ҽʯͨ,2021-11-23,75.19,78.42,74.2,76.62,2619906,
688733.SH,Ҽʯͨ,2021-11-24,76.96,82,76.11,80.1,4550766,
688733.SH,Ҽʯͨ,2021-11-25,80.6,81.82,78.56,80.3,2147229,
688733.SH,Ҽʯͨ,2021-11-26,80.3,96.36,80.16,93.31,6305743,
688733.SH,Ҽʯͨ,2021-11-29,92,93.7,88.88,90,4319289,
688733.SH,Ҽʯͨ,2021-11-30,90.37,91.8,86.3,88.56,3276205,
688733.SH,Ҽʯͨ,2021-12-01,87.91,88.5,85.8,87.03,1597958,
688733.SH,Ҽʯͨ,2021-12-02,87.5,88.99,84.55,86.19,2081891,
688733.SH,Ҽʯͨ,2021-12-03,86.51,87.25,84.62,85.91,2470517,
688733.SH,Ҽʯͨ,2021-12-06,85.51,86.51,82.5,83.18,2312299,
688733.SH,Ҽʯͨ,2021-12-07,83.18,83.92,78.21,79.25,2618845,
688733.SH,Ҽʯͨ,2021-12-08,80.13,81.86,79.51,80.3,1182302,
688733.SH,Ҽʯͨ,2021-12-09,80.5,81.4,77.42,78,1786666,
688733.SH,Ҽʯͨ,2021-12-10,78.05,81.6,77.71,80.43,1511755,
688733.SH,Ҽʯͨ,2021-12-13,80.3,81.32,78.2,80.54,1341037,
688733.SH,Ҽʯͨ,2021-12-14,80.23,82.43,79.01,81.75,1140384,
688733.SH,Ҽʯͨ,2021-12-15,81.75,83.48,80.56,80.8,1327847,
688733.SH,Ҽʯͨ,2021-12-16,80.92,81.99,76.3,76.8,2264687,
688733.SH,Ҽʯͨ,2021-12-17,76.99,78,76.17,76.62,1041372,
688733.SH,Ҽʯͨ,2021-12-20,76.62,77.88,73.43,74,1064797,
688733.SH,Ҽʯͨ,2021-12-21,74.48,75.04,72.15,73.47,715697,
688733.SH,Ҽʯͨ,2021-12-22,73.58,75.56,73.11,74.26,808731,
688733.SH,Ҽʯͨ,2021-12-23,75.1,75.87,73.74,74.26,825557,
688733.SH,Ҽʯͨ,2021-12-24,74.25,74.25,69.5,70.41,1973370,
688733.SH,Ҽʯͨ,2021-12-27,71,74.3,70.43,74.28,2010156,
688733.SH,Ҽʯͨ,2021-12-28,73.72,77.79,73.31,77.3,1366768,
688733.SH,Ҽʯͨ,2021-12-29,77.3,77.8,75.53,76.12,887588,
688733.SH,Ҽʯͨ,2021-12-30,75.66,77.46,75.15,75.95,778137,
688733.SH,Ҽʯͨ,2021-12-31,76,80.39,75.81,79.76,1193671,
688733.SH,Ҽʯͨ,2022-01-04,79.5,80,75.38,75.52,816619,
688733.SH,Ҽʯͨ,2022-01-05,75.88,75.88,70.37,71.39,1992180,
688733.SH,Ҽʯͨ,2022-01-06,71.1,72.79,69.85,71.4,742683,
688733.SH,Ҽʯͨ,2022-01-07,71,71.67,68.2,69.38,1213578,
688733.SH,Ҽʯͨ,2022-01-10,69,69.8,67.08,68.58,618668,
688733.SH,Ҽʯͨ,2022-01-11,69.38,69.68,67.24,67.46,533362,
688733.SH,Ҽʯͨ,2022-01-12,67.6,69.6,67.51,69.04,638061,
688733.SH,Ҽʯͨ,2022-01-13,69.76,69.76,66.25,66.58,1044897,
688733.SH,Ҽʯͨ,2022-01-14,66.21,68.1,65.88,67.38,543368,
688733.SH,Ҽʯͨ,2022-01-17,67.37,71.45,66.18,71.19,991591,
688733.SH,Ҽʯͨ,2022-01-18,71,72.2,69.58,71.55,584340,
688733.SH,Ҽʯͨ,2022-01-19,71.3,71.3,66.41,70.06,1176865,
688733.SH,Ҽʯͨ,2022-01-20,70.08,70.8,66.17,66.6,1067619,
688733.SH,Ҽʯͨ,2022-01-21,66.6,68.2,63.91,65.22,873690,
688733.SH,Ҽʯͨ,2022-01-24,65,68.24,64.51,67,788662,
688733.SH,Ҽʯͨ,2022-01-25,66.17,67.43,64.65,64.66,535894,
688733.SH,Ҽʯͨ,2022-01-26,64.4,66.9,64.4,66.59,712945,
688733.SH,Ҽʯͨ,2022-01-27,65.99,69.87,65.99,67.1,1364683,
688733.SH,Ҽʯͨ,2022-01-28,67.78,68.98,66.33,66.99,939966,
688733.SH,Ҽʯͨ,2022-02-07,68.01,70.15,67.8,70,951100,
688733.SH,Ҽʯͨ,2022-02-08,68.3,69.88,66.17,66.41,993140,
