¥˙¬Î,ºÚ≥∆,»’∆⁄,ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),
603150.SH,ÕÚ¿ ¥≈À‹,2022-01-24,41.03,49.23,41.03,49.23,1836772,
603150.SH,ÕÚ¿ ¥≈À‹,2022-01-25,54.15,54.15,51.02,54.15,8790434,
603150.SH,ÕÚ¿ ¥≈À‹,2022-01-26,49.33,54.69,48.74,48.74,4376145,
603150.SH,ÕÚ¿ ¥≈À‹,2022-01-27,43.87,43.87,43.87,43.87,347900,
603150.SH,ÕÚ¿ ¥≈À‹,2022-01-28,39.48,39.48,39.48,39.48,1028000,
603150.SH,ÕÚ¿ ¥≈À‹,2022-02-07,39.03,42.78,36.53,38.47,7513729,
603150.SH,ÕÚ¿ ¥≈À‹,2022-02-08,37.99,41.3,37.1,39.78,6660409,
603150.SH,ÕÚ¿ ¥≈À‹,2022-02-09,39.02,40.06,38.37,39.15,5279833,
603150.SH,ÕÚ¿ ¥≈À‹,2022-02-10,38.8,42.6,38.38,40.87,7313472,
603150.SH,ÕÚ¿ ¥≈À‹,2022-02-11,39.75,41.1,39.23,40,5126482,
603150.SH,ÕÚ¿ ¥≈À‹,2022-02-14,39.36,39.77,37.21,37.29,4932731,
603150.SH,ÕÚ¿ ¥≈À‹,2022-02-15,36.75,37.28,36.54,37.1,3362341,
603150.SH,ÕÚ¿ ¥≈À‹,2022-02-16,37.11,37.98,37,37.57,3275794,
603150.SH,ÕÚ¿ ¥≈À‹,2022-02-17,37.32,40.52,37.03,38.95,5766657,
603150.SH,ÕÚ¿ ¥≈À‹,2022-02-18,38.17,38.5,37.6,37.9,3453959,
603150.SH,ÕÚ¿ ¥≈À‹,2022-02-21,37.82,38.92,37.82,38.19,3141535,
603150.SH,ÕÚ¿ ¥≈À‹,2022-02-22,37.73,37.79,36.78,36.9,3179764,
603150.SH,ÕÚ¿ ¥≈À‹,2022-02-23,36.65,37.37,36.65,37.27,2163199,
603150.SH,ÕÚ¿ ¥≈À‹,2022-02-24,37,37.63,33.8,34.85,4080088,
603150.SH,ÕÚ¿ ¥≈À‹,2022-02-25,34.87,35.71,34.87,35.14,2435540,
603150.SH,ÕÚ¿ ¥≈À‹,2022-02-28,34.9,34.9,33.8,34.41,2113061,
603150.SH,ÕÚ¿ ¥≈À‹,2022-03-01,34.49,34.74,34.1,34.6,1867414,
603150.SH,ÕÚ¿ ¥≈À‹,2022-03-02,34.22,35.2,34.21,35.07,1989340,
603150.SH,ÕÚ¿ ¥≈À‹,2022-03-03,35.2,35.39,34.36,34.44,1965895,
603150.SH,ÕÚ¿ ¥≈À‹,2022-03-04,34.28,35.08,34.2,34.82,2430309,
603150.SH,ÕÚ¿ ¥≈À‹,2022-03-07,34.79,35.6,34.63,35.47,3525615,
603150.SH,ÕÚ¿ ¥≈À‹,2022-03-08,35.46,35.46,33.69,34.52,3057876,
603150.SH,ÕÚ¿ ¥≈À‹,2022-03-09,34.18,34.7,31.5,32.81,3156310,
603150.SH,ÕÚ¿ ¥≈À‹,2022-03-10,33.15,33.5,32.5,32.61,2223887,
603150.SH,ÕÚ¿ ¥≈À‹,2022-03-11,31.99,32.49,31.25,32.39,2653243,
603150.SH,ÕÚ¿ ¥≈À‹,2022-03-14,31.85,34,31.5,32.59,2940490,
603150.SH,ÕÚ¿ ¥≈À‹,2022-03-15,32.05,32.28,30.21,30.25,2719452,
603150.SH,ÕÚ¿ ¥≈À‹,2022-03-16,30.58,31.1,29.41,30.74,2350729,
603150.SH,ÕÚ¿ ¥≈À‹,2022-03-17,30.75,31.67,30.62,31.32,2458992,
603150.SH,ÕÚ¿ ¥≈À‹,2022-03-18,31,32.38,30.92,32,2358348,
603150.SH,ÕÚ¿ ¥≈À‹,2022-03-21,32,32.69,31.7,32.42,1692126,
603150.SH,ÕÚ¿ ¥≈À‹,2022-03-22,32.27,32.68,31.79,32.07,1535902,
603150.SH,ÕÚ¿ ¥≈À‹,2022-03-23,31.94,32.27,31.64,31.75,1175301,
603150.SH,ÕÚ¿ ¥≈À‹,2022-03-24,31.35,32.66,31.17,32.4,2114197,
