΄ϊΒλ,Ός³Ζ,ΘΥΖΪ,ΏªΕΜΌΫ(Τª),ΧξΈίΌΫ(Τª),ΧξµΝΌΫ(Τª),ΚΥΕΜΌΫ(Τª),³Ι½»ΑΏ(ΉΙ),
603885.SH,ΌªΟιΊ½ΏΥ,2015-05-27,16.1,16.1,16.1,16.1,23600,
603885.SH,ΌªΟιΊ½ΏΥ,2015-05-28,17.71,17.71,17.71,17.71,6881,
603885.SH,ΌªΟιΊ½ΏΥ,2015-05-29,19.48,19.48,19.48,19.48,7825,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-01,21.43,21.43,21.43,21.43,4500,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-02,23.57,23.57,23.57,23.57,5000,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-03,25.93,25.93,25.93,25.93,8252,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-04,28.52,28.52,28.52,28.52,31300,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-05,31.37,31.37,31.37,31.37,15000,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-08,34.51,34.51,34.51,34.51,24600,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-09,37.96,37.96,37.96,37.96,31100,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-10,41.76,41.76,41.76,41.76,56400,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-11,45.94,45.94,45.94,45.94,35500,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-12,50.53,50.53,50.53,50.53,37900,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-15,55.58,55.58,55.58,55.58,98294,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-16,61.14,61.14,61.14,61.14,522300,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-17,67.25,67.25,67.25,67.25,668342,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-18,73.98,73.98,73.98,73.98,1986526,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-19,67.02,80.1,66.58,68.17,32593597,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-23,65.11,68.17,61.4,65.42,17612269,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-24,68.04,71.96,66,69.44,22771760,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-25,66.5,74.18,63,67.75,20113043,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-26,65.01,72.78,63,68.96,18420177,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-29,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-30,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-01,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-02,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-03,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-06,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-07,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-08,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-09,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-10,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-13,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-14,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-15,62.06,62.06,62.06,62.06,1251200,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-16,55.85,59.99,55.85,55.89,27448131,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-17,56,60,54,58.55,15328629,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-20,57,60.94,56.9,57.82,11468025,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-21,56.52,63.6,54.8,63.6,15374009,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-22,63,65.28,60.7,61.39,12407937,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-23,61.28,67.3,60.91,66.85,13536806,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-24,67.29,72.94,67.29,70.91,16215583,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-27,69.22,76.9,63.82,63.83,18913806,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-28,59.01,68,57.53,62.5,13772139,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-29,63.9,68.75,60.9,68.74,14683210,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-30,67,70,63,64.87,13737231,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-31,63.2,64.85,58.89,60.27,10073307,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-03,60.25,61.98,54.55,56.94,11038619,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-04,58,62.59,55.8,62.17,11052309,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-05,62,63,58.8,59.25,10324115,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-06,57.95,59.24,56.8,57.25,5772342,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-07,58.5,60,58.01,59,6358771,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-10,60.13,63.7,60.03,63.23,9417607,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-11,63,65.71,60.7,61.67,10503272,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-12,59.5,63.26,58.7,60.71,9668421,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-13,59.89,66.5,59.5,66.05,12150278,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-14,66.06,66.06,63.63,63.87,8163874,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-17,64.4,65.98,62.35,65.32,6663073,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-18,64.8,64.88,58.79,60.35,8134313,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-19,59,61.25,56.05,60.41,5292185,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-20,59.85,60.8,56.78,56.81,5332466,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-21,55.42,57.28,53,53.26,4318001,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-24,50,50.78,47.93,47.93,6190787,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-25,43.18,48.18,43.14,43.14,6351497,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-26,44,47.18,42.3,44.2,6777614,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-27,45.94,48.62,45.61,48.62,7431510,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-28,49,52.1,47.7,51.29,5980333,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-31,50,50.95,48,48.05,3039880,
603885.SH,ΌªΟιΊ½ΏΥ,2015-09-01,47,47.05,43.35,43.72,3154665,
603885.SH,ΌªΟιΊ½ΏΥ,2015-09-02,41.13,45.5,41.08,42.85,3139180,
603885.SH,ΌªΟιΊ½ΏΥ,2015-09-07,44,45.45,42.8,43.66,1975486,
603885.SH,ΌªΟιΊ½ΏΥ,2015-09-08,43.11,46.5,43.11,46.2,3040717,
603885.SH,ΌªΟιΊ½ΏΥ,2015-09-09,46.88,49.54,46.3,48.32,3721455,
603885.SH,ΌªΟιΊ½ΏΥ,2015-09-10,47.39,49.73,46.97,47.75,2678454,
603885.SH,ΌªΟιΊ½ΏΥ,2015-09-11,48.38,49.19,47.67,48.47,1645418,
603885.SH,ΌªΟιΊ½ΏΥ,2015-09-14,49.16,49.8,45.18,45.26,2529055,
603885.SH,ΌªΟιΊ½ΏΥ,2015-09-15,44.86,47.53,44.01,46.1,2967280,
603885.SH,ΌªΟιΊ½ΏΥ,2015-09-16,46.18,50.51,45.51,49.76,2842463,
603885.SH,ΌªΟιΊ½ΏΥ,2015-09-17,49.7,49.99,47.4,47.95,3282038,
603885.SH,ΌªΟιΊ½ΏΥ,2015-09-18,47.95,49.08,47.48,48.53,1756379,
603885.SH,ΌªΟιΊ½ΏΥ,2015-09-21,48.3,50.97,47.82,50.67,2762233,
603885.SH,ΌªΟιΊ½ΏΥ,2015-09-22,50.2,51.41,49.5,50.01,2116949,
603885.SH,ΌªΟιΊ½ΏΥ,2015-09-23,49.39,50.6,48.9,49.78,1732577,
603885.SH,ΌªΟιΊ½ΏΥ,2015-09-24,50.09,50.5,49.39,49.84,1172321,
603885.SH,ΌªΟιΊ½ΏΥ,2015-09-25,50.1,50.1,47.3,48.02,912404,
603885.SH,ΌªΟιΊ½ΏΥ,2015-09-28,47.93,51,47.91,50.58,3534817,
603885.SH,ΌªΟιΊ½ΏΥ,2015-09-29,49.64,50.6,48.45,49.4,1484137,
603885.SH,ΌªΟιΊ½ΏΥ,2015-09-30,49.7,51.1,49.14,50.44,1434496,
603885.SH,ΌªΟιΊ½ΏΥ,2015-10-08,51.64,52.38,50.58,51.2,1811182,
603885.SH,ΌªΟιΊ½ΏΥ,2015-10-09,50.99,51.98,50.2,51.03,1827973,
603885.SH,ΌªΟιΊ½ΏΥ,2015-10-12,51.17,54.08,51.17,53.05,3411634,
603885.SH,ΌªΟιΊ½ΏΥ,2015-10-13,53.02,58.36,53,58.36,6799062,
603885.SH,ΌªΟιΊ½ΏΥ,2015-10-14,57.98,60.12,57.01,57.75,5092829,
603885.SH,ΌªΟιΊ½ΏΥ,2015-10-15,57.8,63.16,57.27,61.36,4162346,
603885.SH,ΌªΟιΊ½ΏΥ,2015-10-16,60.64,63.05,60.64,60.92,4195823,
603885.SH,ΌªΟιΊ½ΏΥ,2015-10-19,61.4,61.4,58,58.91,3396470,
603885.SH,ΌªΟιΊ½ΏΥ,2015-10-20,58.4,62.89,58.4,62.33,2922219,
603885.SH,ΌªΟιΊ½ΏΥ,2015-10-21,61.87,62.45,56.1,56.16,2833972,
603885.SH,ΌªΟιΊ½ΏΥ,2015-10-22,56.18,59.98,56.18,58.74,2241184,
603885.SH,ΌªΟιΊ½ΏΥ,2015-10-23,59.1,61.5,58.92,60.69,2716729,
603885.SH,ΌªΟιΊ½ΏΥ,2015-10-26,61.85,62.5,59.5,60.15,2173418,
603885.SH,ΌªΟιΊ½ΏΥ,2015-10-27,60,60,57.51,59.29,3053423,
603885.SH,ΌªΟιΊ½ΏΥ,2015-10-28,59.18,65.1,59.16,61.36,6371243,
603885.SH,ΌªΟιΊ½ΏΥ,2015-10-29,62.3,66.99,61.42,65.99,6845377,
603885.SH,ΌªΟιΊ½ΏΥ,2015-10-30,65.98,67.87,64,66.08,4114407,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-02,66,68.8,63.89,64.03,6656867,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-03,63.03,65,62,63.77,3196239,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-04,64.1,66.7,63.69,66.51,4268744,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-05,66.38,70.99,65.99,67.04,7129611,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-06,66.78,70.16,66.49,68.72,5070290,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-09,67.95,71,67.95,69.87,5402431,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-10,69.87,71.71,68.7,69.51,3998529,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-11,69.88,72,67.91,71.91,6012644,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-12,71.42,77.73,71.42,75.78,6837386,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-13,76.9,78,70,70.35,9883665,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-16,67.3,69.72,67,69,7592683,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-17,70.35,72.02,67.7,68.01,6178252,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-18,67.68,68.62,66.77,67.59,3252798,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-19,67.51,69.6,67.51,69.51,3680725,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-20,69.48,75,69.1,73.47,6808636,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-23,73.82,77.5,73.1,74.43,6121136,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-24,73.7,75.98,73.31,75.89,5066131,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-25,75.19,77.97,74,75.11,5742485,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-26,75.03,75.46,72.17,72.21,5921700,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-27,71.89,73.01,66.01,67.48,6108126,
603885.SH,ΌªΟιΊ½ΏΥ,2015-11-30,67.1,69.5,66.24,69.32,4309978,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-01,69.7,69.7,67.58,68.27,3130556,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-02,68.58,68.75,64.09,66.79,3266917,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-03,66.9,69.48,66.9,69.16,2867201,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-04,69.1,69.5,67.55,68.01,2763769,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-07,68.55,69.78,67.7,69.24,3095196,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-08,70,73.1,70,71.21,6609648,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-09,70.13,70.66,67.76,68.28,4092411,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-10,68.03,69.36,67,68.7,2584632,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-11,68.01,68.7,67.6,68.27,1767271,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-14,67.3,68.96,67.03,68.9,2116581,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-15,68.6,69,68,68.35,2183503,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-16,68.12,69.35,67.38,68.72,2653900,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-17,69.01,72.51,69.01,71.9,5306479,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-18,71.5,74.5,71.5,72.07,5547014,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-21,71.12,71.98,70.5,71.32,3049911,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-22,77.88,78.45,74.7,78.45,14130414,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-23,79.35,79.6,76.3,77.17,9055135,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-24,77.37,78.56,76.38,78.01,5929357,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-25,78.3,78.79,74.5,75,6846355,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-28,76.1694,78.6089,73.8105,73.9516,8461160,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-29,70.6653,72.1371,68.5484,70.3427,13359173,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-30,69.7581,72.3387,67.7218,72.2177,13081368,
603885.SH,ΌªΟιΊ½ΏΥ,2015-12-31,70.8266,71.5323,68.7702,68.8911,7814585,
603885.SH,ΌªΟιΊ½ΏΥ,2016-01-04,68.5484,68.6895,61.996,61.996,8646957,
603885.SH,ΌªΟιΊ½ΏΥ,2016-01-05,56.6935,60.8871,56.2097,58.1855,11469531,
603885.SH,ΌªΟιΊ½ΏΥ,2016-01-06,59.0726,61.4718,58.871,60.1815,7969688,
603885.SH,ΌªΟιΊ½ΏΥ,2016-01-07,59.0726,59.0726,54.1734,54.1935,2190000,
603885.SH,ΌªΟιΊ½ΏΥ,2016-01-08,56.25,57.4597,50.7056,56.2298,10421173,
603885.SH,ΌªΟιΊ½ΏΥ,2016-01-11,55.4839,58.9718,52.8226,55.3024,11407886,
603885.SH,ΌªΟιΊ½ΏΥ,2016-01-12,56.4516,58.0847,55.8468,57.3589,9354236,
603885.SH,ΌªΟιΊ½ΏΥ,2016-01-13,58.4677,59.8185,54.4556,54.8992,8076259,
603885.SH,ΌªΟιΊ½ΏΥ,2016-01-14,53.1048,56.4718,52.0161,56.0685,7033522,
603885.SH,ΌªΟιΊ½ΏΥ,2016-01-15,56.2298,56.2298,52.0363,52.8024,6334746,
603885.SH,ΌªΟιΊ½ΏΥ,2016-01-18,50.9073,52.9435,50.1613,52.0968,7861250,
603885.SH,ΌªΟιΊ½ΏΥ,2016-01-19,51.8952,53.9516,50.8468,53.5685,6741535,
603885.SH,ΌªΟιΊ½ΏΥ,2016-01-20,52.9839,57.1774,52.7823,55.2419,9803764,
603885.SH,ΌªΟιΊ½ΏΥ,2016-01-21,54.5968,57.379,53.3871,53.4476,9972825,
603885.SH,ΌªΟιΊ½ΏΥ,2016-01-22,54.1331,54.7984,51.4113,53.5484,5562043,
603885.SH,ΌªΟιΊ½ΏΥ,2016-01-25,53.5887,53.9919,52.1976,52.7823,4049312,
603885.SH,ΌªΟιΊ½ΏΥ,2016-01-26,54.8387,56.3911,52.621,53.5081,14536757,
603885.SH,ΌªΟιΊ½ΏΥ,2016-01-27,52.5403,52.9435,48.4073,51.2097,8751966,
603885.SH,ΌªΟιΊ½ΏΥ,2016-01-28,49.7581,51.0081,46.9355,47.1976,4995307,
603885.SH,ΌªΟιΊ½ΏΥ,2016-01-29,46.9758,49.3548,46.9758,48.6694,4562905,
603885.SH,ΌªΟιΊ½ΏΥ,2016-02-01,48.4879,49.5565,47.1976,48.0645,3472756,
603885.SH,ΌªΟιΊ½ΏΥ,2016-02-02,48.4879,50.0605,48.2863,49.6774,4422517,
603885.SH,ΌªΟιΊ½ΏΥ,2016-02-03,49.3952,50.3831,48.75,50.0806,3313764,
603885.SH,ΌªΟιΊ½ΏΥ,2016-02-04,49.9597,52.9032,49.8992,51.7137,5502126,
603885.SH,ΌªΟιΊ½ΏΥ,2016-02-05,51.7742,52.9234,51.7742,52.1573,3532126,
603885.SH,ΌªΟιΊ½ΏΥ,2016-02-15,49.4153,54.1734,49.1129,53.2863,4773026,
603885.SH,ΌªΟιΊ½ΏΥ,2016-02-16,53.2863,54.4556,52.621,54.3347,5595496,
603885.SH,ΌªΟιΊ½ΏΥ,2016-02-17,54.6169,54.6169,52.6613,53.9718,5464363,
603885.SH,ΌªΟιΊ½ΏΥ,2016-02-18,53.5685,54.1331,52.8226,52.9032,4743562,
603885.SH,ΌªΟιΊ½ΏΥ,2016-02-19,52.8831,52.8831,51.8548,52.3387,3486089,
603885.SH,ΌªΟιΊ½ΏΥ,2016-02-22,52.4798,53.629,52.4395,53.5484,4680685,
603885.SH,ΌªΟιΊ½ΏΥ,2016-02-23,53.5887,53.6089,51.4315,52.6815,4762894,
603885.SH,ΌªΟιΊ½ΏΥ,2016-02-24,52.2177,53.0847,51.4113,52.3387,3616604,
603885.SH,ΌªΟιΊ½ΏΥ,2016-02-25,52.4597,52.4597,47.0968,47.1774,6237633,
603885.SH,ΌªΟιΊ½ΏΥ,2016-02-26,47.2984,48.3468,46.4113,47.3589,3979258,
603885.SH,ΌªΟιΊ½ΏΥ,2016-02-29,47.3387,47.3589,42.621,42.8427,5517880,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-01,43.5484,44.1734,42.5,43.8306,3363920,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-02,43.7702,45.9073,43.3468,45.5645,4658395,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-03,45.625,46.6935,45.5645,45.7863,4948673,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-04,45.7863,46.129,44.0121,44.8992,3806197,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-07,45.3629,46.6935,45.1613,45.6653,2478510,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-08,46.371,46.371,43.5887,44.9597,3497552,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-09,44.7581,46.5323,43.871,46.3306,5249957,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-10,46.1089,46.3306,44.9597,45.0806,2786503,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-11,44.3548,45.6452,43.9718,44.8387,1612673,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-14,45.2218,48.1653,45.2218,47.6008,7251463,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-15,47.1976,51.4113,46.7742,51.3306,5370656,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-16,50.4032,52.2984,49.0121,49.2944,5409465,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-17,49.1532,51.3306,48.629,50.3226,3871898,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-18,50.4032,51.754,50.4032,51.1895,5084477,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-21,52.2177,52.2177,51.1492,51.7742,4869474,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-22,51.5927,51.5927,50.7661,50.8065,3564718,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-23,50.6048,51.6129,50.2419,51.3105,3033050,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-24,51.3105,54.375,50.8065,52.6008,6624260,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-25,51.8952,53.0242,51.8145,52.4597,3252979,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-28,53.1048,54.4153,51.6129,51.8145,4204811,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-29,51.2298,52.0161,49.3952,49.7379,2997994,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-30,50,51.4718,50,51.4113,2526012,
603885.SH,ΌªΟιΊ½ΏΥ,2016-03-31,51.8347,52.621,50.9274,51.2903,3699755,
603885.SH,ΌªΟιΊ½ΏΥ,2016-04-01,51.9758,53.8105,51.0282,52.3387,5425445,
603885.SH,ΌªΟιΊ½ΏΥ,2016-04-05,52.0363,54.0323,51.4113,53.7903,6521042,
603885.SH,ΌªΟιΊ½ΏΥ,2016-04-06,53.3871,53.7903,52.4194,53.5887,4648517,
603885.SH,ΌªΟιΊ½ΏΥ,2016-04-07,53.5484,53.5484,51.8347,51.8347,3881114,
603885.SH,ΌªΟιΊ½ΏΥ,2016-04-08,51.5121,52.5806,51.0685,51.6129,2477457,
603885.SH,ΌªΟιΊ½ΏΥ,2016-04-11,51.6129,52.9234,51.6129,52.8427,3860272,
603885.SH,ΌªΟιΊ½ΏΥ,2016-04-12,52.8831,53.004,51.9153,52.5403,2283970,
603885.SH,ΌªΟιΊ½ΏΥ,2016-04-13,52.5403,53.7097,52.5403,52.8831,6162186,
603885.SH,ΌªΟιΊ½ΏΥ,2016-04-14,53.2863,56.4113,53.2863,56.0282,11515464,
603885.SH,ΌªΟιΊ½ΏΥ,2016-04-15,57.4798,58.0645,56.0081,56.6734,11537655,
603885.SH,ΌªΟιΊ½ΏΥ,2016-04-18,55.4839,56.5524,55.0202,55.4234,4666724,
603885.SH,ΌªΟιΊ½ΏΥ,2016-04-19,55.3629,55.8266,54.375,54.7782,4176746,
603885.SH,ΌªΟιΊ½ΏΥ,2016-04-20,54.8387,55.0403,50.4032,54.3952,7000204,
603885.SH,ΌªΟιΊ½ΏΥ,2016-04-21,54.2339,54.3952,52.4395,53.4073,3736410,
603885.SH,ΌªΟιΊ½ΏΥ,2016-04-22,52.621,54.0323,52.0363,53.3468,2218641,
603885.SH,ΌªΟιΊ½ΏΥ,2016-04-25,53.4677,53.7702,51.6129,52.5806,3065312,
603885.SH,ΌªΟιΊ½ΏΥ,2016-04-26,52.9234,53.3669,52.4798,52.9839,1916471,
603885.SH,ΌªΟιΊ½ΏΥ,2016-04-27,52.9839,53.7702,52.4798,53.0242,2662084,
603885.SH,ΌªΟιΊ½ΏΥ,2016-04-28,53.0242,54.1331,52.5806,53.9919,3557193,
603885.SH,ΌªΟιΊ½ΏΥ,2016-04-29,53.9113,54.4153,53.4476,53.9718,2504332,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-03,53.9718,55.9476,53.7903,55.8871,4994581,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-04,55.746,60.5645,55.2621,59.7984,12829067,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-05,59.5766,64.5161,58.6895,64.2742,16355048,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-06,64.2137,65.7258,62.0766,62.9435,13564076,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-09,62.0968,62.1169,58.4476,59.2137,7921337,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-10,59.4758,61.996,58.4677,60.2419,7938835,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-11,59.879,66.129,59.4758,65.6048,11627292,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-12,64.4153,65.625,60.2823,63.5081,7973453,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-13,63.5484,65.121,61.1492,62.5,6479366,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-16,62.7218,63.5081,60.2016,62.8226,6087199,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-17,62.5202,62.8629,59.7984,60.4637,6583488,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-18,60.4839,61.7944,57.4597,59.3145,7713323,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-19,58.9315,59.8387,58.2258,58.8306,4638857,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-20,57.5605,59.6774,57.2782,59.5363,4613373,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-23,59.2339,60.8871,58.6694,59.6573,6669671,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-24,59.4758,59.4758,57.3387,57.8427,5238892,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-25,57.5806,57.5806,52.5,52.621,13018045,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-26,52.4194,52.8024,50.7863,52.0968,8218237,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-27,51.8145,52.9234,51.5927,52.0565,5735248,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-30,51.4113,52.1371,50.1815,50.9073,4491074,
603885.SH,ΌªΟιΊ½ΏΥ,2016-05-31,51.1089,54.2944,51.1089,53.8105,9306827,
603885.SH,ΌªΟιΊ½ΏΥ,2016-06-01,53.9315,54.9395,53.4677,54.0927,7034217,
603885.SH,ΌªΟιΊ½ΏΥ,2016-06-02,54.0323,56.4516,53.629,55.625,7086114,
603885.SH,ΌªΟιΊ½ΏΥ,2016-06-03,55.6855,56.25,55.1008,55.6452,4967025,
603885.SH,ΌªΟιΊ½ΏΥ,2016-06-06,56.0887,59.4758,56.0484,57.6411,7593178,
603885.SH,ΌªΟιΊ½ΏΥ,2016-06-07,56.8548,57.0565,55.746,56.7137,4777631,
603885.SH,ΌªΟιΊ½ΏΥ,2016-06-08,56.5524,56.5524,54.6371,55.6452,4730604,
603885.SH,ΌªΟιΊ½ΏΥ,2016-06-13,54.4355,55.6452,51.9758,52.3387,5360189,
603885.SH,ΌªΟιΊ½ΏΥ,2016-06-14,51.8347,52.7016,50.9677,51.8347,3514185,
603885.SH,ΌªΟιΊ½ΏΥ,2016-06-15,51.2702,54.3145,51.2097,53.6089,5037864,
603885.SH,ΌªΟιΊ½ΏΥ,2016-06-16,53.5081,54.7581,53.3871,53.7097,6195781,
603885.SH,ΌªΟιΊ½ΏΥ,2016-06-17,54.1129,55.2016,53.9919,54.254,4017828,
603885.SH,ΌªΟιΊ½ΏΥ,2016-06-20,54.0323,54.4355,52.4597,54.1935,3354518,
