ґъВл,јтіЖ,ИХЖЪ,їЄЕМјЫ(ФЄ),ЧоёЯјЫ(ФЄ),ЧоµНјЫ(ФЄ),КХЕМјЫ(ФЄ),іЙЅ»Бї(№Й),
002658.SZ,С©µПБъ,2015-01-05,55.8367,57.1173,55.1253,56.792,3220825,
002658.SZ,С©µПБъ,2015-01-06,55.8977,58.2352,55.2472,58.032,4789216,
002658.SZ,С©µПБъ,2015-01-07,57.4831,57.8897,56.4262,56.6294,2070347,
002658.SZ,С©µПБъ,2015-01-08,56.2229,56.8327,55.5521,55.6131,2181214,
002658.SZ,С©µПБъ,2015-01-09,55.6944,56.4262,54.6781,54.7797,2517456,
002658.SZ,С©µПБъ,2015-01-12,54.0683,54.5968,52.4625,52.6658,2361263,
002658.SZ,С©µПБъ,2015-01-13,52.2796,54.6374,52.2796,54.109,2360685,
002658.SZ,С©µПБъ,2015-01-14,53.8854,54.3732,52.6251,52.6861,1761294,
002658.SZ,С©µПБъ,2015-01-15,53.2349,54.9627,53.052,53.926,2351277,
002658.SZ,С©µПБъ,2015-01-16,53.7634,54.6374,53.2756,54.2716,1530962,
002658.SZ,С©µПБъ,2015-01-19,53.7024,55.0846,52.869,53.1536,2526612,
002658.SZ,С©µПБъ,2015-01-20,53.6618,54.4952,53.4382,54.4139,3330817,
002658.SZ,С©µПБъ,2015-01-21,54.9017,56.2636,54.8814,56.1213,3787601,
002658.SZ,С©µПБъ,2015-01-22,56.2026,56.4668,55.4505,56.3245,2641528,
002658.SZ,С©µПБъ,2015-01-23,56.4058,56.8124,55.3082,55.6131,2058381,
002658.SZ,С©µПБъ,2015-01-26,56.2839,57.4222,56.0196,57.1376,3606527,
002658.SZ,С©µПБъ,2015-01-27,56.8327,57.1782,55.5115,56.1213,2854302,
002658.SZ,С©µПБъ,2015-01-28,56.2026,56.2026,54.861,55.5725,3088277,
002658.SZ,С©µПБъ,2015-01-29,55.5318,56.6498,54.9423,56.6091,3310323,
002658.SZ,С©µПБъ,2015-01-30,56.853,57.7271,55.5521,55.5928,4281281,
002658.SZ,С©µПБъ,2015-02-02,54.0683,55.044,53.4179,53.8041,2405446,
002658.SZ,С©µПБъ,2015-02-03,53.926,54.7797,53.926,54.5765,1690125,
002658.SZ,С©µПБъ,2015-02-04,54.7797,54.861,53.4382,53.5398,2242283,
002658.SZ,С©µПБъ,2015-02-05,53.9667,54.2512,53.2959,53.4179,1650289,
002658.SZ,С©µПБъ,2015-02-06,53.0723,53.6618,52.7674,52.9097,1717849,
002658.SZ,С©µПБъ,2015-02-09,52.9097,53.3366,52.3812,52.4828,1122308,
002658.SZ,С©µПБъ,2015-02-10,52.4828,54.2716,51.7308,54.2309,2603625,
002658.SZ,С©µПБъ,2015-02-11,54.2309,54.6781,53.6618,54.4748,1870226,
002658.SZ,С©µПБъ,2015-02-12,54.7187,55.8774,54.4952,55.044,2631748,
002658.SZ,С©µПБъ,2015-02-13,55.4912,60.2272,55.4912,58.6621,7826312,
002658.SZ,С©µПБъ,2015-02-16,59.1702,61.5281,59.1499,60.5321,6470604,
002658.SZ,С©µПБъ,2015-02-17,60.5321,61.2639,59.0686,60.2069,3861735,
002658.SZ,С©µПБъ,2015-02-25,60.2069,64.0283,60.1662,62.9916,6677930,
002658.SZ,С©µПБъ,2015-02-26,62.9916,65.0242,61.5688,63.0119,5042901,
002658.SZ,С©µПБъ,2015-02-27,63.1136,68.805,63.1136,68.2968,8896084,
002658.SZ,С©µПБъ,2015-03-02,75.1265,75.1265,75.1265,75.1265,1101282,
002658.SZ,С©µПБъ,2015-03-03,82.6473,82.6473,82.6473,82.6473,5846145,
002658.SZ,С©µПБъ,2015-03-04,82.322,83.0944,78.0535,81.2854,19433170,
002658.SZ,С©µПБъ,2015-03-05,80.513,89.3143,79.2731,85.4117,16273900,
002658.SZ,С©µПБъ,2015-03-06,88.42,89.1924,80.5943,80.5943,12623571,
002658.SZ,С©µПБъ,2015-03-09,78.7649,84.9645,78.7649,81.8139,8440838,
002658.SZ,С©µПБъ,2015-03-10,81.0415,85.5336,80.3301,83.4603,7086718,
002658.SZ,С©µПБъ,2015-03-11,82.4033,83.9278,80.3097,80.7163,4849296,
002658.SZ,С©µПБъ,2015-03-12,80.7366,81.8952,74.8013,77.2404,7246625,
002658.SZ,С©µПБъ,2015-03-13,77.1998,79.8829,76.1835,79.6186,5376542,
002658.SZ,С©µПБъ,2015-03-16,80.0252,84.9035,78.9275,82.9928,10510848,
002658.SZ,С©µПБъ,2015-03-17,82.1391,85.2897,81.326,84.5376,6960133,
002658.SZ,С©µПБъ,2015-03-18,89.4363,92.9934,88.6436,92.9934,6391279,
002658.SZ,С©µПБъ,2015-03-19,96.4692,98.9084,93.0137,94.7212,12632002,
002658.SZ,С©µПБъ,2015-03-20,92.5056,95.5342,91.4893,93.3593,6453938,
002658.SZ,С©µПБъ,2015-03-23,93.8065,100.2906,93.2577,97.0994,6881902,
002658.SZ,С©µПБъ,2015-03-24,97.0587,97.8311,91.4689,96.5099,6587916,
002658.SZ,С©µПБъ,2015-03-25,96.5099,101.3273,94.3553,98.2783,7854966,
002658.SZ,С©µПБъ,2015-03-26,95.5545,97.5669,93.7252,96.1847,5489540,
002658.SZ,С©µПБъ,2015-03-27,95.4936,98.1563,94.7212,96.6318,3796174,
002658.SZ,С©µПБъ,2015-03-30,97.5669,97.5669,92.8105,93.4813,5388438,
002658.SZ,С©µПБъ,2015-03-31,93.5016,94.213,91.6519,93.5219,3956551,
002658.SZ,С©µПБъ,2015-04-01,93.6032,102.8721,93.6032,102.8721,11197919,
002658.SZ,С©µПБъ,2015-04-02,107.5065,113.1572,102.4452,113.1572,15010781,
002658.SZ,С©µПБъ,2015-04-03,109.783,122.9749,107.8927,119.682,13766890,
002658.SZ,С©µПБъ,2015-04-07,119.1942,130.6989,117.2022,127.8532,11307196,
002658.SZ,С©µПБъ,2015-04-08,128.463,134.8252,123.9912,130.8819,10263623,
002658.SZ,С©µПБъ,2015-04-09,134.0731,134.0731,117.8933,127.8126,10428050,
002658.SZ,С©µПБъ,2015-04-10,123.9912,132.4673,122.4058,128.9915,8777285,
