代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
300472.SZ,*ST新元,2015-06-11,13.67,16.4,13.67,16.4,5501,
300472.SZ,*ST新元,2015-06-12,18.04,18.04,18.04,18.04,500,
300472.SZ,*ST新元,2015-06-15,19.84,19.84,19.84,19.84,2100,
300472.SZ,*ST新元,2015-06-16,21.82,21.82,21.82,21.82,2600,
300472.SZ,*ST新元,2015-06-17,24,24,24,24,4500,
300472.SZ,*ST新元,2015-06-18,26.4,26.4,26.4,26.4,1000,
300472.SZ,*ST新元,2015-06-19,29.04,29.04,29.04,29.04,31923,
300472.SZ,*ST新元,2015-06-23,31.94,31.94,31.94,31.94,7400,
300472.SZ,*ST新元,2015-06-24,35.13,35.13,35.13,35.13,4200,
300472.SZ,*ST新元,2015-06-25,38.64,38.64,38.64,38.64,3900,
300472.SZ,*ST新元,2015-06-26,42.5,42.5,42.5,42.5,534715,
300472.SZ,*ST新元,2015-06-29,46.75,46.75,38.25,42,9434298,
300472.SZ,*ST新元,2015-06-30,39,46.2,39,46.19,7939756,
300472.SZ,*ST新元,2015-07-01,44.05,50.81,43.98,47.21,8243786,
300472.SZ,*ST新元,2015-07-02,46,48.8,42.49,42.49,5579744,
300472.SZ,*ST新元,2015-07-03,39.35,44.28,38.24,38.24,4062284,
300472.SZ,*ST新元,2015-07-06,42.06,42.06,35,38.01,5082088,
300472.SZ,*ST新元,2015-07-07,35.5,36.87,34.21,34.21,1536307,
300472.SZ,*ST新元,2015-07-08,30.79,32.33,30.79,30.79,3313240,
300472.SZ,*ST新元,2015-07-09,30.13,33.87,30.08,33.87,2563732,
300472.SZ,*ST新元,2015-07-10,37.17,37.26,36.3,37.26,860492,
300472.SZ,*ST新元,2015-07-13,40.99,40.99,40.04,40.99,2048894,
300472.SZ,*ST新元,2015-07-14,44.57,45.09,42.95,45.09,3433997,
300472.SZ,*ST新元,2015-07-15,45.01,45.01,40.58,40.58,2623649,
300472.SZ,*ST新元,2015-07-16,36.52,42.3,36.52,39,3166351,
300472.SZ,*ST新元,2015-07-17,39.6,42.79,38,42.15,3150294,
300472.SZ,*ST新元,2015-07-20,41,43.65,40.44,42,2532679,
300472.SZ,*ST新元,2015-07-21,40.82,46.19,40.5,45.36,2587179,
300472.SZ,*ST新元,2015-07-22,45.15,49.88,43.61,48.62,3076617,
300472.SZ,*ST新元,2015-07-23,48.57,53.48,47.12,53.48,3436894,
300472.SZ,*ST新元,2015-07-24,57,58.6,50.88,51.5,4684395,
300472.SZ,*ST新元,2015-07-27,51.49,55.82,46.35,46.35,4145024,
300472.SZ,*ST新元,2015-07-28,44,48.8,41.72,45.4,2814607,
300472.SZ,*ST新元,2015-07-29,46.25,49.94,41,49.94,3596516,
300472.SZ,*ST新元,2015-07-30,48.3,53.66,47,47.3,3990524,
300472.SZ,*ST新元,2015-07-31,45.06,51.38,45.06,48.5,3998239,
300472.SZ,*ST新元,2015-08-03,48.3,52.38,46.98,52.12,4543381,
300472.SZ,*ST新元,2015-08-04,51.8,55.74,48.5,54.94,6118772,
300472.SZ,*ST新元,2015-08-05,54.5,60.43,52.22,60.43,6483789,
300472.SZ,*ST新元,2015-08-06,58.27,59.65,54.39,54.39,5988598,
300472.SZ,*ST新元,2015-08-07,52.12,54.96,52.12,52.88,3271622,
300472.SZ,*ST新元,2015-08-10,53.51,55.13,52.2,54.26,2531219,
300472.SZ,*ST新元,2015-08-11,54.35,58.1,53.5,56.4,3545327,
300472.SZ,*ST新元,2015-08-12,56.5,56.63,50.77,51.93,3238538,
300472.SZ,*ST新元,2015-08-13,51.05,53.39,50.79,52.44,1747296,
300472.SZ,*ST新元,2015-08-14,53.1,53.17,51.58,51.89,1575217,
300472.SZ,*ST新元,2015-08-17,51.5,52.08,47.96,48.02,2156307,
300472.SZ,*ST新元,2015-08-18,47.86,49.63,43.36,43.61,1670833,
300472.SZ,*ST新元,2015-08-19,42.76,45.64,40.6,44.97,1792983,
300472.SZ,*ST新元,2015-08-20,44,46,42.84,42.9,1150184,
300472.SZ,*ST新元,2015-08-21,42,43.29,40.2,40.42,1243840,
300472.SZ,*ST新元,2015-08-24,38.9,39.89,36.38,36.38,1414897,
300472.SZ,*ST新元,2015-08-25,32.9,38.18,32.74,33.43,2951527,
300472.SZ,*ST新元,2015-08-26,34.21,36.77,33,36.5,3635958,
300472.SZ,*ST新元,2015-08-27,37.01,39,34.51,39,2941016,
300472.SZ,*ST新元,2015-08-28,38,41.14,37.6,41,2637491,
300472.SZ,*ST新元,2015-08-31,40.1,41.05,38.33,38.8,2011394,
300472.SZ,*ST新元,2015-09-01,38.7,38.7,34.92,34.92,1663026,
300472.SZ,*ST新元,2015-09-02,31.82,36.16,31.5,31.7,2227933,
300472.SZ,*ST新元,2015-09-07,32.23,34.6,31.91,32.98,1652799,
300472.SZ,*ST新元,2015-09-08,32,36.28,32,36.28,1728330,
300472.SZ,*ST新元,2015-09-09,36.2,38.69,35.8,38.6,2405589,
300472.SZ,*ST新元,2015-09-10,37.47,38.48,36.6,37,1314564,
300472.SZ,*ST新元,2015-09-11,36.52,37.97,36.3,37.45,1062244,
300472.SZ,*ST新元,2015-09-14,38,38,33.71,33.71,1089297,
300472.SZ,*ST新元,2015-09-15,31.38,33.3,30.34,30.34,1923304,
300472.SZ,*ST新元,2015-09-16,31.28,33.37,30.2,33.37,2782779,
300472.SZ,*ST新元,2015-09-17,30.03,34.55,30.03,32.03,3731831,
300472.SZ,*ST新元,2015-09-18,31.98,34.5,31.88,34.1,2360974,
300472.SZ,*ST新元,2015-09-21,33.48,37.46,32.93,37.4,3497912,
300472.SZ,*ST新元,2015-09-22,37.7,38.61,36.5,37.97,4056731,
300472.SZ,*ST新元,2015-09-23,37.22,39.43,37.01,38.22,3597429,
300472.SZ,*ST新元,2015-09-24,38.8,38.8,36.58,36.93,2781065,
300472.SZ,*ST新元,2015-09-25,36.8,37.09,33.89,34.49,2488516,
300472.SZ,*ST新元,2015-09-28,34.41,36.6,34.41,36.58,1648357,
300472.SZ,*ST新元,2015-09-29,36.03,36.43,34.7,35.15,1541156,
300472.SZ,*ST新元,2015-09-30,35.8,35.87,34.9,35.81,1071154,
300472.SZ,*ST新元,2015-10-08,37.4,37.96,36.6,37.54,1887056,
300472.SZ,*ST新元,2015-10-09,37.54,38.34,37.17,38.07,1541953,
300472.SZ,*ST新元,2015-10-12,38.34,41.8,38.32,41.76,2381852,
300472.SZ,*ST新元,2015-10-13,41.66,43.49,40.6,42.97,3000728,
300472.SZ,*ST新元,2015-10-14,42.88,43.73,41.13,41.69,2473543,
300472.SZ,*ST新元,2015-10-15,41.7,44.79,41,43.95,3237772,
300472.SZ,*ST新元,2015-10-16,44,45.86,43.35,45.5,3373624,
300472.SZ,*ST新元,2015-10-19,45.88,47.38,44.2,46.3,3509963,
300472.SZ,*ST新元,2015-10-20,46.01,47.89,45.1,47,3300005,
300472.SZ,*ST新元,2015-10-21,47,47,42.3,42.3,3389299,
300472.SZ,*ST新元,2015-10-22,42,43.97,40.71,43.5,3002774,
300472.SZ,*ST新元,2015-10-23,43.6,45.59,43.01,44.42,2714997,
300472.SZ,*ST新元,2015-10-26,45,45,43,43.89,2395223,
300472.SZ,*ST新元,2015-10-27,43.3,43.9,41.05,43.31,1630317,
300472.SZ,*ST新元,2015-10-28,43.4,43.97,42.75,43.3,1726530,
300472.SZ,*ST新元,2015-10-29,44,44.4,43,43.98,1485310,
300472.SZ,*ST新元,2015-10-30,43.98,45.18,42.31,44.3,1574557,
300472.SZ,*ST新元,2015-11-02,43.5,48.3,42.5,45.78,2829471,
300472.SZ,*ST新元,2015-11-03,45.6,47.5,44.95,46.72,2442079,
300472.SZ,*ST新元,2015-11-04,47.01,48.57,46.8,48.55,2709027,
300472.SZ,*ST新元,2015-11-05,48.15,49.8,47.6,48.52,2757060,
300472.SZ,*ST新元,2015-11-06,48.01,51.43,48.01,50.8,2440072,
300472.SZ,*ST新元,2015-11-09,51,54.9,50.18,52.88,3023002,
300472.SZ,*ST新元,2015-11-10,52,55.86,51.8,54.92,2702779,
300472.SZ,*ST新元,2015-11-11,54.53,60.41,54.53,60.41,4453861,
300472.SZ,*ST新元,2015-11-12,63,66.45,60.47,66.45,5084939,
300472.SZ,*ST新元,2015-11-13,65.28,66.45,59.81,59.81,5014391,
300472.SZ,*ST新元,2015-11-16,57,62.42,56.56,61.01,3138566,
300472.SZ,*ST新元,2015-11-17,61.66,62.95,57.81,58.1,2974319,
300472.SZ,*ST新元,2015-11-18,58.11,58.11,53.9,54.3,2645508,
300472.SZ,*ST新元,2015-11-19,55,58.87,54.59,58.45,2082037,
300472.SZ,*ST新元,2015-11-20,58.77,59.96,57.1,58.9,1884604,
300472.SZ,*ST新元,2015-11-23,58.4,58.8,54.66,55.17,1653267,
300472.SZ,*ST新元,2015-11-24,55.83,60.69,55.64,60.69,3827970,
300472.SZ,*ST新元,2015-11-25,61.59,61.7,58.89,59.67,3020352,
300472.SZ,*ST新元,2015-11-26,59.68,62.5,58.53,59.11,2616211,
300472.SZ,*ST新元,2015-11-27,58.4,60.6,56.22,57.3,2367328,
300472.SZ,*ST新元,2015-11-30,57.1,62.87,57,61.89,2983602,
300472.SZ,*ST新元,2015-12-01,61.18,62.95,57.7,59.28,2828325,
300472.SZ,*ST新元,2015-12-02,58.88,61.6,54,59.81,2433099,
300472.SZ,*ST新元,2015-12-03,60.03,65.79,60.01,65.79,3716034,
300472.SZ,*ST新元,2015-12-04,66.12,69.51,63.18,66.6,4154814,
300472.SZ,*ST新元,2015-12-07,66.6,67.86,64.28,66.18,2449557,
300472.SZ,*ST新元,2015-12-08,65.55,72.8,65.02,71.58,4494656,
300472.SZ,*ST新元,2015-12-09,69.51,69.9,64.8,65.44,3396739,
300472.SZ,*ST新元,2015-12-10,65.32,65.99,61.8,62.18,1858259,
300472.SZ,*ST新元,2015-12-11,62.11,63.47,60,60.85,1459755,
300472.SZ,*ST新元,2015-12-14,59.03,63.59,58.98,63.5,1231209,
300472.SZ,*ST新元,2015-12-15,62.99,64,61.2,62.33,1078142,
300472.SZ,*ST新元,2015-12-16,63.43,65,62.56,63.15,1326290,
300472.SZ,*ST新元,2015-12-17,63.98,66.8,63.53,66.51,1989202,
300472.SZ,*ST新元,2015-12-18,66,66.97,63.97,64.39,1317301,
300472.SZ,*ST新元,2015-12-21,64.39,65.55,63,65.39,1095497,
300472.SZ,*ST新元,2015-12-22,65.39,66.66,64.78,65.67,942111,
300472.SZ,*ST新元,2015-12-23,65.65,68,65.02,66.05,1612144,
300472.SZ,*ST新元,2015-12-24,66.07,69,65.55,68.68,1836026,
300472.SZ,*ST新元,2015-12-25,69,69.15,65.7,67,1579911,
300472.SZ,*ST新元,2015-12-28,66.8,67,62.78,62.8,1382955,
300472.SZ,*ST新元,2015-12-29,62.8,63.79,62.22,63.1,952195,
300472.SZ,*ST新元,2015-12-30,63.3,63.77,62.46,62.59,1016367,
300472.SZ,*ST新元,2015-12-31,62,62,58.2,58.2,1870732,
300472.SZ,*ST新元,2016-01-04,58.2,58.5,52.38,52.38,897232,
300472.SZ,*ST新元,2016-01-05,50.02,53.88,49,52.2,1409370,
300472.SZ,*ST新元,2016-01-06,52.22,55,52,54.52,1288750,
300472.SZ,*ST新元,2016-01-07,53.22,54.19,49.07,49.07,384800,
300472.SZ,*ST新元,2016-01-08,49.8,51.5,46.5,49.2,1133182,
300472.SZ,*ST新元,2016-01-11,47.81,49.96,44.34,44.35,1144320,
300472.SZ,*ST新元,2016-01-12,44.42,45.98,44,45.3,784904,
300472.SZ,*ST新元,2016-01-13,45.8,46.33,42.58,42.61,720751,
300472.SZ,*ST新元,2016-01-14,41.01,45.35,40.3,44.89,991963,
300472.SZ,*ST新元,2016-01-15,44.5,45,41.07,41.9,833675,
300472.SZ,*ST新元,2016-01-18,41,44.79,40.8,44.2,1146743,
300472.SZ,*ST新元,2016-01-19,43.51,46,43.51,45.72,944105,
300472.SZ,*ST新元,2016-01-20,45.75,47.95,45.48,47.72,1469701,
300472.SZ,*ST新元,2016-01-21,46.52,48.36,45.3,45.3,1264733,
300472.SZ,*ST新元,2016-01-22,45.6,46.98,44.14,46.7,955720,
300472.SZ,*ST新元,2016-01-25,47.38,47.72,46.58,47.08,736117,
300472.SZ,*ST新元,2016-01-26,46.05,46.81,42.53,43.5,931845,
300472.SZ,*ST新元,2016-01-27,43.49,43.78,40.28,42.7,887909,
300472.SZ,*ST新元,2016-01-28,41.85,42.25,38.8,38.8,867588,
300472.SZ,*ST新元,2016-01-29,39,41.13,38.52,40.35,730475,
300472.SZ,*ST新元,2016-02-01,40.03,40.8,38.88,40.28,491058,
300472.SZ,*ST新元,2016-02-02,40.28,42.47,40.14,42.28,655913,
300472.SZ,*ST新元,2016-02-03,41.51,42.26,41.01,41.92,459929,
300472.SZ,*ST新元,2016-02-04,42.26,43.88,41.99,43.4,735943,
300472.SZ,*ST新元,2016-02-05,43.41,44.5,43,44.19,696250,
300472.SZ,*ST新元,2016-02-15,42.8,44.77,42.2,44.6,636971,
300472.SZ,*ST新元,2016-02-16,44.65,46.73,44.65,46.4,712317,
300472.SZ,*ST新元,2016-02-17,46.5,46.64,45.6,46.41,788083,
300472.SZ,*ST新元,2016-02-18,46.6,47.07,45.88,46.01,702939,
300472.SZ,*ST新元,2016-02-19,45.88,46.58,45.6,46.23,462056,
300472.SZ,*ST新元,2016-02-22,46.58,48.1,46.37,47.83,837875,
300472.SZ,*ST新元,2016-02-23,47.51,48.33,46.88,48.04,685762,
300472.SZ,*ST新元,2016-02-24,48.1,48.1,44.03,46.7,757212,
300472.SZ,*ST新元,2016-02-25,47,47,42.03,42.03,806819,
300472.SZ,*ST新元,2016-02-26,42.02,42.97,40.15,41.15,514884,
300472.SZ,*ST新元,2016-02-29,41.18,41.18,37.18,38.3,764868,
300472.SZ,*ST新元,2016-03-01,38.3,40.88,37.9,40.53,624683,
300472.SZ,*ST新元,2016-03-02,40.97,42.8,40.02,42.4,551486,
300472.SZ,*ST新元,2016-03-03,42.7,43.29,41.51,41.54,510849,
300472.SZ,*ST新元,2016-03-04,41.4,41.66,38.73,39,536516,
300472.SZ,*ST新元,2016-03-07,40.37,41.94,39.5,40.4,342889,
300472.SZ,*ST新元,2016-03-08,40.46,41.9,38.48,41.43,525809,
300472.SZ,*ST新元,2016-03-09,40.6,41.81,39.39,41.78,479829,
300472.SZ,*ST新元,2016-03-10,41.4,41.93,40.4,41.2,519879,
