´úÂë,¼ò³Æ,ÈÕÆÚ,¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),
603351.SH,Íþ¶ûÒ©Òµ,2019-01-30,42.6,51.12,42.6,51.12,53802,
603351.SH,Íþ¶ûÒ©Òµ,2019-01-31,56.23,56.23,56.23,56.23,70790,
603351.SH,Íþ¶ûÒ©Òµ,2019-02-01,61.85,61.85,61.85,61.85,278091,
603351.SH,Íþ¶ûÒ©Òµ,2019-02-11,60,62.13,57.01,61.03,7330654,
603351.SH,Íþ¶ûÒ©Òµ,2019-02-12,60,65,59.65,63.14,7806775,
603351.SH,Íþ¶ûÒ©Òµ,2019-02-13,61.31,63.1,60.66,62.31,5383044,
603351.SH,Íþ¶ûÒ©Òµ,2019-02-14,61.54,63.43,60.73,61.78,4478176,
603351.SH,Íþ¶ûÒ©Òµ,2019-02-15,61.5,63.19,61.03,62.25,4157570,
603351.SH,Íþ¶ûÒ©Òµ,2019-02-18,62.24,64.11,61.22,64.02,4744418,
603351.SH,Íþ¶ûÒ©Òµ,2019-02-19,63.53,64.5,62.43,62.61,4558992,
603351.SH,Íþ¶ûÒ©Òµ,2019-02-20,62.3,63.32,60.61,61.21,3884414,
603351.SH,Íþ¶ûÒ©Òµ,2019-02-21,61,61,59,60,3976927,
603351.SH,Íþ¶ûÒ©Òµ,2019-02-22,59.8,60.39,58.83,60.21,2415707,
603351.SH,Íþ¶ûÒ©Òµ,2019-02-25,59.6,62.5,59.56,62.03,4270342,
603351.SH,Íþ¶ûÒ©Òµ,2019-02-26,61.9,63.66,61.07,61.24,4746076,
603351.SH,Íþ¶ûÒ©Òµ,2019-02-27,61.24,63.2,59.8,62.91,4555963,
603351.SH,Íþ¶ûÒ©Òµ,2019-02-28,62.4,64.17,61.78,63.38,4605912,
603351.SH,Íþ¶ûÒ©Òµ,2019-03-01,63.55,63.94,60.5,61.66,3602865,
603351.SH,Íþ¶ûÒ©Òµ,2019-03-04,61.95,63.18,61.12,61.75,3701046,
603351.SH,Íþ¶ûÒ©Òµ,2019-03-05,61.6,61.6,60.77,61.56,2720723,
603351.SH,Íþ¶ûÒ©Òµ,2019-03-06,61.68,63.79,61.35,63.39,4684001,
603351.SH,Íþ¶ûÒ©Òµ,2019-03-07,63.26,69.7,62.51,68.71,6678968,
603351.SH,Íþ¶ûÒ©Òµ,2019-03-08,66,67.4,62.03,62.05,4829021,
603351.SH,Íþ¶ûÒ©Òµ,2019-03-11,60.71,62.97,60.71,62.75,2829856,
603351.SH,Íþ¶ûÒ©Òµ,2019-03-12,62.66,63.84,62,62.88,2792843,
603351.SH,Íþ¶ûÒ©Òµ,2019-03-13,62.89,64.64,61.08,61.41,2773570,
