ด๚ย๋,ผ๒ณฦ,ศีฦฺ,ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),
603027.SH,วงบฬฮถาต,2016-03-07,11.03,13.23,11.03,13.23,38595,
603027.SH,วงบฬฮถาต,2016-03-08,14.55,14.55,14.55,14.55,21966,
603027.SH,วงบฬฮถาต,2016-03-09,16.01,16.01,16.01,16.01,20600,
603027.SH,วงบฬฮถาต,2016-03-10,17.61,17.61,17.61,17.61,37500,
603027.SH,วงบฬฮถาต,2016-03-11,19.37,19.37,19.37,19.37,246387,
603027.SH,วงบฬฮถาต,2016-03-14,21.31,21.31,21.31,21.31,222517,
603027.SH,วงบฬฮถาต,2016-03-15,23.44,23.44,23.44,23.44,158800,
603027.SH,วงบฬฮถาต,2016-03-16,25.78,25.78,25.78,25.78,690510,
603027.SH,วงบฬฮถาต,2016-03-17,28.35,28.36,26.81,28.36,20551543,
603027.SH,วงบฬฮถาต,2016-03-18,29,30.99,28.65,29.21,27823213,
603027.SH,วงบฬฮถาต,2016-03-21,28.61,31.55,28.18,30.19,22275549,
603027.SH,วงบฬฮถาต,2016-03-22,29.34,30.1,28.8,29,14708213,
603027.SH,วงบฬฮถาต,2016-03-23,28.35,28.66,27.7,28.4,10978975,
603027.SH,วงบฬฮถาต,2016-03-24,28.44,31.24,28.2,31.24,16404073,
603027.SH,วงบฬฮถาต,2016-03-25,32,33.27,29.18,29.86,18731219,
603027.SH,วงบฬฮถาต,2016-03-28,30.3,30.39,27.8,28.31,13410275,
603027.SH,วงบฬฮถาต,2016-03-29,28.1,28.1,26.77,27.24,8685091,
603027.SH,วงบฬฮถาต,2016-03-30,27.61,28.24,27.25,28.18,8305553,
603027.SH,วงบฬฮถาต,2016-03-31,28.28,28.35,27.6,27.7,7372141,
603027.SH,วงบฬฮถาต,2016-04-01,27.55,28.18,27.05,27.97,6345431,
603027.SH,วงบฬฮถาต,2016-04-05,27.76,28.36,27.06,28.19,8401378,
603027.SH,วงบฬฮถาต,2016-04-06,28,28.44,27.67,27.91,6032791,
603027.SH,วงบฬฮถาต,2016-04-07,27.81,28.59,27.81,27.88,7019236,
603027.SH,วงบฬฮถาต,2016-04-08,27.62,27.94,27.16,27.91,4983496,
603027.SH,วงบฬฮถาต,2016-04-11,28.3,29.93,28.13,29.44,11390577,
603027.SH,วงบฬฮถาต,2016-04-12,29,30.51,28.81,29.52,10827885,
603027.SH,วงบฬฮถาต,2016-04-13,29.36,30.18,29.1,29.59,9428448,
603027.SH,วงบฬฮถาต,2016-04-14,29.7,32.55,29.65,32.55,12681816,
603027.SH,วงบฬฮถาต,2016-04-15,33.22,33.95,31.47,31.89,18676058,
603027.SH,วงบฬฮถาต,2016-04-18,30.7,30.87,29.59,30.55,10322493,
603027.SH,วงบฬฮถาต,2016-04-19,30.7,31.55,30.26,30.56,7897188,
603027.SH,วงบฬฮถาต,2016-04-20,30.41,31.5,28.01,29.18,10404110,
603027.SH,วงบฬฮถาต,2016-04-21,28.9,29.39,28.3,28.49,6897378,
603027.SH,วงบฬฮถาต,2016-04-22,28.01,28.7,27.88,28.67,4587337,
603027.SH,วงบฬฮถาต,2016-04-25,28.39,28.39,27.4,28.02,4312836,
603027.SH,วงบฬฮถาต,2016-04-26,27.99,28.57,27.88,28.51,3460490,
603027.SH,วงบฬฮถาต,2016-04-27,28.51,29.27,28.43,28.74,5214207,
603027.SH,วงบฬฮถาต,2016-04-28,28.9,28.98,27.6,28.19,5079991,
603027.SH,วงบฬฮถาต,2016-04-29,27.98,28.4,27.82,28.07,2701476,
603027.SH,วงบฬฮถาต,2016-05-03,28.1,29.77,28.06,29.51,6225782,
603027.SH,วงบฬฮถาต,2016-05-04,29.4,30.85,29.3,30.01,7772721,
603027.SH,วงบฬฮถาต,2016-05-05,30.01,30.61,29.8,30.3,5890458,
603027.SH,วงบฬฮถาต,2016-05-06,30.5,31.66,28.79,28.97,8888939,
603027.SH,วงบฬฮถาต,2016-05-09,28.2,28.39,27.61,27.77,5652454,
603027.SH,วงบฬฮถาต,2016-05-10,27.8,28.59,27.7,28.36,4292444,
603027.SH,วงบฬฮถาต,2016-05-11,28.45,30.31,28.31,29.47,8812190,
603027.SH,วงบฬฮถาต,2016-05-12,28.5,28.5,27.2,27.99,6252860,
603027.SH,วงบฬฮถาต,2016-05-13,27.85,28.58,27.5,27.77,3998484,
603027.SH,วงบฬฮถาต,2016-05-16,27.77,28.66,27.52,28.64,3987502,
603027.SH,วงบฬฮถาต,2016-05-17,28.55,28.61,27.88,27.99,3970455,
603027.SH,วงบฬฮถาต,2016-05-18,27.7,27.7,26.3,26.91,4751605,
603027.SH,วงบฬฮถาต,2016-05-19,26.88,27.37,26.8,26.92,2997001,
603027.SH,วงบฬฮถาต,2016-05-20,26.3,27.22,26.08,27.21,3055337,
603027.SH,วงบฬฮถาต,2016-05-23,27.3,28.33,27.2,28,4199767,
603027.SH,วงบฬฮถาต,2016-05-24,27.92,27.92,27.23,27.53,2722350,
603027.SH,วงบฬฮถาต,2016-05-25,27.88,28.12,27.5,27.64,2556921,
603027.SH,วงบฬฮถาต,2016-05-26,27.67,27.99,26.8,27.97,3071884,
603027.SH,วงบฬฮถาต,2016-05-27,28.2,30.51,28.14,29.42,9998720,
603027.SH,วงบฬฮถาต,2016-05-30,28.85,29.5,28,29.12,5434957,
603027.SH,วงบฬฮถาต,2016-05-31,29,31.03,29,30.53,8607458,
603027.SH,วงบฬฮถาต,2016-06-01,30.39,31.59,30.15,30.52,8638275,
603027.SH,วงบฬฮถาต,2016-06-02,30.55,32.85,30.5,32.04,9809437,
603027.SH,วงบฬฮถาต,2016-06-03,31.78,33.87,31.11,32.71,12098243,
603027.SH,วงบฬฮถาต,2016-06-06,32.51,33.75,31.83,33.27,9204464,
603027.SH,วงบฬฮถาต,2016-06-07,33.37,35.2,32.88,34.59,11455211,
603027.SH,วงบฬฮถาต,2016-06-08,34.55,34.55,32.76,32.81,8642928,
603027.SH,วงบฬฮถาต,2016-06-13,31.83,32,29.54,29.57,8473004,
603027.SH,วงบฬฮถาต,2016-06-14,29.63,31.3,29.57,30.74,6135583,
603027.SH,วงบฬฮถาต,2016-06-15,30.3,33.33,30.02,32.38,7582092,
603027.SH,วงบฬฮถาต,2016-06-16,32.26,33.17,31.59,32.02,5331888,
603027.SH,วงบฬฮถาต,2016-06-17,32.3811,33.1335,31.7993,33.0934,6107356,
603027.SH,วงบฬฮถาต,2016-06-20,33.1535,35.3003,32.1003,34.2771,9577329,
603027.SH,วงบฬฮถาต,2016-06-21,34.2068,35.3604,33.3642,33.4244,8787402,
603027.SH,วงบฬฮถาต,2016-06-22,33.1034,35.0996,32.8024,34.8388,8319518,
603027.SH,วงบฬฮถาต,2016-06-23,34.6582,35.8821,33.9761,35.0093,8019016,
603027.SH,วงบฬฮถาต,2016-06-24,34.6883,35.21,32.7021,33.7554,7150768,
603027.SH,วงบฬฮถาต,2016-06-27,33.6852,36.1629,33.4545,35.8219,8014885,
603027.SH,วงบฬฮถาต,2016-06-28,35.4407,36.8049,35.0093,35.7517,7684013,
603027.SH,วงบฬฮถาต,2016-06-29,35.7918,37.9987,35.1698,37.5272,9234118,
