´úÂë,¼ò³Æ,ÈÕÆÚ,¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),
920089.BJ,ºÌ²ý¾ÛºÏ,2021-11-09,18.99,19.47,16.89,18.18,13870741,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-11-10,18.5,18.98,17.7,18.25,4808958,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-11-11,18.5,18.5,17.05,17.53,4575965,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-11-12,17.56,17.87,17.19,17.71,3381516,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-11-15,17.88,18.67,15.8,16.3,6095880,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-11-16,16,16.3,15.01,15.55,3780101,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-11-17,15.47,15.65,15,15.36,2256760,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-11-18,15.37,15.46,15.03,15.12,1090735,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-11-19,15.26,15.28,15,15.26,741266,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-11-22,15.4,15.56,15.25,15.55,845315,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-11-23,15.62,16.09,15.41,15.71,1567591,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-11-24,15.67,15.75,15.36,15.4,760832,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-11-25,15.34,15.67,15.11,15.17,563088,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-11-26,15.12,15.25,15,15.04,741202,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-11-29,14.88,14.97,14.34,14.45,1012753,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-11-30,14.6,14.61,14.38,14.43,496790,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-12-01,14.54,14.7,14.41,14.6,404097,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-12-02,14.46,14.7,14.45,14.58,211584,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-12-03,14.51,14.64,14.42,14.42,333183,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-12-06,14.41,14.42,13.44,13.54,1189389,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-12-07,13.75,13.75,13.28,13.35,534538,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-12-08,13.33,13.45,13.3,13.45,441172,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-12-09,13.53,13.53,13.31,13.36,446517,
920089.BJ,ºÌ²ý¾ÛºÏ,2021-12-10,13.47,13.47,13.32,13.4,184623,
