╢ЗбК,╪РЁф,хуфз,©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),
603916.SH,ку╡╘ль,2017-11-10,10.82,12.99,10.82,12.99,24196,
603916.SH,ку╡╘ль,2017-11-13,14.29,14.29,14.29,14.29,12000,
603916.SH,ку╡╘ль,2017-11-14,15.72,15.72,15.72,15.72,8000,
603916.SH,ку╡╘ль,2017-11-15,17.29,17.29,17.29,17.29,19472,
603916.SH,ку╡╘ль,2017-11-16,19.02,19.02,19.02,19.02,31200,
603916.SH,ку╡╘ль,2017-11-17,20.92,20.92,20.92,20.92,144550,
603916.SH,ку╡╘ль,2017-11-20,23.01,23.01,23.01,23.01,224157,
603916.SH,ку╡╘ль,2017-11-21,24.88,24.88,20.92,21.31,36592474,
603916.SH,ку╡╘ль,2017-11-22,20.83,23.44,20.1,23.44,31752332,
603916.SH,ку╡╘ль,2017-11-23,23,25.78,22.33,23.42,44340462,
603916.SH,ку╡╘ль,2017-11-24,21.6,23.39,21.08,21.08,26470007,
603916.SH,ку╡╘ль,2017-11-27,20.32,20.8,18.97,18.97,21045086,
603916.SH,ку╡╘ль,2017-11-28,18.8,19.73,18.76,19.11,14277246,
603916.SH,ку╡╘ль,2017-11-29,19,19.3,17.7,18.88,18816335,
603916.SH,ку╡╘ль,2017-11-30,18.97,20.18,18.76,19.49,20729112,
603916.SH,ку╡╘ль,2017-12-01,19,19.3,18.21,18.98,13207082,
603916.SH,ку╡╘ль,2017-12-04,18.4,18.78,17.11,17.27,14015390,
603916.SH,ку╡╘ль,2017-12-05,17.07,17.45,16.48,16.75,8770183,
603916.SH,ку╡╘ль,2017-12-06,16.67,17.19,16.45,17.09,7571812,
603916.SH,ку╡╘ль,2017-12-07,16.95,17.07,16.63,16.68,6092590,
603916.SH,ку╡╘ль,2017-12-08,16.6,17.34,16.5,16.98,8784127,
603916.SH,ку╡╘ль,2017-12-11,17.01,17.14,16.83,17.05,6648062,
603916.SH,ку╡╘ль,2017-12-12,16.94,16.95,16,16.04,8642295,
603916.SH,ку╡╘ль,2017-12-13,15.99,16.29,15.88,16.13,4065133,
603916.SH,ку╡╘ль,2017-12-14,16.21,16.7,16.01,16.47,7465557,
603916.SH,ку╡╘ль,2017-12-15,16.31,16.72,16.11,16.45,6144397,
603916.SH,ку╡╘ль,2017-12-18,16.35,16.57,16.06,16.39,4710553,
603916.SH,ку╡╘ль,2017-12-19,16.21,16.76,16.21,16.58,5303722,
603916.SH,ку╡╘ль,2017-12-20,16.48,16.55,16.02,16.07,4949340,
603916.SH,ку╡╘ль,2017-12-21,15.99,16,15.52,15.78,5515362,
603916.SH,ку╡╘ль,2017-12-22,15.88,16.16,15.74,15.75,3917155,
603916.SH,ку╡╘ль,2017-12-25,15.57,15.79,15.03,15.71,6863153,
603916.SH,ку╡╘ль,2017-12-26,15.55,17.2,15.46,16.85,13427669,
603916.SH,ку╡╘ль,2017-12-27,16.55,17.53,16.55,17.04,15240737,
603916.SH,ку╡╘ль,2017-12-28,16.73,17.67,16.68,17.59,15536009,
603916.SH,ку╡╘ль,2017-12-29,17.37,17.63,17.02,17.16,9387817,
603916.SH,ку╡╘ль,2018-01-02,17.38,18.88,17.15,18.61,21435723,
603916.SH,ку╡╘ль,2018-01-03,18.22,18.61,17.8,18.23,14657800,
603916.SH,ку╡╘ль,2018-01-04,18.01,18.42,17.66,17.69,10007793,
603916.SH,ку╡╘ль,2018-01-05,17.54,18,17.21,17.23,8889225,
603916.SH,ку╡╘ль,2018-01-08,17.17,18.49,17.01,18.28,14925513,
603916.SH,ку╡╘ль,2018-01-09,18.1,18.2,17.66,17.74,10585594,
603916.SH,ку╡╘ль,2018-01-10,17.64,17.66,17,17.29,9362993,
