ДњТы,МђГЦ,ШеЦк,ПЊХЬМл(дЊ),зюИпМл(дЊ),зюЕЭМл(дЊ),ЪеХЬМл(дЊ),ГЩНЛСП(ЙЩ),
301172.SZ,О§внЪ§Ты,2023-07-26,48,48.96,42.15,42.2,22020655,
301172.SZ,О§внЪ§Ты,2023-07-27,42.5,48.78,42.5,45.61,20417200,
301172.SZ,О§внЪ§Ты,2023-07-28,44.46,54.57,44.33,49.62,20998618,
301172.SZ,О§внЪ§Ты,2023-07-31,52,55.58,48.33,49.99,20067630,
301172.SZ,О§внЪ§Ты,2023-08-01,48.7,51.3,43.82,43.91,17947628,
301172.SZ,О§внЪ§Ты,2023-08-02,42.48,43,38.88,40.8,14946422,
301172.SZ,О§внЪ§Ты,2023-08-03,39.5,43.32,39.01,41.62,14378258,
301172.SZ,О§внЪ§Ты,2023-08-04,40.81,44.78,40.2,42.8,14293208,
301172.SZ,О§внЪ§Ты,2023-08-07,42.36,46.85,41.61,46.27,16650984,
301172.SZ,О§внЪ§Ты,2023-08-08,45,46.73,42.55,43.46,13779287,
301172.SZ,О§внЪ§Ты,2023-08-09,44.15,47.5,42.66,44.3,14627010,
301172.SZ,О§внЪ§Ты,2023-08-10,43.51,46.58,43.51,45.17,14425374,
301172.SZ,О§внЪ§Ты,2023-08-11,45.03,50,41.56,46.75,19641884,
301172.SZ,О§внЪ§Ты,2023-08-14,45.75,50.8,44.01,49.4,18236197,
301172.SZ,О§внЪ§Ты,2023-08-15,49.54,50.84,47.28,48.6,16253337,
301172.SZ,О§внЪ§Ты,2023-08-16,47,53.45,46.51,51.25,18662825,
301172.SZ,О§внЪ§Ты,2023-08-17,50.3,51.44,47.35,48.65,14692883,
301172.SZ,О§внЪ§Ты,2023-08-18,48.11,49.6,43.81,43.81,13627760,
301172.SZ,О§внЪ§Ты,2023-08-21,43.9,45.3,43.23,43.36,8871402,
301172.SZ,О§внЪ§Ты,2023-08-22,44.13,47.26,43.53,47.05,14171143,
301172.SZ,О§внЪ§Ты,2023-08-23,45.9,46.2,42.5,42.5,10797654,
301172.SZ,О§внЪ§Ты,2023-08-24,42.03,44.21,40.91,41.09,8349421,
301172.SZ,О§внЪ§Ты,2023-08-25,41.38,42.68,39.99,42.19,9228450,
301172.SZ,О§внЪ§Ты,2023-08-28,46.63,46.63,41.76,42.81,10610575,
301172.SZ,О§внЪ§Ты,2023-08-29,43.1,45.21,42.81,44.8,9955813,
301172.SZ,О§внЪ§Ты,2023-08-30,44.36,46.19,43.55,45.87,11701013,
301172.SZ,О§внЪ§Ты,2023-08-31,44.93,45.23,43.5,43.56,7371071,
301172.SZ,О§внЪ§Ты,2023-09-01,43.55,43.9,41.73,41.94,5944106,
301172.SZ,О§внЪ§Ты,2023-09-04,42.08,42.43,41.12,42.07,3833351,
301172.SZ,О§внЪ§Ты,2023-09-05,42.2,43.03,42,42.48,4681840,
301172.SZ,О§внЪ§Ты,2023-09-06,41.7,42.51,40.41,42.47,4865356,
301172.SZ,О§внЪ§Ты,2023-09-07,41.91,42.96,40.99,41.01,4504833,
301172.SZ,О§внЪ§Ты,2023-09-08,40.58,41.24,39.78,40.74,3883351,
301172.SZ,О§внЪ§Ты,2023-09-11,40.88,40.94,39.95,40.24,3363158,
301172.SZ,О§внЪ§Ты,2023-09-12,39.94,40.37,39.28,39.31,3286770,
301172.SZ,О§внЪ§Ты,2023-09-13,39.36,40,39.1,39.72,3374986,
301172.SZ,О§внЪ§Ты,2023-09-14,39.18,39.4,36.88,37.13,5267578,
301172.SZ,О§внЪ§Ты,2023-09-15,37.2,37.24,35.51,35.52,3716076,
301172.SZ,О§внЪ§Ты,2023-09-18,35.6,36.44,35.2,35.99,2183473,
301172.SZ,О§внЪ§Ты,2023-09-19,36.6,36.66,35.51,35.61,2550688,
301172.SZ,О§внЪ§Ты,2023-09-20,35.2,37.2,35.07,36.37,3767244,
301172.SZ,О§внЪ§Ты,2023-09-21,35.9,36.69,35.27,35.31,2749075,
