代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
002275.SZ,桂林三金,2015-01-05,27.0085,27.3478,26.7135,27.3478,3060243,
002275.SZ,桂林三金,2015-01-06,27.1708,28.1443,26.9642,27.864,4769115,
002275.SZ,桂林三金,2015-01-07,27.9378,27.982,27.2298,27.6428,2615806,
002275.SZ,桂林三金,2015-01-08,27.451,27.982,26.9937,27.3773,3273255,
002275.SZ,桂林三金,2015-01-09,27.4068,27.5838,26.9937,27.1413,2908526,
002275.SZ,桂林三金,2015-01-12,27.0085,27.097,25.8284,26.7872,2309220,
002275.SZ,桂林三金,2015-01-13,26.5512,27.3035,26.4037,27.1855,1917222,
002275.SZ,桂林三金,2015-01-14,27.1708,27.5838,26.9937,27.3035,1394001,
002275.SZ,桂林三金,2015-01-15,27.3183,27.8788,27.3183,27.51,1531134,
002275.SZ,桂林三金,2015-01-16,27.51,27.6133,27.2003,27.4363,1439690,
002275.SZ,桂林三金,2015-01-19,27.1413,27.7903,26.566,26.7725,2310836,
002275.SZ,桂林三金,2015-01-20,26.861,27.8788,26.861,27.864,2365046,
002275.SZ,桂林三金,2015-01-21,27.864,28.2328,27.6723,28.2181,4404420,
002275.SZ,桂林三金,2015-01-22,28.2328,28.6753,28.041,28.2771,2967375,
002275.SZ,桂林三金,2015-01-23,28.2918,28.4541,27.7313,28.0263,2604277,
002275.SZ,桂林三金,2015-01-26,28.0263,28.4541,27.8493,28.4393,3982230,
002275.SZ,桂林三金,2015-01-27,28.4836,28.5131,27.746,28.2328,4094312,
002275.SZ,桂林三金,2015-01-28,28.1738,28.9703,27.864,28.4688,4851861,
002275.SZ,桂林三金,2015-01-29,28.5868,28.9113,28.1443,28.3803,2898396,
002275.SZ,桂林三金,2015-01-30,28.5131,28.5131,27.7755,28.041,3420548,
002275.SZ,桂林三金,2015-02-02,27.8493,28.1738,27.628,28.0263,1539517,
002275.SZ,桂林三金,2015-02-03,27.9968,28.3951,27.5838,28.2623,3284337,
002275.SZ,桂林三金,2015-02-04,28.2623,28.4688,28.0263,28.041,2136782,
002275.SZ,桂林三金,2015-02-05,28.1738,28.3066,27.864,27.864,1552015,
002275.SZ,桂林三金,2015-02-06,27.7165,27.9525,26.9495,27.4068,2982413,
002275.SZ,桂林三金,2015-02-09,27.1413,27.2888,26.861,26.9347,1247170,
002275.SZ,桂林三金,2015-02-10,26.9347,27.3773,26.9347,27.1265,1317342,
002275.SZ,桂林三金,2015-02-11,27.2003,27.5543,27.038,27.5543,1272171,
002275.SZ,桂林三金,2015-02-12,27.5543,27.628,27.3035,27.5248,1045605,
002275.SZ,桂林三金,2015-02-13,27.5985,27.9525,27.5838,27.7018,2446659,
002275.SZ,桂林三金,2015-02-16,27.7313,28.2033,27.6723,27.9525,3147261,
002275.SZ,桂林三金,2015-02-17,28.1443,28.3213,27.9525,28.1,1841671,
002275.SZ,桂林三金,2015-02-25,28.2476,28.6606,28.0263,28.3213,3384905,
002275.SZ,桂林三金,2015-02-26,28.3361,28.7933,28.3361,28.5868,3506578,
002275.SZ,桂林三金,2015-02-27,28.6163,28.7196,28.3361,28.4246,3128796,
002275.SZ,桂林三金,2015-03-02,28.4983,28.6163,28.1738,28.5278,5407950,
002275.SZ,桂林三金,2015-03-03,28.5131,28.7638,28.3803,28.4393,6580925,
002275.SZ,桂林三金,2015-03-04,28.4688,29.4571,28.1738,29.3391,8569435,
002275.SZ,桂林三金,2015-03-05,29.4571,30.0914,29.2063,29.7964,9134483,
002275.SZ,桂林三金,2015-03-06,29.8701,30.2094,29.2358,29.5014,4335033,
002275.SZ,桂林三金,2015-03-09,29.4276,30.2241,29.1326,30.2094,6576911,
002275.SZ,桂林三金,2015-03-10,30.3126,31.5075,30.2389,30.5782,7546269,
002275.SZ,桂林三金,2015-03-11,30.5929,30.8879,29.9439,30.3864,4390823,
002275.SZ,桂林三金,2015-03-12,30.2389,30.2684,29.6784,29.9734,3878018,
002275.SZ,桂林三金,2015-03-13,30.0619,30.7109,29.6489,30.5192,4967027,
002275.SZ,桂林三金,2015-03-16,30.6077,31.1092,30.2389,30.9764,4819293,
002275.SZ,桂林三金,2015-03-17,30.9912,31.2124,30.6077,30.8289,5484740,
002275.SZ,桂林三金,2015-03-18,30.8289,31.3157,30.6814,31.2862,5079871,
002275.SZ,桂林三金,2015-03-19,31.2419,31.2419,30.5929,30.8732,5501860,
002275.SZ,桂林三金,2015-03-20,30.9174,31.3009,30.7994,31.3009,6311236,
002275.SZ,桂林三金,2015-03-23,31.4189,32.658,31.4189,32.422,7463472,
002275.SZ,桂林三金,2015-03-24,32.6433,32.6433,31.2419,32.009,6199414,
002275.SZ,桂林三金,2015-03-25,32.009,33.307,31.714,33.189,5977636,
002275.SZ,桂林三金,2015-03-26,32.9678,33.2923,32.304,33.248,5736097,
002275.SZ,桂林三金,2015-03-27,33.2628,33.6168,32.8645,33.1743,5094926,
002275.SZ,桂林三金,2015-03-30,33.2185,33.602,33.0415,33.0415,5244392,
002275.SZ,桂林三金,2015-03-31,32.894,33.484,32.6138,33.012,6750018,
002275.SZ,桂林三金,2015-04-01,33.0268,34.2068,32.894,33.8086,6256240,
002275.SZ,桂林三金,2015-04-02,33.6316,34.1626,33.4103,33.9561,5821568,
002275.SZ,桂林三金,2015-04-03,33.7201,34.4281,33.6168,34.3543,5608612,
002275.SZ,桂林三金,2015-04-07,34.5461,35.7261,34.3396,35.2394,7231919,
002275.SZ,桂林三金,2015-04-08,35.2689,35.4016,33.9708,34.6641,5981525,
002275.SZ,桂林三金,2015-04-09,34.5903,34.5903,33.012,33.7201,6010762,
002275.SZ,桂林三金,2015-04-10,33.5578,34.6493,33.3365,34.4428,5512727,
002275.SZ,桂林三金,2015-04-13,34.6493,36.7439,34.6198,35.9179,7800258,
002275.SZ,桂林三金,2015-04-14,35.9917,36.2867,34.8706,35.6671,5919308,
002275.SZ,桂林三金,2015-04-15,35.3869,35.3869,33.6316,33.8676,5889354,
002275.SZ,桂林三金,2015-04-16,33.484,35.9917,33.189,35.9917,8510351,
002275.SZ,桂林三金,2015-04-17,36.4342,39.5318,36.4342,36.8915,10569946,
002275.SZ,桂林三金,2015-04-20,37.0242,38.6025,35.9917,36.5669,9518388,
002275.SZ,桂林三金,2015-04-21,36.4342,38.042,36.2867,38.042,6232737,
002275.SZ,桂林三金,2015-04-22,38.0568,39.1631,37.924,38.6025,6473698,
002275.SZ,桂林三金,2015-04-23,38.6468,39.1631,37.7617,38.3518,7617960,
002275.SZ,桂林三金,2015-04-24,38.0568,39.6498,37.6142,38.7943,7584502,
002275.SZ,桂林三金,2015-04-27,38.9123,41.1249,38.9123,39.7973,7225761,
002275.SZ,桂林三金,2015-04-28,38.9418,39.0893,37.3192,37.7617,8411375,
002275.SZ,桂林三金,2015-04-29,37.57,38.3518,37.1865,38.1748,4281780,
002275.SZ,桂林三金,2015-04-30,38.2043,38.6173,37.1717,37.2012,5076627,
002275.SZ,桂林三金,2015-05-04,36.7734,37.511,36.4784,37.098,3651008,
002275.SZ,桂林三金,2015-05-05,37.1717,37.5847,35.4459,35.9769,5166815,
002275.SZ,桂林三金,2015-05-06,36.0949,37.57,36.0949,36.7292,8003897,
002275.SZ,桂林三金,2015-05-07,36.8767,36.8767,35.7261,35.8589,3327026,
002275.SZ,桂林三金,2015-05-08,36.4342,36.8324,36.1244,36.5964,4499540,
002275.SZ,桂林三金,2015-05-11,36.8472,38.2928,36.6259,38.2043,6677362,
002275.SZ,桂林三金,2015-05-12,38.2043,38.2633,37.4372,38.1453,7129224,
002275.SZ,桂林三金,2015-05-13,38.042,39.1041,37.5257,38.5435,9093587,
