測鎢,潠備,�梪�,羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),
600660.SH,腦珓產薛,2015-01-05,780.1347,839.3613,778.861,827.8981,64281338,
600660.SH,腦珓產薛,2015-01-06,827.8981,876.2983,816.4349,839.3613,57340740,
600660.SH,腦珓產薛,2015-01-07,840.635,843.8192,813.8875,822.1665,26406541,
600660.SH,腦珓產薛,2015-01-08,817.0717,840.635,808.7927,825.9875,30159064,
600660.SH,腦珓產薛,2015-01-09,815.798,841.2718,801.1506,810.7033,36914260,
600660.SH,腦珓產薛,2015-01-12,801.7875,824.7139,797.3295,813.8875,23808267,
600660.SH,腦珓產薛,2015-01-13,811.977,859.1035,810.7033,857.1929,47526160,
600660.SH,腦珓產薛,2015-01-14,857.1929,869.293,834.9034,847.0034,27553233,
600660.SH,腦珓產薛,2015-01-15,850.1876,862.9245,841.2718,858.4666,21063945,
600660.SH,腦珓產薛,2015-01-16,861.014,864.8351,843.8192,849.5508,23967694,
600660.SH,腦珓產薛,2015-01-19,819.6191,832.9928,775.6768,790.3242,35099802,
600660.SH,腦珓產薛,2015-01-20,802.4243,847.0034,802.4243,846.3666,45274677,
600660.SH,腦珓產薛,2015-01-21,847.0034,883.3036,839.3613,882.6667,45819655,
600660.SH,腦珓產薛,2015-01-22,880.7562,889.672,866.1088,878.2088,27065398,
600660.SH,腦珓產薛,2015-01-23,878.8457,896.0405,866.1088,872.4772,21612541,
600660.SH,腦珓產薛,2015-01-26,873.1141,896.0405,873.1141,888.3983,20311960,
600660.SH,腦珓產薛,2015-01-27,888.3983,902.4089,860.3772,900.4984,32977898,
600660.SH,腦珓產薛,2015-01-28,900.4984,901.1352,878.8457,881.393,23491617,
600660.SH,腦珓產薛,2015-01-29,876.9351,882.0299,864.1982,869.9298,17317348,
600660.SH,腦珓產薛,2015-01-30,872.4772,882.0299,843.1824,843.1824,21500027,
600660.SH,腦珓產薛,2015-02-02,835.5402,850.8245,825.3507,834.9034,18293034,
600660.SH,腦珓產薛,2015-02-03,850.8245,856.5561,838.0876,844.456,20784021,
600660.SH,腦珓產薛,2015-02-04,856.5561,857.8298,834.2665,839.3613,15971542,
600660.SH,腦珓產薛,2015-02-05,847.0034,852.735,818.3454,822.1665,23643022,
600660.SH,腦珓產薛,2015-02-06,823.4402,827.2612,794.7822,799.2401,28640778,
600660.SH,腦珓產薛,2015-02-09,799.2401,833.6297,797.9664,810.7033,26782723,
600660.SH,腦珓產薛,2015-02-10,811.3401,848.914,810.7033,843.8192,23675025,
600660.SH,腦珓產薛,2015-02-11,845.0929,864.1982,839.9981,844.456,18660330,
600660.SH,腦珓產薛,2015-02-12,849.5508,876.9351,847.0034,866.7456,26264677,
600660.SH,腦珓產薛,2015-02-13,871.2035,882.0299,857.1929,868.0193,22876572,
600660.SH,腦珓產薛,2015-02-16,871.2035,875.6614,853.3719,868.6561,25672538,
600660.SH,腦珓產薛,2015-02-17,886.4878,946.988,873.7509,929.7932,58942756,
600660.SH,腦珓產薛,2015-02-25,941.2564,967.3671,924.6985,932.9775,43407206,
600660.SH,腦珓產薛,2015-02-26,932.9775,962.2723,927.2459,959.0881,33385568,
600660.SH,腦珓產薛,2015-02-27,959.0881,972.4618,936.1617,948.2617,26512263,
600660.SH,腦珓產薛,2015-03-02,955.9039,961.6355,938.7091,952.7196,31544278,
600660.SH,腦珓產薛,2015-03-03,953.3565,953.3565,917.6932,921.5143,28816992,
600660.SH,腦珓產薛,2015-03-04,921.5143,955.267,921.5143,947.6249,28938607,
600660.SH,腦珓產薛,2015-03-05,949.5354,960.9986,927.2459,940.6196,20402490,
600660.SH,腦珓產薛,2015-03-06,942.5301,945.0775,918.33,920.8774,16086608,
600660.SH,腦珓產薛,2015-03-09,918.9669,941.2564,903.0458,940.6196,22628170,
600660.SH,腦珓產薛,2015-03-10,938.7091,940.6196,927.2459,938.0722,16010834,
600660.SH,腦珓產薛,2015-03-11,938.0722,950.1723,933.6143,936.7985,17322649,
600660.SH,腦珓產薛,2015-03-12,935.5248,952.7196,924.0616,951.446,24986667,
600660.SH,腦珓產薛,2015-03-13,954.6302,971.825,941.2564,951.446,33235581,
600660.SH,腦珓產薛,2015-03-16,928.5195,957.1776,928.5195,956.5407,40941140,
600660.SH,腦珓產薛,2015-03-17,956.5407,964.1828,948.8986,960.3618,33370225,
600660.SH,腦珓產薛,2015-03-18,963.546,1002.3935,953.9933,1001.7567,59970373,
600660.SH,腦珓產薛,2015-03-19,1005.5777,1008.762,987.1093,995.3882,36585051,
600660.SH,腦珓產薛,2015-03-20,999.2093,1001.7567,978.8303,989.6566,34913139,
600660.SH,腦珓產薛,2015-03-23,992.204,1010.0357,990.2935,997.2988,38278936,
600660.SH,腦珓產薛,2015-03-24,997.9356,1043.7884,996.6619,1033.5989,57183584,
600660.SH,腦珓產薛,2015-03-25,1038.6937,1094.736,1033.5989,1071.1728,61463816,
600660.SH,腦珓產薛,2015-03-26,1069.8991,1080.7254,1045.699,1060.9832,39463118,
600660.SH,腦珓產薛,2015-03-27,1069.8991,1113.8413,1060.3464,1106.1992,41814329,
600660.SH,腦珓產薛,2015-03-30,1111.294,1136.7678,1090.2781,1110.6571,54946100,
600660.SH,腦珓產薛,2015-03-31,1120.8466,1136.1309,1050.7937,1065.4411,82158636,
600660.SH,腦珓產薛,2015-04-01,1066.7148,1074.9938,1053.3411,1066.7148,43776074,
600660.SH,腦珓產薛,2015-04-02,1067.3517,1085.8202,1060.3464,1071.1728,51204879,
600660.SH,腦珓產薛,2015-04-03,1067.9885,1070.5359,1053.9779,1067.9885,38527356,
600660.SH,腦珓產薛,2015-04-07,1068.6254,1078.178,1063.5306,1076.9044,68308958,
600660.SH,腦珓產薛,2015-04-08,1087.7307,1104.9255,1071.1728,1081.9991,66624301,
600660.SH,腦珓產薛,2015-04-09,1082.636,1090.2781,1030.4147,1052.7043,57954014,
600660.SH,腦珓產薛,2015-04-10,1048.2463,1075.6307,1045.0621,1071.1728,42437964,
600660.SH,腦珓產薛,2015-04-13,1096.0097,1101.7413,1069.8991,1089.6412,67936348,
600660.SH,腦珓產薛,2015-04-14,1094.0992,1168.61,1085.8202,1155.8731,86415579,
600660.SH,腦珓產薛,2015-04-15,1142.5872,1142.5872,1066.8576,1070.1791,74664563,
600660.SH,腦珓產薛,2015-04-16,1062.8718,1086.1221,1009.7282,1077.4863,43991219,
600660.SH,腦珓產薛,2015-04-17,1080.1435,1082.8007,1066.1933,1073.5005,51509050,
600660.SH,腦珓產薛,2015-04-20,1068.8505,1068.8505,1023.0141,1027.6642,63627712,
600660.SH,腦珓產薛,2015-04-21,1027.6642,1066.8576,1026.9999,1061.5432,46775290,
600660.SH,腦珓產薛,2015-04-22,1069.5148,1106.051,1069.5148,1104.0581,63312394,
600660.SH,腦珓產薛,2015-04-23,1108.7082,1114.6868,1079.4792,1094.758,54226810,
600660.SH,腦珓產薛,2015-04-24,1076.1577,1089.4436,1042.943,1076.1577,58656996,
600660.SH,腦珓產薛,2015-04-27,1075.4934,1106.7153,1067.5219,1074.8291,63896925,
600660.SH,腦珓產薛,2015-04-28,1073.5005,1076.1577,1036.3,1045.6001,51667384,
600660.SH,腦珓產薛,2015-04-29,1042.943,1065.529,1029.6571,1054.9003,34449585,
600660.SH,腦珓產薛,2015-04-30,1055.5646,1064.8647,1036.9643,1038.9572,29871975,
600660.SH,腦珓產薛,2015-05-04,1042.2787,1056.8932,1026.9999,1051.5788,36453523,
600660.SH,腦珓產薛,2015-05-05,1053.5717,1059.5503,1029.6571,1031.6499,39025222,
600660.SH,腦珓產薛,2015-05-06,1038.2929,1059.5503,1009.7282,1012.3854,40470035,
600660.SH,腦珓產薛,2015-05-07,1009.7282,1035.6357,1005.0782,1017.6998,30649774,
600660.SH,腦珓產薛,2015-05-08,1023.6784,1039.6215,1013.0497,1032.9785,30350322,
600660.SH,腦珓產薛,2015-05-11,1036.3,1052.9074,1021.6855,1052.9074,47254258,
600660.SH,腦珓產薛,2015-05-12,1052.2431,1055.5646,1042.2787,1049.5859,37219344,
600660.SH,腦珓產薛,2015-05-13,1052.9074,1092.1008,1049.5859,1079.4792,74381821,
600660.SH,腦珓產薛,2015-05-14,1080.1435,1085.4578,1052.9074,1063.5361,39012963,
600660.SH,腦珓產薛,2015-05-15,1063.5361,1063.5361,1024.3427,1032.9785,33192600,
600660.SH,腦珓產薛,2015-05-18,1024.3427,1029.6571,1013.0497,1019.0283,28382592,
600660.SH,腦珓產薛,2015-05-19,1023.0141,1057.5574,1017.6998,1056.8932,42375623,
600660.SH,腦珓產薛,2015-05-20,1061.5432,1079.4792,1050.9145,1056.8932,54618225,
600660.SH,腦珓產薛,2015-05-21,1061.5432,1075.4934,1050.2502,1074.8291,48464997,
600660.SH,腦珓產薛,2015-05-22,1083.4649,1106.051,1083.4649,1098.7437,62048842,
600660.SH,腦珓產薛,2015-05-25,1101.4009,1125.9798,1101.4009,1117.344,73732207,
600660.SH,腦珓產薛,2015-05-26,1120.0012,1135.2799,1096.0866,1131.9585,85867740,
600660.SH,腦珓產薛,2015-05-27,1156.5374,1199.7166,1127.9727,1189.0878,110280980,
600660.SH,腦珓產薛,2015-05-28,1189.0878,1189.0878,1083.4649,1087.4507,86655415,
600660.SH,腦珓產薛,2015-05-29,1087.4507,1121.9941,1049.5859,1091.4365,60509773,
600660.SH,腦珓產薛,2015-06-01,1091.4365,1147.2373,1082.1364,1145.9087,64254447,
600660.SH,腦珓產薛,2015-06-02,1147.2373,1149.8944,1117.344,1147.9016,58603833,
600660.SH,腦珓產薛,2015-06-03,1147.2373,1147.2373,1106.051,1123.3226,47415336,
600660.SH,腦珓產薛,2015-06-04,1123.3226,1126.6441,1023.0141,1106.051,54649995,
600660.SH,腦珓產薛,2015-06-05,1119.3369,1147.9016,1110.701,1136.6085,72105124,
600660.SH,腦珓產薛,2015-06-08,1136.6085,1182.4449,1126.6441,1177.1305,91568543,
600660.SH,腦珓產薛,2015-06-09,1175.8019,1175.8019,1127.3084,1142.5872,62640358,
600660.SH,腦珓產薛,2015-06-10,1130.6299,1142.5872,1110.0367,1127.9727,51809121,
600660.SH,腦珓產薛,2015-06-11,1129.3013,1136.6085,1110.701,1121.9941,43192777,
600660.SH,腦珓產薛,2015-06-12,1122.6583,1135.9442,1117.344,1133.2871,59480922,
600660.SH,腦珓產薛,2015-06-15,1136.6085,1171.1519,1132.6228,1141.9229,97650069,
600660.SH,腦珓產薛,2015-06-16,1129.3013,1129.3013,1081.4721,1086.1221,57694159,
600660.SH,腦珓產薛,2015-06-17,1086.1221,1102.7295,1056.2289,1098.0794,44410639,
600660.SH,腦珓產薛,2015-06-18,1090.7722,1096.0866,1049.5859,1049.5859,46341436,
600660.SH,腦珓產薛,2015-06-19,1041.6144,1070.8433,1016.3712,1018.3641,48928032,
600660.SH,腦珓產薛,2015-06-23,1031.6499,1032.3142,963.2276,1028.3285,50791326,
600660.SH,腦珓產薛,2015-06-24,1032.9785,1050.2502,1017.6998,1044.2716,48511847,
600660.SH,腦珓產薛,2015-06-25,1036.9643,1043.6073,994.4494,999.0995,49629898,
600660.SH,腦珓產薛,2015-06-26,979.8349,985.8136,899.4553,902.7767,68488591,
600660.SH,腦珓產薛,2015-06-29,933.3343,939.9773,834.3544,879.5264,64657703,
600660.SH,腦珓產薛,2015-06-30,876.2049,951.9346,874.8764,948.6131,58075881,
600660.SH,腦珓產薛,2015-07-01,937.9844,966.5491,907.4268,910.084,43852155,
600660.SH,腦珓產薛,2015-07-02,923.3699,929.3485,866.9048,886.8337,44504676,
600660.SH,腦珓產薛,2015-07-03,896.7981,918.7198,823.7257,868.2334,54848153,
600660.SH,腦珓產薛,2015-07-06,953.2632,953.9274,842.3259,905.4339,58562263,
600660.SH,腦珓產薛,2015-07-07,886.1694,919.3841,856.9404,911.4126,81351069,
600660.SH,腦珓產薛,2015-07-08,850.2974,894.1409,820.4042,820.4042,77249157,
600660.SH,腦珓產薛,2015-07-09,820.4042,902.7767,777.225,902.7767,62586923,
600660.SH,腦珓產薛,2015-07-10,931.3414,993.1208,917.3912,993.1208,75001975,
600660.SH,腦珓產薛,2015-07-13,996.4423,1060.8789,970.5348,1028.9928,87460946,
600660.SH,腦珓產薛,2015-07-14,996.4423,1006.4067,973.192,983.1564,54749308,
600660.SH,腦珓產薛,2015-07-15,969.8705,969.8705,930.6771,938.6487,37767512,
600660.SH,腦珓產薛,2015-07-16,938.6487,975.1849,938.6487,947.9488,25299207,
600660.SH,腦珓產薛,2015-07-17,947.9488,987.8065,947.9488,975.1849,31755199,
600660.SH,腦珓產薛,2015-07-20,961.899,980.4992,947.2845,955.9203,32858611,
600660.SH,腦珓產薛,2015-07-21,949.9417,963.2276,943.2987,952.5989,19385328,
600660.SH,腦珓產薛,2015-07-22,951.2703,951.2703,922.7056,935.9915,23421939,
600660.SH,腦珓產薛,2015-07-23,933.3343,961.2347,932.0057,955.9203,31756752,
600660.SH,腦珓產薛,2015-07-24,957.2489,963.8919,933.3343,937.3201,29107712,
600660.SH,腦珓產薛,2015-07-27,924.0342,929.3485,843.6545,843.6545,36992420,
600660.SH,腦珓產薛,2015-07-28,826.3828,876.8692,826.3828,870.8906,40230267,
600660.SH,腦珓產薛,2015-07-29,870.8906,892.8123,852.9546,888.1623,22366187,
600660.SH,腦珓產薛,2015-07-30,877.5335,893.4766,864.2476,866.2405,20261814,
600660.SH,腦珓產薛,2015-07-31,859.5976,882.8479,852.2903,881.5193,15136760,
600660.SH,腦珓產薛,2015-08-03,870.2263,912.0769,866.2405,911.4126,22066791,
600660.SH,腦珓產薛,2015-08-04,906.7625,928.0199,890.1551,926.0271,22809112,
600660.SH,腦珓產薛,2015-08-05,923.3699,923.3699,887.498,888.8265,22139958,
600660.SH,腦珓產薛,2015-08-06,886.1694,890.1551,870.2263,875.5407,10674072,
600660.SH,腦珓產薛,2015-08-07,878.1978,896.7981,876.2049,886.8337,18960111,
