¥˙¬Î,ºÚ≥∆,»’∆⁄,ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),
300997.SZ,ª∂¿÷º“,2021-06-02,31,33.17,29.87,31,63310816,
300997.SZ,ª∂¿÷º“,2021-06-03,32,32.88,25.97,26,49118003,
300997.SZ,ª∂¿÷º“,2021-06-04,24.4,25.5,22.8,22.95,36698076,
300997.SZ,ª∂¿÷º“,2021-06-07,22.35,24.09,21.7,22.5,30086610,
300997.SZ,ª∂¿÷º“,2021-06-08,22.4,22.4,20.82,20.95,29044436,
300997.SZ,ª∂¿÷º“,2021-06-09,21.01,21.55,20.76,20.95,17427059,
300997.SZ,ª∂¿÷º“,2021-06-10,20.8,20.95,20.03,20.08,20286103,
300997.SZ,ª∂¿÷º“,2021-06-11,19.99,20.88,19.9,20.44,21114220,
300997.SZ,ª∂¿÷º“,2021-06-15,20.5,20.5,18.98,19.1,19349648,
300997.SZ,ª∂¿÷º“,2021-06-16,19,19.91,18.9,19.69,17260412,
300997.SZ,ª∂¿÷º“,2021-06-17,19.37,20.66,19.12,19.82,18232647,
300997.SZ,ª∂¿÷º“,2021-06-18,20.2,22.76,19.55,21.01,28684088,
300997.SZ,ª∂¿÷º“,2021-06-21,20.81,21.69,20.65,20.76,21403442,
300997.SZ,ª∂¿÷º“,2021-06-22,20.3,21.35,20.06,20.94,18816041,
300997.SZ,ª∂¿÷º“,2021-06-23,20.79,20.79,19.72,19.75,18385162,
300997.SZ,ª∂¿÷º“,2021-06-24,19.61,19.67,19.05,19.05,11848351,
300997.SZ,ª∂¿÷º“,2021-06-25,18.99,19.47,18.95,19.44,9938773,
300997.SZ,ª∂¿÷º“,2021-06-28,19.39,19.9,19,19.71,10160553,
300997.SZ,ª∂¿÷º“,2021-06-29,19.67,20.02,19.1,19.56,11494162,
300997.SZ,ª∂¿÷º“,2021-06-30,19.37,19.47,18.73,18.76,12541627,
300997.SZ,ª∂¿÷º“,2021-07-01,18.7,21.59,18.42,20.67,27405311,
300997.SZ,ª∂¿÷º“,2021-07-02,20.26,20.82,19.35,19.37,17619930,
300997.SZ,ª∂¿÷º“,2021-07-05,19.19,19.75,18.89,19.35,10944502,
300997.SZ,ª∂¿÷º“,2021-07-06,19.15,19.61,18.92,19.37,11065242,
300997.SZ,ª∂¿÷º“,2021-07-07,19.25,23.24,19.13,23.24,48830199,
300997.SZ,ª∂¿÷º“,2021-07-08,21.74,21.85,20.42,20.67,37454555,
300997.SZ,ª∂¿÷º“,2021-07-09,20.48,20.95,20.24,20.75,17588599,
300997.SZ,ª∂¿÷º“,2021-07-12,20.66,21.22,20.38,20.98,16070839,
300997.SZ,ª∂¿÷º“,2021-07-13,20.84,22.33,20.84,21.13,21712358,
300997.SZ,ª∂¿÷º“,2021-07-14,20.79,21.6,20.28,20.95,16665199,
300997.SZ,ª∂¿÷º“,2021-07-15,20.7,21.93,20.3,21.51,21102310,
300997.SZ,ª∂¿÷º“,2021-07-16,21.23,21.36,20.44,20.47,15217549,
300997.SZ,ª∂¿÷º“,2021-07-19,20.2,20.2,19.26,19.31,12392175,
300997.SZ,ª∂¿÷º“,2021-07-20,19.18,19.95,19,19.46,8888994,
300997.SZ,ª∂¿÷º“,2021-07-21,19.2,19.69,19.2,19.66,8300125,
300997.SZ,ª∂¿÷º“,2021-07-22,19.68,19.68,19.05,19.14,9360112,
300997.SZ,ª∂¿÷º“,2021-07-23,19.12,19.29,18.39,18.39,9742152,
300997.SZ,ª∂¿÷º“,2021-07-26,18.08,18.33,16.59,17.08,12892095,
300997.SZ,ª∂¿÷º“,2021-07-27,17.11,17.34,16.34,16.48,8087855,
