ด๚ย๋,ผ๒ณฦ,ศีฦฺ,ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),
002902.SZ,ร๚ฦีนโดล,2017-09-29,16.96,20.35,16.96,20.35,16391,
002902.SZ,ร๚ฦีนโดล,2017-10-09,22.39,22.39,22.39,22.39,5472,
002902.SZ,ร๚ฦีนโดล,2017-10-10,24.63,24.63,24.63,24.63,7108,
002902.SZ,ร๚ฦีนโดล,2017-10-11,27.09,27.09,27.09,27.09,6100,
002902.SZ,ร๚ฦีนโดล,2017-10-12,29.8,29.8,29.8,29.8,9100,
002902.SZ,ร๚ฦีนโดล,2017-10-13,32.78,32.78,32.78,32.78,22290,
002902.SZ,ร๚ฦีนโดล,2017-10-16,36.06,36.06,36.06,36.06,35876,
002902.SZ,ร๚ฦีนโดล,2017-10-17,39.67,39.67,39.67,39.67,74884,
002902.SZ,ร๚ฦีนโดล,2017-10-18,43.64,43.64,43.64,43.64,107712,
002902.SZ,ร๚ฦีนโดล,2017-10-19,48,48,48,48,506245,
002902.SZ,ร๚ฦีนโดล,2017-10-20,48,48,48,48,0,
002902.SZ,ร๚ฦีนโดล,2017-10-23,48,48,48,48,0,
002902.SZ,ร๚ฦีนโดล,2017-10-24,50.96,52.8,50.01,52.8,17233732,
002902.SZ,ร๚ฦีนโดล,2017-10-25,49.88,58.08,49,58,22769496,
002902.SZ,ร๚ฦีนโดล,2017-10-26,55.2,55.6,52.2,52.2,15621845,
002902.SZ,ร๚ฦีนโดล,2017-10-27,50.52,54.5,49.8,51.34,13674143,
002902.SZ,ร๚ฦีนโดล,2017-10-30,49,50.39,46.21,46.21,11871425,
002902.SZ,ร๚ฦีนโดล,2017-10-31,44.87,46.35,44.1,45.58,8660249,
002902.SZ,ร๚ฦีนโดล,2017-11-01,46.14,47.97,45.95,46.58,10309377,
002902.SZ,ร๚ฦีนโดล,2017-11-02,45.78,48.29,44.5,47.6,10800724,
002902.SZ,ร๚ฦีนโดล,2017-11-03,46.76,47.46,45.56,46.7,7579438,
002902.SZ,ร๚ฦีนโดล,2017-11-06,47.55,50,47.3,47.69,9607495,
002902.SZ,ร๚ฦีนโดล,2017-11-07,47.77,49.59,45.5,49.34,11731105,
002902.SZ,ร๚ฦีนโดล,2017-11-08,48.88,54.27,48.68,54.27,9226867,
002902.SZ,ร๚ฦีนโดล,2017-11-09,54,58.28,51.8,55.1,19760057,
002902.SZ,ร๚ฦีนโดล,2017-11-10,54.01,60.61,53.51,58.8,20982401,
002902.SZ,ร๚ฦีนโดล,2017-11-13,57.59,60.77,56.61,58.48,16766814,
002902.SZ,ร๚ฦีนโดล,2017-11-14,57.2,58.1,55.69,56.34,11869410,
002902.SZ,ร๚ฦีนโดล,2017-11-15,55.7,57.95,55.05,56.13,10177768,
002902.SZ,ร๚ฦีนโดล,2017-11-16,54.98,55.47,50.52,50.52,10230672,
002902.SZ,ร๚ฦีนโดล,2017-11-17,48.35,49,45.47,45.47,9713805,
002902.SZ,ร๚ฦีนโดล,2017-11-20,44.18,45.87,42.3,45.46,6708546,
002902.SZ,ร๚ฦีนโดล,2017-11-21,44.96,48.5,44.47,47.6,9810281,
002902.SZ,ร๚ฦีนโดล,2017-11-22,46.6,47.88,44.5,45.91,7611307,
002902.SZ,ร๚ฦีนโดล,2017-11-23,45.8,46.79,44.7,44.71,5820764,
002902.SZ,ร๚ฦีนโดล,2017-11-24,44.22,46.08,40.28,40.32,7710077,
002902.SZ,ร๚ฦีนโดล,2017-11-27,39.6,39.6,36.9,37.45,7088217,
002902.SZ,ร๚ฦีนโดล,2017-11-28,37.72,38.96,37.5,38.58,4961908,
002902.SZ,ร๚ฦีนโดล,2017-11-29,38.58,38.58,36.1,37.41,5928969,
002902.SZ,ร๚ฦีนโดล,2017-11-30,37.66,38.82,37.33,37.99,5053747,
002902.SZ,ร๚ฦีนโดล,2017-12-01,37.5,39.58,36.66,38.88,6184839,
002902.SZ,ร๚ฦีนโดล,2017-12-04,38.15,38.38,35,35,6649920,
002902.SZ,ร๚ฦีนโดล,2017-12-05,34.53,35.87,34.1,35,4174194,
002902.SZ,ร๚ฦีนโดล,2017-12-06,34.6,37.2,34.6,36.95,6321874,
002902.SZ,ร๚ฦีนโดล,2017-12-07,36.6,38.69,35.87,37.66,7338909,
002902.SZ,ร๚ฦีนโดล,2017-12-08,37.4,40.2,37.11,38.73,7946775,
002902.SZ,ร๚ฦีนโดล,2017-12-11,38.1,39.36,38.1,38.57,4980316,
002902.SZ,ร๚ฦีนโดล,2017-12-12,38.37,38.7,36.51,36.53,5625418,
002902.SZ,ร๚ฦีนโดล,2017-12-13,36.27,39.8,36.23,39,7830388,
002902.SZ,ร๚ฦีนโดล,2017-12-14,38.8,39.89,38,39.8,7710410,
002902.SZ,ร๚ฦีนโดล,2017-12-15,39.18,40.69,38.7,38.94,6534941,
002902.SZ,ร๚ฦีนโดล,2017-12-18,39.58,42.1,39.11,39.63,6147238,
002902.SZ,ร๚ฦีนโดล,2017-12-19,39.1,41.48,39.1,40.99,6970192,
002902.SZ,ร๚ฦีนโดล,2017-12-20,40.56,40.95,39.46,39.88,5275692,
002902.SZ,ร๚ฦีนโดล,2017-12-21,39.3,41.48,39.3,40.55,6774673,
002902.SZ,ร๚ฦีนโดล,2017-12-22,40.13,40.78,39.3,39.49,4848522,
002902.SZ,ร๚ฦีนโดล,2017-12-25,39.48,39.48,36.23,37.91,5401539,
002902.SZ,ร๚ฦีนโดล,2017-12-26,38,40.59,37.88,40.18,7369153,
002902.SZ,ร๚ฦีนโดล,2017-12-27,39.89,41.2,39.2,40.35,7878402,
002902.SZ,ร๚ฦีนโดล,2017-12-28,39.59,42.28,39.3,41.34,7696221,
002902.SZ,ร๚ฦีนโดล,2017-12-29,40.87,43.48,40.5,42.52,10224898,
002902.SZ,ร๚ฦีนโดล,2018-01-02,42.01,42.7,41.52,42.29,5656268,
002902.SZ,ร๚ฦีนโดล,2018-01-03,42.39,42.39,40.6,41.13,5794425,
002902.SZ,ร๚ฦีนโดล,2018-01-04,40.8,41.58,40.3,40.5,4172059,
002902.SZ,ร๚ฦีนโดล,2018-01-05,40.51,41.3,39.8,39.93,3768119,
002902.SZ,ร๚ฦีนโดล,2018-01-08,39.8,40.16,38.41,39.92,4244249,
002902.SZ,ร๚ฦีนโดล,2018-01-09,39.62,42,39.51,41.71,7440224,
002902.SZ,ร๚ฦีนโดล,2018-01-10,41.5,41.5,39.68,40.32,4848462,
002902.SZ,ร๚ฦีนโดล,2018-01-11,39.8,44.35,39.78,42.4,9987848,
002902.SZ,ร๚ฦีนโดล,2018-01-12,42.1,42.49,40.72,41.75,6419791,
002902.SZ,ร๚ฦีนโดล,2018-01-15,41.3,41.47,39.68,40.3,4492898,
002902.SZ,ร๚ฦีนโดล,2018-01-16,39.91,41.98,39.88,41.49,5475597,
002902.SZ,ร๚ฦีนโดล,2018-01-17,42.21,44.43,41.71,43,9152469,
002902.SZ,ร๚ฦีนโดล,2018-01-18,42.45,42.75,41.72,41.91,4880118,
002902.SZ,ร๚ฦีนโดล,2018-01-19,42.66,46,42.6,42.65,9226961,
002902.SZ,ร๚ฦีนโดล,2018-01-22,42.62,44.44,40.61,44.07,8167314,
002902.SZ,ร๚ฦีนโดล,2018-01-23,44.07,45.5,42.86,43.72,7112910,
002902.SZ,ร๚ฦีนโดล,2018-01-24,43,44.7,42.5,44.65,6344065,
002902.SZ,ร๚ฦีนโดล,2018-01-25,44.26,46.2,44.01,44.54,7872028,
002902.SZ,ร๚ฦีนโดล,2018-01-26,43.8,44.37,42.62,42.73,5291441,
002902.SZ,ร๚ฦีนโดล,2018-01-29,42.36,43.1,40.73,41.17,4652388,
002902.SZ,ร๚ฦีนโดล,2018-01-30,40.7,41.44,39.11,39.42,4291184,
002902.SZ,ร๚ฦีนโดล,2018-01-31,39.02,39.49,35.95,35.98,4644716,
002902.SZ,ร๚ฦีนโดล,2018-02-01,36,36.6,34.1,34.46,3655230,
002902.SZ,ร๚ฦีนโดล,2018-02-02,34.51,35.2,32.81,34.31,2289107,
002902.SZ,ร๚ฦีนโดล,2018-02-05,33,34.96,33,33.38,2071552,
002902.SZ,ร๚ฦีนโดล,2018-02-06,32.2,32.41,30.04,30.04,3272391,
002902.SZ,ร๚ฦีนโดล,2018-02-07,30.87,31.02,28.31,30.39,3070963,
002902.SZ,ร๚ฦีนโดล,2018-02-08,30.05,31.82,30.03,30.96,3018857,
002902.SZ,ร๚ฦีนโดล,2018-02-09,29.57,30.2,28.52,28.93,2570776,
