╢ЗбК,╪РЁф,хуфз,©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),
002141.SZ,ом╥А©ь╧и,2015-01-05,31.9001,32.7293,31.9001,32.5911,2228990,
002141.SZ,ом╥А©ь╧и,2015-01-06,32.5911,32.5911,31.5546,32.4529,1349828,
002141.SZ,ом╥А©ь╧и,2015-01-07,31.9001,32.6832,31.9001,32.6602,1268601,
002141.SZ,ом╥А©ь╧и,2015-01-08,32.6602,32.7062,32.1074,32.4759,1212257,
002141.SZ,ом╥А©ь╧и,2015-01-09,32.4759,32.6141,31.9692,32.1765,896502,
002141.SZ,ом╥А©ь╧и,2015-01-12,31.7619,32.1765,31.6698,32.1765,930303,
002141.SZ,ом╥А©ь╧и,2015-01-13,32.1995,32.1995,31.854,32.0613,668962,
002141.SZ,ом╥А©ь╧и,2015-01-14,32.0153,32.0153,31.6467,31.9922,727547,
002141.SZ,ом╥А©ь╧и,2015-01-15,31.9692,32.3377,31.6928,32.2456,1053743,
002141.SZ,ом╥А©ь╧и,2015-01-16,32.2456,32.4298,31.831,32.3607,1596881,
002141.SZ,ом╥А©ь╧и,2015-01-19,32.0844,32.6141,31.3473,32.1995,2421002,
002141.SZ,ом╥А©ь╧и,2015-01-20,32.0153,32.6832,32.0153,32.6602,2788006,
002141.SZ,ом╥А©ь╧и,2015-01-21,32.7753,34.5258,32.7753,34.1112,5042343,
002141.SZ,ом╥А©ь╧и,2015-01-22,34.3185,35.1477,33.6506,34.687,5145121,
002141.SZ,ом╥А©ь╧и,2015-01-23,34.7101,35.9769,33.6045,34.7331,5341807,
002141.SZ,ом╥А©ь╧и,2015-01-26,34.8022,35.355,34.1573,34.8483,2284341,
002141.SZ,ом╥А©ь╧и,2015-01-27,35.3319,35.3319,33.8579,34.2494,2619627,
002141.SZ,ом╥А©ь╧и,2015-01-28,34.2034,34.8943,33.6506,34.7561,3037326,
002141.SZ,ом╥А©ь╧и,2015-01-29,34.6179,35.2859,33.8579,35.1477,2582576,
002141.SZ,ом╥А©ь╧и,2015-01-30,35.3319,35.3319,34.3876,35.0556,2601005,
002141.SZ,ом╥А©ь╧и,2015-02-02,34.8483,36.5987,34.2264,36.1611,4617148,
002141.SZ,ом╥А©ь╧и,2015-02-03,35.8387,38.0728,35.6774,37.7273,4530075,
002141.SZ,ом╥А©ь╧и,2015-02-04,37.4279,40.0076,37.0824,37.8195,8202879,
002141.SZ,ом╥А©ь╧и,2015-02-05,37.7504,37.7734,36.76,37.1515,3129983,
002141.SZ,ом╥А©ь╧и,2015-02-06,36.76,37.2436,36.1842,36.2532,1757560,
002141.SZ,ом╥А©ь╧и,2015-02-09,36.2072,36.8291,35.7465,36.4375,1265239,
002141.SZ,ом╥А©ь╧и,2015-02-10,36.3223,36.4836,35.9308,36.4375,958854,
002141.SZ,ом╥А©ь╧и,2015-02-11,36.4375,37.2436,35.2398,35.6774,1561823,
002141.SZ,ом╥А©ь╧и,2015-02-12,35.8617,36.3684,35.0095,35.7005,1906269,
002141.SZ,ом╥А©ь╧и,2015-02-13,35.7235,36.3223,35.6083,35.8617,1673968,
002141.SZ,ом╥А©ь╧и,2015-02-16,35.8156,36.092,35.7005,35.8617,1499434,
002141.SZ,ом╥А©ь╧и,2015-02-17,35.9308,36.4375,35.5853,36.2763,2075577,
002141.SZ,ом╥А©ь╧и,2015-02-25,36.6218,38.879,36.2763,38.2801,4190582,
002141.SZ,ом╥А©ь╧и,2015-02-26,37.9807,38.8099,37.5661,38.4183,2068294,
002141.SZ,ом╥А©ь╧и,2015-02-27,37.8425,38.3953,37.3588,37.7734,1862166,
002141.SZ,ом╥А©ь╧и,2015-03-02,37.6813,37.7043,36.8521,37.1515,2310218,
002141.SZ,ом╥А©ь╧и,2015-03-03,37.1746,37.1746,36.3454,36.4605,2496598,
002141.SZ,ом╥А©ь╧и,2015-03-04,36.4605,36.6678,35.7005,36.2763,2570067,
002141.SZ,ом╥А©ь╧и,2015-03-05,35.8156,38.165,35.8156,37.7734,5480342,
002141.SZ,ом╥А©ь╧и,2015-03-06,37.8195,39.0172,37.0824,38.8329,7176151,
002141.SZ,ом╥А©ь╧и,2015-03-09,38.8099,38.8099,37.3127,37.7043,4204513,
002141.SZ,ом╥А©ь╧и,2015-03-10,37.4279,38.1419,37.0133,37.8195,2156707,
002141.SZ,ом╥А©ь╧и,2015-03-11,37.7043,37.8195,37.1055,37.4279,2472794,
002141.SZ,ом╥А©ь╧и,2015-03-12,37.4279,37.8195,37.2897,37.474,1537207,
002141.SZ,ом╥А©ь╧и,2015-03-13,37.474,37.8195,37.3127,37.7273,1808204,
002141.SZ,ом╥А©ь╧и,2015-03-16,37.7043,38.1189,37.4049,37.9116,3478011,
002141.SZ,ом╥А©ь╧и,2015-03-17,38.1189,38.211,37.3588,37.6582,5655239,
002141.SZ,ом╥А©ь╧и,2015-03-18,37.5431,38.0037,37.2206,37.7273,5886408,
002141.SZ,ом╥А©ь╧и,2015-03-19,37.7964,40.7446,37.7964,40.1688,10352703,
002141.SZ,ом╥А©ь╧и,2015-03-20,40.0767,40.0767,38.9481,39.3166,5686719,
002141.SZ,ом╥А©ь╧и,2015-03-23,39.1554,40.1458,39.1093,39.5699,5123411,
002141.SZ,ом╥А©ь╧и,2015-03-24,39.5699,42.5872,38.6026,41.5507,11761772,
002141.SZ,ом╥А©ь╧и,2015-03-25,41.9423,43.9922,40.5373,43.2551,12920924,
002141.SZ,ом╥А©ь╧и,2015-03-26,42.6102,43.5085,41.4586,41.712,6781237,
