ด๚ย๋,ผ๒ณฦ,ศีฦฺ,ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),
002334.SZ,ำขอþฬฺ,2015-01-05,82.9183,83.9392,80.3094,83.4854,5623131,
002334.SZ,ำขอþฬฺ,2015-01-06,82.8048,85.9242,81.9541,85.5272,5729158,
002334.SZ,ำขอþฬฺ,2015-01-07,85.8675,86.5481,83.0884,84.4496,4728798,
002334.SZ,ำขอþฬฺ,2015-01-08,83.9959,84.9033,83.372,83.5989,4046965,
002334.SZ,ำขอþฬฺ,2015-01-09,83.2019,84.2795,82.578,82.578,3762753,
002334.SZ,ำขอþฬฺ,2015-01-12,82.181,82.2377,80.4228,81.0467,4025207,
002334.SZ,ำขอþฬฺ,2015-01-13,81.6705,87.4555,81.1601,86.7182,10055347,
002334.SZ,ำขอþฬฺ,2015-01-14,87.0018,88.4197,85.0735,85.5272,6526008,
002334.SZ,ำขอþฬฺ,2015-01-15,85.5839,87.0585,84.563,85.3003,3215855,
002334.SZ,ำขอþฬฺ,2015-01-16,85.3003,87.0018,84.96,86.3212,3688669,
002334.SZ,ำขอþฬฺ,2015-01-19,85.0735,88.76,83.9392,85.4138,6255339,
002334.SZ,ำขอþฬฺ,2015-01-20,85.6406,88.7033,85.5839,88.7033,8985438,
002334.SZ,ำขอþฬฺ,2015-01-21,88.5331,90.1779,87.6257,89.1003,8164548,
002334.SZ,ำขอþฬฺ,2015-01-22,89.4973,89.6107,87.4555,89.1003,7827261,
002334.SZ,ำขอþฬฺ,2015-01-23,89.3271,89.3839,86.6615,87.1152,6978067,
002334.SZ,ำขอþฬฺ,2015-01-26,87.2287,89.4406,87.1152,89.3271,5889188,
002334.SZ,ำขอþฬฺ,2015-01-27,89.3271,90.348,87.7391,88.9301,5604715,
002334.SZ,ำขอþฬฺ,2015-01-28,88.4197,91.3122,87.7958,90.0077,7473714,
002334.SZ,ำขอþฬฺ,2015-01-29,89.6107,90.6316,88.4764,88.6466,4226354,
002334.SZ,ำขอþฬฺ,2015-01-30,88.7033,90.4047,87.6257,87.9093,3872644,
002334.SZ,ำขอþฬฺ,2015-02-02,86.8317,88.2496,86.2645,86.7749,3005658,
002334.SZ,ำขอþฬฺ,2015-02-03,87.6257,89.3839,86.9451,89.3839,3988936,
002334.SZ,ำขอþฬฺ,2015-02-04,89.6674,91.3122,88.76,91.0286,8591909,
002334.SZ,ำขอþฬฺ,2015-02-05,91.0286,93.2972,90.2346,90.5182,7722652,
002334.SZ,ำขอþฬฺ,2015-02-06,89.6674,91.3122,87.1152,88.1928,4773947,
002334.SZ,ำขอþฬฺ,2015-02-09,87.9093,88.7033,86.6048,86.7749,2680350,
002334.SZ,ำขอþฬฺ,2015-02-10,86.7749,88.5898,86.3212,88.4764,2344360,
002334.SZ,ำขอþฬฺ,2015-02-11,88.1928,92.7301,88.1928,91.7659,7855794,
002334.SZ,ำขอþฬฺ,2015-02-12,91.7659,92.4465,90.6883,92.1629,4972057,
002334.SZ,ำขอþฬฺ,2015-02-13,92.1629,94.2047,91.9361,92.7301,6107726,
002334.SZ,ำขอþฬฺ,2015-02-16,92.7301,95.5659,92.7301,94.2614,5698895,
002334.SZ,ำขอþฬฺ,2015-02-17,94.4316,94.8286,93.4107,94.148,4012616,
002334.SZ,ำขอþฬฺ,2015-02-25,93.9778,96.133,92.5032,93.1271,5983818,
002334.SZ,ำขอþฬฺ,2015-02-26,93.1271,93.8644,91.9361,93.5241,4365374,
002334.SZ,ำขอþฬฺ,2015-02-27,93.9778,97.0405,93.9211,96.4733,9435631,
002334.SZ,ำขอþฬฺ,2015-03-02,96.927,98.7419,95.9062,97.3808,10231376,
002334.SZ,ำขอþฬฺ,2015-03-03,97.4375,97.6643,96.0196,96.1897,7179594,
002334.SZ,ำขอþฬฺ,2015-03-04,96.1897,98.5151,96.133,97.7778,5950795,
002334.SZ,ำขอþฬฺ,2015-03-05,98.4584,98.4584,95.2823,96.4733,6196545,
002334.SZ,ำขอþฬฺ,2015-03-06,97.3241,100.2166,96.0196,96.3032,7061163,
002334.SZ,ำขอþฬฺ,2015-03-09,95.8494,103.6762,94.7719,102.315,17379306,
002334.SZ,ำขอþฬฺ,2015-03-10,102.2583,104.0732,100.727,103.6195,11832872,
002334.SZ,ำขอþฬฺ,2015-03-11,103.2792,104.3568,101.521,104.3568,10386305,
002334.SZ,ำขอþฬฺ,2015-03-12,104.5269,104.6971,100.9539,102.0882,7340469,
002334.SZ,ำขอþฬฺ,2015-03-13,102.6553,103.2225,100.2733,102.1449,6448654,
002334.SZ,ำขอþฬฺ,2015-03-16,102.5419,108.497,102.5419,107.3627,11250616,
002334.SZ,ำขอþฬฺ,2015-03-17,107.4762,110.0851,106.6821,107.9866,12040824,
002334.SZ,ำขอþฬฺ,2015-03-18,107.9866,109.4612,106.512,109.0642,8199432,
002334.SZ,ำขอþฬฺ,2015-03-19,109.4612,119.9536,107.8165,119.9536,24451149,
002334.SZ,ำขอþฬฺ,2015-03-20,119.9536,124.1506,118.4223,123.4133,17140699,
002334.SZ,ำขอþฬฺ,2015-03-23,123.5834,128.8012,121.3715,126.1923,16729183,
002334.SZ,ำขอþฬฺ,2015-03-24,128.6311,129.8788,119.1029,128.5177,19487102,
002334.SZ,ำขอþฬฺ,2015-03-25,126.9296,132.8848,125.2282,132.6012,23161941,
002334.SZ,ำขอþฬฺ,2015-03-26,132.1475,135.5504,124.7744,132.9415,22161040,
002334.SZ,ำขอþฬฺ,2015-03-27,140.6548,142.4697,132.9982,135.6638,17235009,
002334.SZ,ำขอþฬฺ,2015-03-30,135.6638,138.8966,132.7146,134.643,15888913,
002334.SZ,ำขอþฬฺ,2015-03-31,133.8489,137.7623,132.1475,136.1176,11457954,
002334.SZ,ำขอþฬฺ,2015-04-01,139.2369,146.7234,139.2369,144.7951,14077488,
002334.SZ,ำขอþฬฺ,2015-04-02,144.7951,149.6726,144.6249,148.2547,11969384,
002334.SZ,ำขอþฬฺ,2015-04-03,146.8935,162.7172,145.3055,159.2575,12009540,
002334.SZ,ำขอþฬฺ,2015-04-07,160.3919,164.1351,156.0248,161.2426,12757928,
002334.SZ,ำขอþฬฺ,2015-04-08,161.2426,166.4604,154.38,157.3292,13483649,
002334.SZ,ำขอþฬฺ,2015-04-09,157.3859,158.3501,143.8309,150.7502,15095791,
002334.SZ,ำขอþฬฺ,2015-04-10,150.2965,155.4009,148.0278,154.5501,10169519,
002334.SZ,ำขอþฬฺ,2015-04-13,155.2874,164.1918,155.2874,158.1799,14727664,
002334.SZ,ำขอþฬฺ,2015-04-14,157.1024,157.6128,150.2965,152.7352,13771397,
002334.SZ,ำขอþฬฺ,2015-04-15,151.4308,151.4308,142.3563,142.4697,11969193,
002334.SZ,ำขอþฬฺ,2015-04-16,140.0877,148.2547,137.819,144.2846,8845452,
002334.SZ,ำขอþฬฺ,2015-04-17,144.5115,148.4816,143.8876,144.2846,9753035,
002334.SZ,ำขอþฬฺ,2015-04-20,144.3413,144.6816,136.1176,136.1176,11901208,
002334.SZ,ำขอþฬฺ,2015-04-21,136.0608,142.8667,135.6638,142.81,8129985,
002334.SZ,ำขอþฬฺ,2015-04-22,144.1712,148.3681,144.1712,147.7443,13038910,
