旗鷹,酒各,晩豚,蝕徒勺(圷),恷互勺(圷),恷詰勺(圷),辺徒勺(圷),撹住楚(紘),
301165.SZ,費楯利大,2022-11-21,33.5,43.18,33.38,37.5,33120523,
301165.SZ,費楯利大,2022-11-22,39.19,44.98,38.66,44,28076773,
301165.SZ,費楯利大,2022-11-23,41.3,41.65,38.4,38.7,20449115,
301165.SZ,費楯利大,2022-11-24,37.5,40.2,37.3,39.3,15944314,
301165.SZ,費楯利大,2022-11-25,38.88,40.58,37.11,37.12,13171132,
301165.SZ,費楯利大,2022-11-28,35.7,38.35,35.1,37.6,11282774,
301165.SZ,費楯利大,2022-11-29,37.19,38.78,36.55,37.8,12076360,
301165.SZ,費楯利大,2022-11-30,37.22,39.75,36.4,39.14,13518400,
301165.SZ,費楯利大,2022-12-01,38.73,40.97,38.72,39.17,13231233,
301165.SZ,費楯利大,2022-12-02,38.51,40.18,37.51,37.79,11555731,
301165.SZ,費楯利大,2022-12-05,37.6,40.58,37.58,40.18,13092235,
301165.SZ,費楯利大,2022-12-06,39.75,41.2,38.74,39.35,9519350,
301165.SZ,費楯利大,2022-12-07,39.02,39.3,38.23,38.41,5918983,
301165.SZ,費楯利大,2022-12-08,38.48,39.12,37.71,37.86,5788319,
301165.SZ,費楯利大,2022-12-09,37.88,38.28,36.05,36.14,8831520,
301165.SZ,費楯利大,2022-12-12,36.11,36.85,35.7,36.38,4600469,
301165.SZ,費楯利大,2022-12-13,36.14,36.3,35.21,35.34,5169146,
301165.SZ,費楯利大,2022-12-14,35.19,35.78,35.07,35.26,3421642,
301165.SZ,費楯利大,2022-12-15,35.48,35.96,34.82,35.38,4227112,
301165.SZ,費楯利大,2022-12-16,35.02,35.13,33.83,33.9,5329033,
301165.SZ,費楯利大,2022-12-19,33.92,35.12,33.9,34.31,3915731,
301165.SZ,費楯利大,2022-12-20,34.58,35.67,34.58,35.34,5583411,
301165.SZ,費楯利大,2022-12-21,34.71,34.99,33.44,34.05,4127770,
301165.SZ,費楯利大,2022-12-22,34.76,34.78,33.8,34.12,3189519,
