╢ЗбК,╪РЁф,хуфз,©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),
002918.SZ,цидхюЖи╞,2017-12-19,37.55,45.06,37.55,45.06,30289,
002918.SZ,цидхюЖи╞,2017-12-20,49.57,49.57,49.57,49.57,18152,
002918.SZ,цидхюЖи╞,2017-12-21,54.53,54.53,54.53,54.53,43982,
002918.SZ,цидхюЖи╞,2017-12-22,59.98,59.98,56.01,59.98,15900128,
002918.SZ,цидхюЖи╞,2017-12-25,61,64.84,58.88,60.7,19917520,
002918.SZ,цидхюЖи╞,2017-12-26,58,63.51,57.31,61.41,15716970,
002918.SZ,цидхюЖи╞,2017-12-27,61.69,67.2,60.38,64.97,19470669,
002918.SZ,цидхюЖи╞,2017-12-28,62.51,64.07,60,60.76,14709156,
002918.SZ,цидхюЖи╞,2017-12-29,60.11,60.34,55.01,55.7,12830944,
002918.SZ,цидхюЖи╞,2018-01-02,56.2,57.66,55.61,56.78,6860197,
002918.SZ,цидхюЖи╞,2018-01-03,56.49,58.97,54.51,57.55,10290407,
002918.SZ,цидхюЖи╞,2018-01-04,56.8,58.44,56.08,56.66,6354371,
002918.SZ,цидхюЖи╞,2018-01-05,56.2,58.97,55.8,57.89,8986603,
002918.SZ,цидхюЖи╞,2018-01-08,58.21,61.54,58.21,59.3,9105453,
002918.SZ,цидхюЖи╞,2018-01-09,59.18,59.29,57.23,58.26,6669680,
002918.SZ,цидхюЖи╞,2018-01-10,58.02,60.96,57.38,60.5,9859700,
002918.SZ,цидхюЖи╞,2018-01-11,60,60.98,58.79,59.87,7761114,
002918.SZ,цидхюЖи╞,2018-01-12,59.58,59.78,56.8,56.84,8070138,
002918.SZ,цидхюЖи╞,2018-01-15,56.04,56.45,52.23,52.83,6403672,
002918.SZ,цидхюЖи╞,2018-01-16,52.61,54.87,52.61,53.86,4189518,
002918.SZ,цидхюЖи╞,2018-01-17,54.08,54.8,53.01,54.25,4086720,
002918.SZ,цидхюЖи╞,2018-01-18,54.42,54.83,53.72,53.83,3048674,
002918.SZ,цидхюЖи╞,2018-01-19,53.79,54.75,53.48,53.68,3560383,
002918.SZ,цидхюЖи╞,2018-01-22,52.78,53.28,51.77,52.54,3821674,
002918.SZ,цидхюЖи╞,2018-01-23,52.6,53.43,52.25,53.41,3379560,
002918.SZ,цидхюЖи╞,2018-01-24,53.56,54.28,52.81,53.88,3590287,
002918.SZ,цидхюЖи╞,2018-01-25,53.5,54.4,52.88,52.96,3497364,
002918.SZ,цидхюЖи╞,2018-01-26,52.5,52.85,51.5,51.56,3843475,
002918.SZ,цидхюЖи╞,2018-01-29,51.55,52.77,51.31,52.32,3109157,
002918.SZ,цидхюЖи╞,2018-01-30,52.37,52.58,51.65,51.81,1898343,
002918.SZ,цидхюЖи╞,2018-01-31,51.8,52.88,51.3,51.95,3071592,
