¥˙¬Î,ºÚ≥∆,»’∆⁄,ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),
920946.BJ,…≠›Ê“Ω“©,2020-07-27,8.41,9.5,6,6.35,31450017,
920946.BJ,…≠›Ê“Ω“©,2020-07-28,6.37,6.6,5.57,6.4,14886064,
920946.BJ,…≠›Ê“Ω“©,2020-07-29,6.29,7.48,6.22,7.04,14823418,
920946.BJ,…≠›Ê“Ω“©,2020-07-30,7.16,7.44,7.07,7.16,9691815,
920946.BJ,…≠›Ê“Ω“©,2020-07-31,7.17,7.34,6.9,7.22,5551764,
920946.BJ,…≠›Ê“Ω“©,2020-08-03,7.3,7.34,7.2,7.27,5682290,
920946.BJ,…≠›Ê“Ω“©,2020-08-04,7.22,7.31,6.85,7.02,5156740,
920946.BJ,…≠›Ê“Ω“©,2020-08-05,7.01,7.13,6.85,6.88,3486150,
920946.BJ,…≠›Ê“Ω“©,2020-08-06,6.94,6.95,6.51,6.6,3851015,
920946.BJ,…≠›Ê“Ω“©,2020-08-07,6.63,6.63,6.28,6.34,2734925,
920946.BJ,…≠›Ê“Ω“©,2020-08-10,6.35,6.44,6.3,6.4,1098156,
920946.BJ,…≠›Ê“Ω“©,2020-08-11,6.41,6.5,6.23,6.27,1359885,
920946.BJ,…≠›Ê“Ω“©,2020-08-12,6.27,6.34,6.03,6.14,1911942,
920946.BJ,…≠›Ê“Ω“©,2020-08-13,6.14,6.25,6.08,6.18,1168503,
920946.BJ,…≠›Ê“Ω“©,2020-08-14,6.18,6.2,5.98,6.07,1123883,
920946.BJ,…≠›Ê“Ω“©,2020-08-17,6.07,6.14,6.04,6.13,997566,
920946.BJ,…≠›Ê“Ω“©,2020-08-18,6.12,6.13,6.04,6.04,779827,
920946.BJ,…≠›Ê“Ω“©,2020-08-19,6.05,6.07,5.91,5.93,1352831,
920946.BJ,…≠›Ê“Ω“©,2020-08-20,5.9,5.95,5.72,5.8,1393270,
920946.BJ,…≠›Ê“Ω“©,2020-08-21,5.78,5.83,5.76,5.78,997263,
920946.BJ,…≠›Ê“Ω“©,2020-08-24,5.84,5.87,5.73,5.76,523408,
920946.BJ,…≠›Ê“Ω“©,2020-08-25,5.77,5.86,5.75,5.82,769952,
920946.BJ,…≠›Ê“Ω“©,2020-08-26,5.83,6.18,5.83,6.06,1829954,
920946.BJ,…≠›Ê“Ω“©,2020-08-27,6.06,6.09,5.98,6.09,707996,
920946.BJ,…≠›Ê“Ω“©,2020-08-28,6.01,6.1,6.01,6.1,982378,
920946.BJ,…≠›Ê“Ω“©,2020-08-31,6.12,6.14,6.03,6.1,1043008,
920946.BJ,…≠›Ê“Ω“©,2020-09-01,6.11,6.13,6,6.07,1648171,
920946.BJ,…≠›Ê“Ω“©,2020-09-02,6.05,6.05,5.95,6.03,986693,
920946.BJ,…≠›Ê“Ω“©,2020-09-03,5.97,6.04,5.95,6.04,717138,
920946.BJ,…≠›Ê“Ω“©,2020-09-04,5.98,6.04,5.92,6.02,413301,
920946.BJ,…≠›Ê“Ω“©,2020-09-07,6,6.03,5.89,5.91,651024,
920946.BJ,…≠›Ê“Ω“©,2020-09-08,5.91,5.94,5.78,5.84,744058,
920946.BJ,…≠›Ê“Ω“©,2020-09-09,5.81,5.83,5.69,5.73,1713133,
920946.BJ,…≠›Ê“Ω“©,2020-09-10,5.75,5.75,5.55,5.59,1162572,
