測鎢,潠備,�梪�,羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),
688530.SH,韁應陔第,2024-05-09,26.51,27.27,23.5,25.87,22447067,
688530.SH,韁應陔第,2024-05-10,24.5,24.85,22.8,22.85,15059226,
688530.SH,韁應陔第,2024-05-13,22.8,23.51,22.22,22.45,9179841,
688530.SH,韁應陔第,2024-05-14,23.15,23.5,22.47,22.9,11730266,
688530.SH,韁應陔第,2024-05-15,23,23.48,21.91,21.96,11629404,
688530.SH,韁應陔第,2024-05-16,21.3,21.5,20.73,20.96,9390882,
688530.SH,韁應陔第,2024-05-17,21.16,21.66,20.97,21.18,7513089,
688530.SH,韁應陔第,2024-05-20,21.61,22,21.35,21.49,7447871,
688530.SH,韁應陔第,2024-05-21,21.3,22.18,21.03,21.81,7383749,
688530.SH,韁應陔第,2024-05-22,21.57,22.99,21.49,22.44,8762260,
688530.SH,韁應陔第,2024-05-23,22.22,22.95,21.78,21.89,8778457,
688530.SH,韁應陔第,2024-05-24,21.44,21.71,20.27,20.53,7717062,
688530.SH,韁應陔第,2024-05-27,20.53,21.29,19.73,21.28,6852574,
688530.SH,韁應陔第,2024-05-28,21.03,21.71,20.43,20.43,5200053,
688530.SH,韁應陔第,2024-05-29,20.2,20.9,20.05,20.47,3862046,
688530.SH,韁應陔第,2024-05-30,20.45,20.81,20.22,20.59,3843514,
688530.SH,韁應陔第,2024-05-31,20.57,20.75,20.38,20.62,3543409,
688530.SH,韁應陔第,2024-06-03,20.59,20.89,19.97,20.31,3411776,
688530.SH,韁應陔第,2024-06-04,20.22,21,19.8,20.89,5355481,
688530.SH,韁應陔第,2024-06-05,20.75,21.91,20.75,21.35,6943747,
688530.SH,韁應陔第,2024-06-06,21.3,21.95,20.21,20.36,5660056,
688530.SH,韁應陔第,2024-06-07,20.49,21.22,20.13,20.55,4183629,
688530.SH,韁應陔第,2024-06-11,20.64,21.88,20.07,21.83,6699999,
688530.SH,韁應陔第,2024-06-12,21.9,21.93,21.19,21.35,5223518,
688530.SH,韁應陔第,2024-06-13,21.57,25.62,21.37,25.62,17372604,
688530.SH,韁應陔第,2024-06-14,27.27,27.94,23.4,23.58,18519829,
688530.SH,韁應陔第,2024-06-17,23.12,23.6,22.4,22.89,10018330,
688530.SH,韁應陔第,2024-06-18,22.98,23.6,22.6,23,9689451,
688530.SH,韁應陔第,2024-06-19,22.81,23.5,21.98,22.93,10168118,
688530.SH,韁應陔第,2024-06-20,22.68,25.96,22.6,23.42,14343879,
688530.SH,韁應陔第,2024-06-21,23.01,23.34,21.76,21.96,9398337,
688530.SH,韁應陔第,2024-06-24,21.75,22.27,20.38,20.66,7216445,
688530.SH,韁應陔第,2024-06-25,20.73,20.83,20.22,20.55,3994175,
688530.SH,韁應陔第,2024-06-26,20.59,21.24,20.09,21.05,4058667,
688530.SH,韁應陔第,2024-06-27,20.78,21.2,20.21,20.4,4224031,
688530.SH,韁應陔第,2024-06-28,20.25,21.06,20.2,20.55,3627005,
688530.SH,韁應陔第,2024-07-01,20.51,20.85,19.81,20.34,3802387,
688530.SH,韁應陔第,2024-07-02,20.24,20.43,19.62,19.65,2810101,
688530.SH,韁應陔第,2024-07-03,19.7,20.07,19.17,19.71,3596562,
688530.SH,韁應陔第,2024-07-04,19.6,19.94,18.91,18.92,3023904,
688530.SH,韁應陔第,2024-07-05,18.81,19.28,18.67,18.95,2343986,
688530.SH,韁應陔第,2024-07-08,19,19.7,18.92,19.1,3181401,
688530.SH,韁應陔第,2024-07-09,18.78,19.85,18.78,19.71,3625717,
688530.SH,韁應陔第,2024-07-10,19.78,19.78,19.22,19.41,2766926,
688530.SH,韁應陔第,2024-07-11,20,20.29,19.61,19.92,3783727,
688530.SH,韁應陔第,2024-07-12,19.7,20.08,19.53,19.82,2813601,
688530.SH,韁應陔第,2024-07-15,19.63,19.97,19.33,19.5,2167746,
688530.SH,韁應陔第,2024-07-16,19.3,19.82,19.17,19.68,2092784,
688530.SH,韁應陔第,2024-07-17,19.59,19.79,19.24,19.29,1800681,
688530.SH,韁應陔第,2024-07-18,19.1,19.53,18.53,19.34,3353984,
688530.SH,韁應陔第,2024-07-19,19.19,20.44,19.03,20.01,4684356,
688530.SH,韁應陔第,2024-07-22,19.66,20.17,19.66,19.96,2459806,
688530.SH,韁應陔第,2024-07-23,19.86,19.95,19.2,19.21,2710564,
688530.SH,韁應陔第,2024-07-24,19.09,19.41,18.61,18.65,1955375,
688530.SH,韁應陔第,2024-07-25,18.42,18.73,18.11,18.4,2054256,
688530.SH,韁應陔第,2024-07-26,18.35,18.67,18.31,18.52,1564589,
688530.SH,韁應陔第,2024-07-29,18.53,18.54,18.09,18.12,2207830,
688530.SH,韁應陔第,2024-07-30,18.18,18.53,17.91,18.36,2007775,
688530.SH,韁應陔第,2024-07-31,18.33,18.98,18.15,18.9,2556573,
688530.SH,韁應陔第,2024-08-01,19.17,19.23,18.65,18.94,2675636,
688530.SH,韁應陔第,2024-08-02,18.8,18.92,18.39,18.41,1896631,
688530.SH,韁應陔第,2024-08-05,18.3,18.48,17.67,17.68,2137907,
688530.SH,韁應陔第,2024-08-06,17.8,18.05,17.69,17.91,1358846,
688530.SH,韁應陔第,2024-08-07,17.82,18.01,17.69,17.74,1240902,
688530.SH,韁應陔第,2024-08-08,17.77,18.07,17.34,17.86,2179014,
688530.SH,韁應陔第,2024-08-09,18.05,18.25,17.69,17.72,1688235,
688530.SH,韁應陔第,2024-08-12,17.67,17.95,17.42,17.58,1539318,
688530.SH,韁應陔第,2024-08-13,17.51,17.82,17.25,17.7,1825582,
688530.SH,韁應陔第,2024-08-14,17.68,17.72,17.44,17.44,978741,
688530.SH,韁應陔第,2024-08-15,17.4,17.65,17.28,17.35,1466460,
688530.SH,韁應陔第,2024-08-16,17.48,17.55,16.9,16.9,1944894,
688530.SH,韁應陔第,2024-08-19,17.39,17.58,16.8,16.9,1545787,
688530.SH,韁應陔第,2024-08-20,16.8,16.99,16.3,16.55,1928960,
688530.SH,韁應陔第,2024-08-21,16.28,16.6,16.28,16.44,1276355,
688530.SH,韁應陔第,2024-08-22,16.51,16.51,16.03,16.1,1128240,
688530.SH,韁應陔第,2024-08-23,16.35,16.35,15.92,15.94,1077141,
688530.SH,韁應陔第,2024-08-26,16.07,16.09,15.89,15.95,1132521,
688530.SH,韁應陔第,2024-08-27,15.95,15.95,15.29,15.36,1803270,
688530.SH,韁應陔第,2024-08-28,15.36,15.58,15.29,15.51,1241819,
688530.SH,韁應陔第,2024-08-29,15.51,15.75,15.27,15.66,1515853,
688530.SH,韁應陔第,2024-08-30,15.4,16.08,15.34,15.76,2468539,
688530.SH,韁應陔第,2024-09-02,16,16.02,15.1,15.14,1923314,
688530.SH,韁應陔第,2024-09-03,15.14,15.39,15.04,15.1,1301360,
688530.SH,韁應陔第,2024-09-04,15.06,15.39,14.8,15.2,1864735,
688530.SH,韁應陔第,2024-09-05,15.1,15.37,15.1,15.26,1344539,
688530.SH,韁應陔第,2024-09-06,15.23,15.47,14.83,14.86,1488068,
688530.SH,韁應陔第,2024-09-09,14.86,15,14.74,14.91,936781,
688530.SH,韁應陔第,2024-09-10,14.9,15.05,14.55,14.94,1327646,
688530.SH,韁應陔第,2024-09-11,14.85,15.01,14.73,14.97,890683,
688530.SH,韁應陔第,2024-09-12,15,15.15,14.68,14.71,1048231,
688530.SH,韁應陔第,2024-09-13,14.74,14.76,14.05,14.05,1570106,
688530.SH,韁應陔第,2024-09-18,14.13,14.27,13.67,13.85,1143827,
688530.SH,韁應陔第,2024-09-19,13.89,14.55,13.89,14.35,1503837,
